term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,5.0,0.333442057686,10.0,0.7528089887639999
united states politics and government,3.0,0.175993662923,7.0,0.46067415730300004
finances,3.0,0.167396673035,1.0,0.0355805243446
elections,2.0,0.107264339966,5.0,0.346441947566
basketball,2.0,0.0936349657518,0.0,0.0
law and legislation,2.0,0.0884860910489,1.0,0.0393258426966
crime and criminals,2.0,0.0878337449327,7.0,0.50936329588
taxation,2.0,0.07606821676530001,1.0,0.0131086142322
motion pictures,1.0,0.07052327477749999,1.0,0.0280898876404
sex crimes,1.0,0.0586645543078,8.0,0.544943820225
computers and the internet,1.0,0.054074833418800004,1.0,0.022471910112400004
television,1.0,0.052886631564199996,1.0,0.058052434456900004
football,1.0,0.0486230837333,0.0,0.0
baseball,1.0,0.047201901123000004,0.0,0.0
medicine and health,1.0,0.0444294301291,1.0,0.033707865168499995
labor,1.0,0.0422394110246,1.0,0.0187265917603
ethics,1.0,0.038418526629699995,3.0,0.177902621723
international relations,1.0,0.0372769209263,1.0,0.0168539325843
games,1.0,0.033246353851200006,0.0,0.0
college athletics,1.0,0.029658450211999997,0.0,0.0
education and schools,1.0,0.0293089790783,1.0,0.0205992509363
international trade and world market,1.0,0.0280508829971,0.0,0.0
immigration and refugees,1.0,0.0279576906947,1.0,0.005617977528089999
economic conditions and trends,1.0,0.0277946041657,1.0,0.005617977528089999
"armament, defense and military forces",1.0,0.027515027258700003,1.0,0.0168539325843
biographical information,1.0,0.0267694888402,1.0,0.065543071161
murders and attempted murders,1.0,0.026140440799599998,0.0,0.0
budgets and budgeting,1.0,0.0258142677415,1.0,0.005617977528089999
united states international relations,1.0,0.024369787055599997,1.0,0.0168539325843
women,1.0,0.0242299986021,7.0,0.48314606741599997
reviews,1.0,0.023927123619599998,1.0,0.005617977528089999
news and news media,1.0,0.0237174409394,2.0,0.0936329588015
suits and litigation,1.0,0.0213876333815,1.0,0.0243445692884
playoff games,1.0,0.0203858161316,0.0,0.0
primaries,1.0,0.019640277713099997,1.0,0.0168539325843
music,1.0,0.019640277713099997,1.0,0.00749063670412
blacks,1.0,0.019034527748,1.0,0.0430711610487
athletics and sports,1.0,0.019034527748,0.0,0.0
united states economy,1.0,0.017287172079599997,0.0,0.0
"hockey, ice",1.0,0.0165649317366,0.0,0.0
books and literature,1.0,0.0164717394343,1.0,0.0149812734082
stocks and bonds,1.0,0.016005777922700002,0.0,0.0
police,1.0,0.0156330087135,0.0,0.0
automobile racing,1.0,0.01549322026,0.0,0.0
presidents and presidency (us),1.0,0.0154466241088,1.0,0.063670411985
appointments and executive changes,1.0,0.0152369414286,1.0,0.0187265917603
media,1.0,0.0150272587484,1.0,0.0730337078652
coaches and managers,1.0,0.0147476818415,0.0,0.0
terrorism,1.0,0.0147243837659,1.0,0.0131086142322
illegal aliens,1.0,0.014584595312399999,0.0,0.0
frauds and swindling,1.0,0.0144215087834,0.0,0.0
children and youth,1.0,0.014072037649700001,1.0,0.011235955056200002
soccer,1.0,0.0140254414985,0.0,0.0
customs (tariff),1.0,0.0139788453474,0.0,0.0
advertising and marketing,1.0,0.013442989609100002,0.0,0.0
banks and banking,1.0,0.0126042588882,0.0,0.0
"awards, decorations and honors",1.0,0.0122547877545,0.0,0.0
theater,1.0,0.0119286146964,0.0,0.0
boxing,1.0,0.0119286146964,0.0,0.0
decisions and verdicts,1.0,0.0118587204697,1.0,0.0131086142322
united states armament and defense,1.0,0.011555845487200001,1.0,0.011235955056200002
tax credits,1.0,0.0114160570337,0.0,0.0
"prices (fares, fees and rates)",1.0,0.0113228647314,0.0,0.0
discrimination,1.0,0.0112296724291,1.0,0.0524344569288
tennis,1.0,0.010554028237299999,0.0,0.0
election issues,1.0,0.0102977494059,1.0,0.0149812734082
