term,a1_bin,a1_perc,a2_bin,a2_perc
Donald Trump,2.0,0.187735893015,4.0,0.314417177914
Trump,2.0,0.111714272401,2.0,0.141871165644
Kevin Spacey,1.0,0.06630632309769999,1.0,0.050613496932499995
Kevin McCarthy,1.0,0.0626485252318,1.0,0.0038343558282199998
Kevin Durant,1.0,0.052630352732899996,0.0,0.0
Paul Ryan,1.0,0.048949256791400005,1.0,0.020705521472400002
Hillary Clinton,1.0,0.0447323051116,2.0,0.135736196319
Barack Obama,1.0,0.0447323051116,1.0,0.05904907975459999
Kevin Brady,1.0,0.0437537859373,0.0,0.0
LeBron James,1.0,0.0417501514375,1.0,0.00460122699387
Harvey Weinstein,1.0,0.040165882298099996,4.0,0.298312883436
Robert Mueller,1.0,0.0361586132985,1.0,0.0375766871166
Mitch McConnell,1.0,0.0342714691766,1.0,0.034509202454
Kevin,1.0,0.034108382647599994,0.0,0.0
Obama,1.0,0.0328036904152,1.0,0.057515337423300006
Nancy Pelosi,1.0,0.0269558734449,1.0,0.021472392638
Kevin Love,1.0,0.024299892828900004,0.0,0.0
Paul Manafort,1.0,0.0240203159219,1.0,0.034509202454
Stephen Curry,1.0,0.022156469875599997,0.0,0.0
Dianne Feinstein,1.0,0.0213410372303,1.0,0.0038343558282199998
George W. Bush,1.0,0.021294441079199998,1.0,0.0329754601227
Fox,1.0,0.0207352872653,4.0,0.321319018405
Jeff Sessions,1.0,0.0204324122827,1.0,0.022239263803699998
Mike Pence,1.0,0.019663575788599997,1.0,0.022239263803699998
Kevin Cramer,1.0,0.0187316527655,0.0,0.0
Bernie Sanders,1.0,0.018149200876,1.0,0.0161042944785
Heidi Heitkamp,1.0,0.018149200876,1.0,0.00536809815951
Kevin Johnson,1.0,0.017986114347000003,0.0,0.0
Chuck Schumer,1.0,0.0178929220446,1.0,0.00920245398773
Brett Kavanaugh,1.0,0.01770653744,1.0,0.0368098159509
Jeff Flake,1.0,0.016308652905299998,1.0,0.014570552147200001
Scott Pruitt,1.0,0.0162853548297,1.0,0.008435582822089999
Vladimir Putin,1.0,0.016192162527399998,1.0,0.022239263803699998
Kevin Liffey,1.0,0.016122268300600002,0.0,0.0
Anthony Rapp,1.0,0.016122268300600002,1.0,0.0069018404908
Roy Moore,1.0,0.016005777922700002,2.0,0.115797546012
