term,a1_bin,a1_perc,a2_bin,a2_perc
Donald Trump,2.0,0.187735893015,4.0,0.348470632389
Trump,2.0,0.111714272401,3.0,0.234565584537
Kevin Spacey,1.0,0.06630632309769999,1.0,0.0201726402702
Kevin McCarthy,1.0,0.0626485252318,1.0,0.005254269093640001
Kevin Durant,1.0,0.052630352732899996,0.0,0.0
Paul Ryan,1.0,0.048949256791400005,1.0,0.0570463501595
Hillary Clinton,1.0,0.0447323051116,2.0,0.110996434603
Barack Obama,1.0,0.0447323051116,1.0,0.0810658660161
Kevin Brady,1.0,0.0437537859373,1.0,0.0062863576656
LeBron James,1.0,0.0417501514375,0.0,0.0
Harvey Weinstein,1.0,0.040165882298099996,1.0,0.0660536686057
Robert Mueller,1.0,0.0361586132985,1.0,0.0410020641771
Mitch McConnell,1.0,0.0342714691766,2.0,0.187277162695
Kevin,1.0,0.034108382647599994,0.0,0.0
Obama,1.0,0.0328036904152,1.0,0.044098329893
Nancy Pelosi,1.0,0.0269558734449,1.0,0.046162507037000006
Kevin Love,1.0,0.024299892828900004,0.0,0.0
Paul Manafort,1.0,0.0240203159219,1.0,0.018577594295400002
Stephen Curry,1.0,0.022156469875599997,0.0,0.0
Dianne Feinstein,1.0,0.0213410372303,1.0,0.010320885719600001
George W. Bush,1.0,0.021294441079199998,1.0,0.0288046537812
Fox,1.0,0.0207352872653,1.0,0.019797335335
Jeff Sessions,1.0,0.0204324122827,2.0,0.117282792269
Mike Pence,1.0,0.019663575788599997,1.0,0.0320885719647
Kevin Cramer,1.0,0.0187316527655,0.0,0.0
Bernie Sanders,1.0,0.018149200876,1.0,0.0269281291049
Heidi Heitkamp,1.0,0.018149200876,1.0,0.0075060987052
Kevin Johnson,1.0,0.017986114347000003,0.0,0.0
Chuck Schumer,1.0,0.0178929220446,1.0,0.036310752486400005
Brett Kavanaugh,1.0,0.01770653744,1.0,0.013323325201700001
Jeff Flake,1.0,0.016308652905299998,1.0,0.0625820979546
Scott Pruitt,1.0,0.0162853548297,1.0,0.0062863576656
Vladimir Putin,1.0,0.016192162527399998,1.0,0.023738037155200002
Kevin Liffey,1.0,0.016122268300600002,0.0,0.0
Anthony Rapp,1.0,0.016122268300600002,0.0,0.0
Roy Moore,1.0,0.016005777922700002,10.0,0.966410208294
Kevin Hart,1.0,0.015982479847200002,0.0,0.0
Klay Thompson,1.0,0.0158892875448,0.0,0.0
John McCain,1.0,0.015819393318100002,1.0,0.0493525989867
Steve Scalise,1.0,0.0143749126322,1.0,0.0048789641583800005
Bob Corker,1.0,0.014328316481099999,1.0,0.039219365734699994
Kyrie Irving,1.0,0.0142118261032,0.0,0.0
Kevin Harvick,1.0,0.0138390568939,0.0,0.0
Susan Collins,1.0,0.013815758818299998,1.0,0.0322762244324
Bill Clinton,1.0,0.0137924607427,1.0,0.053762431975999996
Kevin de León,1.0,0.013722566516,0.0,0.0
Ted Cruz,1.0,0.0136060761381,1.0,0.0328391818352
John Kelly,1.0,0.0131634127021,1.0,0.0219553387127
