term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,8.0,0.382036685642,5.0,0.24310344827599997
Netflix,4.0,0.175838077166,1.0,0.0224137931034
HBO,3.0,0.130297280202,1.0,0.013793103448299999
Times,2.0,0.10056925996200002,2.0,0.060344827586199995
Senate,2.0,0.0980392156863,10.0,0.531034482759
NBC,2.0,0.09677419354839999,3.0,0.110344827586
Washington Post,2.0,0.0923466160658,4.0,0.206896551724
CBS,2.0,0.0815939278937,2.0,0.0586206896552
CNN,2.0,0.0702087286528,3.0,0.155172413793
White House,2.0,0.0613535736875,5.0,0.227586206897
Amazon,2.0,0.056925996204900006,1.0,0.0327586206897
Facebook,2.0,0.0531309297913,2.0,0.0827586206897
Congress,2.0,0.0531309297913,9.0,0.44655172413800004
FX,1.0,0.0512333965844,0.0,0.0
Fox News,1.0,0.0480708412397,3.0,0.12413793103399999
ABC,1.0,0.04743833017080001,1.0,0.0310344827586
Supreme Court,1.0,0.044275774826100005,3.0,0.156896551724
GOP,1.0,0.036685641998699996,4.0,0.208620689655
House,1.0,0.036685641998699996,6.0,0.26724137930999997
NBC News,1.0,0.0347881087919,2.0,0.0689655172414
Vox,1.0,0.0347881087919,1.0,0.05
Disney,1.0,0.034155597722999996,1.0,0.018965517241400002
PBS,1.0,0.0316255534472,1.0,0.0431034482759
MSNBC,1.0,0.0297280202404,2.0,0.0551724137931
AP,1.0,0.0290955091714,2.0,0.0844827586207
FBI,1.0,0.0284629981025,2.0,0.0741379310345
NPR,1.0,0.0284629981025,1.0,0.020689655172400002
Amazon Studios,1.0,0.027197975964599996,1.0,0.024137931034499998
Reuters,1.0,0.024667931688799997,1.0,0.037931034482800004
Google,1.0,0.024667931688799997,1.0,0.0344827586207
Los Angeles Times,1.0,0.024667931688799997,1.0,0.0172413793103
Associated Press,1.0,0.024035420619900005,1.0,0.05
Alabama Senate,1.0,0.022770398482,2.0,0.07931034482760001
YouTube,1.0,0.022137887412999997,1.0,0.0051724137931000004
NFL,1.0,0.022137887412999997,1.0,0.0293103448276
Showtime,1.0,0.022137887412999997,0.0,0.0
ABC News,1.0,0.021505376344099998,1.0,0.020689655172400002
Trump,1.0,0.0208728652751,2.0,0.0827586206897
Post,1.0,0.0202403542062,1.0,0.0344827586207
Time,1.0,0.0202403542062,1.0,0.0310344827586
CBS News,1.0,0.019607843137299998,1.0,0.0258620689655
C.K.,1.0,0.019607843137299998,0.0,0.0
Justice Department,1.0,0.018975332068300002,1.0,0.048275862068999996
Senate Judiciary Committee,1.0,0.018975332068300002,2.0,0.07068965517239999
Warner Bros.,1.0,0.0177103099304,0.0,0.0
USA TODAY,1.0,0.0177103099304,1.0,0.018965517241400002
FX Networks,1.0,0.0177103099304,0.0,0.0
Pixar,1.0,0.017077798861499998,0.0,0.0
Vanity Fair,1.0,0.017077798861499998,1.0,0.0224137931034
Bloomberg,1.0,0.0164452877925,1.0,0.0327586206897
U.S. Senate,1.0,0.0164452877925,1.0,0.0431034482759
Ford,1.0,0.0164452877925,2.0,0.0620689655172
TBS,1.0,0.0158127767236,0.0,0.0
Weinstein Co.,1.0,0.0151802656546,1.0,0.024137931034499998
Weinstein Company,1.0,0.0145477545857,1.0,0.0120689655172
Hollywood,1.0,0.013915243516799998,0.0,0.0
AMC,1.0,0.013915243516799998,0.0,0.0
AT&T,1.0,0.013282732447799999,0.0,0.0
Republican Party,1.0,0.013282732447799999,2.0,0.0741379310345
Republican,1.0,0.0126502213789,2.0,0.0741379310345
BBC,1.0,0.0126502213789,1.0,0.0051724137931000004
Democratic Party,1.0,0.012017710309899999,2.0,0.09655172413789999
LAPD,1.0,0.012017710309899999,0.0,0.0
Harvard,1.0,0.011385199241,1.0,0.036206896551699994
Sony,1.0,0.011385199241,0.0,0.0
ESPN,1.0,0.011385199241,1.0,0.020689655172400002
Capitol Hill,1.0,0.011385199241,2.0,0.07241379310339999
the Times,1.0,0.011385199241,0.0,0.0
BuzzFeed News,1.0,0.011385199241,1.0,0.013793103448299999
Facebook post,1.0,0.010752688172,1.0,0.0224137931034
Miramax,1.0,0.010752688172,1.0,0.0068965517241400005
Warner Bros,1.0,0.010752688172,0.0,0.0
New York Post,1.0,0.010752688172,1.0,0.0155172413793
FX Productions,1.0,0.010752688172,0.0,0.0
Time magazine,1.0,0.0101201771031,1.0,0.0293103448276
Trump administration,1.0,0.0101201771031,1.0,0.0293103448276
Orient Express,1.0,0.0101201771031,0.0,0.0
Los Angeles Police Department,1.0,0.0101201771031,1.0,0.0051724137931000004
Rolling Stone,1.0,0.0101201771031,0.0,0.0
Time Warner,1.0,0.0101201771031,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.0101201771031,0.0,0.0
Politico,1.0,0.00948766603416,2.0,0.0586206896552
house,1.0,0.00885515496521,1.0,0.020689655172400002
Wall Street Journal,1.0,0.00885515496521,1.0,0.036206896551699994
Tiffany,1.0,0.00885515496521,0.0,0.0
NRA,1.0,0.008222643896270001,1.0,0.013793103448299999
Apple,1.0,0.008222643896270001,1.0,0.0155172413793
UCLA,1.0,0.008222643896270001,1.0,0.0172413793103
CW,1.0,0.008222643896270001,0.0,0.0
WNYC,1.0,0.008222643896270001,1.0,0.00862068965517
Universal Pictures,1.0,0.008222643896270001,0.0,0.0
USA Today,1.0,0.00759013282732,1.0,0.010344827586200001
solidarity,1.0,0.00759013282732,1.0,0.010344827586200001
Cox,1.0,0.00695762175838,0.0,0.0
Huffington Post,1.0,0.00695762175838,1.0,0.0172413793103
Playboy,1.0,0.00695762175838,1.0,0.0155172413793
McDonald,1.0,0.00695762175838,1.0,0.0051724137931000004
Dartmouth,1.0,0.00695762175838,1.0,0.0172413793103
TIME,1.0,0.00695762175838,0.0,0.0
USA Gymnastics,1.0,0.00695762175838,1.0,0.0172413793103
Democratic,1.0,0.006325110689439999,1.0,0.0431034482759
