term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,5.0,0.382036685642,3.0,0.203571428571
Netflix,3.0,0.175838077166,1.0,0.0142857142857
HBO,2.0,0.130297280202,1.0,0.015178571428600001
Times,2.0,0.10056925996200002,1.0,0.0339285714286
Senate,2.0,0.0980392156863,8.0,0.591071428571
NBC,2.0,0.09677419354839999,1.0,0.0678571428571
Washington Post,2.0,0.0923466160658,3.0,0.20535714285700002
CBS,1.0,0.0815939278937,1.0,0.0785714285714
CNN,1.0,0.0702087286528,2.0,0.164285714286
White House,1.0,0.0613535736875,4.0,0.29642857142900003
Amazon,1.0,0.056925996204900006,1.0,0.0169642857143
Facebook,1.0,0.0531309297913,1.0,0.06339285714290001
Congress,1.0,0.0531309297913,4.0,0.25625
FX,1.0,0.0512333965844,0.0,0.0
Fox News,1.0,0.0480708412397,2.0,0.141071428571
ABC,1.0,0.04743833017080001,1.0,0.0392857142857
Supreme Court,1.0,0.044275774826100005,10.0,0.828571428571
GOP,1.0,0.036685641998699996,3.0,0.23660714285700002
House,1.0,0.036685641998699996,2.0,0.116964285714
NBC News,1.0,0.0347881087919,1.0,0.0642857142857
Vox,1.0,0.0347881087919,1.0,0.0383928571429
Disney,1.0,0.034155597722999996,1.0,0.00446428571429
PBS,1.0,0.0316255534472,1.0,0.00982142857143
MSNBC,1.0,0.0297280202404,1.0,0.0303571428571
AP,1.0,0.0290955091714,1.0,0.08035714285710001
FBI,1.0,0.0284629981025,5.0,0.336607142857
NPR,1.0,0.0284629981025,1.0,0.0267857142857
Amazon Studios,1.0,0.027197975964599996,0.0,0.0
Reuters,1.0,0.024667931688799997,1.0,0.0785714285714
Google,1.0,0.024667931688799997,1.0,0.0339285714286
Los Angeles Times,1.0,0.024667931688799997,1.0,0.0133928571429
Associated Press,1.0,0.024035420619900005,1.0,0.0660714285714
Alabama Senate,1.0,0.022770398482,1.0,0.00803571428571
YouTube,1.0,0.022137887412999997,1.0,0.00535714285714
NFL,1.0,0.022137887412999997,1.0,0.0116071428571
Showtime,1.0,0.022137887412999997,0.0,0.0
ABC News,1.0,0.021505376344099998,1.0,0.027678571428600002
Trump,1.0,0.0208728652751,1.0,0.06160714285709999
Post,1.0,0.0202403542062,1.0,0.0339285714286
Time,1.0,0.0202403542062,1.0,0.0107142857143
CBS News,1.0,0.019607843137299998,1.0,0.0330357142857
C.K.,1.0,0.019607843137299998,0.0,0.0
Justice Department,1.0,0.018975332068300002,1.0,0.05
Senate Judiciary Committee,1.0,0.018975332068300002,6.0,0.442857142857
Warner Bros.,1.0,0.0177103099304,0.0,0.0
USA TODAY,1.0,0.0177103099304,1.0,0.0205357142857
FX Networks,1.0,0.0177103099304,0.0,0.0
Pixar,1.0,0.017077798861499998,0.0,0.0
Vanity Fair,1.0,0.017077798861499998,1.0,0.0142857142857
Bloomberg,1.0,0.0164452877925,1.0,0.0285714285714
U.S. Senate,1.0,0.0164452877925,1.0,0.0214285714286
Ford,1.0,0.0164452877925,7.0,0.551785714286
TBS,1.0,0.0158127767236,0.0,0.0
Weinstein Co.,1.0,0.0151802656546,0.0,0.0
Weinstein Company,1.0,0.0145477545857,0.0,0.0
Hollywood,1.0,0.013915243516799998,0.0,0.0
AMC,1.0,0.013915243516799998,0.0,0.0
AT&T,1.0,0.013282732447799999,0.0,0.0
Republican Party,1.0,0.013282732447799999,1.0,0.0544642857143
Republican,1.0,0.0126502213789,2.0,0.08839285714289999
BBC,1.0,0.0126502213789,1.0,0.00892857142857
Democratic Party,1.0,0.012017710309899999,1.0,0.0366071428571
LAPD,1.0,0.012017710309899999,0.0,0.0
Harvard,1.0,0.011385199241,1.0,0.0241071428571
Sony,1.0,0.011385199241,0.0,0.0
ESPN,1.0,0.011385199241,0.0,0.0
Capitol Hill,1.0,0.011385199241,1.0,0.051785714285699995
the Times,1.0,0.011385199241,1.0,0.00446428571429
BuzzFeed News,1.0,0.011385199241,1.0,0.00892857142857
Facebook post,1.0,0.010752688172,1.0,0.0107142857143
Miramax,1.0,0.010752688172,0.0,0.0
Warner Bros,1.0,0.010752688172,0.0,0.0
New York Post,1.0,0.010752688172,1.0,0.00892857142857
FX Productions,1.0,0.010752688172,0.0,0.0
Time magazine,1.0,0.0101201771031,0.0,0.0
Trump administration,1.0,0.0101201771031,1.0,0.0366071428571
Orient Express,1.0,0.0101201771031,0.0,0.0
Los Angeles Police Department,1.0,0.0101201771031,0.0,0.0
Rolling Stone,1.0,0.0101201771031,1.0,0.00714285714286
Time Warner,1.0,0.0101201771031,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.0101201771031,0.0,0.0
Politico,1.0,0.00948766603416,1.0,0.04375
house,1.0,0.00885515496521,1.0,0.0267857142857
Wall Street Journal,1.0,0.00885515496521,1.0,0.06071428571430001
Tiffany,1.0,0.00885515496521,0.0,0.0
NRA,1.0,0.008222643896270001,1.0,0.00535714285714
Apple,1.0,0.008222643896270001,1.0,0.00982142857143
UCLA,1.0,0.008222643896270001,1.0,0.00446428571429
CW,1.0,0.008222643896270001,0.0,0.0
WNYC,1.0,0.008222643896270001,1.0,0.00446428571429
Universal Pictures,1.0,0.008222643896270001,0.0,0.0
USA Today,1.0,0.00759013282732,1.0,0.01875
solidarity,1.0,0.00759013282732,1.0,0.00535714285714
Cox,1.0,0.00695762175838,0.0,0.0
Huffington Post,1.0,0.00695762175838,1.0,0.00535714285714
Playboy,1.0,0.00695762175838,0.0,0.0
McDonald,1.0,0.00695762175838,1.0,0.00982142857143
Dartmouth,1.0,0.00695762175838,0.0,0.0
TIME,1.0,0.00695762175838,0.0,0.0
USA Gymnastics,1.0,0.00695762175838,0.0,0.0
Democratic,1.0,0.006325110689439999,1.0,0.041964285714300005
Twitter,1.0,0.006325110689439999,1.0,0.00625
CNBC,1.0,0.006325110689439999,1.0,0.00892857142857
Sony Pictures,1.0,0.006325110689439999,0.0,0.0
USC,1.0,0.006325110689439999,0.0,0.0
New York Daily News,1.0,0.006325110689439999,0.0,0.0
LA Times,1.0,0.006325110689439999,1.0,0.00535714285714
MTV,1.0,0.006325110689439999,0.0,0.0
Hollywood Foreign Press Association,1.0,0.006325110689439999,0.0,0.0
Yale,1.0,0.005692599620489999,2.0,0.08660714285710001
Nazi,1.0,0.005692599620489999,0.0,0.0
University of Chicago,1.0,0.005692599620489999,0.0,0.0
CBS Interactive Inc,1.0,0.005692599620489999,1.0,0.00535714285714
Catholic Church,1.0,0.005692599620489999,1.0,0.00892857142857
New Yorker,1.0,0.005692599620489999,1.0,0.0205357142857
Fox News host,1.0,0.005692599620489999,0.0,0.0
L.A. Times,1.0,0.005692599620489999,1.0,0.00446428571429
Minnesota Public Radio,1.0,0.005692599620489999,0.0,0.0
Bloomberg TV,1.0,0.005692599620489999,0.0,0.0
Alabama senate,1.0,0.005692599620489999,0.0,0.0
DNC,1.0,0.00506008855155,1.0,0.0133928571429
Treasury,1.0,0.00506008855155,1.0,0.00803571428571
Catholic,1.0,0.00506008855155,1.0,0.0142857142857
Boston Globe,1.0,0.00506008855155,1.0,0.0116071428571
Judiciary Committee,1.0,0.00506008855155,3.0,0.20089285714299998
New York,1.0,0.00506008855155,1.0,0.00625
The Times,1.0,0.00506008855155,0.0,0.0
US Senate,1.0,0.00506008855155,1.0,0.00625
Instagram,1.0,0.00506008855155,0.0,0.0
Republican Senate,1.0,0.00506008855155,1.0,0.00446428571429
canon,1.0,0.00506008855155,0.0,0.0
Daily News,1.0,0.00506008855155,0.0,0.0
