term,a1_bin,a1_perc,a2_bin,a2_perc
Louis C.K.,8.0,0.7824161922830001,1.0,0.0223214285714
Harvey Weinstein,5.0,0.428842504744,2.0,0.10625
Kevin Spacey,3.0,0.275142314991,1.0,0.0133928571429
Roy Moore,2.0,0.13788741303,1.0,0.0348214285714
Charlie Rose,2.0,0.135989879823,1.0,0.017857142857099998
Matt Lauer,2.0,0.13156230234000002,1.0,0.017857142857099998
Al Franken,2.0,0.12397216951300001,1.0,0.041964285714300005
Donald Trump,2.0,0.118912080961,5.0,0.39375
Louis CK,2.0,0.114484503479,0.0,0.0
Trump,1.0,0.0936116382037,2.0,0.19553571428599997
Louie,1.0,0.0803289057559,0.0,0.0
Brett Ratner,1.0,0.07526881720430001,0.0,0.0
Woody Allen,1.0,0.0746363061354,1.0,0.00535714285714
Stephen Colbert,1.0,0.0695762175838,1.0,0.00803571428571
Bill Cosby,1.0,0.0632511068944,1.0,0.05625
Mark Halperin,1.0,0.061986084756500005,0.0,0.0
Julia Wolov,1.0,0.05755850727390001,0.0,0.0
Dana Min Goodman,1.0,0.056925996204900006,0.0,0.0
James Toback,1.0,0.055660974067000005,0.0,0.0
Aziz Ansari,1.0,0.051865907653400004,0.0,0.0
Dave Becky,1.0,0.046805819101800004,0.0,0.0
Pamela Adlon,1.0,0.044908285895,0.0,0.0
Matt Damon,1.0,0.0417457305503,1.0,0.00892857142857
Bill Clinton,1.0,0.0404807084124,1.0,0.07589285714289999
Tig Notaro,1.0,0.0398481973435,0.0,0.0
Roseanne Barr,1.0,0.0392156862745,0.0,0.0
Hillary Clinton,1.0,0.037950664136600004,1.0,0.0857142857143
Dustin Hoffman,1.0,0.0373181530677,0.0,0.0
Rebecca Corry,1.0,0.0373181530677,0.0,0.0
Jeffrey Tambor,1.0,0.036685641998699996,0.0,0.0
Lewis Kay,1.0,0.0354206198608,0.0,0.0
Weinstein,1.0,0.0347881087919,0.0,0.0
Sarah Silverman,1.0,0.034155597722999996,0.0,0.0
Mario Batali,1.0,0.034155597722999996,0.0,0.0
Abby Schachner,1.0,0.034155597722999996,0.0,0.0
John Malkovich,1.0,0.0316255534472,0.0,0.0
Russell Simmons,1.0,0.030993042378199998,0.0,0.0
Ronan Farrow,1.0,0.030993042378199998,1.0,0.0464285714286
Rose McGowan,1.0,0.0303605313093,1.0,0.00803571428571
Norm Macdonald,1.0,0.0297280202404,0.0,0.0
Garrison Keillor,1.0,0.0290955091714,0.0,0.0
Anthony Rapp,1.0,0.0284629981025,0.0,0.0
Ed Westwick,1.0,0.0284629981025,0.0,0.0
Ashley Judd,1.0,0.027830487033500002,1.0,0.00982142857143
Roger Ailes,1.0,0.027197975964599996,1.0,0.0133928571429
Jon Stewart,1.0,0.026565464895599997,0.0,0.0
Jeremy Piven,1.0,0.026565464895599997,0.0,0.0
Anita Hill,1.0,0.025932953826700002,3.0,0.22232142857099998
Brett Kavanaugh,1.0,0.025932953826700002,10.0,0.983928571429
Noam Dworman,1.0,0.025300442757700003,0.0,0.0
Leeann Tweeden,1.0,0.025300442757700003,0.0,0.0
Les Moonves,1.0,0.024035420619900005,1.0,0.0267857142857
Ben Affleck,1.0,0.023402909550900002,0.0,0.0
Dave Chappelle,1.0,0.023402909550900002,0.0,0.0
John Conyers,1.0,0.022770398482,0.0,0.0
Alyssa Milano,1.0,0.022770398482,1.0,0.0294642857143
Louis C.K,1.0,0.022770398482,0.0,0.0
Barack Obama,1.0,0.022137887412999997,1.0,0.06071428571430001
Leon Wieseltier,1.0,0.021505376344099998,0.0,0.0
Gawker,1.0,0.021505376344099998,0.0,0.0
James Franco,1.0,0.021505376344099998,0.0,0.0
Glenn Thrush,1.0,0.0208728652751,0.0,0.0
Tarana Burke,1.0,0.0208728652751,1.0,0.0223214285714
Obama,1.0,0.0202403542062,1.0,0.0339285714286
Clarence Thomas,1.0,0.0202403542062,3.0,0.211607142857
George H.W. Bush,1.0,0.0202403542062,1.0,0.0205357142857
Steven Seagal,1.0,0.0202403542062,0.0,0.0
Kevin Hart,1.0,0.0202403542062,0.0,0.0
Amy Poehler,1.0,0.0202403542062,0.0,0.0
Marc Maron,1.0,0.0202403542062,0.0,0.0
Chloë Grace Moretz,1.0,0.0202403542062,0.0,0.0
John Lasseter,1.0,0.0202403542062,0.0,0.0
Jimmy Fallon,1.0,0.019607843137299998,0.0,0.0
Seth Meyers,1.0,0.019607843137299998,0.0,0.0
Tom Hanks,1.0,0.018975332068300002,0.0,0.0
Jodi Kantor,1.0,0.018975332068300002,1.0,0.00714285714286
Danny Masterson,1.0,0.018975332068300002,0.0,0.0
Michael Oreskes,1.0,0.018975332068300002,0.0,0.0
Mitch McConnell,1.0,0.0183428209994,2.0,0.161607142857
Jesus,1.0,0.0183428209994,1.0,0.00446428571429
Bill O'Reilly,1.0,0.0183428209994,0.0,0.0
Christopher Plummer,1.0,0.0183428209994,0.0,0.0
Christine Blasey Ford,1.0,0.0183428209994,8.0,0.713392857143
Ridley Scott,1.0,0.0177103099304,0.0,0.0
Chris Rock,1.0,0.0177103099304,0.0,0.0
Chris Hardwick,1.0,0.0177103099304,0.0,0.0
Greta Gerwig,1.0,0.0177103099304,0.0,0.0
