term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,5.0,0.382036685642,3.0,0.172413793103
Netflix,3.0,0.175838077166,1.0,0.014008620689700001
HBO,2.0,0.130297280202,1.0,0.0183189655172
Times,2.0,0.10056925996200002,1.0,0.03125
Senate,2.0,0.0980392156863,8.0,0.640086206897
NBC,2.0,0.09677419354839999,1.0,0.052801724137900005
Washington Post,2.0,0.0923466160658,3.0,0.239224137931
CBS,1.0,0.0815939278937,1.0,0.0635775862069
CNN,1.0,0.0702087286528,3.0,0.17025862069000003
White House,1.0,0.0613535736875,4.0,0.322198275862
Amazon,1.0,0.056925996204900006,1.0,0.015086206896600002
Facebook,1.0,0.0531309297913,1.0,0.0581896551724
Congress,1.0,0.0531309297913,3.0,0.24892241379299998
FX,1.0,0.0512333965844,0.0,0.0
Fox News,1.0,0.0480708412397,2.0,0.14439655172399998
ABC,1.0,0.04743833017080001,1.0,0.0290948275862
Supreme Court,1.0,0.044275774826100005,10.0,0.832974137931
GOP,1.0,0.036685641998699996,3.0,0.243534482759
House,1.0,0.036685641998699996,2.0,0.09267241379310001
NBC News,1.0,0.0347881087919,1.0,0.04849137931030001
Vox,1.0,0.0347881087919,1.0,0.03125
Disney,1.0,0.034155597722999996,1.0,0.004310344827590001
PBS,1.0,0.0316255534472,1.0,0.00969827586207
MSNBC,1.0,0.0297280202404,1.0,0.0247844827586
AP,1.0,0.0290955091714,1.0,0.0614224137931
FBI,1.0,0.0284629981025,5.0,0.375
NPR,1.0,0.0284629981025,1.0,0.0247844827586
Amazon Studios,1.0,0.027197975964599996,0.0,0.0
Reuters,1.0,0.024667931688799997,1.0,0.0700431034483
Google,1.0,0.024667931688799997,1.0,0.03125
Los Angeles Times,1.0,0.024667931688799997,1.0,0.010775862069
Associated Press,1.0,0.024035420619900005,1.0,0.0538793103448
Alabama Senate,1.0,0.022770398482,1.0,0.00862068965517
YouTube,1.0,0.022137887412999997,1.0,0.004310344827590001
NFL,1.0,0.022137887412999997,1.0,0.010775862069
Showtime,1.0,0.022137887412999997,0.0,0.0
ABC News,1.0,0.021505376344099998,1.0,0.0247844827586
Trump,1.0,0.0208728652751,1.0,0.0549568965517
Post,1.0,0.0202403542062,1.0,0.0355603448276
Time,1.0,0.0202403542062,1.0,0.00969827586207
CBS News,1.0,0.019607843137299998,1.0,0.0258620689655
C.K.,1.0,0.019607843137299998,0.0,0.0
Justice Department,1.0,0.018975332068300002,1.0,0.038793103448300004
Senate Judiciary Committee,1.0,0.018975332068300002,7.0,0.553879310345
Warner Bros.,1.0,0.0177103099304,0.0,0.0
USA TODAY,1.0,0.0177103099304,1.0,0.0215517241379
FX Networks,1.0,0.0177103099304,0.0,0.0
Pixar,1.0,0.017077798861499998,0.0,0.0
Vanity Fair,1.0,0.017077798861499998,1.0,0.006465517241380001
Bloomberg,1.0,0.0164452877925,1.0,0.0269396551724
U.S. Senate,1.0,0.0164452877925,1.0,0.0226293103448
Ford,1.0,0.0164452877925,9.0,0.725215517241
TBS,1.0,0.0158127767236,0.0,0.0
Weinstein Co.,1.0,0.0151802656546,0.0,0.0
Weinstein Company,1.0,0.0145477545857,0.0,0.0
Hollywood,1.0,0.013915243516799998,0.0,0.0
AMC,1.0,0.013915243516799998,0.0,0.0
AT&T,1.0,0.013282732447799999,0.0,0.0
Republican Party,1.0,0.013282732447799999,1.0,0.0625
Republican,1.0,0.0126502213789,2.0,0.10452586206900001
BBC,1.0,0.0126502213789,1.0,0.005387931034479999
Democratic Party,1.0,0.012017710309899999,1.0,0.0323275862069
LAPD,1.0,0.012017710309899999,0.0,0.0
Harvard,1.0,0.011385199241,1.0,0.0183189655172
Sony,1.0,0.011385199241,0.0,0.0
ESPN,1.0,0.011385199241,1.0,0.004310344827590001
Capitol Hill,1.0,0.011385199241,1.0,0.0431034482759
the Times,1.0,0.011385199241,1.0,0.004310344827590001
BuzzFeed News,1.0,0.011385199241,1.0,0.004310344827590001
Facebook post,1.0,0.010752688172,1.0,0.011853448275899998
Miramax,1.0,0.010752688172,0.0,0.0
Warner Bros,1.0,0.010752688172,0.0,0.0
New York Post,1.0,0.010752688172,1.0,0.00862068965517
FX Productions,1.0,0.010752688172,0.0,0.0
Time magazine,1.0,0.0101201771031,1.0,0.005387931034479999
Trump administration,1.0,0.0101201771031,1.0,0.030172413793099997
Orient Express,1.0,0.0101201771031,0.0,0.0
Los Angeles Police Department,1.0,0.0101201771031,0.0,0.0
Rolling Stone,1.0,0.0101201771031,0.0,0.0
Time Warner,1.0,0.0101201771031,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.0101201771031,0.0,0.0
Politico,1.0,0.00948766603416,1.0,0.0355603448276
house,1.0,0.00885515496521,1.0,0.038793103448300004
Wall Street Journal,1.0,0.00885515496521,1.0,0.04525862068969999
Tiffany,1.0,0.00885515496521,0.0,0.0
NRA,1.0,0.008222643896270001,0.0,0.0
Apple,1.0,0.008222643896270001,1.0,0.005387931034479999
UCLA,1.0,0.008222643896270001,1.0,0.005387931034479999
CW,1.0,0.008222643896270001,0.0,0.0
WNYC,1.0,0.008222643896270001,1.0,0.004310344827590001
Universal Pictures,1.0,0.008222643896270001,0.0,0.0
USA Today,1.0,0.00759013282732,1.0,0.0161637931034
solidarity,1.0,0.00759013282732,1.0,0.006465517241380001
Cox,1.0,0.00695762175838,0.0,0.0
Huffington Post,1.0,0.00695762175838,0.0,0.0
Playboy,1.0,0.00695762175838,0.0,0.0
McDonald,1.0,0.00695762175838,1.0,0.006465517241380001
Dartmouth,1.0,0.00695762175838,0.0,0.0
TIME,1.0,0.00695762175838,0.0,0.0
USA Gymnastics,1.0,0.00695762175838,0.0,0.0
Democratic,1.0,0.006325110689439999,1.0,0.0366379310345
Twitter,1.0,0.006325110689439999,0.0,0.0
CNBC,1.0,0.006325110689439999,1.0,0.005387931034479999
Sony Pictures,1.0,0.006325110689439999,0.0,0.0
USC,1.0,0.006325110689439999,0.0,0.0
New York Daily News,1.0,0.006325110689439999,0.0,0.0
LA Times,1.0,0.006325110689439999,0.0,0.0
MTV,1.0,0.006325110689439999,0.0,0.0
Hollywood Foreign Press Association,1.0,0.006325110689439999,0.0,0.0
Yale,1.0,0.005692599620489999,2.0,0.09375
Nazi,1.0,0.005692599620489999,0.0,0.0
University of Chicago,1.0,0.005692599620489999,0.0,0.0
CBS Interactive Inc,1.0,0.005692599620489999,1.0,0.00754310344828
Catholic Church,1.0,0.005692599620489999,1.0,0.00754310344828
New Yorker,1.0,0.005692599620489999,1.0,0.0183189655172
Fox News host,1.0,0.005692599620489999,0.0,0.0
L.A. Times,1.0,0.005692599620489999,1.0,0.005387931034479999
Minnesota Public Radio,1.0,0.005692599620489999,0.0,0.0
Bloomberg TV,1.0,0.005692599620489999,0.0,0.0
Alabama senate,1.0,0.005692599620489999,0.0,0.0
DNC,1.0,0.00506008855155,1.0,0.00969827586207
Treasury,1.0,0.00506008855155,1.0,0.005387931034479999
Catholic,1.0,0.00506008855155,1.0,0.015086206896600002
Boston Globe,1.0,0.00506008855155,1.0,0.006465517241380001
Judiciary Committee,1.0,0.00506008855155,3.0,0.245689655172
New York,1.0,0.00506008855155,1.0,0.005387931034479999
The Times,1.0,0.00506008855155,0.0,0.0
US Senate,1.0,0.00506008855155,1.0,0.00969827586207
Instagram,1.0,0.00506008855155,0.0,0.0
Republican Senate,1.0,0.00506008855155,1.0,0.004310344827590001
canon,1.0,0.00506008855155,0.0,0.0
Daily News,1.0,0.00506008855155,0.0,0.0
Nickelodeon,1.0,0.00506008855155,0.0,0.0
Bob Woodruff Foundation,1.0,0.00506008855155,0.0,0.0
National Sexual Violence Resource Center,1.0,0.00506008855155,1.0,0.005387931034479999
FX network,1.0,0.00506008855155,0.0,0.0
FX Networks and FX Productions,1.0,0.00506008855155,0.0,0.0
House Judiciary Committee,1.0,0.00442757748261,1.0,0.00754310344828
Fox,1.0,0.00442757748261,1.0,0.00754310344828
NFL Network,1.0,0.00442757748261,0.0,0.0
Veritas,1.0,0.00442757748261,0.0,0.0
EEOC,1.0,0.00442757748261,1.0,0.00754310344828
Nicki DeMarco/The Washington Post,1.0,0.00442757748261,0.0,0.0
Golden Globe,1.0,0.00442757748261,0.0,0.0
TCA,1.0,0.00442757748261,0.0,0.0
Starz,1.0,0.00442757748261,0.0,0.0
DC Comics,1.0,0.00442757748261,0.0,0.0
bombshell New York Times,1.0,0.00442757748261,0.0,0.0
Invision,1.0,0.00442757748261,0.0,0.0
NPR news,1.0,0.00442757748261,0.0,0.0
The Washington Post,1.0,0.00379506641366,1.0,0.004310344827590001
European Union,1.0,0.00379506641366,0.0,0.0
House of Representatives,1.0,0.00379506641366,1.0,0.0172413793103
Columbia University,1.0,0.00379506641366,1.0,0.004310344827590001
DOJ,1.0,0.00379506641366,1.0,0.00862068965517
