term,a1_bin,a1_perc,a2_bin,a2_perc
kevin spacey louis,7.0,0.026000000000000002,4.0,0.013000000000000001
comedian louis misconduct,5.0,0.016,0.0,0.0
weinstein kevin spacey,4.0,0.012,10.0,0.039
harvey weinstein louis,3.0,0.011000000000000001,0.0,0.0
harvey weinstein kevin,3.0,0.011000000000000001,10.0,0.036000000000000004
comedian louis ck,3.0,0.011000000000000001,1.0,0.002
dana min goodman,3.0,0.01,0.0,0.0
allegations comedian louis,3.0,0.01,0.0,0.0
spacey comedian louis,3.0,0.009000000000000001,1.0,0.002
louis roseanne barr,3.0,0.009000000000000001,0.0,0.0
kevin spacey comedian,3.0,0.009000000000000001,1.0,0.002
producer harvey weinstein,3.0,0.008,6.0,0.023
min goodman julia,3.0,0.008,0.0,0.0
matt lauer charlie,3.0,0.008,2.0,0.006
louis misconduct allegations,3.0,0.008,0.0,0.0
goodman julia wolov,3.0,0.008,0.0,0.0
louis daddy canceled,2.0,0.006999999999999999,0.0,0.0
anchor matt lauer,2.0,0.006999999999999999,1.0,0.003
spacey louis ck,2.0,0.006,1.0,0.001
weinstein comedian louis,2.0,0.005,1.0,0.001
toback brett ratner,2.0,0.005,0.0,0.0
senate roy moore,2.0,0.005,1.0,0.002
rebecca corry louis,2.0,0.005,0.0,0.0
nbc anchor matt,2.0,0.005,0.0,0.0
misconduct comedian louis,2.0,0.005,0.0,0.0
misconduct allegations comedian,2.0,0.005,0.0,0.0
louis roy moore,2.0,0.005,0.0,0.0
louis roseanne louis,2.0,0.005,0.0,0.0
louis allegations misconduct,2.0,0.005,0.0,0.0
james toback brett,2.0,0.005,0.0,0.0
harvey weinstein comedian,2.0,0.005,0.0,0.0
bob woodruff foundation,2.0,0.005,0.0,0.0
accusations kevin spacey,2.0,0.005,1.0,0.003
woodruff foundation 10th,2.0,0.004,0.0,0.0
weinstein louis ck,2.0,0.004,0.0,0.0
roy moore louis,2.0,0.004,0.0,0.0
roseanne show's reboot,2.0,0.004,0.0,0.0
premiere louis daddy,2.0,0.004,0.0,0.0
noam dworman louis,2.0,0.004,0.0,0.0
matt lauer louis,2.0,0.004,1.0,0.002
matt lauer comedian,2.0,0.004,0.0,0.0
louis's unprofessional inappropriate,2.0,0.004,0.0,0.0
louis kevin spacey,2.0,0.004,2.0,0.006
louis harvey weinstein,2.0,0.004,0.0,0.0
louis dave becky,2.0,0.004,0.0,0.0
harvey weinstein scandal,2.0,0.004,2.0,0.005
foundation 10th heroes,2.0,0.004,0.0,0.0
disgraced comedian louis,2.0,0.004,0.0,0.0
dave chappelle louis,2.0,0.004,0.0,0.0
comedians dana min,2.0,0.004,0.0,0.0
comedian rebecca corry,2.0,0.004,0.0,0.0
comedian louis nbc,2.0,0.004,0.0,0.0
comedian louis accusations,2.0,0.004,0.0,0.0
chloë grace moretz,2.0,0.004,0.0,0.0
charlie matt lauer,2.0,0.004,2.0,0.004
