term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,10.0,0.382036685642,10.0,0.348894348894
Netflix,5.0,0.175838077166,6.0,0.191646191646
HBO,4.0,0.130297280202,2.0,0.0761670761671
Times,3.0,0.10056925996200002,2.0,0.0565110565111
Senate,3.0,0.0980392156863,3.0,0.10810810810799999
NBC,3.0,0.09677419354839999,4.0,0.14987714987700002
Washington Post,3.0,0.0923466160658,4.0,0.12285012285000001
CBS,3.0,0.0815939278937,4.0,0.132678132678
CNN,2.0,0.0702087286528,2.0,0.07125307125310001
White House,2.0,0.0613535736875,2.0,0.0663390663391
Amazon,2.0,0.056925996204900006,2.0,0.0638820638821
Facebook,2.0,0.0531309297913,2.0,0.0540540540541
Congress,2.0,0.0531309297913,2.0,0.0614250614251
FX,2.0,0.0512333965844,1.0,0.022113022113
Fox News,2.0,0.0480708412397,2.0,0.06879606879610001
ABC,2.0,0.04743833017080001,2.0,0.07371007371010001
Supreme Court,2.0,0.044275774826100005,3.0,0.0909090909091
GOP,1.0,0.036685641998699996,2.0,0.0540540540541
House,1.0,0.036685641998699996,2.0,0.0515970515971
NBC News,1.0,0.0347881087919,1.0,0.029484029484
Vox,1.0,0.0347881087919,2.0,0.0638820638821
Disney,1.0,0.034155597722999996,2.0,0.041769041768999995
PBS,1.0,0.0316255534472,2.0,0.044226044226
MSNBC,1.0,0.0297280202404,1.0,0.029484029484
AP,1.0,0.0290955091714,1.0,0.036855036855
FBI,1.0,0.0284629981025,2.0,0.041769041768999995
NPR,1.0,0.0284629981025,2.0,0.039312039312
Amazon Studios,1.0,0.027197975964599996,2.0,0.0540540540541
Reuters,1.0,0.024667931688799997,1.0,0.027027027026999998
Google,1.0,0.024667931688799997,1.0,0.031941031941
Los Angeles Times,1.0,0.024667931688799997,1.0,0.034398034397999995
Associated Press,1.0,0.024035420619900005,1.0,0.024570024569999998
Alabama Senate,1.0,0.022770398482,1.0,0.017199017198999998
YouTube,1.0,0.022137887412999997,1.0,0.024570024569999998
NFL,1.0,0.022137887412999997,2.0,0.039312039312
Showtime,1.0,0.022137887412999997,1.0,0.019656019656
ABC News,1.0,0.021505376344099998,1.0,0.022113022113
Trump,1.0,0.0208728652751,1.0,0.022113022113
Post,1.0,0.0202403542062,1.0,0.019656019656
Time,1.0,0.0202403542062,2.0,0.07125307125310001
CBS News,1.0,0.019607843137299998,1.0,0.022113022113
C.K.,1.0,0.019607843137299998,1.0,0.022113022113
Justice Department,1.0,0.018975332068300002,1.0,0.019656019656
Senate Judiciary Committee,1.0,0.018975332068300002,2.0,0.041769041768999995
Warner Bros.,1.0,0.0177103099304,1.0,0.022113022113
USA TODAY,1.0,0.0177103099304,1.0,0.024570024569999998
FX Networks,1.0,0.0177103099304,1.0,0.00982800982801
Pixar,1.0,0.017077798861499998,1.0,0.017199017198999998
Vanity Fair,1.0,0.017077798861499998,1.0,0.034398034397999995
Bloomberg,1.0,0.0164452877925,1.0,0.014742014742
U.S. Senate,1.0,0.0164452877925,1.0,0.012285012284999999
Ford,1.0,0.0164452877925,2.0,0.049140049139999996
TBS,1.0,0.0158127767236,0.0,0.0
Weinstein Co.,1.0,0.0151802656546,1.0,0.024570024569999998
Weinstein Company,1.0,0.0145477545857,1.0,0.017199017198999998
Hollywood,1.0,0.013915243516799998,1.0,0.00737100737101
AMC,1.0,0.013915243516799998,1.0,0.019656019656
AT&T,1.0,0.013282732447799999,1.0,0.004914004914
Republican Party,1.0,0.013282732447799999,1.0,0.00982800982801
Republican,1.0,0.0126502213789,1.0,0.014742014742
BBC,1.0,0.0126502213789,1.0,0.012285012284999999
Democratic Party,1.0,0.012017710309899999,1.0,0.00982800982801
LAPD,1.0,0.012017710309899999,1.0,0.014742014742
Harvard,1.0,0.011385199241,1.0,0.019656019656
Sony,1.0,0.011385199241,1.0,0.00737100737101
ESPN,1.0,0.011385199241,1.0,0.017199017198999998
Capitol Hill,1.0,0.011385199241,1.0,0.00982800982801
the Times,1.0,0.011385199241,0.0,0.0
BuzzFeed News,1.0,0.011385199241,1.0,0.012285012284999999
Facebook post,1.0,0.010752688172,0.0,0.0
Miramax,1.0,0.010752688172,1.0,0.00982800982801
Warner Bros,1.0,0.010752688172,1.0,0.00982800982801
New York Post,1.0,0.010752688172,1.0,0.027027027026999998
FX Productions,1.0,0.010752688172,0.0,0.0
Time magazine,1.0,0.0101201771031,1.0,0.022113022113
