term,a1_bin,a1_perc,a2_bin,a2_perc
kevin spacey louis,10.0,0.026000000000000002,6.0,0.013999999999999999
comedian louis misconduct,7.0,0.016,2.0,0.003
weinstein kevin spacey,5.0,0.012,3.0,0.006
harvey weinstein louis,5.0,0.011000000000000001,3.0,0.006999999999999999
harvey weinstein kevin,5.0,0.011000000000000001,2.0,0.004
comedian louis ck,5.0,0.011000000000000001,2.0,0.005
dana min goodman,4.0,0.01,1.0,0.002
allegations comedian louis,4.0,0.01,0.0,0.0
spacey comedian louis,4.0,0.009000000000000001,2.0,0.005
louis roseanne barr,4.0,0.009000000000000001,7.0,0.016
kevin spacey comedian,4.0,0.009000000000000001,2.0,0.005
producer harvey weinstein,4.0,0.008,5.0,0.013000000000000001
min goodman julia,4.0,0.008,1.0,0.002
matt lauer charlie,4.0,0.008,3.0,0.006999999999999999
louis misconduct allegations,4.0,0.008,0.0,0.0
goodman julia wolov,4.0,0.008,1.0,0.002
louis daddy canceled,3.0,0.006999999999999999,0.0,0.0
anchor matt lauer,3.0,0.006999999999999999,2.0,0.005
spacey louis ck,3.0,0.006,1.0,0.001
weinstein comedian louis,2.0,0.005,0.0,0.0
toback brett ratner,2.0,0.005,0.0,0.0
senate roy moore,2.0,0.005,1.0,0.002
rebecca corry louis,2.0,0.005,0.0,0.0
nbc anchor matt,2.0,0.005,1.0,0.002
misconduct comedian louis,2.0,0.005,0.0,0.0
misconduct allegations comedian,2.0,0.005,0.0,0.0
louis roy moore,2.0,0.005,0.0,0.0
louis roseanne louis,2.0,0.005,2.0,0.003
louis allegations misconduct,2.0,0.005,2.0,0.004
james toback brett,2.0,0.005,0.0,0.0
harvey weinstein comedian,2.0,0.005,0.0,0.0
bob woodruff foundation,2.0,0.005,0.0,0.0
accusations kevin spacey,2.0,0.005,1.0,0.002
woodruff foundation 10th,2.0,0.004,0.0,0.0
weinstein louis ck,2.0,0.004,0.0,0.0
roy moore louis,2.0,0.004,1.0,0.001
roseanne show's reboot,2.0,0.004,1.0,0.002
premiere louis daddy,2.0,0.004,0.0,0.0
noam dworman louis,2.0,0.004,2.0,0.003
matt lauer louis,2.0,0.004,3.0,0.006
matt lauer comedian,2.0,0.004,0.0,0.0
louis's unprofessional inappropriate,2.0,0.004,0.0,0.0
