term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,7.0,0.382036685642,5.0,0.305439330544
Netflix,3.0,0.175838077166,1.0,0.0376569037657
HBO,3.0,0.130297280202,1.0,0.0376569037657
Times,2.0,0.10056925996200002,1.0,0.0585774058577
Senate,2.0,0.0980392156863,4.0,0.225941422594
NBC,2.0,0.09677419354839999,3.0,0.15062761506300001
Washington Post,2.0,0.0923466160658,3.0,0.188284518828
CBS,2.0,0.0815939278937,2.0,0.09623430962339999
CNN,2.0,0.0702087286528,3.0,0.175732217573
White House,1.0,0.0613535736875,4.0,0.234309623431
Amazon,1.0,0.056925996204900006,1.0,0.06276150627619999
Facebook,1.0,0.0531309297913,2.0,0.11715481171499999
Congress,1.0,0.0531309297913,4.0,0.217573221757
FX,1.0,0.0512333965844,0.0,0.0
Fox News,1.0,0.0480708412397,10.0,0.6359832635980001
ABC,1.0,0.04743833017080001,2.0,0.0836820083682
Supreme Court,1.0,0.044275774826100005,4.0,0.196652719665
GOP,1.0,0.036685641998699996,2.0,0.0836820083682
House,1.0,0.036685641998699996,2.0,0.12133891213400001
NBC News,1.0,0.0347881087919,1.0,0.05439330543930001
Vox,1.0,0.0347881087919,1.0,0.06276150627619999
Disney,1.0,0.034155597722999996,1.0,0.0209205020921
PBS,1.0,0.0316255534472,1.0,0.0209205020921
MSNBC,1.0,0.0297280202404,1.0,0.050209205020900004
AP,1.0,0.0290955091714,1.0,0.06276150627619999
FBI,1.0,0.0284629981025,2.0,0.0669456066946
NPR,1.0,0.0284629981025,1.0,0.0460251046025
Amazon Studios,1.0,0.027197975964599996,1.0,0.050209205020900004
Reuters,1.0,0.024667931688799997,1.0,0.029288702928900002
Google,1.0,0.024667931688799997,1.0,0.0209205020921
Los Angeles Times,1.0,0.024667931688799997,1.0,0.0251046025105
Associated Press,1.0,0.024035420619900005,1.0,0.0209205020921
Alabama Senate,1.0,0.022770398482,1.0,0.0125523012552
YouTube,1.0,0.022137887412999997,1.0,0.0125523012552
NFL,1.0,0.022137887412999997,1.0,0.0334728033473
Showtime,1.0,0.022137887412999997,1.0,0.0167364016736
ABC News,1.0,0.021505376344099998,1.0,0.0209205020921
Trump,1.0,0.0208728652751,1.0,0.0585774058577
Post,1.0,0.0202403542062,1.0,0.0209205020921
Time,1.0,0.0202403542062,1.0,0.0167364016736
CBS News,1.0,0.019607843137299998,1.0,0.050209205020900004
C.K.,1.0,0.019607843137299998,0.0,0.0
Justice Department,1.0,0.018975332068300002,1.0,0.0460251046025
Senate Judiciary Committee,1.0,0.018975332068300002,1.0,0.06276150627619999
Warner Bros.,1.0,0.0177103099304,0.0,0.0
USA TODAY,1.0,0.0177103099304,1.0,0.0334728033473
FX Networks,1.0,0.0177103099304,0.0,0.0
Pixar,1.0,0.017077798861499998,1.0,0.00836820083682
Vanity Fair,1.0,0.017077798861499998,1.0,0.0251046025105
Bloomberg,1.0,0.0164452877925,1.0,0.0125523012552
U.S. Senate,1.0,0.0164452877925,0.0,0.0
Ford,1.0,0.0164452877925,1.0,0.0460251046025
TBS,1.0,0.0158127767236,0.0,0.0
Weinstein Co.,1.0,0.0151802656546,1.0,0.0251046025105
Weinstein Company,1.0,0.0145477545857,1.0,0.0209205020921
Hollywood,1.0,0.013915243516799998,0.0,0.0
AMC,1.0,0.013915243516799998,0.0,0.0
AT&T,1.0,0.013282732447799999,1.0,0.00836820083682
Republican Party,1.0,0.013282732447799999,1.0,0.0418410041841
Republican,1.0,0.0126502213789,1.0,0.0334728033473
BBC,1.0,0.0126502213789,1.0,0.00836820083682
Democratic Party,1.0,0.012017710309899999,1.0,0.0251046025105
LAPD,1.0,0.012017710309899999,1.0,0.00836820083682
Harvard,1.0,0.011385199241,1.0,0.0125523012552
Sony,1.0,0.011385199241,0.0,0.0
ESPN,1.0,0.011385199241,1.0,0.00836820083682
Capitol Hill,1.0,0.011385199241,1.0,0.0376569037657
the Times,1.0,0.011385199241,0.0,0.0
BuzzFeed News,1.0,0.011385199241,1.0,0.0125523012552
Facebook post,1.0,0.010752688172,1.0,0.029288702928900002
Miramax,1.0,0.010752688172,1.0,0.00836820083682
Warner Bros,1.0,0.010752688172,0.0,0.0
New York Post,1.0,0.010752688172,0.0,0.0
FX Productions,1.0,0.010752688172,0.0,0.0
Time magazine,1.0,0.0101201771031,0.0,0.0
Trump administration,1.0,0.0101201771031,1.0,0.0334728033473
Orient Express,1.0,0.0101201771031,0.0,0.0
Los Angeles Police Department,1.0,0.0101201771031,1.0,0.00836820083682
Rolling Stone,1.0,0.0101201771031,0.0,0.0
Time Warner,1.0,0.0101201771031,1.0,0.00836820083682
Academy of Motion Picture Arts and Sciences,1.0,0.0101201771031,1.0,0.0209205020921
Politico,1.0,0.00948766603416,1.0,0.0209205020921
house,1.0,0.00885515496521,0.0,0.0
Wall Street Journal,1.0,0.00885515496521,1.0,0.050209205020900004
Tiffany,1.0,0.00885515496521,0.0,0.0
NRA,1.0,0.008222643896270001,0.0,0.0
Apple,1.0,0.008222643896270001,0.0,0.0
UCLA,1.0,0.008222643896270001,1.0,0.0125523012552
CW,1.0,0.008222643896270001,0.0,0.0
WNYC,1.0,0.008222643896270001,0.0,0.0
Universal Pictures,1.0,0.008222643896270001,0.0,0.0
