term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,6.0,0.382036685642,5.0,0.314417177914
Netflix,3.0,0.175838077166,1.0,0.023773006135
HBO,2.0,0.130297280202,1.0,0.029141104294500002
Times,2.0,0.10056925996200002,1.0,0.07208588957060001
Senate,2.0,0.0980392156863,2.0,0.141104294479
NBC,2.0,0.09677419354839999,3.0,0.19095092024500002
Washington Post,2.0,0.0923466160658,3.0,0.15490797545999999
CBS,2.0,0.0815939278937,2.0,0.09815950920250001
CNN,1.0,0.0702087286528,3.0,0.19861963190200002
White House,1.0,0.0613535736875,4.0,0.278374233129
Amazon,1.0,0.056925996204900006,1.0,0.0329754601227
Facebook,1.0,0.0531309297913,2.0,0.0759202453988
Congress,1.0,0.0531309297913,2.0,0.132668711656
FX,1.0,0.0512333965844,0.0,0.0
Fox News,1.0,0.0480708412397,10.0,0.734662576687
ABC,1.0,0.04743833017080001,1.0,0.062116564417199996
Supreme Court,1.0,0.044275774826100005,2.0,0.102760736196
GOP,1.0,0.036685641998699996,2.0,0.0789877300613
House,1.0,0.036685641998699996,2.0,0.0751533742331
NBC News,1.0,0.0347881087919,2.0,0.102760736196
Vox,1.0,0.0347881087919,1.0,0.0260736196319
Disney,1.0,0.034155597722999996,1.0,0.036042944785300006
PBS,1.0,0.0316255534472,1.0,0.020705521472400002
MSNBC,1.0,0.0297280202404,2.0,0.0812883435583
AP,1.0,0.0290955091714,1.0,0.058282208589000004
FBI,1.0,0.0284629981025,2.0,0.08282208588960001
NPR,1.0,0.0284629981025,1.0,0.046012269938699994
Amazon Studios,1.0,0.027197975964599996,1.0,0.0199386503067
Reuters,1.0,0.024667931688799997,1.0,0.0375766871166
Google,1.0,0.024667931688799997,1.0,0.0230061349693
Los Angeles Times,1.0,0.024667931688799997,1.0,0.0199386503067
Associated Press,1.0,0.024035420619900005,1.0,0.045245398772999997
Alabama Senate,1.0,0.022770398482,1.0,0.019171779141099996
YouTube,1.0,0.022137887412999997,1.0,0.009969325153370002
NFL,1.0,0.022137887412999997,1.0,0.018404907975500002
Showtime,1.0,0.022137887412999997,1.0,0.020705521472400002
ABC News,1.0,0.021505376344099998,1.0,0.0276073619632
Trump,1.0,0.0208728652751,2.0,0.07822085889569999
Post,1.0,0.0202403542062,1.0,0.034509202454
Time,1.0,0.0202403542062,1.0,0.0076687116564399995
CBS News,1.0,0.019607843137299998,1.0,0.0513803680982
C.K.,1.0,0.019607843137299998,0.0,0.0
Justice Department,1.0,0.018975332068300002,1.0,0.0429447852761
Senate Judiciary Committee,1.0,0.018975332068300002,1.0,0.0283742331288
Warner Bros.,1.0,0.0177103099304,0.0,0.0
USA TODAY,1.0,0.0177103099304,1.0,0.0161042944785
FX Networks,1.0,0.0177103099304,0.0,0.0
Pixar,1.0,0.017077798861499998,1.0,0.00460122699387
Vanity Fair,1.0,0.017077798861499998,1.0,0.0429447852761
Bloomberg,1.0,0.0164452877925,1.0,0.029907975460099996
U.S. Senate,1.0,0.0164452877925,1.0,0.013036809816
