term,a1_bin,a1_perc,a2_bin,a2_perc
louis,10.0,0.995,1.0,0.003
misconduct,3.0,0.2,1.0,0.049
comedian,2.0,0.19899999999999998,1.0,0.002
allegations,2.0,0.158,2.0,0.158
ck,2.0,0.129,1.0,0.002
masturbating,1.0,0.09300000000000001,0.0,0.0
weinstein,1.0,0.08800000000000001,1.0,0.044000000000000004
spacey,1.0,0.075,1.0,0.003
kevin,1.0,0.071,1.0,0.005
harassment,1.0,0.068,4.0,0.3
harvey,1.0,0.062,1.0,0.028999999999999998
daddy,1.0,0.057,0.0,0.0
fx,1.0,0.053,0.0,0.0
accusations,1.0,0.051,1.0,0.036000000000000004
canceled,1.0,0.049,0.0,0.0
lauer,1.0,0.039,1.0,0.013999999999999999
matt,1.0,0.038,1.0,0.008
netflix,1.0,0.035,0.0,0.0
charlie,1.0,0.035,1.0,0.009000000000000001
stand-up,1.0,0.032,0.0,0.0
franken,1.0,0.032,1.0,0.005
roseanne,1.0,0.031,1.0,0.001
scandal,1.0,0.027999999999999997,1.0,0.046
premiere,1.0,0.027000000000000003,0.0,0.0
hbo,1.0,0.027000000000000003,0.0,0.0
moore,1.0,0.026000000000000002,1.0,0.023
roy,1.0,0.025,1.0,0.02
producer,1.0,0.024,1.0,0.013999999999999999
stewart,1.0,0.023,1.0,0.001
barr,1.0,0.023,0.0,0.0
comic,1.0,0.022000000000000002,0.0,0.0
abuse,1.0,0.022000000000000002,1.0,0.019
john,1.0,0.021,1.0,0.015
james,1.0,0.021,1.0,0.005
writer,1.0,0.02,1.0,0.003
rumors,1.0,0.02,0.0,0.0
macdonald,1.0,0.02,0.0,0.0
careers,1.0,0.02,1.0,0.005
apologized,1.0,0.02,0.0,0.0
admitting,1.0,0.02,0.0,0.0
ratner,1.0,0.019,1.0,0.001
brett,1.0,0.019,1.0,0.005
becky,1.0,0.019,0.0,0.0
tweet,1.0,0.018000000000000002,0.0,0.0
toback,1.0,0.018000000000000002,1.0,0.003
louie,1.0,0.018000000000000002,0.0,0.0
inappropriate,1.0,0.018000000000000002,1.0,0.008
publicist,1.0,0.017,0.0,0.0
colbert,1.0,0.017,0.0,0.0
victims,1.0,0.016,1.0,0.008
jon,1.0,0.016,0.0,0.0
jokes,1.0,0.016,1.0,0.002
dave,1.0,0.016,0.0,0.0
dave,1.0,0.002,0.0,0.0
adlon,1.0,0.016,0.0,0.0
ties,1.0,0.015,1.0,0.003
assault,1.0,0.015,1.0,0.015
performs,1.0,0.013999999999999999,0.0,0.0
kay,1.0,0.013999999999999999,0.0,0.0
cosby,1.0,0.013999999999999999,1.0,0.027999999999999997
consent,1.0,0.013999999999999999,0.0,0.0
comeback,1.0,0.013999999999999999,0.0,0.0
tv,1.0,0.013000000000000001,1.0,0.017
stephen,1.0,0.013000000000000001,1.0,0.003
scrapped,1.0,0.013000000000000001,0.0,0.0
pamela,1.0,0.013000000000000001,0.0,0.0
hotel,1.0,0.012,1.0,0.002
actress,1.0,0.012,0.0,0.0
acknowledged,1.0,0.012,0.0,0.0
norm,1.0,0.011000000000000001,0.0,0.0
media,1.0,0.011000000000000001,1.0,0.044000000000000004
celebrities,1.0,0.011000000000000001,0.0,0.0
ansari,1.0,0.011000000000000001,0.0,0.0
upcoming,1.0,0.01,1.0,0.005
revelations,1.0,0.01,1.0,0.006999999999999999
responds,1.0,0.01,0.0,0.0
reportedly,1.0,0.01,1.0,0.032
rebecca,1.0,0.01,0.0,0.0
nbc,1.0,0.01,1.0,0.017
high-profile,1.0,0.01,1.0,0.013000000000000001
