term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.531034482759,2.0,0.0814814814815
Congress,9.0,0.44655172413800004,2.0,0.05481481481480001
House,6.0,0.26724137930999997,1.0,0.029629629629599998
New York Times,5.0,0.24310344827599997,4.0,0.174814814815
White House,5.0,0.227586206897,2.0,0.0637037037037
GOP,4.0,0.208620689655,1.0,0.0385185185185
Washington Post,4.0,0.206896551724,2.0,0.08
Supreme Court,3.0,0.156896551724,3.0,0.134814814815
CNN,3.0,0.155172413793,2.0,0.077037037037
Fox News,3.0,0.12413793103399999,2.0,0.100740740741
NBC,3.0,0.110344827586,2.0,0.077037037037
Democratic Party,2.0,0.09655172413789999,1.0,0.008888888888889999
AP,2.0,0.0844827586207,2.0,0.09925925925930001
Facebook,2.0,0.0827586206897,2.0,0.0637037037037
Trump,2.0,0.0827586206897,1.0,0.020740740740700002
Alabama Senate,2.0,0.07931034482760001,1.0,0.004444444444439999
Republican,2.0,0.0741379310345,1.0,0.014814814814799999
FBI,2.0,0.0741379310345,1.0,0.04296296296299999
Republican Party,2.0,0.0741379310345,1.0,0.007407407407409999
Capitol Hill,2.0,0.07241379310339999,1.0,0.0251851851852
Senate Judiciary Committee,2.0,0.07068965517239999,1.0,0.0503703703704
NBC News,2.0,0.0689655172414,1.0,0.037037037037
Ford,2.0,0.0620689655172,2.0,0.05481481481480001
Times,2.0,0.060344827586199995,1.0,0.0281481481481
CBS,2.0,0.0586206896552,2.0,0.0651851851852
Politico,2.0,0.0586206896552,1.0,0.0162962962963
House of Representatives,2.0,0.0568965517241,0.0,0.0
MSNBC,2.0,0.0551724137931,1.0,0.026666666666700003
Associated Press,1.0,0.05,3.0,0.10962962962999999
Vox,1.0,0.05,1.0,0.0192592592593
Justice Department,1.0,0.048275862068999996,1.0,0.022222222222199998
Democratic,1.0,0.0431034482759,1.0,0.004444444444439999
U.S. Senate,1.0,0.0431034482759,1.0,0.007407407407409999
PBS,1.0,0.0431034482759,1.0,0.008888888888889999
Republican National Committee,1.0,0.041379310344800004,1.0,0.008888888888889999
Reuters,1.0,0.037931034482800004,2.0,0.100740740741
Harvard,1.0,0.036206896551699994,1.0,0.0192592592593
Democratic National Committee,1.0,0.036206896551699994,1.0,0.004444444444439999
Wall Street Journal,1.0,0.036206896551699994,1.0,0.0177777777778
Temple University,1.0,0.036206896551699994,6.0,0.26962962963000003
House Ethics Committee,1.0,0.036206896551699994,0.0,0.0
Google,1.0,0.0344827586207,1.0,0.0237037037037
Post,1.0,0.0344827586207,1.0,0.008888888888889999
Bloomberg,1.0,0.0327586206897,1.0,0.007407407407409999
Amazon,1.0,0.0327586206897,1.0,0.0162962962963
ABC,1.0,0.0310344827586,1.0,0.044444444444399996
KABC,1.0,0.0310344827586,0.0,0.0
Senate Ethics Committee,1.0,0.0310344827586,1.0,0.004444444444439999
Time,1.0,0.0310344827586,1.0,0.0355555555556
Time magazine,1.0,0.0293103448276,1.0,0.004444444444439999
Trump administration,1.0,0.0293103448276,1.0,0.0162962962963
State,1.0,0.0293103448276,1.0,0.0059259259259300005
Medicare,1.0,0.0293103448276,0.0,0.0
NFL,1.0,0.0293103448276,1.0,0.0177777777778
Judiciary Committee,1.0,0.0293103448276,1.0,0.0192592592593
RNC,1.0,0.0293103448276,0.0,0.0
State Department,1.0,0.027586206896599998,1.0,0.013333333333299998
EEOC,1.0,0.027586206896599998,1.0,0.007407407407409999
CBS News,1.0,0.0258620689655,1.0,0.020740740740700002
United Nations,1.0,0.0258620689655,1.0,0.011851851851899999
DNC,1.0,0.024137931034499998,0.0,0.0
Weinstein Co.,1.0,0.024137931034499998,1.0,0.008888888888889999
Amazon Studios,1.0,0.024137931034499998,1.0,0.0192592592593
Pentagon,1.0,0.0224137931034,1.0,0.008888888888889999
Facebook post,1.0,0.0224137931034,1.0,0.007407407407409999
Netflix,1.0,0.0224137931034,2.0,0.0562962962963
Vanity Fair,1.0,0.0224137931034,1.0,0.0162962962963
POLITICO,1.0,0.0224137931034,0.0,0.0
CIA,1.0,0.020689655172400002,1.0,0.011851851851899999
house,1.0,0.020689655172400002,1.0,0.007407407407409999
ABC News,1.0,0.020689655172400002,1.0,0.022222222222199998
NPR,1.0,0.020689655172400002,1.0,0.014814814814799999
ESPN,1.0,0.020689655172400002,1.0,0.0059259259259300005
House Judiciary Committee,1.0,0.018965517241400002,1.0,0.004444444444439999
Disney,1.0,0.018965517241400002,1.0,0.0059259259259300005
US Senate,1.0,0.018965517241400002,0.0,0.0
USA TODAY,1.0,0.018965517241400002,1.0,0.0162962962963
Al Franken,1.0,0.018965517241400002,0.0,0.0
House Administration Committee,1.0,0.0172413793103,0.0,0.0
U.N.,1.0,0.0172413793103,1.0,0.011851851851899999
Leeds,1.0,0.0172413793103,0.0,0.0
Rutgers,1.0,0.0172413793103,0.0,0.0
DOJ,1.0,0.0172413793103,0.0,0.0
legislature,1.0,0.0172413793103,0.0,0.0
Los Angeles Times,1.0,0.0172413793103,1.0,0.0251851851852
Huffington Post,1.0,0.0172413793103,0.0,0.0
UCLA,1.0,0.0172413793103,0.0,0.0
GOP Senate,1.0,0.0172413793103,0.0,0.0
Dartmouth,1.0,0.0172413793103,0.0,0.0
Gallup,1.0,0.0172413793103,0.0,0.0
USA Gymnastics,1.0,0.0172413793103,1.0,0.014814814814799999
Twitter,1.0,0.0155172413793,1.0,0.0059259259259300005
Navy,1.0,0.0155172413793,1.0,0.0103703703704
DCCC,1.0,0.0155172413793,1.0,0.004444444444439999
Apple,1.0,0.0155172413793,0.0,0.0
Playboy,1.0,0.0155172413793,1.0,0.004444444444439999
New York Post,1.0,0.0155172413793,1.0,0.013333333333299998
Quinnipiac,1.0,0.0155172413793,0.0,0.0
Trump University,1.0,0.0155172413793,0.0,0.0
Equal Employment Opportunity Commission,1.0,0.0155172413793,1.0,0.004444444444439999
Yale,1.0,0.013793103448299999,1.0,0.0251851851852
state,1.0,0.013793103448299999,1.0,0.007407407407409999
Treasury,1.0,0.013793103448299999,1.0,0.004444444444439999
Democratic Congressional Campaign Committee,1.0,0.013793103448299999,0.0,0.0
Stanford,1.0,0.013793103448299999,1.0,0.0059259259259300005
NRA,1.0,0.013793103448299999,1.0,0.0059259259259300005
HBO,1.0,0.013793103448299999,1.0,0.0237037037037
Boston Globe,1.0,0.013793103448299999,1.0,0.007407407407409999
National Rifle Association,1.0,0.013793103448299999,0.0,0.0
ethics committee,1.0,0.013793103448299999,0.0,0.0
MoveOn.org,1.0,0.013793103448299999,0.0,0.0
Sandy Hook Elementary School,1.0,0.013793103448299999,0.0,0.0
Medicaid,1.0,0.013793103448299999,0.0,0.0
BuzzFeed News,1.0,0.013793103448299999,1.0,0.011851851851899999
SKDKnickerbocker,1.0,0.013793103448299999,0.0,0.0
National Institute for Reproductive Health,1.0,0.013793103448299999,0.0,0.0
Johns Hopkins University School of Nursing,1.0,0.013793103448299999,0.0,0.0
N.I.R.H.,1.0,0.013793103448299999,0.0,0.0
F.B.I.,1.0,0.0120689655172,1.0,0.0059259259259300005
Senate Intelligence Committee,1.0,0.0120689655172,1.0,0.004444444444439999
House GOP,1.0,0.0120689655172,0.0,0.0
House Intelligence Committee,1.0,0.0120689655172,1.0,0.004444444444439999
University of Virginia,1.0,0.0120689655172,1.0,0.007407407407409999
New York,1.0,0.0120689655172,1.0,0.007407407407409999
FEMA,1.0,0.0120689655172,1.0,0.004444444444439999
Republican party,1.0,0.0120689655172,0.0,0.0
Weinstein Company,1.0,0.0120689655172,1.0,0.0177777777778
Democratic House,1.0,0.0120689655172,0.0,0.0
Trump White House,1.0,0.0120689655172,1.0,0.004444444444439999
New Yorker,1.0,0.0120689655172,1.0,0.014814814814799999
Rutgers University,1.0,0.0120689655172,0.0,0.0
Detroit Free Press,1.0,0.0120689655172,0.0,0.0
Committee,1.0,0.0120689655172,0.0,0.0
Ethics Committee,1.0,0.0120689655172,0.0,0.0
Blake Farenthold,1.0,0.0120689655172,0.0,0.0
USO,1.0,0.0120689655172,0.0,0.0
Alabama senate,1.0,0.0120689655172,0.0,0.0
Treasury Department,1.0,0.010344827586200001,0.0,0.0
Defense,1.0,0.010344827586200001,1.0,0.007407407407409999
Democrats,1.0,0.010344827586200001,1.0,0.0029629629629600003
senate,1.0,0.010344827586200001,1.0,0.0029629629629600003
Catholic,1.0,0.010344827586200001,1.0,0.008888888888889999
U.S. Supreme Court,1.0,0.010344827586200001,1.0,0.0162962962963
DHS,1.0,0.010344827586200001,1.0,0.004444444444439999
Newsweek,1.0,0.010344827586200001,1.0,0.014814814814799999
PAC,1.0,0.010344827586200001,0.0,0.0
USA Today,1.0,0.010344827586200001,1.0,0.0177777777778
Ohio State University,1.0,0.010344827586200001,1.0,0.0059259259259300005
NRCC,1.0,0.010344827586200001,0.0,0.0
WaPo,1.0,0.010344827586200001,0.0,0.0
solidarity,1.0,0.010344827586200001,1.0,0.0059259259259300005
HGTV star Carter Oosterhouse,1.0,0.010344827586200001,0.0,0.0
Goldman Sachs,1.0,0.00862068965517,0.0,0.0
OMB,1.0,0.00862068965517,0.0,0.0
NATO,1.0,0.00862068965517,1.0,0.0059259259259300005
Department of Justice,1.0,0.00862068965517,1.0,0.008888888888889999
Trump associates,1.0,0.00862068965517,1.0,0.0029629629629600003
Columbia University,1.0,0.00862068965517,1.0,0.0059259259259300005
Defense Department,1.0,0.00862068965517,1.0,0.004444444444439999
ACLU,1.0,0.00862068965517,1.0,0.0059259259259300005
National Organization for Women,1.0,0.00862068965517,1.0,0.0103703703704
U.S. Court of Appeals,1.0,0.00862068965517,0.0,0.0
national party,1.0,0.00862068965517,0.0,0.0
Harvard Law School,1.0,0.00862068965517,0.0,0.0
Mar-a-Lago,1.0,0.00862068965517,1.0,0.004444444444439999
Interior Department,1.0,0.00862068965517,0.0,0.0
New York University,1.0,0.00862068965517,1.0,0.004444444444439999
Army,1.0,0.00862068965517,0.0,0.0
Breitbart News,1.0,0.00862068965517,1.0,0.0059259259259300005
NFL Network,1.0,0.00862068965517,0.0,0.0
Yale University,1.0,0.00862068965517,1.0,0.008888888888889999
Federal Election Commission,1.0,0.00862068965517,0.0,0.0
Time Inc.,1.0,0.00862068965517,0.0,0.0
Quinnipiac University,1.0,0.00862068965517,1.0,0.007407407407409999
Veritas,1.0,0.00862068965517,0.0,0.0
