term,a1_bin,a1_perc,a2_bin,a2_perc
allegations,4.0,0.27699999999999997,2.0,0.08900000000000001
franken,3.0,0.22399999999999998,1.0,0.005
trump,2.0,0.107,1.0,0.011000000000000001
democrats,2.0,0.107,1.0,0.004
harassment,2.0,0.098,1.0,0.033
misconduct,1.0,0.08,1.0,0.035
resign,1.0,0.071,0.0,0.0
senate,1.0,0.068,1.0,0.003
accusations,1.0,0.066,0.0,0.0
weinstein,1.0,0.055,1.0,0.040999999999999995
republican,1.0,0.055,0.0,0.0
moore,1.0,0.055,1.0,0.004
assault,1.0,0.049,3.0,0.21600000000000003
alabama,1.0,0.038,0.0,0.0
campaign,1.0,0.034,1.0,0.006999999999999999
clinton,1.0,0.032,1.0,0.005
media,1.0,0.03,1.0,0.021
groping,1.0,0.03,0.0,0.0
gillibrand,1.0,0.028999999999999998,0.0,0.0
roy,1.0,0.027999999999999997,1.0,0.003
minnesota,1.0,0.026000000000000002,0.0,0.0
kavanaugh,1.0,0.025,1.0,0.012
allen,1.0,0.025,1.0,0.002
photo,1.0,0.024,1.0,0.006
congress,1.0,0.024,0.0,0.0
kissed,1.0,0.021,0.0,0.0
harvey,1.0,0.021,1.0,0.028999999999999998
donald,1.0,0.021,1.0,0.004
abuse,1.0,0.021,1.0,0.028999999999999998
election,1.0,0.019,0.0,0.0
d-minn,1.0,0.019,0.0,0.0
american,1.0,0.019,1.0,0.006999999999999999
apologize,1.0,0.017,0.0,0.0
women's,1.0,0.015,1.0,0.021
washington,1.0,0.015,1.0,0.002
tweeden,1.0,0.013999999999999999,0.0,0.0
ford,1.0,0.013999999999999999,1.0,0.002
cosby,1.0,0.013999999999999999,10.0,0.877
conyers,1.0,0.013999999999999999,0.0,0.0
supreme,1.0,0.013000000000000001,1.0,0.005
judge,1.0,0.013000000000000001,1.0,0.05
investigate,1.0,0.013000000000000001,0.0,0.0
inappropriate,1.0,0.013000000000000001,0.0,0.0
victims,1.0,0.012,1.0,0.034
tweeted,1.0,0.012,0.0,0.0
president's,1.0,0.012,0.0,0.0
tax,1.0,0.011000000000000001,0.0,0.0
supporters,1.0,0.011000000000000001,1.0,0.005
schneiderman,1.0,0.011000000000000001,0.0,0.0
matt,1.0,0.011000000000000001,1.0,0.008
calling,1.0,0.011000000000000001,1.0,0.004
spacey,1.0,0.01,1.0,0.004
smith,1.0,0.01,0.0,0.0
sexually,1.0,0.01,1.0,0.055
scandal,1.0,0.01,0.0,0.0
sanders,1.0,0.01,0.0,0.0
presidential,1.0,0.01,0.0,0.0
photograph,1.0,0.01,0.0,0.0
nominee,1.0,0.01,0.0,0.0
kirsten,1.0,0.01,0.0,0.0
jordan,1.0,0.01,0.0,0.0
gop,1.0,0.01,1.0,0.002
farrow,1.0,0.01,0.0,0.0
denies,1.0,0.01,0.0,0.0
conservative,1.0,0.01,1.0,0.002
unwanted,1.0,0.009000000000000001,1.0,0.001
rape,1.0,0.009000000000000001,0.0,0.0
lawmakers,1.0,0.009000000000000001,1.0,0.004
lauer,1.0,0.009000000000000001,1.0,0.006999999999999999
kevin,1.0,0.009000000000000001,1.0,0.006999999999999999
jones,1.0,0.009000000000000001,0.0,0.0
franks,1.0,0.009000000000000001,0.0,0.0
dylan,1.0,0.009000000000000001,0.0,0.0
woody,1.0,0.008,1.0,0.002
united,1.0,0.008,1.0,0.003
reporting,1.0,0.008,0.0,0.0
reckoning,1.0,0.008,1.0,0.005
professor,1.0,0.008,1.0,0.006
producer,1.0,0.008,1.0,0.005
nbc,1.0,0.008,1.0,0.002
leeann,1.0,0.008,0.0,0.0
john,1.0,0.008,1.0,0.002
capitol,1.0,0.008,1.0,0.002
aide,1.0,0.008,0.0,0.0
acknowledged,1.0,0.008,1.0,0.003
university,1.0,0.006999999999999999,1.0,0.034
rally,1.0,0.006999999999999999,1.0,0.003
paul,1.0,0.006999999999999999,0.0,0.0
leader,1.0,0.006999999999999999,1.0,0.002
incidents,1.0,0.006999999999999999,1.0,0.006999999999999999
immigration,1.0,0.006999999999999999,0.0,0.0
hashtag,1.0,0.006999999999999999,1.0,0.011000000000000001
focused,1.0,0.006999999999999999,0.0,0.0
feminist,1.0,0.006999999999999999,0.0,0.0
denial,1.0,0.006999999999999999,0.0,0.0
credible,1.0,0.006999999999999999,0.0,0.0
comedian,1.0,0.006999999999999999,1.0,0.067
celebrity,1.0,0.006999999999999999,1.0,0.028999999999999998
america's,1.0,0.006999999999999999,1.0,0.033
