term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.705172413793,10.0,0.7125
crime and criminals,9.0,0.5965517241380001,10.0,0.677678571429
sex crimes,9.0,0.58275862069,10.0,0.6508928571429999
women,7.0,0.45862068965499997,4.0,0.26607142857099997
united states politics and government,6.0,0.420689655172,6.0,0.402678571429
ethics,4.0,0.27413793103399997,2.0,0.09910714285710001
elections,4.0,0.255172413793,3.0,0.160714285714
sexual harassment,4.0,0.22413793103399998,1.0,0.03125
biographical information,2.0,0.0931034482759,1.0,0.0678571428571
news and news media,2.0,0.0862068965517,1.0,0.051785714285699995
"suspensions, dismissals and resignations",2.0,0.0844827586207,1.0,0.00892857142857
television,1.0,0.0689655172414,1.0,0.0348214285714
law and legislation,1.0,0.0655172413793,1.0,0.0303571428571
finances,1.0,0.0655172413793,1.0,0.0258928571429
media,1.0,0.0637931034483,1.0,0.0339285714286
motion pictures,1.0,0.051724137931,1.0,0.015178571428600001
presidents and presidency (us),1.0,0.051724137931,1.0,0.0232142857143
labor,1.0,0.048275862068999996,1.0,0.0116071428571
discrimination,1.0,0.0431034482759,1.0,0.0330357142857
suits and litigation,1.0,0.041379310344800004,1.0,0.0366071428571
computers and the internet,1.0,0.0310344827586,1.0,0.0303571428571
books and literature,1.0,0.0258620689655,1.0,0.017857142857099998
medicine and health,1.0,0.0258620689655,1.0,0.0258928571429
"armament, defense and military forces",1.0,0.0258620689655,0.0,0.0
election issues,1.0,0.0224137931034,1.0,0.00892857142857
decisions and verdicts,1.0,0.020689655172400002,1.0,0.0125
education and schools,1.0,0.018965517241400002,2.0,0.08928571428570001
presidential elections (us),1.0,0.018965517241400002,1.0,0.0107142857143
sex,1.0,0.0172413793103,0.0,0.0
blacks,1.0,0.0155172413793,1.0,0.0223214285714
public opinion,1.0,0.0155172413793,1.0,0.0125
primaries,1.0,0.0155172413793,0.0,0.0
governors (us),1.0,0.0155172413793,0.0,0.0
editorials,1.0,0.0155172413793,1.0,0.00446428571429
united states armament and defense,1.0,0.013793103448299999,0.0,0.0
international relations,1.0,0.013793103448299999,1.0,0.0169642857143
appointments and executive changes,1.0,0.0120689655172,2.0,0.126785714286
reviews,1.0,0.0120689655172,1.0,0.00446428571429
united states international relations,1.0,0.0120689655172,1.0,0.00803571428571
impeachment,1.0,0.0120689655172,0.0,0.0
legislatures and parliaments,1.0,0.0120689655172,0.0,0.0
demonstrations and riots,1.0,0.0120689655172,1.0,0.015178571428600001
child abuse and neglect,1.0,0.0120689655172,1.0,0.0107142857143
taxation,1.0,0.010344827586200001,0.0,0.0
terrorism,1.0,0.010344827586200001,1.0,0.00625
advertising and marketing,1.0,0.00862068965517,1.0,0.0107142857143
homosexuality,1.0,0.00862068965517,1.0,0.00803571428571
colleges and universities,1.0,0.00862068965517,1.0,0.019642857142900004
prostitution,1.0,0.0068965517241400005,0.0,0.0
radio,1.0,0.0068965517241400005,0.0,0.0
children and youth,1.0,0.0068965517241400005,1.0,0.0258928571429
sentences (criminal),1.0,0.0068965517241400005,1.0,0.019642857142900004
courts,1.0,0.0068965517241400005,1.0,0.03125
abortion,1.0,0.0051724137931000004,1.0,0.017857142857099998
presidential election of 2008,1.0,0.0051724137931000004,0.0,0.0
united states economy,1.0,0.0051724137931000004,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.0051724137931000004,0.0,0.0
judges,0.0,0.0,1.0,0.0214285714286
basketball,0.0,0.0,1.0,0.0116071428571
hurricanes and tropical storms,0.0,0.0,1.0,0.00892857142857
murders and attempted murders,0.0,0.0,1.0,0.00714285714286
religion and churches,0.0,0.0,1.0,0.00625
christians and christianity,0.0,0.0,1.0,0.00535714285714
drug abuse and traffic,0.0,0.0,1.0,0.00535714285714
legal profession,0.0,0.0,1.0,0.00535714285714
privacy,0.0,0.0,1.0,0.00446428571429
political advertising,0.0,0.0,1.0,0.00446428571429
freedom and human rights,0.0,0.0,1.0,0.00446428571429
