term,a1_bin,a1_perc,a2_bin,a2_perc
roy moore,2.0,0.027999999999999997,1.0,0.012
weinstein allegations,1.0,0.023,1.0,0.001
franken d-minn,1.0,0.02,0.0,0.0
misconduct allegations,1.0,0.015,1.0,0.005
misconduct weinstein,1.0,0.013000000000000001,0.0,0.0
allegations misconduct,1.0,0.013000000000000001,1.0,0.008
harassment assault,1.0,0.011000000000000001,1.0,0.02
donald trump,1.0,0.011000000000000001,1.0,0.023
kevin spacey,1.0,0.01,1.0,0.006
harvey weinstein,1.0,0.01,3.0,0.059000000000000004
matt lauer,1.0,0.009000000000000001,1.0,0.008
kirsten gillibrand,1.0,0.009000000000000001,1.0,0.005
harassment allegations,1.0,0.009000000000000001,1.0,0.011000000000000001
franken resign,1.0,0.009000000000000001,0.0,0.0
allegations harassment,1.0,0.009000000000000001,1.0,0.006999999999999999
leeann tweeden,1.0,0.008,0.0,0.0
doug jones,1.0,0.008,0.0,0.0
assault allegations,1.0,0.008,1.0,0.004
senate democrats,1.0,0.006999999999999999,0.0,0.0
john conyers,1.0,0.006999999999999999,1.0,0.002
alabama senate,1.0,0.006999999999999999,0.0,0.0
woody allen,1.0,0.006,1.0,0.001
sexually harassed,1.0,0.006,1.0,0.011000000000000001
senate roy,1.0,0.006,1.0,0.004
republican roy,1.0,0.006,0.0,0.0
franken's resignation,1.0,0.006,0.0,0.0
brett kavanaugh,1.0,0.006,1.0,0.003
accusations misconduct,1.0,0.006,0.0,0.0
rehearse kiss,1.0,0.005,0.0,0.0
photo franken,1.0,0.005,0.0,0.0
harassment weinstein,1.0,0.005,0.0,0.0
franken groped,1.0,0.005,0.0,0.0
democratic senators,1.0,0.005,0.0,0.0
democrat doug,1.0,0.005,0.0,0.0
alleged misconduct,1.0,0.005,1.0,0.002
alleged incidents,1.0,0.005,0.0,0.0
allegations surfaced,1.0,0.005,0.0,0.0
allegations cosby,1.0,0.005,1.0,0.002
allegations assault,1.0,0.005,0.0,0.0
supreme nominee,1.0,0.004,1.0,0.001
sharyn alfonsi,1.0,0.004,0.0,0.0
nominee brett,1.0,0.004,0.0,0.0
moore alabama,1.0,0.004,0.0,0.0
mitch mcconnell,1.0,0.004,0.0,0.0
minnesota franken,1.0,0.004,0.0,0.0
lindsay menz,1.0,0.004,0.0,0.0
franken resignation,1.0,0.004,0.0,0.0
franken minnesota,1.0,0.004,0.0,0.0
democratic franken,1.0,0.004,0.0,0.0
cosby drugged,1.0,0.004,0.0,0.0
clinton franken,1.0,0.004,0.0,0.0
christine blasey,1.0,0.004,0.0,0.0
trump tweeted,1.0,0.003,0.0,0.0
trump resign,1.0,0.003,0.0,0.0
trump allegations,1.0,0.003,1.0,0.002
trent franks,1.0,0.003,0.0,0.0
tarana burke,1.0,0.003,1.0,0.011000000000000001
steve bannon,1.0,0.003,1.0,0.004
spacey louis,1.0,0.003,0.0,0.0
shattered allegation,1.0,0.003,1.0,0.003
sexually assaulting,1.0,0.003,1.0,0.002
sexually assaulted,1.0,0.003,0.0,0.0
senate franken,1.0,0.003,0.0,0.0
senate election,1.0,0.003,0.0,0.0
senate alabama,1.0,0.003,0.0,0.0
