term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,9.0,0.531034482759,4.0,0.225941422594
Congress,8.0,0.44655172413800004,4.0,0.217573221757
House,5.0,0.26724137930999997,2.0,0.12133891213400001
New York Times,4.0,0.24310344827599997,5.0,0.305439330544
White House,4.0,0.227586206897,4.0,0.234309623431
GOP,4.0,0.208620689655,2.0,0.0836820083682
Washington Post,4.0,0.206896551724,3.0,0.188284518828
Supreme Court,3.0,0.156896551724,4.0,0.196652719665
CNN,3.0,0.155172413793,3.0,0.175732217573
Fox News,2.0,0.12413793103399999,10.0,0.6359832635980001
NBC,2.0,0.110344827586,3.0,0.15062761506300001
Democratic Party,2.0,0.09655172413789999,1.0,0.0251046025105
AP,2.0,0.0844827586207,1.0,0.06276150627619999
Facebook,2.0,0.0827586206897,2.0,0.11715481171499999
Trump,2.0,0.0827586206897,1.0,0.0585774058577
Alabama Senate,2.0,0.07931034482760001,1.0,0.0125523012552
Republican,2.0,0.0741379310345,1.0,0.0334728033473
FBI,2.0,0.0741379310345,2.0,0.0669456066946
Republican Party,2.0,0.0741379310345,1.0,0.0418410041841
Capitol Hill,2.0,0.07241379310339999,1.0,0.0376569037657
Senate Judiciary Committee,2.0,0.07068965517239999,1.0,0.06276150627619999
NBC News,2.0,0.0689655172414,1.0,0.05439330543930001
Ford,1.0,0.0620689655172,1.0,0.0460251046025
Times,1.0,0.060344827586199995,1.0,0.0585774058577
CBS,1.0,0.0586206896552,2.0,0.09623430962339999
Politico,1.0,0.0586206896552,1.0,0.0209205020921
House of Representatives,1.0,0.0568965517241,0.0,0.0
MSNBC,1.0,0.0551724137931,1.0,0.050209205020900004
Associated Press,1.0,0.05,1.0,0.0209205020921
Vox,1.0,0.05,1.0,0.06276150627619999
Justice Department,1.0,0.048275862068999996,1.0,0.0460251046025
Democratic,1.0,0.0431034482759,0.0,0.0
U.S. Senate,1.0,0.0431034482759,0.0,0.0
PBS,1.0,0.0431034482759,1.0,0.0209205020921
Republican National Committee,1.0,0.041379310344800004,1.0,0.0251046025105
Reuters,1.0,0.037931034482800004,1.0,0.029288702928900002
Harvard,1.0,0.036206896551699994,1.0,0.0125523012552
Democratic National Committee,1.0,0.036206896551699994,0.0,0.0
Wall Street Journal,1.0,0.036206896551699994,1.0,0.050209205020900004
Temple University,1.0,0.036206896551699994,1.0,0.0167364016736
House Ethics Committee,1.0,0.036206896551699994,0.0,0.0
Google,1.0,0.0344827586207,1.0,0.0209205020921
Post,1.0,0.0344827586207,1.0,0.0209205020921
Bloomberg,1.0,0.0327586206897,1.0,0.0125523012552
Amazon,1.0,0.0327586206897,1.0,0.06276150627619999
ABC,1.0,0.0310344827586,2.0,0.0836820083682
KABC,1.0,0.0310344827586,0.0,0.0
Senate Ethics Committee,1.0,0.0310344827586,1.0,0.0125523012552
Time,1.0,0.0310344827586,1.0,0.0167364016736
Time magazine,1.0,0.0293103448276,0.0,0.0
Trump administration,1.0,0.0293103448276,1.0,0.0334728033473
State,1.0,0.0293103448276,1.0,0.00836820083682
Medicare,1.0,0.0293103448276,1.0,0.00836820083682
NFL,1.0,0.0293103448276,1.0,0.0334728033473
Judiciary Committee,1.0,0.0293103448276,1.0,0.0251046025105
RNC,1.0,0.0293103448276,0.0,0.0
