term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9844827586210001,2.0,0.142259414226
Harvey Weinstein,5.0,0.468965517241,6.0,0.569037656904
Roy Moore,4.0,0.375862068966,3.0,0.200836820084
Donald Trump,4.0,0.358620689655,4.0,0.380753138075
Hillary Clinton,3.0,0.198275862069,2.0,0.112970711297
Bill Clinton,2.0,0.19310344827599998,2.0,0.129707112971
John Conyers,2.0,0.18448275862100003,1.0,0.0418410041841
Trump,2.0,0.177586206897,2.0,0.112970711297
Matt Lauer,2.0,0.177586206897,2.0,0.15062761506300001
Kirsten Gillibrand,2.0,0.16724137931,2.0,0.108786610879
Kevin Spacey,2.0,0.146551724138,2.0,0.129707112971
Leeann Tweeden,2.0,0.13275862069,1.0,0.0125523012552
Charlie Rose,2.0,0.12413793103399999,2.0,0.12133891213400001
Louis C.K.,2.0,0.11206896551699999,1.0,0.0418410041841
Trent Franks,2.0,0.10689655172399999,0.0,0.0
Blake Farenthold,1.0,0.0931034482759,1.0,0.0251046025105
Doug Jones,1.0,0.0913793103448,1.0,0.0251046025105
Mitch McConnell,1.0,0.08793103448280001,1.0,0.0460251046025
Barack Obama,1.0,0.0862068965517,1.0,0.0418410041841
Paul Ryan,1.0,0.08103448275860001,1.0,0.029288702928900002
Brett Kavanaugh,1.0,0.08103448275860001,1.0,0.0669456066946
Nancy Pelosi,1.0,0.07931034482760001,1.0,0.00836820083682
Clarence Thomas,1.0,0.07931034482760001,2.0,0.12552301255200002
Anita Hill,1.0,0.07931034482760001,2.0,0.11715481171499999
Monica Lewinsky,1.0,0.07586206896549999,1.0,0.0334728033473
Bill Cosby,1.0,0.07586206896549999,3.0,0.213389121339
Bernie Sanders,1.0,0.07241379310339999,1.0,0.0125523012552
Jackie Speier,1.0,0.06724137931030001,1.0,0.0251046025105
Christine Blasey Ford,1.0,0.0637931034483,1.0,0.0460251046025
Robert Mueller,1.0,0.0586206896552,1.0,0.029288702928900002
Roger Ailes,1.0,0.0586206896552,10.0,0.983263598326
