term,a1_bin,a1_perc,a2_bin,a2_perc
roy moore,1.0,0.027999999999999997,10.0,0.29600000000000004
weinstein allegations,1.0,0.023,1.0,0.008
franken d-minn,1.0,0.02,1.0,0.004
misconduct allegations,1.0,0.015,1.0,0.011000000000000001
misconduct weinstein,1.0,0.013000000000000001,1.0,0.005
allegations misconduct,1.0,0.013000000000000001,1.0,0.009000000000000001
harassment assault,1.0,0.011000000000000001,1.0,0.01
donald trump,1.0,0.011000000000000001,1.0,0.024
kevin spacey,1.0,0.01,1.0,0.006999999999999999
harvey weinstein,1.0,0.01,1.0,0.022000000000000002
matt lauer,1.0,0.009000000000000001,1.0,0.005
kirsten gillibrand,1.0,0.009000000000000001,1.0,0.003
harassment allegations,1.0,0.009000000000000001,1.0,0.002
franken resign,1.0,0.009000000000000001,0.0,0.0
allegations harassment,1.0,0.009000000000000001,1.0,0.004
leeann tweeden,1.0,0.008,1.0,0.003
doug jones,1.0,0.008,2.0,0.03
assault allegations,1.0,0.008,1.0,0.002
senate democrats,1.0,0.006999999999999999,1.0,0.003
john conyers,1.0,0.006999999999999999,1.0,0.005
alabama senate,1.0,0.006999999999999999,2.0,0.048
woody allen,1.0,0.006,1.0,0.003
sexually harassed,1.0,0.006,1.0,0.003
senate roy,1.0,0.006,2.0,0.057999999999999996
republican roy,1.0,0.006,1.0,0.016
franken's resignation,1.0,0.006,1.0,0.002
brett kavanaugh,1.0,0.006,1.0,0.002
accusations misconduct,1.0,0.006,1.0,0.004
rehearse kiss,1.0,0.005,0.0,0.0
photo franken,1.0,0.005,0.0,0.0
harassment weinstein,1.0,0.005,1.0,0.002
franken groped,1.0,0.005,0.0,0.0
democratic senators,1.0,0.005,1.0,0.002
democrat doug,1.0,0.005,1.0,0.018000000000000002
alleged misconduct,1.0,0.005,0.0,0.0
alleged incidents,1.0,0.005,0.0,0.0
allegations surfaced,1.0,0.005,1.0,0.003
allegations cosby,1.0,0.005,0.0,0.0
allegations assault,1.0,0.005,0.0,0.0
supreme nominee,1.0,0.004,0.0,0.0
sharyn alfonsi,1.0,0.004,0.0,0.0
nominee brett,1.0,0.004,0.0,0.0
moore alabama,1.0,0.004,1.0,0.028999999999999998
mitch mcconnell,1.0,0.004,1.0,0.005
minnesota franken,1.0,0.004,0.0,0.0
lindsay menz,1.0,0.004,0.0,0.0
franken resignation,1.0,0.004,0.0,0.0
franken minnesota,1.0,0.004,1.0,0.002
democratic franken,1.0,0.004,0.0,0.0
cosby drugged,1.0,0.004,0.0,0.0
clinton franken,1.0,0.004,0.0,0.0
christine blasey,1.0,0.004,1.0,0.002
trump tweeted,1.0,0.003,1.0,0.001
trump resign,1.0,0.003,0.0,0.0
trump allegations,1.0,0.003,1.0,0.001
trent franks,1.0,0.003,1.0,0.002
tarana burke,1.0,0.003,1.0,0.008
steve bannon,1.0,0.003,1.0,0.009000000000000001
spacey louis,1.0,0.003,0.0,0.0
shattered allegation,1.0,0.003,1.0,0.002
sexually assaulting,1.0,0.003,1.0,0.003
sexually assaulted,1.0,0.003,1.0,0.006
senate franken,1.0,0.003,1.0,0.003
senate election,1.0,0.003,1.0,0.01
senate alabama,1.0,0.003,1.0,0.016
roy moore's,1.0,0.003,1.0,0.012
ronan farrow,1.0,0.003,0.0,0.0
resignation democrats,1.0,0.003,0.0,0.0
resign harassment,1.0,0.003,0.0,0.0
republican senate,1.0,0.003,1.0,0.025
presidential campaign,1.0,0.003,0.0,0.0
o'reilly god,1.0,0.003,0.0,0.0
nancy pelosi,1.0,0.003,0.0,0.0
moore republican,1.0,0.003,1.0,0.019
minnesota democrat,1.0,0.003,1.0,0.002
menz cnn,1.0,0.003,0.0,0.0
los angeles,1.0,0.003,1.0,0.004
linda vester,1.0,0.003,0.0,0.0
leader nancy,1.0,0.003,0.0,0.0
lauer kevin,1.0,0.003,1.0,0.002
kavanaugh allegations,1.0,0.003,0.0,0.0
franken resigned,1.0,0.003,0.0,0.0
franken harassment,1.0,0.003,0.0,0.0
franken allegations,1.0,0.003,0.0,0.0
false allegations,1.0,0.003,0.0,0.0
eric schneiderman,1.0,0.003,1.0,0.002
denies allegations,1.0,0.003,0.0,0.0
democrats franken,1.0,0.003,1.0,0.004
d-minn resign,1.0,0.003,0.0,0.0
cnn franken,1.0,0.003,0.0,0.0
charlie kevin,1.0,0.003,0.0,0.0
blasey ford,1.0,0.003,1.0,0.002
anchor leeann,1.0,0.003,0.0,0.0
amazon studios,1.0,0.003,0.0,0.0
allegations trump,1.0,0.003,0.0,0.0
allegations inappropriate,1.0,0.003,0.0,0.0
alex horton,1.0,0.003,0.0,0.0
alabama election,1.0,0.003,1.0,0.003
workplace harassment,1.0,0.002,1.0,0.001
women's basketball,1.0,0.002,0.0,0.0
victims misconduct,1.0,0.002,0.0,0.0
victims assault,1.0,0.002,1.0,0.001
vester inappropriate,1.0,0.002,0.0,0.0
uso franken,1.0,0.002,0.0,0.0
unwanted touching,1.0,0.002,0.0,0.0
unwanted advances,1.0,0.002,1.0,0.004
unrelated office's,1.0,0.002,0.0,0.0
tweeden uso,1.0,0.002,0.0,0.0
tweeden reluctantly,1.0,0.002,0.0,0.0
tweeden photo,1.0,0.002,0.0,0.0
tweeden franken,1.0,0.002,1.0,0.001
trump's accusers,1.0,0.002,1.0,0.003
trump roy,1.0,0.002,1.0,0.011000000000000001
trump republican,1.0,0.002,1.0,0.003
trump misconduct,1.0,0.002,1.0,0.003
trump kissed,1.0,0.002,0.0,0.0
trump collusion,1.0,0.002,0.0,0.0
trump accusations,1.0,0.002,1.0,0.003
torrent unsubstantiated,1.0,0.002,0.0,0.0
toppling matt,1.0,0.002,0.0,0.0
terry richardson,1.0,0.002,1.0,0.001
super pac,1.0,0.002,0.0,0.0
spotlight misconduct,1.0,0.002,0.0,0.0
spacey newsman,1.0,0.002,0.0,0.0
sentenced drugging,1.0,0.002,0.0,0.0
senate republican,1.0,0.002,1.0,0.002
senate judiciary,1.0,0.002,0.0,0.0
senate intelligence,1.0,0.002,0.0,0.0
schwahn harassment,1.0,0.002,0.0,0.0
satirical photo,1.0,0.002,0.0,0.0
ruth bader,1.0,0.002,0.0,0.0
ruins cosby,1.0,0.002,0.0,0.0
resigned senate,1.0,0.002,0.0,0.0
resigned democratic,1.0,0.002,0.0,0.0
resigned allegations,1.0,0.002,0.0,0.0
resign senate,1.0,0.002,0.0,0.0
resign allegations,1.0,0.002,0.0,0.0
republicans roy,1.0,0.002,1.0,0.005
republicans judiciary,1.0,0.002,0.0,0.0
republican party's,1.0,0.002,1.0,0.003
reluctantly rehearse,1.0,0.002,0.0,0.0
recruit emmitt,1.0,0.002,0.0,0.0
recollections anonymous,1.0,0.002,0.0,0.0
posed photo,1.0,0.002,0.0,0.0
politicized scandals,1.0,0.002,0.0,0.0
pills penetrated,1.0,0.002,0.0,0.0
photo minnesota,1.0,0.002,0.0,0.0
philadelphia inquirer,1.0,0.002,0.0,0.0
penetrated immobilized,1.0,0.002,0.0,0.0
ousting franken,1.0,0.002,0.0,0.0
newsman charlie,1.0,0.002,0.0,0.0
nevada independent,1.0,0.002,0.0,0.0
nbc anchor,1.0,0.002,0.0,0.0
moore senate,1.0,0.002,1.0,0.011000000000000001
moore roy,1.0,0.002,1.0,0.003
moore rally,1.0,0.002,1.0,0.002
monica lewinsky,1.0,0.002,0.0,0.0
misconduct trump,1.0,0.002,0.0,0.0
misconduct senate,1.0,0.002,1.0,0.002
mike pence,1.0,0.002,0.0,0.0
midterm elections,1.0,0.002,1.0,0.002
megyn kelly,1.0,0.002,0.0,0.0
media trump,1.0,0.002,0.0,0.0
mashed aggressively,1.0,0.002,0.0,0.0
