term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.705172413793,10.0,0.7528089887639999
crime and criminals,8.0,0.5965517241380001,7.0,0.50936329588
sex crimes,8.0,0.58275862069,8.0,0.544943820225
women,7.0,0.45862068965499997,7.0,0.48314606741599997
united states politics and government,6.0,0.420689655172,7.0,0.46067415730300004
ethics,4.0,0.27413793103399997,3.0,0.177902621723
elections,4.0,0.255172413793,5.0,0.346441947566
sexual harassment,3.0,0.22413793103399998,2.0,0.131086142322
biographical information,2.0,0.0931034482759,1.0,0.065543071161
news and news media,2.0,0.0862068965517,2.0,0.0936329588015
"suspensions, dismissals and resignations",2.0,0.0844827586207,1.0,0.0561797752809
television,1.0,0.0689655172414,1.0,0.058052434456900004
law and legislation,1.0,0.0655172413793,1.0,0.0393258426966
finances,1.0,0.0655172413793,1.0,0.0355805243446
media,1.0,0.0637931034483,1.0,0.0730337078652
motion pictures,1.0,0.051724137931,1.0,0.0280898876404
presidents and presidency (us),1.0,0.051724137931,1.0,0.063670411985
labor,1.0,0.048275862068999996,1.0,0.0187265917603
discrimination,1.0,0.0431034482759,1.0,0.0524344569288
suits and litigation,1.0,0.041379310344800004,1.0,0.0243445692884
computers and the internet,1.0,0.0310344827586,1.0,0.022471910112400004
books and literature,1.0,0.0258620689655,1.0,0.0149812734082
medicine and health,1.0,0.0258620689655,1.0,0.033707865168499995
"armament, defense and military forces",1.0,0.0258620689655,1.0,0.0168539325843
election issues,1.0,0.0224137931034,1.0,0.0149812734082
decisions and verdicts,1.0,0.020689655172400002,1.0,0.0131086142322
education and schools,1.0,0.018965517241400002,1.0,0.0205992509363
presidential elections (us),1.0,0.018965517241400002,1.0,0.029962546816500003
sex,1.0,0.0172413793103,1.0,0.0243445692884
blacks,1.0,0.0155172413793,1.0,0.0430711610487
public opinion,1.0,0.0155172413793,1.0,0.022471910112400004
primaries,1.0,0.0155172413793,1.0,0.0168539325843
governors (us),1.0,0.0155172413793,1.0,0.011235955056200002
editorials,1.0,0.0155172413793,1.0,0.0149812734082
united states armament and defense,1.0,0.013793103448299999,1.0,0.011235955056200002
international relations,1.0,0.013793103448299999,1.0,0.0168539325843
appointments and executive changes,1.0,0.0120689655172,1.0,0.0187265917603
reviews,1.0,0.0120689655172,1.0,0.005617977528089999
united states international relations,1.0,0.0120689655172,1.0,0.0168539325843
impeachment,1.0,0.0120689655172,1.0,0.00749063670412
legislatures and parliaments,1.0,0.0120689655172,1.0,0.0205992509363
demonstrations and riots,1.0,0.0120689655172,1.0,0.0262172284644
child abuse and neglect,1.0,0.0120689655172,1.0,0.011235955056200002
taxation,1.0,0.010344827586200001,1.0,0.0131086142322
terrorism,1.0,0.010344827586200001,1.0,0.0131086142322
advertising and marketing,1.0,0.00862068965517,0.0,0.0
homosexuality,1.0,0.00862068965517,1.0,0.0187265917603
colleges and universities,1.0,0.00862068965517,1.0,0.005617977528089999
prostitution,1.0,0.0068965517241400005,0.0,0.0
radio,1.0,0.0068965517241400005,0.0,0.0
children and youth,1.0,0.0068965517241400005,1.0,0.011235955056200002
sentences (criminal),1.0,0.0068965517241400005,1.0,0.005617977528089999
courts,1.0,0.0068965517241400005,0.0,0.0
abortion,1.0,0.0051724137931000004,1.0,0.011235955056200002
presidential election of 2008,1.0,0.0051724137931000004,0.0,0.0
united states economy,1.0,0.0051724137931000004,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.0051724137931000004,0.0,0.0
religion and churches,0.0,0.0,1.0,0.033707865168499995
christians and christianity,0.0,0.0,1.0,0.0205992509363
music,0.0,0.0,1.0,0.00749063670412
marriages,0.0,0.0,1.0,0.00749063670412
budgets and budgeting,0.0,0.0,1.0,0.005617977528089999
drug abuse and traffic,0.0,0.0,1.0,0.005617977528089999
immigration and refugees,0.0,0.0,1.0,0.005617977528089999
economic conditions and trends,0.0,0.0,1.0,0.005617977528089999
