term,a1_bin,a1_perc,a2_bin,a2_perc
allegations,5.0,0.27699999999999997,3.0,0.159
franken,4.0,0.22399999999999998,1.0,0.05
trump,2.0,0.107,3.0,0.16899999999999998
democrats,2.0,0.107,2.0,0.10300000000000001
harassment,2.0,0.098,1.0,0.057999999999999996
misconduct,2.0,0.08,2.0,0.092
resign,2.0,0.071,0.0,0.0
senate,2.0,0.068,3.0,0.171
senate,2.0,0.068,1.0,0.001
accusations,2.0,0.066,2.0,0.08199999999999999
weinstein,1.0,0.055,1.0,0.042
republican,1.0,0.055,3.0,0.153
moore,1.0,0.055,10.0,0.654
assault,1.0,0.049,2.0,0.075
alabama,1.0,0.038,3.0,0.174
campaign,1.0,0.034,1.0,0.055
clinton,1.0,0.032,1.0,0.02
media,1.0,0.03,1.0,0.033
groping,1.0,0.03,0.0,0.0
gillibrand,1.0,0.028999999999999998,1.0,0.005
roy,1.0,0.027999999999999997,5.0,0.318
minnesota,1.0,0.026000000000000002,1.0,0.002
kavanaugh,1.0,0.025,1.0,0.017
allen,1.0,0.025,1.0,0.005
photo,1.0,0.024,1.0,0.006999999999999999
congress,1.0,0.024,1.0,0.011000000000000001
kissed,1.0,0.021,1.0,0.003
harvey,1.0,0.021,1.0,0.028999999999999998
donald,1.0,0.021,1.0,0.026000000000000002
abuse,1.0,0.021,1.0,0.034
election,1.0,0.019,2.0,0.068
d-minn,1.0,0.019,1.0,0.003
american,1.0,0.019,1.0,0.02
apologize,1.0,0.017,0.0,0.0
women's,1.0,0.015,1.0,0.018000000000000002
washington,1.0,0.015,1.0,0.039
tweeden,1.0,0.013999999999999999,1.0,0.006
ford,1.0,0.013999999999999999,0.0,0.0
cosby,1.0,0.013999999999999999,1.0,0.006999999999999999
conyers,1.0,0.013999999999999999,1.0,0.008
supreme,1.0,0.013000000000000001,1.0,0.01
judge,1.0,0.013000000000000001,1.0,0.021
investigate,1.0,0.013000000000000001,0.0,0.0
inappropriate,1.0,0.013000000000000001,1.0,0.009000000000000001
victims,1.0,0.012,1.0,0.019
tweeted,1.0,0.012,0.0,0.0
president's,1.0,0.012,1.0,0.006999999999999999
tax,1.0,0.011000000000000001,1.0,0.003
supporters,1.0,0.011000000000000001,1.0,0.017
schneiderman,1.0,0.011000000000000001,1.0,0.001
matt,1.0,0.011000000000000001,1.0,0.012
calling,1.0,0.011000000000000001,1.0,0.006999999999999999
spacey,1.0,0.01,1.0,0.01
smith,1.0,0.01,0.0,0.0
sexually,1.0,0.01,1.0,0.019
scandal,1.0,0.01,1.0,0.02
sanders,1.0,0.01,0.0,0.0
presidential,1.0,0.01,1.0,0.002
photograph,1.0,0.01,0.0,0.0
nominee,1.0,0.01,1.0,0.013999999999999999
kirsten,1.0,0.01,1.0,0.003
jordan,1.0,0.01,1.0,0.002
gop,1.0,0.01,1.0,0.04
farrow,1.0,0.01,1.0,0.003
denies,1.0,0.01,1.0,0.009000000000000001
conservative,1.0,0.01,1.0,0.021
unwanted,1.0,0.009000000000000001,1.0,0.006999999999999999
rape,1.0,0.009000000000000001,1.0,0.005
lawmakers,1.0,0.009000000000000001,1.0,0.012
lauer,1.0,0.009000000000000001,1.0,0.012
kevin,1.0,0.009000000000000001,1.0,0.009000000000000001
jones,1.0,0.009000000000000001,1.0,0.053
franks,1.0,0.009000000000000001,0.0,0.0
dylan,1.0,0.009000000000000001,1.0,0.003
woody,1.0,0.008,1.0,0.002
united,1.0,0.008,1.0,0.009000000000000001
reporting,1.0,0.008,1.0,0.017
reckoning,1.0,0.008,1.0,0.018000000000000002
professor,1.0,0.008,0.0,0.0
producer,1.0,0.008,1.0,0.002
nbc,1.0,0.008,1.0,0.006999999999999999
leeann,1.0,0.008,1.0,0.004
john,1.0,0.008,1.0,0.006999999999999999
capitol,1.0,0.008,1.0,0.009000000000000001
aide,1.0,0.008,1.0,0.003
acknowledged,1.0,0.008,0.0,0.0
university,1.0,0.006999999999999999,1.0,0.004
rally,1.0,0.006999999999999999,1.0,0.013999999999999999
paul,1.0,0.006999999999999999,1.0,0.005
leader,1.0,0.006999999999999999,1.0,0.004
incidents,1.0,0.006999999999999999,1.0,0.002
immigration,1.0,0.006999999999999999,0.0,0.0
hashtag,1.0,0.006999999999999999,1.0,0.015
focused,1.0,0.006999999999999999,0.0,0.0
feminist,1.0,0.006999999999999999,1.0,0.006999999999999999
denial,1.0,0.006999999999999999,0.0,0.0
credible,1.0,0.006999999999999999,0.0,0.0
comedian,1.0,0.006999999999999999,0.0,0.0
celebrity,1.0,0.006999999999999999,1.0,0.005
america's,1.0,0.006999999999999999,0.0,0.0
alcohol,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,1.0,0.008
violence,1.0,0.006,1.0,0.006
twitter,1.0,0.006,1.0,0.006
tina,1.0,0.006,1.0,0.001
testify,1.0,0.006,1.0,0.002
predatory,1.0,0.006,1.0,0.006999999999999999
poll,1.0,0.006,0.0,0.0
motivated,1.0,0.006,0.0,0.0
michael,1.0,0.006,1.0,0.002
judiciary,1.0,0.006,0.0,0.0
journalists,1.0,0.006,1.0,0.002
initially,1.0,0.006,0.0,0.0
hurt,1.0,0.006,1.0,0.003
hillary,1.0,0.006,1.0,0.003
gender,1.0,0.006,1.0,0.006
false,1.0,0.006,1.0,0.01
facebook,1.0,0.006,0.0,0.0
echoed,1.0,0.006,0.0,0.0
defended,1.0,0.006,1.0,0.013999999999999999
criticized,1.0,0.006,1.0,0.004
consent,1.0,0.006,0.0,0.0
child,1.0,0.006,1.0,0.017
brzezinski,1.0,0.006,0.0,0.0
breast,1.0,0.006,1.0,0.002
anonymous,1.0,0.006,0.0,0.0
advances,1.0,0.006,1.0,0.013000000000000001
touching,1.0,0.005,0.0,0.0
survivors,1.0,0.005,1.0,0.011000000000000001
surfaced,1.0,0.005,1.0,0.001
sued,1.0,0.005,0.0,0.0
skit,1.0,0.005,1.0,0.001
sharyn,1.0,0.005,0.0,0.0
russia,1.0,0.005,0.0,0.0
rob,1.0,0.005,1.0,0.008
revelations,1.0,0.005,1.0,0.003
repeatedly,1.0,0.005,1.0,0.008
refuse,1.0,0.005,0.0,0.0
recounted,1.0,0.005,0.0,0.0
quit,1.0,0.005,1.0,0.002
pushing,1.0,0.005,0.0,0.0
prompted,1.0,0.005,1.0,0.003
progressive,1.0,0.005,0.0,0.0
predators,1.0,0.005,1.0,0.012
politician,1.0,0.005,1.0,0.005
obama,1.0,0.005,0.0,0.0
misdeeds,1.0,0.005,1.0,0.002
louis,1.0,0.005,1.0,0.009000000000000001
los,1.0,0.005,1.0,0.003
james,1.0,0.005,1.0,0.006
irony,1.0,0.005,1.0,0.003
industries,1.0,0.005,1.0,0.002
highlighted,1.0,0.005,1.0,0.005
harris,1.0,0.005,0.0,0.0
grab,1.0,0.005,0.0,0.0
forcibly,1.0,0.005,0.0,0.0
fbi,1.0,0.005,0.0,0.0
eric,1.0,0.005,0.0,0.0
emotion,1.0,0.005,0.0,0.0
ellison,1.0,0.005,0.0,0.0
dynamics,1.0,0.005,0.0,0.0
disgraced,1.0,0.005,1.0,0.003
confirm,1.0,0.005,0.0,0.0
chuck,1.0,0.005,0.0,0.0
christian,1.0,0.005,1.0,0.006
california,1.0,0.005,1.0,0.003
ashamed,1.0,0.005,0.0,0.0
angeles,1.0,0.005,1.0,0.003
