term,a1_bin,a1_perc,a2_bin,a2_perc
Aziz Ansari,10.0,0.9770992366410001,1.0,0.008888888888889999
Harvey Weinstein,5.0,0.404580152672,5.0,0.44740740740699997
Trump,2.0,0.156488549618,1.0,0.0755555555556
James Franco,2.0,0.145038167939,1.0,0.014814814814799999
Kevin Spacey,2.0,0.129770992366,2.0,0.115555555556
Caitlin Flanagan,2.0,0.110687022901,0.0,0.0
Grace,2.0,0.0992366412214,0.0,0.0
Donald Trump,1.0,0.0916030534351,2.0,0.154074074074
Louis C.K.,1.0,0.0916030534351,1.0,0.0562962962963
Ashleigh Banfield,1.0,0.08778625954199999,0.0,0.0
Gary Oldman,1.0,0.0687022900763,0.0,0.0
Seth Meyers,1.0,0.0687022900763,0.0,0.0
Frances McDormand,1.0,0.0687022900763,0.0,0.0
Catherine Deneuve,1.0,0.0687022900763,0.0,0.0
Katie Way,1.0,0.0687022900763,0.0,0.0
Nicole Kidman,1.0,0.0648854961832,0.0,0.0
Andrew Sullivan,1.0,0.0648854961832,0.0,0.0
Matt Lauer,1.0,0.0648854961832,2.0,0.10962962962999999
Al Franken,1.0,0.0610687022901,1.0,0.0696296296296
Daphne Merkin,1.0,0.0610687022901,0.0,0.0
Oprah Winfrey,1.0,0.057251908396899996,1.0,0.013333333333299998
Allison Janney,1.0,0.057251908396899996,0.0,0.0
Tarana Burke,1.0,0.057251908396899996,1.0,0.0459259259259
Laura Dern,1.0,0.0534351145038,1.0,0.007407407407409999
Sam Rockwell,1.0,0.0534351145038,0.0,0.0
Guillermo del Toro,1.0,0.0496183206107,0.0,0.0
Martin McDonagh,1.0,0.0496183206107,0.0,0.0
Jessica Valenti,1.0,0.0496183206107,0.0,0.0
Bari Weiss,1.0,0.0496183206107,0.0,0.0
Katie Roiphe,1.0,0.0458015267176,0.0,0.0
Elisabeth Moss,1.0,0.0458015267176,0.0,0.0
Charlie Rose,1.0,0.0458015267176,1.0,0.0844444444444
Michelle Williams,1.0,0.0458015267176,0.0,0.0
Tonya,1.0,0.0458015267176,0.0,0.0
Ewan McGregor,1.0,0.0419847328244,0.0,0.0
Maisel,1.0,0.0419847328244,0.0,0.0
Harper,1.0,0.0381679389313,1.0,0.0059259259259300005
Ashley Judd,1.0,0.0381679389313,1.0,0.037037037037
Margaret Atwood,1.0,0.0381679389313,0.0,0.0
Weiss,1.0,0.0381679389313,0.0,0.0
Samantha Bee,1.0,0.0381679389313,0.0,0.0
Rebecca Traister,1.0,0.0381679389313,1.0,0.011851851851899999
Rachel Brosnahan,1.0,0.0381679389313,0.0,0.0
Greta Gerwig,1.0,0.0381679389313,1.0,0.0059259259259300005
William H. Macy,1.0,0.0381679389313,0.0,0.0
Obama,1.0,0.034351145038200005,1.0,0.014814814814799999
Winston Churchill,1.0,0.034351145038200005,0.0,0.0
Woody Allen,1.0,0.034351145038200005,1.0,0.029629629629599998
K. Brown,1.0,0.034351145038200005,0.0,0.0
Kristen Bell,1.0,0.034351145038200005,0.0,0.0
Cecil B. DeMille,1.0,0.034351145038200005,0.0,0.0
Moira Donegan,1.0,0.034351145038200005,1.0,0.004444444444439999
Reese Witherspoon,1.0,0.030534351145000003,0.0,0.0
Bill Cosby,1.0,0.030534351145000003,10.0,0.917037037037
Ryan Seacrest,1.0,0.030534351145000003,1.0,0.0103703703704
Christopher Nolan,1.0,0.030534351145000003,0.0,0.0
Alexandre Desplat,1.0,0.030534351145000003,0.0,0.0
Sterling K. Brown,1.0,0.030534351145000003,0.0,0.0
Tommy Wiseau,1.0,0.030534351145000003,0.0,0.0
Hillary Clinton,1.0,0.0267175572519,1.0,0.0281481481481
Steven Spielberg,1.0,0.0267175572519,0.0,0.0
Tom Hanks,1.0,0.0267175572519,0.0,0.0
Natalie Portman,1.0,0.0267175572519,1.0,0.004444444444439999
Ronan,1.0,0.0267175572519,0.0,0.0
Kate McKinnon,1.0,0.0267175572519,1.0,0.004444444444439999
Weinstein,1.0,0.0267175572519,1.0,0.011851851851899999
Kenan Thompson,1.0,0.0267175572519,0.0,0.0
Louis CK,1.0,0.0267175572519,1.0,0.014814814814799999
Alexander Skarsgard,1.0,0.0267175572519,0.0,0.0
Stephen Colbert,1.0,0.0229007633588,1.0,0.013333333333299998
Roy Moore,1.0,0.0229007633588,1.0,0.044444444444399996
Julia Louis-Dreyfus,1.0,0.0229007633588,0.0,0.0
Bill Maher,1.0,0.0229007633588,1.0,0.0059259259259300005
Susan Sarandon,1.0,0.0229007633588,0.0,0.0
Lupita Nyong,1.0,0.0229007633588,1.0,0.008888888888889999
Jessica Lange,1.0,0.0229007633588,0.0,0.0
Salma Hayek,1.0,0.0229007633588,1.0,0.004444444444439999
Mario Batali,1.0,0.0229007633588,1.0,0.029629629629599998
Larry Nassar,1.0,0.0229007633588,1.0,0.04
Tonya Harding,1.0,0.0229007633588,0.0,0.0
Christopher Plummer,1.0,0.0229007633588,1.0,0.0059259259259300005
Meryl Streep,1.0,0.0229007633588,1.0,0.004444444444439999
Emma Gray,1.0,0.0229007633588,0.0,0.0
HLN,1.0,0.0229007633588,0.0,0.0
Barack Obama,1.0,0.0190839694656,1.0,0.013333333333299998
Ridley Scott,1.0,0.0190839694656,0.0,0.0
Emma Stone,1.0,0.0190839694656,0.0,0.0
Matt Damon,1.0,0.0190839694656,1.0,0.008888888888889999
Robert De Niro,1.0,0.0190839694656,0.0,0.0
Issa Rae,1.0,0.0190839694656,0.0,0.0
Morgan Freeman,1.0,0.0190839694656,1.0,0.004444444444439999
Samantha,1.0,0.0190839694656,1.0,0.0059259259259300005
Dick,1.0,0.0190839694656,0.0,0.0
Margot Robbie,1.0,0.0190839694656,0.0,0.0
Simone Biles,1.0,0.0190839694656,0.0,0.0
Betty Friedan,1.0,0.0190839694656,0.0,0.0
Anthony Anderson,1.0,0.0190839694656,0.0,0.0
Germaine Greer,1.0,0.0190839694656,0.0,0.0
Sidney Poitier,1.0,0.0190839694656,0.0,0.0
Oprah,1.0,0.0190839694656,0.0,0.0
Jill Filipovic,1.0,0.0190839694656,1.0,0.007407407407409999
Beck Bennett,1.0,0.0190839694656,0.0,0.0
Saoirse Ronan,1.0,0.0190839694656,0.0,0.0
Bette,1.0,0.0190839694656,0.0,0.0
Jaclyn Friedman,1.0,0.0190839694656,0.0,0.0
Ronan Farrow,1.0,0.0190839694656,1.0,0.029629629629599998
Tiffany Haddish,1.0,0.0190839694656,0.0,0.0
Alison Brie,1.0,0.0190839694656,0.0,0.0
Sonny Bunch,1.0,0.0190839694656,0.0,0.0
Joshi Herrmann,1.0,0.0190839694656,0.0,0.0
Steve Bannon,1.0,0.015267175572500001,1.0,0.0103703703704
Jeff Flake,1.0,0.015267175572500001,1.0,0.026666666666700003
Rupert Murdoch,1.0,0.015267175572500001,0.0,0.0
Amy Schumer,1.0,0.015267175572500001,0.0,0.0
Jessica Chastain,1.0,0.015267175572500001,1.0,0.0059259259259300005
Jimmy Kimmel,1.0,0.015267175572500001,1.0,0.0162962962963
Armie Hammer,1.0,0.015267175572500001,0.0,0.0
Judi Dench,1.0,0.015267175572500001,0.0,0.0
Russell Simmons,1.0,0.015267175572500001,1.0,0.008888888888889999
Breitbart,1.0,0.015267175572500001,0.0,0.0
Joan,1.0,0.015267175572500001,0.0,0.0
Pope,1.0,0.015267175572500001,0.0,0.0
Casey Affleck,1.0,0.015267175572500001,1.0,0.0059259259259300005
Brigitte Bardot,1.0,0.015267175572500001,0.0,0.0
Denzel Washington,1.0,0.015267175572500001,0.0,0.0
Masha Gessen,1.0,0.015267175572500001,0.0,0.0
Claire Foy,1.0,0.015267175572500001,0.0,0.0
Jezebel,1.0,0.015267175572500001,0.0,0.0
Michael Che,1.0,0.015267175572500001,1.0,0.007407407407409999
Dan Harmon,1.0,0.015267175572500001,0.0,0.0
Dan Fogelman,1.0,0.015267175572500001,0.0,0.0
Liam Neeson,1.0,0.015267175572500001,0.0,0.0
Mary J. Blige,1.0,0.015267175572500001,0.0,0.0
Mark Wahlberg,1.0,0.015267175572500001,0.0,0.0
Ron Howard,1.0,0.015267175572500001,0.0,0.0
Aidy Bryant,1.0,0.015267175572500001,0.0,0.0
Sally Hawkins,1.0,0.015267175572500001,0.0,0.0
Isaac Chotiner,1.0,0.015267175572500001,0.0,0.0
Jonah Ryan,1.0,0.015267175572500001,0.0,0.0
Jessica Biel,1.0,0.015267175572500001,0.0,0.0
Susan Brownmiller,1.0,0.015267175572500001,0.0,0.0
Stassa Edwards,1.0,0.015267175572500001,0.0,0.0
Dylan Farrow,1.0,0.015267175572500001,1.0,0.0103703703704
Lena Waithe,1.0,0.015267175572500001,0.0,0.0
Eric Klinenberg,1.0,0.015267175572500001,0.0,0.0
Molly Roberts,1.0,0.015267175572500001,0.0,0.0
McKayla Maroney,1.0,0.015267175572500001,1.0,0.007407407407409999
Julianne Escobedo Shepherd,1.0,0.015267175572500001,0.0,0.0
Asia Argento,1.0,0.015267175572500001,1.0,0.0059259259259300005
Timothy Simons,1.0,0.015267175572500001,0.0,0.0
Amanda Ross,1.0,0.015267175572500001,0.0,0.0
Heidi Gardner,1.0,0.015267175572500001,0.0,0.0
Noam Dworman,1.0,0.015267175572500001,1.0,0.004444444444439999
Quentin Tarantino,1.0,0.0114503816794,1.0,0.004444444444439999
Robert S. Mueller III,1.0,0.0114503816794,0.0,0.0
Helen Mirren,1.0,0.0114503816794,0.0,0.0
Kellyanne Conway,1.0,0.0114503816794,1.0,0.014814814814799999
Fox,1.0,0.0114503816794,1.0,0.020740740740700002
Jeffrey Tambor,1.0,0.0114503816794,1.0,0.014814814814799999
Martin Luther King,1.0,0.0114503816794,0.0,0.0
John Lewis,1.0,0.0114503816794,0.0,0.0
David,1.0,0.0114503816794,0.0,0.0
God,1.0,0.0114503816794,0.0,0.0
Karen,1.0,0.0114503816794,0.0,0.0
Beyoncé,1.0,0.0114503816794,0.0,0.0
Shailene Woodley,1.0,0.0114503816794,0.0,0.0
Will Ferrell,1.0,0.0114503816794,0.0,0.0
Katie,1.0,0.0114503816794,0.0,0.0
Leslie Jones,1.0,0.0114503816794,0.0,0.0
Eric Schneiderman,1.0,0.0114503816794,1.0,0.0177777777778
Mel Gibson,1.0,0.0114503816794,1.0,0.011851851851899999
Sharon Stone,1.0,0.0114503816794,0.0,0.0
Katie Couric,1.0,0.0114503816794,0.0,0.0
Tina Fey,1.0,0.0114503816794,1.0,0.004444444444439999
Geoffrey Rush,1.0,0.0114503816794,0.0,0.0
Justin Timberlake,1.0,0.0114503816794,0.0,0.0
Garrison Keillor,1.0,0.0114503816794,1.0,0.007407407407409999
Ray Donovan,1.0,0.0114503816794,0.0,0.0
Chris Hardwick,1.0,0.0114503816794,0.0,0.0
Daniel Day-Lewis,1.0,0.0114503816794,0.0,0.0
Doug Jones,1.0,0.0114503816794,0.0,0.0
Kobe Bryant,1.0,0.0114503816794,0.0,0.0
Jodi Kantor,1.0,0.0114503816794,1.0,0.014814814814799999
messier,1.0,0.0114503816794,0.0,0.0
Caitriona Balfe,1.0,0.0114503816794,0.0,0.0
Dustin Hoffman,1.0,0.0114503816794,1.0,0.008888888888889999
Chris Stapleton,1.0,0.0114503816794,0.0,0.0
Brett Kavanaugh,1.0,0.0114503816794,2.0,0.100740740741
Winfrey,1.0,0.0114503816794,0.0,0.0
Dave Chappelle,1.0,0.0114503816794,0.0,0.0
Megan Twohey,1.0,0.0114503816794,1.0,0.011851851851899999
Sturgill Simpson,1.0,0.0114503816794,0.0,0.0
Geena Davis,1.0,0.0114503816794,0.0,0.0
Megan Garber,1.0,0.0114503816794,1.0,0.007407407407409999
Jordan Peele,1.0,0.0114503816794,0.0,0.0
Osita Nwanevu,1.0,0.0114503816794,0.0,0.0
Emma Sulkowicz,1.0,0.0114503816794,0.0,0.0
Robby Soave,1.0,0.0114503816794,0.0,0.0
Bob Odenkirk,1.0,0.0114503816794,0.0,0.0
Guillermo Del Toro,1.0,0.0114503816794,0.0,0.0
Amanda Hess,1.0,0.0114503816794,0.0,0.0
Olivia Munn,1.0,0.0114503816794,0.0,0.0
David Harbour,1.0,0.0114503816794,0.0,0.0
Laurie Metcalf,1.0,0.0114503816794,0.0,0.0
Gabrielle Carteris,1.0,0.0114503816794,0.0,0.0
Anna North,1.0,0.0114503816794,1.0,0.004444444444439999
Jameela Jamil,1.0,0.0114503816794,0.0,0.0
Rebecca Mansour,1.0,0.0114503816794,0.0,0.0
Rita Moreno,1.0,0.0114503816794,0.0,0.0
Daniel Kaluuya,1.0,0.0114503816794,0.0,0.0
Thomas Edwards,1.0,0.0114503816794,0.0,0.0
Joanna Grossman,1.0,0.0114503816794,0.0,0.0
Richard Jenkins,1.0,0.0114503816794,0.0,0.0
Sandra Sperino,1.0,0.0114503816794,0.0,0.0
Greg Doherty/Getty,1.0,0.0114503816794,0.0,0.0
Frederic J. Brown/Agence,1.0,0.0114503816794,0.0,0.0
Jimmy Bennett,1.0,0.0114503816794,1.0,0.0059259259259300005
Emily Reynolds,1.0,0.0114503816794,0.0,0.0
Laura Palumbo,1.0,0.0114503816794,1.0,0.0059259259259300005
— babe,1.0,0.0114503816794,0.0,0.0
Madonna,1.0,0.0076335877862600005,0.0,0.0
Mike Pence,1.0,0.0076335877862600005,1.0,0.0059259259259300005
Bush,1.0,0.0076335877862600005,1.0,0.0059259259259300005
Nielsen,1.0,0.0076335877862600005,0.0,0.0
Ferdinand,1.0,0.0076335877862600005,0.0,0.0
Angelina Jolie,1.0,0.0076335877862600005,1.0,0.013333333333299998
Edwards,1.0,0.0076335877862600005,0.0,0.0
Emma Watson,1.0,0.0076335877862600005,0.0,0.0
Ivanka Trump,1.0,0.0076335877862600005,1.0,0.007407407407409999
Stephen K. Bannon,1.0,0.0076335877862600005,0.0,0.0
Kelly,1.0,0.0076335877862600005,1.0,0.004444444444439999
Yoko Ono,1.0,0.0076335877862600005,0.0,0.0
Martin Luther King Jr,1.0,0.0076335877862600005,0.0,0.0
Scarlett Johansson,1.0,0.0076335877862600005,0.0,0.0
Monica Lewinsky,1.0,0.0076335877862600005,1.0,0.011851851851899999
Victoria,1.0,0.0076335877862600005,0.0,0.0
Christiane Amanpour,1.0,0.0076335877862600005,0.0,0.0
Jane,1.0,0.0076335877862600005,1.0,0.008888888888889999
Chuck Schumer,1.0,0.0076335877862600005,1.0,0.008888888888889999
Betsy DeVos,1.0,0.0076335877862600005,1.0,0.0059259259259300005
Ross,1.0,0.0076335877862600005,0.0,0.0
Jennifer Lawrence,1.0,0.0076335877862600005,1.0,0.0059259259259300005
Michelle Pfeiffer,1.0,0.0076335877862600005,0.0,0.0
Alec Baldwin,1.0,0.0076335877862600005,1.0,0.004444444444439999
Steve Carell,1.0,0.0076335877862600005,0.0,0.0
Timothée Chalamet,1.0,0.0076335877862600005,0.0,0.0
Willem Dafoe,1.0,0.0076335877862600005,0.0,0.0
Linda Sarsour,1.0,0.0076335877862600005,0.0,0.0
Clarence Thomas,1.0,0.0076335877862600005,1.0,0.0459259259259
Sheryl Sandberg,1.0,0.0076335877862600005,1.0,0.007407407407409999
