term,a1_bin,a1_perc,a2_bin,a2_perc
sex crimes,7.0,0.503816793893,10.0,0.792592592593
crime and criminals,6.0,0.480916030534,10.0,0.825185185185
women,5.0,0.400763358779,4.0,0.262222222222
motion pictures,3.0,0.19465648855,2.0,0.10962962962999999
sex,3.0,0.171755725191,1.0,0.0192592592593
television,3.0,0.167938931298,2.0,0.12
politics and government,2.0,0.118320610687,2.0,0.115555555556
books and literature,2.0,0.110687022901,1.0,0.0177777777778
reviews,2.0,0.09541984732820001,1.0,0.011851851851899999
computers and the internet,1.0,0.0763358778626,1.0,0.0177777777778
news and news media,1.0,0.0725190839695,1.0,0.0488888888889
"awards, decorations and honors",1.0,0.0648854961832,1.0,0.008888888888889999
education and schools,1.0,0.0610687022901,1.0,0.044444444444399996
medicine and health,1.0,0.0534351145038,1.0,0.0592592592593
media,1.0,0.0534351145038,1.0,0.0355555555556
comedy and humor,1.0,0.0458015267176,1.0,0.007407407407409999
theater,1.0,0.0419847328244,1.0,0.007407407407409999
united states politics and government,1.0,0.0381679389313,1.0,0.0459259259259
blacks,1.0,0.030534351145000003,1.0,0.044444444444399996
discrimination,1.0,0.0267175572519,1.0,0.0340740740741
biographical information,1.0,0.0267175572519,1.0,0.044444444444399996
colleges and universities,1.0,0.0229007633588,1.0,0.0162962962963
ethics,1.0,0.0229007633588,1.0,0.0503703703704
sexual harassment,1.0,0.0229007633588,1.0,0.0385185185185
prostitution,1.0,0.0190839694656,1.0,0.0177777777778
academy awards (oscars),1.0,0.0190839694656,1.0,0.007407407407409999
law and legislation,1.0,0.015267175572500001,1.0,0.0192592592593
homosexuality,1.0,0.015267175572500001,1.0,0.007407407407409999
apparel,1.0,0.015267175572500001,1.0,0.0059259259259300005
demonstrations and riots,1.0,0.015267175572500001,1.0,0.013333333333299998
finances,1.0,0.0114503816794,1.0,0.008888888888889999
"armament, defense and military forces",1.0,0.0114503816794,1.0,0.0059259259259300005
immigration and refugees,1.0,0.0114503816794,0.0,0.0
advertising and marketing,1.0,0.0076335877862600005,1.0,0.0029629629629600003
elections,1.0,0.0076335877862600005,1.0,0.013333333333299998
suits and litigation,1.0,0.0076335877862600005,2.0,0.12888888888900002
drug abuse and traffic,1.0,0.0076335877862600005,1.0,0.004444444444439999
illegal aliens,1.0,0.0076335877862600005,0.0,0.0
marriages,1.0,0.0076335877862600005,1.0,0.0029629629629600003
children and youth,1.0,0.0076335877862600005,1.0,0.0177777777778
pornography and obscenity,1.0,0.0076335877862600005,0.0,0.0
tests and testing,1.0,0.0038167938931300003,0.0,0.0
abortion,1.0,0.0038167938931300003,0.0,0.0
religion and churches,1.0,0.0038167938931300003,1.0,0.0103703703704
budgets and budgeting,1.0,0.0038167938931300003,0.0,0.0
labor,1.0,0.0038167938931300003,1.0,0.0251851851852
recordings (video),1.0,0.0038167938931300003,0.0,0.0
writing and writers,1.0,0.0038167938931300003,0.0,0.0
jews,1.0,0.0038167938931300003,0.0,0.0
police,1.0,0.0038167938931300003,1.0,0.007407407407409999
oil (petroleum) and gasoline,1.0,0.0038167938931300003,0.0,0.0
environment,1.0,0.0038167938931300003,0.0,0.0
editorials,1.0,0.0038167938931300003,0.0,0.0
terrorism,1.0,0.0038167938931300003,0.0,0.0
basketball,1.0,0.0038167938931300003,1.0,0.0637037037037
united states international relations,1.0,0.0038167938931300003,1.0,0.004444444444439999
international relations,1.0,0.0038167938931300003,1.0,0.0059259259259300005
music,1.0,0.0038167938931300003,1.0,0.0192592592593
diseases and conditions,1.0,0.0038167938931300003,1.0,0.0059259259259300005
olympic games,1.0,0.0038167938931300003,1.0,0.0029629629629600003
atomic weapons,1.0,0.0038167938931300003,0.0,0.0
games,1.0,0.0038167938931300003,1.0,0.0029629629629600003
sentences (criminal),1.0,0.0038167938931300003,3.0,0.185185185185
child abuse and neglect,1.0,0.0038167938931300003,1.0,0.077037037037
beverages,1.0,0.0038167938931300003,0.0,0.0
chemicals,1.0,0.0038167938931300003,0.0,0.0
water,1.0,0.0038167938931300003,0.0,0.0
population,1.0,0.0038167938931300003,0.0,0.0
alcohol abuse,1.0,0.0038167938931300003,0.0,0.0
entertainment and amusements,1.0,0.0038167938931300003,0.0,0.0
water pollution,1.0,0.0038167938931300003,0.0,0.0
decisions and verdicts,0.0,0.0,3.0,0.232592592593
jury system,0.0,0.0,1.0,0.0311111111111
murders and attempted murders,0.0,0.0,1.0,0.0177777777778
"suspensions, dismissals and resignations",0.0,0.0,1.0,0.0162962962963
festivals,0.0,0.0,1.0,0.011851851851899999
christians and christianity,0.0,0.0,1.0,0.008888888888889999
priests,0.0,0.0,1.0,0.007407407407409999
documentary films and programs,0.0,0.0,1.0,0.0059259259259300005
photography,0.0,0.0,1.0,0.0059259259259300005
assaults,0.0,0.0,1.0,0.004444444444439999
privacy,0.0,0.0,1.0,0.0029629629629600003
appointments and executive changes,0.0,0.0,1.0,0.0029629629629600003
college athletics,0.0,0.0,1.0,0.0029629629629600003
frauds and swindling,0.0,0.0,1.0,0.0029629629629600003
restaurants,0.0,0.0,1.0,0.0029629629629600003
radio,0.0,0.0,1.0,0.0029629629629600003
prisons and prisoners,0.0,0.0,1.0,0.0029629629629600003
courts,0.0,0.0,1.0,0.0029629629629600003
trials,0.0,0.0,1.0,0.0029629629629600003
