term,a1_bin,a1_perc,a2_bin,a2_perc
ansari,7.0,0.584,0.0,0.0
aziz,3.0,0.267,0.0,0.0
grace,2.0,0.1,0.0,0.0
allegations,1.0,0.069,3.0,0.191
assault,1.0,0.067,2.0,0.114
misconduct,1.0,0.057999999999999996,1.0,0.053
harassment,1.0,0.053,1.0,0.027999999999999997
comedian,1.0,0.051,1.0,0.002
accusations,1.0,0.048,2.0,0.10099999999999999
babe,1.0,0.04,0.0,0.0
feminist,1.0,0.039,1.0,0.002
backlash,1.0,0.035,1.0,0.005
babe.net,1.0,0.034,0.0,0.0
weinstein,1.0,0.033,1.0,0.004
consensual,1.0,0.032,0.0,0.0
uncomfortable,1.0,0.027000000000000003,0.0,0.0
women's,1.0,0.025,1.0,0.016
netflix,1.0,0.025,0.0,0.0
abuse,1.0,0.025,1.0,0.02
banfield,1.0,0.024,0.0,0.0
media,1.0,0.023,1.0,0.017
globes,1.0,0.023,0.0,0.0
dating,1.0,0.023,1.0,0.002
consent,1.0,0.022000000000000002,1.0,0.005
anonymous,1.0,0.022000000000000002,1.0,0.004
woman's,1.0,0.021,1.0,0.004
time's,1.0,0.021,1.0,0.006
rape,1.0,0.021,1.0,0.017
harvey,1.0,0.021,1.0,0.002
feminism,1.0,0.021,0.0,0.0
workplace,1.0,0.018000000000000002,1.0,0.006
flanagan,1.0,0.018000000000000002,0.0,0.0
actress,1.0,0.018000000000000002,1.0,0.003
bee,1.0,0.017,0.0,0.0
tv,1.0,0.016,1.0,0.004
weiss,1.0,0.015,1.0,0.001
website,1.0,0.015,0.0,0.0
opinion,1.0,0.015,1.0,0.006999999999999999
writer,1.0,0.013999999999999999,1.0,0.002
victims,1.0,0.013000000000000001,1.0,0.013999999999999999
online,1.0,0.013000000000000001,1.0,0.003
campaign,1.0,0.013000000000000001,1.0,0.018000000000000002
supporters,1.0,0.012,1.0,0.005
roiphe,1.0,0.012,0.0,0.0
pressured,1.0,0.012,0.0,0.0
essay,1.0,0.012,0.0,0.0
criticized,1.0,0.012,0.0,0.0
conversations,1.0,0.012,1.0,0.003
caitlin,1.0,0.012,0.0,0.0
violated,1.0,0.011000000000000001,0.0,0.0
discomfort,1.0,0.011000000000000001,0.0,0.0
criminal,1.0,0.011000000000000001,1.0,0.009000000000000001
survivors,1.0,0.01,1.0,0.011000000000000001
romance,1.0,0.01,0.0,0.0
photographer,1.0,0.01,0.0,0.0
louis,1.0,0.01,0.0,0.0
franco,1.0,0.01,0.0,0.0
cues,1.0,0.01,0.0,0.0
conservative,1.0,0.01,1.0,0.021
cbs,1.0,0.01,1.0,0.003
awards,1.0,0.01,0.0,0.0
atlantic,1.0,0.01,0.0,0.0
woke,1.0,0.009000000000000001,0.0,0.0
vox,1.0,0.009000000000000001,1.0,0.004
twitter,1.0,0.009000000000000001,1.0,0.01
sparked,1.0,0.009000000000000001,0.0,0.0
samantha,1.0,0.009000000000000001,0.0,0.0
responds,1.0,0.009000000000000001,0.0,0.0
pin,1.0,0.009000000000000001,0.0,0.0
outrage,1.0,0.009000000000000001,0.0,0.0
katie,1.0,0.009000000000000001,0.0,0.0
indications,1.0,0.009000000000000001,0.0,0.0
bari,1.0,0.009000000000000001,0.0,0.0
acknowledging,1.0,0.009000000000000001,0.0,0.0
2018-01-,1.0,0.009000000000000001,0.0,0.0
williams,1.0,0.008,0.0,0.0
trump,1.0,0.008,2.0,0.109
sullivan,1.0,0.008,1.0,0.001
second-wave,1.0,0.008,0.0,0.0
publishing,1.0,0.008,0.0,0.0
op-ed,1.0,0.008,0.0,0.0
narratives,1.0,0.008,0.0,0.0
journalists,1.0,0.008,1.0,0.002
james,1.0,0.008,0.0,0.0
ignoring,1.0,0.008,0.0,0.0
hln,1.0,0.008,0.0,0.0
generational,1.0,0.008,0.0,0.0
falsely,1.0,0.008,0.0,0.0
defended,1.0,0.008,0.0,0.0
debates,1.0,0.008,0.0,0.0
college,1.0,0.008,1.0,0.011000000000000001
celebrity,1.0,0.008,0.0,0.0
ashleigh,1.0,0.008,0.0,0.0
andrew,1.0,0.008,0.0,0.0
aggressive,1.0,0.008,1.0,0.006
viral,1.0,0.006999999999999999,1.0,0.003
reckoning,1.0,0.006999999999999999,1.0,0.005
rage,1.0,0.006999999999999999,0.0,0.0
,1.0,0.006999999999999999,0.0,0.0
nuanced,1.0,0.006999999999999999,0.0,0.0
millennial,1.0,0.006999999999999999,0.0,0.0
id,1.0,0.006999999999999999,0.0,0.0
encounters,1.0,0.006999999999999999,0.0,0.0
controversial,1.0,0.006999999999999999,1.0,0.002
comeback,1.0,0.006999999999999999,0.0,0.0
coercion,1.0,0.006999999999999999,0.0,0.0
beverly,1.0,0.006999999999999999,0.0,0.0
american,1.0,0.006999999999999999,1.0,0.012
winner,1.0,0.006,0.0,0.0
washington,1.0,0.006,1.0,0.043
tweets,1.0,0.006,0.0,0.0
timezone_type,1.0,0.006,0.0,0.0
timezone,1.0,0.006,0.0,0.0
texts,1.0,0.006,0.0,0.0
tarana,1.0,0.006,0.0,0.0
spacey,1.0,0.006,1.0,0.001
slug,1.0,0.006,0.0,0.0
slams,1.0,0.006,0.0,0.0
sketch,1.0,0.006,1.0,0.001
sexually,1.0,0.006,1.0,0.034
scandals,1.0,0.006,0.0,0.0
ruin,1.0,0.006,1.0,0.003
reportedly,1.0,0.006,0.0,0.0
recounted,1.0,0.006,1.0,0.003
rapist,1.0,0.006,0.0,0.0
pseudonym,1.0,0.006,0.0,0.0
producers,1.0,0.006,0.0,0.0
porn,1.0,0.006,0.0,0.0
non-verbal,1.0,0.006,0.0,0.0
nominated,1.0,0.006,0.0,0.0
misogyny,1.0,0.006,0.0,0.0
man's,1.0,0.006,1.0,0.004
kiss,1.0,0.006,0.0,0.0
hypocritical,1.0,0.006,0.0,0.0
humiliation,1.0,0.006,0.0,0.0
hills,1.0,0.006,0.0,0.0
headline,1.0,0.006,0.0,0.0
hashtag,1.0,0.006,1.0,0.003
getty,1.0,0.006,1.0,0.002
frontal,1.0,0.006,0.0,0.0
focusing,1.0,0.006,0.0,0.0
exposing,1.0,0.006,1.0,0.003
episode,1.0,0.006,1.0,0.005
detailing,1.0,0.006,0.0,0.0
derail,1.0,0.006,1.0,0.002
crime,1.0,0.006,1.0,0.006
ck,1.0,0.006,0.0,0.0
burke,1.0,0.006,0.0,0.0
attendance,1.0,0.006,0.0,0.0
apologized,1.0,0.006,0.0,0.0
anchor,1.0,0.006,0.0,0.0
yorker,1.0,0.005,1.0,0.004
whisper,1.0,0.005,0.0,0.0
waithe,1.0,0.005,0.0,0.0
wafted,1.0,0.005,0.0,0.0
violence,1.0,0.005,0.0,0.0
universality,1.0,0.005,0.0,0.0
topics,1.0,0.005,0.0,0.0
tales,1.0,0.005,0.0,0.0
tackled,1.0,0.005,0.0,0.0
snl,1.0,0.005,0.0,0.0
shitty,1.0,0.005,0.0,0.0
sexism,1.0,0.005,1.0,0.001
revelation,1.0,0.005,0.0,0.0
republican,1.0,0.005,0.0,0.0
repeatedly,1.0,0.005,1.0,0.003
predators,1.0,0.005,0.0,0.0
oscar,1.0,0.005,0.0,0.0
mchale,1.0,0.005,0.0,0.0
liberation,1.0,0.005,0.0,0.0
kicked,1.0,0.005,0.0,0.0
kevin,1.0,0.005,1.0,0.002
journalism,1.0,0.005,0.0,0.0
joel,1.0,0.005,0.0,0.0
jezebel,1.0,0.005,0.0,0.0
interaction,1.0,0.005,0.0,0.0
initially,1.0,0.005,0.0,0.0
highlights,1.0,0.005,0.0,0.0
handmaid's,1.0,0.005,0.0,0.0
excesses,1.0,0.005,0.0,0.0
dismissing,1.0,0.005,0.0,0.0
condemning,1.0,0.005,0.0,0.0
commenting,1.0,0.005,0.0,0.0
ceremony,1.0,0.005,0.0,0.0
bryant,1.0,0.005,0.0,0.0
awkward,1.0,0.005,0.0,0.0
advances,1.0,0.005,0.0,0.0
witch,1.0,0.004,0.0,0.0
unfolding,1.0,0.004,1.0,0.005
today's,1.0,0.004,1.0,0.003
titled,1.0,0.004,1.0,0.002
therapists,1.0,0.004,0.0,0.0
spectrum,1.0,0.004,1.0,0.004
skips,1.0,0.004,0.0,0.0
shifted,1.0,0.004,0.0,0.0
schumer,1.0,0.004,1.0,0.004
sarah,1.0,0.004,1.0,0.002
sag,1.0,0.004,0.0,0.0
revenge,1.0,0.004,1.0,0.003
recklessly,1.0,0.004,0.0,0.0
realizing,1.0,0.004,0.0,0.0
professor,1.0,0.004,1.0,0.025
privileged,1.0,0.004,0.0,0.0
photo,1.0,0.004,0.0,0.0
patriarchy,1.0,0.004,0.0,0.0
partners,1.0,0.004,0.0,0.0
optimistic,1.0,0.004,1.0,0.002
oprah,1.0,0.004,0.0,0.0
ongoing,1.0,0.004,0.0,0.0
navigating,1.0,0.004,0.0,0.0
movement's,1.0,0.004,0.0,0.0
misread,1.0,0.004,0.0,0.0
metoo,1.0,0.004,1.0,0.011000000000000001
marvelous,1.0,0.004,0.0,0.0
maisel,1.0,0.004,0.0,0.0
lumped,1.0,0.004,0.0,0.0
