term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,3.0,0.236641221374,3.0,0.172413793103
Netflix,2.0,0.152671755725,1.0,0.014008620689700001
Washington Post,2.0,0.09541984732820001,3.0,0.239224137931
NBC,2.0,0.0916030534351,1.0,0.052801724137900005
HBO,2.0,0.0839694656489,1.0,0.0183189655172
Vox,1.0,0.0648854961832,1.0,0.03125
CNN,1.0,0.0610687022901,3.0,0.17025862069000003
White House,1.0,0.057251908396899996,4.0,0.322198275862
CBS,1.0,0.057251908396899996,1.0,0.0635775862069
Facebook,1.0,0.0534351145038,1.0,0.0581896551724
Congress,1.0,0.0496183206107,3.0,0.24892241379299998
Bari Weiss,1.0,0.0496183206107,0.0,0.0
Senate,1.0,0.0458015267176,8.0,0.640086206897
Times,1.0,0.0458015267176,1.0,0.03125
Amazon,1.0,0.0419847328244,1.0,0.015086206896600002
Time,1.0,0.0419847328244,1.0,0.00969827586207
Los Angeles Times,1.0,0.0381679389313,1.0,0.010775862069
Reuters,1.0,0.034351145038200005,1.0,0.0700431034483
Supreme Court,1.0,0.034351145038200005,10.0,0.832974137931
Associated Press,1.0,0.034351145038200005,1.0,0.0538793103448
ABC,1.0,0.030534351145000003,1.0,0.0290948275862
Google,1.0,0.030534351145000003,1.0,0.03125
New York,1.0,0.030534351145000003,1.0,0.005387931034479999
Harvard,1.0,0.0267175572519,1.0,0.0183189655172
solidarity,1.0,0.0267175572519,1.0,0.006465517241380001
FBI,1.0,0.0229007633588,5.0,0.375
BBC,1.0,0.0229007633588,1.0,0.005387931034479999
Trump administration,1.0,0.0190839694656,1.0,0.030172413793099997
Fox News,1.0,0.0190839694656,2.0,0.14439655172399998
New York Post,1.0,0.0190839694656,1.0,0.00862068965517
PBS,1.0,0.0190839694656,1.0,0.00969827586207
USA TODAY,1.0,0.0190839694656,1.0,0.0215517241379
Academy of Motion Picture Arts and Sciences,1.0,0.0190839694656,0.0,0.0
Vanity Fair,1.0,0.0190839694656,1.0,0.006465517241380001
Hollywood Foreign Press Association,1.0,0.0190839694656,0.0,0.0
Bloomberg,1.0,0.015267175572500001,1.0,0.0269396551724
YouTube,1.0,0.015267175572500001,1.0,0.004310344827590001
CDC,1.0,0.015267175572500001,1.0,0.004310344827590001
Disney,1.0,0.015267175572500001,1.0,0.004310344827590001
NBA,1.0,0.015267175572500001,0.0,0.0
AMC,1.0,0.015267175572500001,0.0,0.0
MTV,1.0,0.015267175572500001,0.0,0.0
University of Cincinnati,1.0,0.015267175572500001,0.0,0.0
USA Gymnastics,1.0,0.015267175572500001,0.0,0.0
Showtime,1.0,0.015267175572500001,0.0,0.0
TBS,1.0,0.015267175572500001,0.0,0.0
Yale,1.0,0.0114503816794,2.0,0.09375
AP,1.0,0.0114503816794,1.0,0.0614224137931
GOP,1.0,0.0114503816794,3.0,0.243534482759
NBC News,1.0,0.0114503816794,1.0,0.04849137931030001
Justice Department,1.0,0.0114503816794,1.0,0.038793103448300004
