term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,7.0,0.236641221374,10.0,0.348894348894
Netflix,5.0,0.152671755725,6.0,0.191646191646
Washington Post,3.0,0.09541984732820001,4.0,0.12285012285000001
NBC,3.0,0.0916030534351,5.0,0.14987714987700002
HBO,3.0,0.0839694656489,3.0,0.0761670761671
Vox,2.0,0.0648854961832,2.0,0.0638820638821
CNN,2.0,0.0610687022901,3.0,0.07125307125310001
White House,2.0,0.057251908396899996,2.0,0.0663390663391
CBS,2.0,0.057251908396899996,4.0,0.132678132678
Facebook,2.0,0.0534351145038,2.0,0.0540540540541
Congress,2.0,0.0496183206107,2.0,0.0614250614251
Bari Weiss,2.0,0.0496183206107,1.0,0.00737100737101
Senate,2.0,0.0458015267176,4.0,0.10810810810799999
Times,2.0,0.0458015267176,2.0,0.0565110565111
Amazon,2.0,0.0419847328244,2.0,0.0638820638821
Time,2.0,0.0419847328244,3.0,0.07125307125310001
Los Angeles Times,2.0,0.0381679389313,1.0,0.034398034397999995
Reuters,1.0,0.034351145038200005,1.0,0.027027027026999998
Supreme Court,1.0,0.034351145038200005,3.0,0.0909090909091
Associated Press,1.0,0.034351145038200005,1.0,0.024570024569999998
ABC,1.0,0.030534351145000003,3.0,0.07371007371010001
Google,1.0,0.030534351145000003,1.0,0.031941031941
New York,1.0,0.030534351145000003,1.0,0.00737100737101
Harvard,1.0,0.0267175572519,1.0,0.019656019656
solidarity,1.0,0.0267175572519,1.0,0.024570024569999998
FBI,1.0,0.0229007633588,2.0,0.041769041768999995
BBC,1.0,0.0229007633588,1.0,0.012285012284999999
Trump administration,1.0,0.0190839694656,1.0,0.00982800982801
Fox News,1.0,0.0190839694656,2.0,0.06879606879610001
New York Post,1.0,0.0190839694656,1.0,0.027027027026999998
PBS,1.0,0.0190839694656,2.0,0.044226044226
USA TODAY,1.0,0.0190839694656,1.0,0.024570024569999998
Academy of Motion Picture Arts and Sciences,1.0,0.0190839694656,1.0,0.014742014742
Vanity Fair,1.0,0.0190839694656,1.0,0.034398034397999995
Hollywood Foreign Press Association,1.0,0.0190839694656,0.0,0.0
Bloomberg,1.0,0.015267175572500001,1.0,0.014742014742
YouTube,1.0,0.015267175572500001,1.0,0.024570024569999998
CDC,1.0,0.015267175572500001,1.0,0.00737100737101
Disney,1.0,0.015267175572500001,2.0,0.041769041768999995
NBA,1.0,0.015267175572500001,0.0,0.0
AMC,1.0,0.015267175572500001,1.0,0.019656019656
MTV,1.0,0.015267175572500001,0.0,0.0
University of Cincinnati,1.0,0.015267175572500001,1.0,0.00737100737101
USA Gymnastics,1.0,0.015267175572500001,1.0,0.022113022113
Showtime,1.0,0.015267175572500001,1.0,0.019656019656
TBS,1.0,0.015267175572500001,0.0,0.0
Yale,1.0,0.0114503816794,1.0,0.017199017198999998
AP,1.0,0.0114503816794,2.0,0.036855036855
GOP,1.0,0.0114503816794,2.0,0.0540540540541
NBC News,1.0,0.0114503816794,1.0,0.029484029484
Justice Department,1.0,0.0114503816794,1.0,0.019656019656
Columbia University,1.0,0.0114503816794,1.0,0.004914004914
Columbia,1.0,0.0114503816794,0.0,0.0
National Organization for Women,1.0,0.0114503816794,0.0,0.0
Ford,1.0,0.0114503816794,2.0,0.049140049139999996
Hollywood,1.0,0.0114503816794,1.0,0.00737100737101
NYU,1.0,0.0114503816794,1.0,0.00737100737101
Breitbart News,1.0,0.0114503816794,1.0,0.004914004914
Pixar,1.0,0.0114503816794,1.0,0.017199017198999998
Senate Judiciary Committee,1.0,0.0114503816794,2.0,0.041769041768999995
USA Today,1.0,0.0114503816794,1.0,0.00982800982801
New York Daily News,1.0,0.0114503816794,0.0,0.0
Bell,1.0,0.0114503816794,0.0,0.0
New York magazine,1.0,0.0114503816794,1.0,0.004914004914
Capitol Hill,1.0,0.0114503816794,1.0,0.00982800982801
cis,1.0,0.0114503816794,1.0,0.004914004914
Golden Globe,1.0,0.0114503816794,1.0,0.00982800982801
University of Findlay,1.0,0.0114503816794,0.0,0.0
WNYC,1.0,0.0114503816794,1.0,0.019656019656
