term,a1_bin,a1_perc,a2_bin,a2_perc
comedian aziz ansari,6.0,0.032,0.0,0.0
aziz ansari misconduct,2.0,0.01,0.0,0.0
ansari indications consensual,1.0,0.005,0.0,0.0
woman's comedian aziz,1.0,0.004,0.0,0.0
website babe.net ansari,1.0,0.004,0.0,0.0
titled aziz ansari,1.0,0.004,0.0,0.0
louis aziz ansari,1.0,0.004,0.0,0.0
hln ashleigh banfield,1.0,0.004,0.0,0.0
frontal samantha bee,1.0,0.004,0.0,0.0
babe.net aziz ansari,1.0,0.004,0.0,0.0
aziz ansari responds,1.0,0.004,0.0,0.0
aziz ansari netflix,1.0,0.004,0.0,0.0
writer bari weiss,1.0,0.003,0.0,0.0
women's feminism hominem,1.0,0.003,0.0,0.0
william macy shameless,1.0,0.003,0.0,0.0
weeding actors renegotiate,1.0,0.003,0.0,0.0
tv aziz ansari,1.0,0.003,0.0,0.0
tales abuse wafted,1.0,0.003,0.0,0.0
sustained weeding actors,1.0,0.003,0.0,0.0
righted wrongs smoother,1.0,0.003,0.0,0.0
responds accusation assault,1.0,0.003,0.0,0.0
misconduct comedian aziz,1.0,0.003,0.0,0.0
marvelous maisel tv,1.0,0.003,0.0,0.0
lumping studios actresses,1.0,0.003,0.0,0.0
james franco aziz,1.0,0.003,0.0,0.0
humiliation aziz ansari,1.0,0.003,0.0,0.0
grace's aziz ansari,1.0,0.003,0.0,0.0
grace aziz ansari,1.0,0.003,0.0,0.0
franco aziz ansari,1.0,0.003,0.0,0.0
ewan mcgregor fargo,1.0,0.003,0.0,0.0
aziz ansari pressured,1.0,0.003,0.0,0.0
aziz ansari nominated,1.0,0.003,0.0,0.0
aziz ansari exposé,1.0,0.003,0.0,0.0
aziz ansari debacle,1.0,0.003,0.0,0.0
aziz ansari aggressive,1.0,0.003,0.0,0.0
aziz ansari accuser,1.0,0.003,0.0,0.0
ansari tales abuse,1.0,0.003,0.0,0.0
ansari responds accusation,1.0,0.003,0.0,0.0
ansari james franco,1.0,0.003,0.0,0.0
anonymous woman's comedian,1.0,0.003,0.0,0.0
andrew sullivan excesses,1.0,0.003,0.0,0.0
allegations aziz ansari,1.0,0.003,0.0,0.0
actors renegotiate narratives,1.0,0.003,0.0,0.0
actors guild awards,1.0,0.003,0.0,0.0
accusation assault consensual,1.0,0.003,0.0,0.0
"3,000 revenge porn",1.0,0.003,0.0,0.0
wrongs smoother banfield,1.0,0.002,0.0,0.0
workplace harasser aziz,1.0,0.002,0.0,0.0
women's ansari accuser,1.0,0.002,0.0,0.0
waldorf astoria beverly,1.0,0.002,0.0,0.0
von muffling grace,1.0,0.002,0.0,0.0
viral babe follow-up,1.0,0.002,0.0,0.0
uncomfortable non-verbal cues,1.0,0.002,0.0,0.0
tv sterling actress,1.0,0.002,0.0,0.0
tv rachel brosnahan,1.0,0.002,0.0,0.0
tv elisabeth moss,1.0,0.002,0.0,0.0
trivial mistakes misdeeds,1.0,0.002,0.0,0.0
timezone_type timezone datecreated,1.0,0.002,0.0,0.0
timezone_type timezone 2018-01-,1.0,0.002,0.0,0.0
timezone datecreated 2018-01-,1.0,0.002,0.0,0.0
time's pin globe,1.0,0.002,0.0,0.0
time's campaign victims,1.0,0.002,0.0,0.0
texted ansari uncomfortable,1.0,0.002,0.0,0.0
takeaway aziz ansari,1.0,0.002,0.0,0.0
studios actresses supervisors,1.0,0.002,0.0,0.0
studios actresses factory-floor,1.0,0.002,0.0,0.0
sterling actress tv,1.0,0.002,0.0,0.0
statuette william macy,1.0,0.002,0.0,0.0
squad privileged brown-skinned,1.0,0.002,0.0,0.0
sociologist eric klinenberg,1.0,0.002,0.0,0.0
snl sketch couples,1.0,0.002,0.0,0.0
slams backlash rape,1.0,0.002,0.0,0.0
skarsgard actress laura,1.0,0.002,0.0,0.0
scare realizing partners,1.0,0.002,0.0,0.0
samantha bee slams,1.0,0.002,0.0,0.0
samantha bee backlash,1.0,0.002,0.0,0.0
sacks commentator men's,1.0,0.002,0.0,0.0
realizing partners experiencing,1.0,0.002,0.0,0.0
rapist workplace harasser,1.0,0.002,0.0,0.0
rape ruin frontal,1.0,0.002,0.0,0.0
rachel brosnahan marvelous,1.0,0.002,0.0,0.0
promodek null null,1.0,0.002,0.0,0.0
producer harvey weinstein,1.0,0.002,1.0,0.005
photographer grace ansari,1.0,0.002,0.0,0.0
personalities criticize babe.net,1.0,0.002,0.0,0.0
partners mirrored anonymous,1.0,0.002,0.0,0.0
opinion writer bari,1.0,0.002,0.0,0.0
null null duration,1.0,0.002,0.0,0.0
null duration airdate,1.0,0.002,0.0,0.0
non-verbal cues advances,1.0,0.002,0.0,0.0
nominated netflix no-show,1.0,0.002,0.0,0.0
no-show headlines violated,1.0,0.002,0.0,0.0
nicole kidman alexander,1.0,0.002,0.0,0.0
netflix no-show headlines,1.0,0.002,0.0,0.0
moss handmaid's marvelous,1.0,0.002,0.0,0.0
mistakes misdeeds genuinely,1.0,0.002,0.0,0.0
misdeeds genuinely awful,1.0,0.002,0.0,0.0
misconduct aziz ansari,1.0,0.002,0.0,0.0
mirrored anonymous woman's,1.0,0.002,0.0,0.0
men's ansari buttresses,1.0,0.002,0.0,0.0
media time's campaign,1.0,0.002,0.0,0.0
mcgregor fargo actress,1.0,0.002,0.0,0.0
maisel tv aziz,1.0,0.002,0.0,0.0
lumping trivial mistakes,1.0,0.002,0.0,0.0
lukas independent women's,1.0,0.002,0.0,0.0
kidman alexander skarsgard,1.0,0.002,0.0,0.0
james franco attends,1.0,0.002,0.0,0.0
independent women's ansari,1.0,0.002,0.0,0.0
id d59a0e34 5db7,1.0,0.002,0.0,0.0
id ac032b55 e8d3,1.0,0.002,0.0,0.0
id 83688c05 7d8a,1.0,0.002,0.0,0.0
hurt humiliate ansari,1.0,0.002,0.0,0.0
https cbsnews3.cbsistatic.com hub,1.0,0.002,0.0,0.0
hln's ashleigh banfield,1.0,0.002,0.0,0.0
hln anchor ashleigh,1.0,0.002,0.0,0.0
headlines violated awkward,1.0,0.002,0.0,0.0
harasser aziz ansari,1.0,0.002,0.0,0.0
handmaid's tv sterling,1.0,0.002,0.0,0.0
handmaid's marvelous maisel,1.0,0.002,0.0,0.0
grace's nonverbal cues,1.0,0.002,0.0,0.0
grace's apologized uncomfortable,1.0,0.002,0.0,0.0
grace ansari uber,1.0,0.002,0.0,0.0
glenn sacks commentator,1.0,0.002,0.0,0.0
getty aziz ansari,1.0,0.002,0.0,0.0
genuinely awful handful,1.0,0.002,0.0,0.0
french catherine deneuve,1.0,0.002,0.0,0.0
french actress catherine,1.0,0.002,0.0,0.0
frederic agence france-presse,1.0,0.002,0.0,0.0
franco attends aziz,1.0,0.002,0.0,0.0
follow-up featuring partners,1.0,0.002,0.0,0.0
flanagan squad privileged,1.0,0.002,0.0,0.0
fervent scare realizing,1.0,0.002,0.0,0.0
feminism hominem highlights,1.0,0.002,0.0,0.0
featuring partners mirrored,1.0,0.002,0.0,0.0
fashions dating guru,1.0,0.002,0.0,0.0
factory-floor supervisors trivializes,1.0,0.002,0.0,0.0
explosive atlantic essay,1.0,0.002,0.0,0.0
essay caitlin flanagan,1.0,0.002,0.0,0.0
elisabeth moss handmaid's,1.0,0.002,0.0,0.0
e8d3 46b6 b53f,1.0,0.002,0.0,0.0
duration airdate 2018-01-,1.0,0.002,0.0,0.0
distressing grace's aziz,1.0,0.002,0.0,0.0
deneuve apologized victims,1.0,0.002,0.0,0.0
d59a0e34 5db7 3f9a824bddfc,1.0,0.002,0.0,0.0
conservative analyst carrie,1.0,0.002,0.0,0.0
commentator men's ansari,1.0,0.002,0.0,0.0
comedians louis aziz,1.0,0.002,0.0,0.0
cbs slug cbs,1.0,0.002,0.0,0.0
catherine deneuve apologized,1.0,0.002,0.0,0.0
carrie lukas independent,1.0,0.002,0.0,0.0
caitlin flanagan squad,1.0,0.002,0.0,0.0
buttresses lumping trivial,1.0,0.002,0.0,0.0
brosnahan marvelous maisel,1.0,0.002,0.0,0.0
bee slams backlash,1.0,0.002,0.0,0.0
banfield women's feminism,1.0,0.002,0.0,0.0
backlash rape ruin,1.0,0.002,0.0,0.0
backlash aziz ansari,1.0,0.002,0.0,0.0
babe follow-up featuring,1.0,0.002,0.0,0.0
b53f 0950f9ee97c7 slug,1.0,0.002,0.0,0.0
aziz ansari sociologist,1.0,0.002,0.0,0.0
aziz ansari skips,1.0,0.002,0.0,0.0
aziz ansari real-life,1.0,0.002,0.0,0.0
aziz ansari paradox,1.0,0.002,0.0,0.0
aziz ansari james,1.0,0.002,0.0,0.0
aziz ansari grace,1.0,0.002,0.0,0.0
aziz ansari globes,1.0,0.002,0.0,0.0
aziz ansari dismiss,1.0,0.002,0.0,0.0
aziz ansari clashes,1.0,0.002,0.0,0.0
aziz ansari bari,1.0,0.002,0.0,0.0
aziz ansari babe.net,1.0,0.002,0.0,0.0
aziz ansari assault,1.0,0.002,0.0,0.0
aziz ansari actress,1.0,0.002,0.0,0.0
attends aziz ansari,1.0,0.002,0.0,0.0
atlantic essay caitlin,1.0,0.002,0.0,0.0
astoria beverly hills,1.0,0.002,0.0,0.0
assault aziz ansari,1.0,0.002,0.0,0.0
ashleigh banfield tv,1.0,0.002,0.0,0.0
apologized victims assault,1.0,0.002,0.0,0.0
ansari's dating romance,1.0,0.002,0.0,0.0
ansari's accuser grace,1.0,0.002,0.0,0.0
ansari viral babe,1.0,0.002,0.0,0.0
ansari uncomfortable non-verbal,1.0,0.002,0.0,0.0
ansari statuette william,1.0,0.002,0.0,0.0
ansari sociologist eric,1.0,0.002,0.0,0.0
ansari nominated netflix,1.0,0.002,0.0,0.0
ansari grace's apologized,1.0,0.002,0.0,0.0
ansari debacle proves,1.0,0.002,0.0,0.0
ansari commit crime,1.0,0.002,0.0,0.0
ansari clashes anchor,1.0,0.002,0.0,0.0
ansari buttresses lumping,1.0,0.002,0.0,0.0
ansari bari weiss,1.0,0.002,0.0,0.0
ansari aggressive selfish,1.0,0.002,0.0,0.0
ansari actress tv,1.0,0.002,0.0,0.0
ansari accuser consensual,1.0,0.002,0.0,0.0
anonymous woman's ansari,1.0,0.002,0.0,0.0
anchor ashleigh banfield,1.0,0.002,0.0,0.0
analyst carrie lukas,1.0,0.002,0.0,0.0
amy schumer misconduct,1.0,0.002,0.0,0.0
allegations weinstein ansari,1.0,0.002,0.0,0.0
alexander skarsgard actress,1.0,0.002,0.0,0.0
aggressive selfish obnoxious,1.0,0.002,0.0,0.0
agence france-presse getty,1.0,0.002,0.0,0.0
actresses media time's,1.0,0.002,0.0,0.0
actresses factory-floor supervisors,1.0,0.002,0.0,0.0
actress tv rachel,1.0,0.002,0.0,0.0
actress tv elisabeth,1.0,0.002,0.0,0.0
actress laura dern,1.0,0.002,0.0,0.0
actress catherine deneuve,1.0,0.002,0.0,0.0
actors james franco,1.0,0.002,0.0,0.0
accuser consensual welcomed,1.0,0.002,0.0,0.0
accusation misconduct comedian,1.0,0.002,0.0,0.0
ac032b55 e8d3 46b6,1.0,0.002,0.0,0.0
90c1 5a16e8430f7e slug,1.0,0.002,0.0,0.0
83688c05 7d8a 4cac,1.0,0.002,0.0,0.0
7d8a 4cac 90c1,1.0,0.002,0.0,0.0
5db7 3f9a824bddfc cbs,1.0,0.002,0.0,0.0
5a16e8430f7e slug id,1.0,0.002,0.0,0.0
4cac 90c1 5a16e8430f7e,1.0,0.002,0.0,0.0
46b6 b53f 0950f9ee97c7,1.0,0.002,0.0,0.0
3f9a824bddfc cbs slug,1.0,0.002,0.0,0.0
0950f9ee97c7 slug id,1.0,0.002,0.0,0.0
zuma rex shutterstock,1.0,0.001,0.0,0.0
zooming women's psyches,1.0,0.001,0.0,0.0
zoomed oppressed economic,1.0,0.001,0.0,0.0
youâ ve aziz,1.0,0.001,0.0,0.0
youth naivety anonymous,1.0,0.001,0.0,0.0
yorker's viral something's,1.0,0.001,0.0,0.0
yorker's blockbuster christine,1.0,0.001,0.0,0.0
yorker's aziz ansari,1.0,0.001,0.0,0.0
yorker reporting harvey,1.0,0.001,0.0,0.0
yorker ovid olympics,1.0,0.001,0.0,0.0
yorker bad-sex controversial,1.0,0.001,0.0,0.0
year-old's comedian aziz,1.0,0.001,0.0,0.0
year's pushback then-nascent,1.0,0.001,0.0,0.0
year's kicked earnest,1.0,0.001,0.0,0.0
yang explore pursuit,1.0,0.001,0.0,0.0
writer molly roberts,1.0,0.001,0.0,0.0
writer millennial sensation,1.0,0.001,0.0,0.0
writer katie roiphe,1.0,0.001,0.0,0.0
writer jessica valenti,1.0,0.001,0.0,0.0
writer hln's ashleigh,1.0,0.001,0.0,0.0
writer frontal samantha,1.0,0.001,0.0,0.0
writer david klion,1.0,0.001,0.0,0.0
writer babe.net bodily,1.0,0.001,0.0,0.0
writer aziz ansari,1.0,0.001,0.0,0.0
"writer 3,000 revenge",1.0,0.001,0.0,0.0
workplaces partners families,1.0,0.001,0.0,0.0
workplace survivors rally,1.0,0.001,1.0,0.001
workplace promoting gender,1.0,0.001,0.0,0.0
workplace harassment westminster,1.0,0.001,0.0,0.0
workplace harassment serial,1.0,0.001,0.0,0.0
workplace harassment celebrities,1.0,0.001,0.0,0.0
workplace harassment blatant,1.0,0.001,0.0,0.0
workplace harassment assault,1.0,0.001,0.0,0.0
workplace boss's penis,1.0,0.001,0.0,0.0
work-in-progress uk outing,1.0,0.001,0.0,0.0
woody-allen https cbsnews3.cbsistatic.com,1.0,0.001,0.0,0.0
woody allen slug,1.0,0.001,0.0,0.0
woody allen id,1.0,0.001,0.0,0.0
women's website babe.net,1.0,0.001,0.0,0.0
women's typically rooted,1.0,0.001,0.0,0.0
women's sexuality tamping,1.0,0.001,0.0,0.0
women's psyches housework,1.0,0.001,0.0,0.0
women's propagated online,1.0,0.001,0.0,0.0
women's pent-up rage,1.0,0.001,0.0,0.0
women's nationwide vox,1.0,0.001,0.0,0.0
women's metoo rethink,1.0,0.001,0.0,0.0
women's floods washington,1.0,0.001,0.0,0.0
women's drives trump,1.0,0.001,0.0,0.0
women's complexity distinguish,1.0,0.001,0.0,0.0
women's ansari's skeptics,1.0,0.001,0.0,0.0
women's ansari feminists,1.0,0.001,0.0,0.0
