term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,5.0,0.236641221374,5.0,0.24531835206
Netflix,3.0,0.152671755725,1.0,0.029962546816500003
Washington Post,2.0,0.09541984732820001,5.0,0.26404494382
NBC,2.0,0.0916030534351,2.0,0.11235955056199999
HBO,2.0,0.0839694656489,1.0,0.005617977528089999
Vox,2.0,0.0648854961832,1.0,0.0374531835206
CNN,2.0,0.0610687022901,4.0,0.185393258427
White House,1.0,0.057251908396899996,6.0,0.331460674157
CBS,1.0,0.057251908396899996,1.0,0.05056179775280001
Facebook,1.0,0.0534351145038,2.0,0.0861423220974
Congress,1.0,0.0496183206107,7.0,0.37640449438199997
Bari Weiss,1.0,0.0496183206107,0.0,0.0
Senate,1.0,0.0458015267176,10.0,0.582397003745
Times,1.0,0.0458015267176,2.0,0.061797752808999996
Amazon,1.0,0.0419847328244,1.0,0.0430711610487
Time,1.0,0.0419847328244,1.0,0.033707865168499995
Los Angeles Times,1.0,0.0381679389313,1.0,0.0205992509363
Reuters,1.0,0.034351145038200005,1.0,0.0486891385768
Supreme Court,1.0,0.034351145038200005,4.0,0.21535580524300002
Associated Press,1.0,0.034351145038200005,1.0,0.0355805243446
ABC,1.0,0.030534351145000003,1.0,0.0393258426966
Google,1.0,0.030534351145000003,1.0,0.0374531835206
New York,1.0,0.030534351145000003,1.0,0.0131086142322
Harvard,1.0,0.0267175572519,1.0,0.0243445692884
solidarity,1.0,0.0267175572519,1.0,0.0187265917603
FBI,1.0,0.0229007633588,3.0,0.13295880149800002
BBC,1.0,0.0229007633588,1.0,0.022471910112400004
Trump administration,1.0,0.0190839694656,1.0,0.041198501872699994
Fox News,1.0,0.0190839694656,3.0,0.16479400749099998
New York Post,1.0,0.0190839694656,1.0,0.00749063670412
PBS,1.0,0.0190839694656,1.0,0.0355805243446
USA TODAY,1.0,0.0190839694656,1.0,0.0262172284644
Academy of Motion Picture Arts and Sciences,1.0,0.0190839694656,0.0,0.0
Vanity Fair,1.0,0.0190839694656,1.0,0.0262172284644
Hollywood Foreign Press Association,1.0,0.0190839694656,0.0,0.0
