term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,4.0,0.26962962963000003,0.0,0.0
New York Times,3.0,0.174814814815,3.0,0.172413793103
Supreme Court,2.0,0.134814814815,10.0,0.832974137931
Associated Press,2.0,0.10962962962999999,1.0,0.0538793103448
Reuters,2.0,0.100740740741,1.0,0.0700431034483
Fox News,2.0,0.100740740741,2.0,0.14439655172399998
AP,2.0,0.09925925925930001,1.0,0.0614224137931
Senate,1.0,0.0814814814815,8.0,0.640086206897
Washington Post,1.0,0.08,3.0,0.239224137931
CNN,1.0,0.077037037037,3.0,0.17025862069000003
NBC,1.0,0.077037037037,1.0,0.052801724137900005
CBS,1.0,0.0651851851852,1.0,0.0635775862069
Facebook,1.0,0.0637037037037,1.0,0.0581896551724
White House,1.0,0.0637037037037,4.0,0.322198275862
Netflix,1.0,0.0562962962963,1.0,0.014008620689700001
Congress,1.0,0.05481481481480001,3.0,0.24892241379299998
Ford,1.0,0.05481481481480001,9.0,0.725215517241
Senate Judiciary Committee,1.0,0.0503703703704,7.0,0.553879310345
ABC,1.0,0.044444444444399996,1.0,0.0290948275862
FBI,1.0,0.04296296296299999,5.0,0.375
GOP,1.0,0.0385185185185,3.0,0.243534482759
Academy of Motion Picture Arts and Sciences,1.0,0.0385185185185,0.0,0.0
NBC News,1.0,0.037037037037,1.0,0.04849137931030001
Time,1.0,0.0355555555556,1.0,0.00969827586207
House,1.0,0.029629629629599998,2.0,0.09267241379310001
Times,1.0,0.0281481481481,1.0,0.03125
Temple,1.0,0.0281481481481,0.0,0.0
MSNBC,1.0,0.026666666666700003,1.0,0.0247844827586
Yale,1.0,0.0251851851852,2.0,0.09375
Los Angeles Times,1.0,0.0251851851852,1.0,0.010775862069
Capitol Hill,1.0,0.0251851851852,1.0,0.0431034482759
Google,1.0,0.0237037037037,1.0,0.03125
HBO,1.0,0.0237037037037,1.0,0.0183189655172
Justice Department,1.0,0.022222222222199998,1.0,0.038793103448300004
ABC News,1.0,0.022222222222199998,1.0,0.0247844827586
CBS News,1.0,0.020740740740700002,1.0,0.0258620689655
Trump,1.0,0.020740740740700002,1.0,0.0549568965517
Harvard,1.0,0.0192592592593,1.0,0.0183189655172
Judiciary Committee,1.0,0.0192592592593,3.0,0.245689655172
Vox,1.0,0.0192592592593,1.0,0.03125
Amazon Studios,1.0,0.0192592592593,0.0,0.0
YouTube,1.0,0.0177777777778,1.0,0.004310344827590001
NFL,1.0,0.0177777777778,1.0,0.010775862069
Wall Street Journal,1.0,0.0177777777778,1.0,0.04525862068969999
Weinstein Company,1.0,0.0177777777778,0.0,0.0
