term,a1_bin,a1_perc,a2_bin,a2_perc
Bill Cosby,10.0,0.917037037037,1.0,0.046336206896599993
Andrea Constand,5.0,0.46666666666699996,1.0,0.015086206896600002
Harvey Weinstein,5.0,0.44740740740699997,1.0,0.09375
Donald Trump,2.0,0.154074074074,4.0,0.38146551724100003
Kevin Spacey,2.0,0.115555555556,1.0,0.00862068965517
Janice Dickinson,2.0,0.11259259259299999,0.0,0.0
Matt Lauer,2.0,0.10962962962999999,1.0,0.014008620689700001
Kevin Steele,2.0,0.10962962962999999,0.0,0.0
Brett Kavanaugh,2.0,0.100740740741,9.0,0.8297413793100001
Tom Mesereau,1.0,0.0948148148148,0.0,0.0
Gloria Allred,1.0,0.0888888888889,0.0,0.0
Steven O’Neill,1.0,0.0874074074074,0.0,0.0
Charlie Rose,1.0,0.0844444444444,1.0,0.0172413793103
Andrew Wyatt,1.0,0.0814814814815,0.0,0.0
Cliff Huxtable,1.0,0.077037037037,0.0,0.0
Trump,1.0,0.0755555555556,3.0,0.24461206896600002
Roger Ailes,1.0,0.0755555555556,1.0,0.010775862069
Christine Blasey Ford,1.0,0.07259259259260001,10.0,0.987068965517
Al Franken,1.0,0.0696296296296,1.0,0.0377155172414
Steven O'Neill,1.0,0.06666666666669999,0.0,0.0
Michael Jackson,1.0,0.0651851851852,0.0,0.0
Bill Clinton,1.0,0.0592592592593,1.0,0.0711206896552
Louis C.K.,1.0,0.0562962962963,1.0,0.015086206896600002
Lili Bernard,1.0,0.0503703703704,0.0,0.0
Clarence Thomas,1.0,0.0459259259259,3.0,0.245689655172
Anita Hill,1.0,0.0459259259259,3.0,0.265086206897
Tarana Burke,1.0,0.0459259259259,1.0,0.0226293103448
Roy Moore,1.0,0.044444444444399996,1.0,0.042025862069
Lise-Lotte Lublin,1.0,0.04296296296299999,0.0,0.0
Larry Nassar,1.0,0.04,1.0,0.00969827586207
Kathleen Bliss,1.0,0.04,0.0,0.0
Camille Cosby,1.0,0.0385185185185,0.0,0.0
Heidi Thomas,1.0,0.0385185185185,0.0,0.0
Janice Baker-Kinney,1.0,0.0385185185185,0.0,0.0
Chelan Lasha,1.0,0.0385185185185,0.0,0.0
Ashley Judd,1.0,0.037037037037,1.0,0.00969827586207
Rose McGowan,1.0,0.0355555555556,1.0,0.00862068965517
Marguerite Jackson,1.0,0.0355555555556,0.0,0.0
Alyssa Milano,1.0,0.0340740740741,1.0,0.028017241379299996
Bill O’Reilly,1.0,0.0325925925926,0.0,0.0
Kristen Feden,1.0,0.0325925925926,0.0,0.0
Camille,1.0,0.0311111111111,0.0,0.0
Steven T. O’Neill,1.0,0.0311111111111,0.0,0.0
Woody Allen,1.0,0.029629629629599998,1.0,0.004310344827590001
Mario Batali,1.0,0.029629629629599998,1.0,0.004310344827590001
Ronan Farrow,1.0,0.029629629629599998,1.0,0.0344827586207
James Toback,1.0,0.029629629629599998,0.0,0.0
Hillary Clinton,1.0,0.0281481481481,1.0,0.0635775862069
Jeff Flake,1.0,0.026666666666700003,2.0,0.1875
R. Kelly,1.0,0.026666666666700003,0.0,0.0
Roman Polanski,1.0,0.026666666666700003,0.0,0.0
Bill O'Reilly,1.0,0.0251851851852,0.0,0.0
Lisa Bloom,1.0,0.0237037037037,0.0,0.0
Les Moonves,1.0,0.0237037037037,1.0,0.014008620689700001
Brett Ratner,1.0,0.0237037037037,0.0,0.0
Victoria Valentino,1.0,0.0237037037037,0.0,0.0
Kristen Dudley,1.0,0.0237037037037,0.0,0.0
Harrison Snyder,1.0,0.0237037037037,0.0,0.0
Robert Mueller,1.0,0.022222222222199998,1.0,0.0355603448276
Hannibal Buress,1.0,0.022222222222199998,0.0,0.0
David DeKok,1.0,0.022222222222199998,0.0,0.0
Steven T. O'Neill,1.0,0.022222222222199998,0.0,0.0
Mitch McConnell,1.0,0.020740740740700002,2.0,0.191810344828
Fox,1.0,0.020740740740700002,1.0,0.030172413793099997
Gretchen Carlson,1.0,0.0192592592593,0.0,0.0
Thomas Mesereau,1.0,0.0192592592593,0.0,0.0
Steve Wynn,1.0,0.0177777777778,0.0,0.0
Michael Cohen,1.0,0.0177777777778,1.0,0.00754310344828
Eric Schneiderman,1.0,0.0177777777778,0.0,0.0
Mark Makela,1.0,0.0177777777778,0.0,0.0
Benjamin Brafman,1.0,0.0177777777778,0.0,0.0
Joseph Green,1.0,0.0177777777778,0.0,0.0
Constand,1.0,0.0177777777778,0.0,0.0
James Comey,1.0,0.0162962962963,1.0,0.014008620689700001
Lindsey Graham,1.0,0.0162962962963,2.0,0.10452586206900001
Jesus,1.0,0.0162962962963,1.0,0.004310344827590001
Nancy Pelosi,1.0,0.0162962962963,1.0,0.023706896551700003
Jimmy Kimmel,1.0,0.0162962962963,0.0,0.0
Kim Jong Un,1.0,0.0162962962963,1.0,0.0193965517241
Mark Halperin,1.0,0.0162962962963,0.0,0.0
Cosby,1.0,0.0162962962963,0.0,0.0
Kelly Johnson,1.0,0.0162962962963,0.0,0.0
Gianna Constand,1.0,0.0162962962963,0.0,0.0
Rachel Mitchell,1.0,0.0162962962963,1.0,0.0689655172414
Lissa Kaplan,1.0,0.0162962962963,0.0,0.0
Obama,1.0,0.014814814814799999,1.0,0.0290948275862
George W. Bush,1.0,0.014814814814799999,1.0,0.0592672413793
Josh Dawsey,1.0,0.014814814814799999,1.0,0.0183189655172
Kellyanne Conway,1.0,0.014814814814799999,1.0,0.0668103448276
Jeffrey Tambor,1.0,0.014814814814799999,0.0,0.0
James Franco,1.0,0.014814814814799999,0.0,0.0
Jodi Kantor,1.0,0.014814814814799999,0.0,0.0
Brett M. Kavanaugh,1.0,0.014814814814799999,2.0,0.171336206897
Louis CK,1.0,0.014814814814799999,0.0,0.0
Deborah Ramirez,1.0,0.014814814814799999,2.0,0.169181034483
Alan J. Tauber,1.0,0.014814814814799999,0.0,0.0
Mike Pompeo,1.0,0.013333333333299998,1.0,0.0161637931034
Barack Obama,1.0,0.013333333333299998,1.0,0.0506465517241
Jeff Sessions,1.0,0.013333333333299998,1.0,0.0183189655172
Angelina Jolie,1.0,0.013333333333299998,0.0,0.0
Ashley Parker,1.0,0.013333333333299998,1.0,0.012931034482799999
Stephen Colbert,1.0,0.013333333333299998,0.0,0.0
Leon Wieseltier,1.0,0.013333333333299998,0.0,0.0
Steven Seagal,1.0,0.013333333333299998,0.0,0.0
Moon Jae-in,1.0,0.013333333333299998,1.0,0.011853448275899998
Oprah Winfrey,1.0,0.013333333333299998,0.0,0.0
Frank McGurty,1.0,0.013333333333299998,0.0,0.0
Daniel Trotta,1.0,0.013333333333299998,0.0,0.0
Laurie Levenson,1.0,0.013333333333299998,0.0,0.0
Dolores Troiani,1.0,0.013333333333299998,0.0,0.0
John Besh,1.0,0.013333333333299998,0.0,0.0
Lucia Evans,1.0,0.013333333333299998,0.0,0.0
Monica Lewinsky,1.0,0.011851851851899999,1.0,0.0161637931034
Philip Rucker,1.0,0.011851851851899999,1.0,0.010775862069
Lisa Murkowski,1.0,0.011851851851899999,2.0,0.133620689655
Albert,1.0,0.011851851851899999,0.0,0.0
