term,a1_bin,a1_perc,a2_bin,a2_perc
cosby,10.0,0.877,0.0,0.0
assault,3.0,0.21600000000000003,2.0,0.17
constand,2.0,0.159,0.0,0.0
accusers,2.0,0.10800000000000001,0.0,0.0
allegations,2.0,0.08900000000000001,2.0,0.168
drugging,1.0,0.069,0.0,0.0
jury,1.0,0.067,0.0,0.0
comedian,1.0,0.067,0.0,0.0
sentencing,1.0,0.057999999999999996,0.0,0.0
andrea,1.0,0.057999999999999996,0.0,0.0
convicted,1.0,0.055999999999999994,0.0,0.0
sexually,1.0,0.055,1.0,0.05
retrial,1.0,0.05,0.0,0.0
judge,1.0,0.05,1.0,0.055
verdict,1.0,0.046,0.0,0.0
prosecutors,1.0,0.045,0.0,0.0
pennsylvania,1.0,0.043,1.0,0.003
weinstein,1.0,0.040999999999999995,1.0,0.006
temple,1.0,0.040999999999999995,0.0,0.0
philadelphia,1.0,0.04,0.0,0.0
testified,1.0,0.036000000000000004,0.0,0.0
misconduct,1.0,0.035,1.0,0.023
victims,1.0,0.034,1.0,0.028999999999999998
university,1.0,0.034,1.0,0.018000000000000002
harassment,1.0,0.033,1.0,0.024
criminal,1.0,0.033,1.0,0.002
america's,1.0,0.033,0.0,0.0
o'neill,1.0,0.031,0.0,0.0
norristown,1.0,0.031,0.0,0.0
jurors,1.0,0.03,0.0,0.0
predator,1.0,0.028999999999999998,0.0,0.0
harvey,1.0,0.028999999999999998,1.0,0.004
courthouse,1.0,0.028999999999999998,0.0,0.0
celebrity,1.0,0.028999999999999998,0.0,0.0
abuse,1.0,0.028999999999999998,1.0,0.023
montgomery,1.0,0.027000000000000003,1.0,0.003
molesting,1.0,0.027000000000000003,0.0,0.0
courtroom,1.0,0.027000000000000003,1.0,0.002
counts,1.0,0.027000000000000003,0.0,0.0
prosecution,1.0,0.025,0.0,0.0
indecent,1.0,0.024,0.0,0.0
pa,1.0,0.023,0.0,0.0
aggravated,1.0,0.023,0.0,0.0
tv,1.0,0.022000000000000002,1.0,0.001
