term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,10.0,0.26962962963000003,2.0,0.0371134020619
New York Times,7.0,0.174814814815,9.0,0.226804123711
Supreme Court,5.0,0.134814814815,3.0,0.0701030927835
Associated Press,5.0,0.10962962962999999,3.0,0.061855670103099995
Reuters,4.0,0.100740740741,2.0,0.05360824742269999
Fox News,4.0,0.100740740741,4.0,0.08865979381439999
AP,4.0,0.09925925925930001,3.0,0.0783505154639
Senate,4.0,0.0814814814815,4.0,0.09896907216489999
Washington Post,3.0,0.08,4.0,0.10309278350500001
CNN,3.0,0.077037037037,3.0,0.080412371134
NBC,3.0,0.077037037037,6.0,0.138144329897
CBS,3.0,0.0651851851852,4.0,0.0969072164948
Facebook,3.0,0.0637037037037,4.0,0.08865979381439999
White House,3.0,0.0637037037037,3.0,0.0783505154639
Netflix,3.0,0.0562962962963,6.0,0.156701030928
Congress,3.0,0.05481481481480001,3.0,0.061855670103099995
Ford,3.0,0.05481481481480001,1.0,0.0247422680412
Senate Judiciary Committee,2.0,0.0503703703704,2.0,0.028865979381400002
ABC,2.0,0.044444444444399996,3.0,0.061855670103099995
FBI,2.0,0.04296296296299999,2.0,0.0329896907216
GOP,2.0,0.0385185185185,3.0,0.05567010309280001
Academy of Motion Picture Arts and Sciences,2.0,0.0385185185185,1.0,0.0185567010309
NBC News,2.0,0.037037037037,2.0,0.035051546391800005
Time,2.0,0.0355555555556,4.0,0.0865979381443
House,2.0,0.029629629629599998,2.0,0.05360824742269999
Times,2.0,0.0281481481481,2.0,0.0515463917526
Temple,2.0,0.0281481481481,0.0,0.0
MSNBC,1.0,0.026666666666700003,2.0,0.0309278350515
Yale,1.0,0.0251851851852,1.0,0.014432989690700001
Los Angeles Times,1.0,0.0251851851852,3.0,0.05567010309280001
Capitol Hill,1.0,0.0251851851852,1.0,0.014432989690700001
Google,1.0,0.0237037037037,2.0,0.047422680412400005
HBO,1.0,0.0237037037037,3.0,0.0680412371134
Justice Department,1.0,0.022222222222199998,1.0,0.014432989690700001
ABC News,1.0,0.022222222222199998,1.0,0.026804123711299997
CBS News,1.0,0.020740740740700002,1.0,0.014432989690700001
Trump,1.0,0.020740740740700002,1.0,0.014432989690700001
Harvard,1.0,0.0192592592593,1.0,0.022680412371099995
