term,a1_bin,a1_perc,a2_bin,a2_perc
Bill Cosby,10.0,0.917037037037,2.0,0.158762886598
Andrea Constand,5.0,0.46666666666699996,1.0,0.059793814433000005
Harvey Weinstein,5.0,0.44740740740699997,8.0,0.7731958762890001
Donald Trump,2.0,0.154074074074,2.0,0.183505154639
Kevin Spacey,2.0,0.115555555556,10.0,0.981443298969
Janice Dickinson,2.0,0.11259259259299999,0.0,0.0
Matt Lauer,2.0,0.10962962962999999,3.0,0.251546391753
Kevin Steele,2.0,0.10962962962999999,1.0,0.014432989690700001
Brett Kavanaugh,2.0,0.100740740741,1.0,0.035051546391800005
Tom Mesereau,1.0,0.0948148148148,1.0,0.014432989690700001
Gloria Allred,1.0,0.0888888888889,1.0,0.026804123711299997
Steven O’Neill,1.0,0.0874074074074,1.0,0.00824742268041
Charlie Rose,1.0,0.0844444444444,2.0,0.164948453608
Andrew Wyatt,1.0,0.0814814814815,0.0,0.0
Cliff Huxtable,1.0,0.077037037037,1.0,0.0164948453608
Trump,1.0,0.0755555555556,2.0,0.11134020618599999
Roger Ailes,1.0,0.0755555555556,1.0,0.061855670103099995
Christine Blasey Ford,1.0,0.07259259259260001,1.0,0.0185567010309
Al Franken,1.0,0.0696296296296,2.0,0.17113402061900002
Steven O'Neill,1.0,0.06666666666669999,1.0,0.00618556701031
Michael Jackson,1.0,0.0651851851852,1.0,0.026804123711299997
Bill Clinton,1.0,0.0592592592593,1.0,0.035051546391800005
Louis C.K.,1.0,0.0562962962963,3.0,0.20412371133999999
Lili Bernard,1.0,0.0503703703704,0.0,0.0
Clarence Thomas,1.0,0.0459259259259,1.0,0.047422680412400005
Anita Hill,1.0,0.0459259259259,1.0,0.0639175257732
Tarana Burke,1.0,0.0459259259259,2.0,0.11134020618599999
Roy Moore,1.0,0.044444444444399996,2.0,0.138144329897
Lise-Lotte Lublin,1.0,0.04296296296299999,0.0,0.0
Larry Nassar,1.0,0.04,1.0,0.0412371134021
Kathleen Bliss,1.0,0.04,0.0,0.0
Camille Cosby,1.0,0.0385185185185,0.0,0.0
Heidi Thomas,1.0,0.0385185185185,0.0,0.0
Janice Baker-Kinney,1.0,0.0385185185185,0.0,0.0
Chelan Lasha,1.0,0.0385185185185,0.0,0.0
Ashley Judd,1.0,0.037037037037,1.0,0.09278350515460002
Rose McGowan,1.0,0.0355555555556,1.0,0.059793814433000005
Marguerite Jackson,1.0,0.0355555555556,0.0,0.0
Alyssa Milano,1.0,0.0340740740741,1.0,0.0680412371134
Bill O’Reilly,1.0,0.0325925925926,1.0,0.028865979381400002
Kristen Feden,1.0,0.0325925925926,1.0,0.00618556701031
Camille,1.0,0.0311111111111,0.0,0.0
Steven T. O’Neill,1.0,0.0311111111111,0.0,0.0
Woody Allen,1.0,0.029629629629599998,1.0,0.0845360824742
Mario Batali,1.0,0.029629629629599998,1.0,0.059793814433000005
Ronan Farrow,1.0,0.029629629629599998,1.0,0.035051546391800005
James Toback,1.0,0.029629629629599998,2.0,0.136082474227
Hillary Clinton,1.0,0.0281481481481,1.0,0.0371134020619
Jeff Flake,1.0,0.026666666666700003,1.0,0.0123711340206
R. Kelly,1.0,0.026666666666700003,1.0,0.014432989690700001
Roman Polanski,1.0,0.026666666666700003,1.0,0.0164948453608
Bill O'Reilly,1.0,0.0251851851852,1.0,0.049484536082499996
Lisa Bloom,1.0,0.0237037037037,0.0,0.0
Les Moonves,1.0,0.0237037037037,1.0,0.028865979381400002
Brett Ratner,1.0,0.0237037037037,2.0,0.10309278350500001
Victoria Valentino,1.0,0.0237037037037,0.0,0.0
Kristen Dudley,1.0,0.0237037037037,0.0,0.0
Harrison Snyder,1.0,0.0237037037037,0.0,0.0
Robert Mueller,1.0,0.022222222222199998,1.0,0.028865979381400002
Hannibal Buress,1.0,0.022222222222199998,0.0,0.0
David DeKok,1.0,0.022222222222199998,0.0,0.0
Steven T. O'Neill,1.0,0.022222222222199998,0.0,0.0
Mitch McConnell,1.0,0.020740740740700002,1.0,0.00824742268041
Fox,1.0,0.020740740740700002,1.0,0.035051546391800005
Gretchen Carlson,1.0,0.0192592592593,1.0,0.0185567010309
Thomas Mesereau,1.0,0.0192592592593,0.0,0.0
Steve Wynn,1.0,0.0177777777778,1.0,0.0123711340206
Michael Cohen,1.0,0.0177777777778,1.0,0.00618556701031
Eric Schneiderman,1.0,0.0177777777778,0.0,0.0
Mark Makela,1.0,0.0177777777778,0.0,0.0
Benjamin Brafman,1.0,0.0177777777778,1.0,0.0103092783505
Joseph Green,1.0,0.0177777777778,0.0,0.0
Constand,1.0,0.0177777777778,0.0,0.0
James Comey,1.0,0.0162962962963,1.0,0.00824742268041
Lindsey Graham,1.0,0.0162962962963,1.0,0.00618556701031
Jesus,1.0,0.0162962962963,1.0,0.0185567010309
Nancy Pelosi,1.0,0.0162962962963,1.0,0.0164948453608
Jimmy Kimmel,1.0,0.0162962962963,1.0,0.0371134020619
Kim Jong Un,1.0,0.0162962962963,1.0,0.0123711340206
Mark Halperin,1.0,0.0162962962963,1.0,0.08865979381439999
Cosby,1.0,0.0162962962963,1.0,0.00618556701031
Kelly Johnson,1.0,0.0162962962963,0.0,0.0
Gianna Constand,1.0,0.0162962962963,0.0,0.0
Rachel Mitchell,1.0,0.0162962962963,0.0,0.0
Lissa Kaplan,1.0,0.0162962962963,0.0,0.0
Obama,1.0,0.014814814814799999,1.0,0.020618556701
George W. Bush,1.0,0.014814814814799999,1.0,0.00824742268041
Josh Dawsey,1.0,0.014814814814799999,0.0,0.0
Kellyanne Conway,1.0,0.014814814814799999,1.0,0.0103092783505
Jeffrey Tambor,1.0,0.014814814814799999,1.0,0.043298969072199996
James Franco,1.0,0.014814814814799999,1.0,0.0639175257732
Jodi Kantor,1.0,0.014814814814799999,1.0,0.026804123711299997
Brett M. Kavanaugh,1.0,0.014814814814799999,0.0,0.0
Louis CK,1.0,0.014814814814799999,1.0,0.0412371134021
Deborah Ramirez,1.0,0.014814814814799999,0.0,0.0
Alan J. Tauber,1.0,0.014814814814799999,0.0,0.0
Mike Pompeo,1.0,0.013333333333299998,0.0,0.0
Barack Obama,1.0,0.013333333333299998,1.0,0.0164948453608
Jeff Sessions,1.0,0.013333333333299998,1.0,0.0103092783505
Angelina Jolie,1.0,0.013333333333299998,1.0,0.0185567010309
Ashley Parker,1.0,0.013333333333299998,0.0,0.0
Stephen Colbert,1.0,0.013333333333299998,1.0,0.0185567010309
Leon Wieseltier,1.0,0.013333333333299998,1.0,0.0185567010309
Steven Seagal,1.0,0.013333333333299998,1.0,0.047422680412400005
Moon Jae-in,1.0,0.013333333333299998,0.0,0.0
Oprah Winfrey,1.0,0.013333333333299998,1.0,0.049484536082499996
Frank McGurty,1.0,0.013333333333299998,0.0,0.0
Daniel Trotta,1.0,0.013333333333299998,0.0,0.0
Laurie Levenson,1.0,0.013333333333299998,0.0,0.0
Dolores Troiani,1.0,0.013333333333299998,0.0,0.0
John Besh,1.0,0.013333333333299998,1.0,0.0247422680412
Lucia Evans,1.0,0.013333333333299998,1.0,0.0103092783505
Monica Lewinsky,1.0,0.011851851851899999,1.0,0.0164948453608
Philip Rucker,1.0,0.011851851851899999,0.0,0.0
Lisa Murkowski,1.0,0.011851851851899999,0.0,0.0
Albert,1.0,0.011851851851899999,1.0,0.0123711340206
Orrin Hatch,1.0,0.011851851851899999,1.0,0.00618556701031
Andrew Cuomo,1.0,0.011851851851899999,0.0,0.0
John Conyers,1.0,0.011851851851899999,1.0,0.0371134020619
Jonathan Oatis,1.0,0.011851851851899999,0.0,0.0
Tom Brown,1.0,0.011851851851899999,0.0,0.0
Mel Gibson,1.0,0.011851851851899999,1.0,0.0123711340206
Barbara Goldberg,1.0,0.011851851851899999,0.0,0.0
Becky James,1.0,0.011851851851899999,0.0,0.0
Weinstein,1.0,0.011851851851899999,1.0,0.0371134020619
Rebecca Traister,1.0,0.011851851851899999,1.0,0.014432989690700001
RAINN,1.0,0.011851851851899999,1.0,0.014432989690700001
Megan Twohey,1.0,0.011851851851899999,1.0,0.0247422680412
Manuel Roig-Franzia,1.0,0.011851851851899999,0.0,0.0
-- Trump,1.0,0.011851851851899999,1.0,0.00618556701031
Deborah Tuerkheimer,1.0,0.011851851851899999,0.0,0.0
Gianna,1.0,0.011851851851899999,0.0,0.0
Stewart Ryan,1.0,0.011851851851899999,0.0,0.0
Nicolle Rochelle,1.0,0.011851851851899999,0.0,0.0
Steve Bannon,1.0,0.0103703703704,1.0,0.0164948453608
Bob Corker,1.0,0.0103703703704,0.0,0.0
Joseph,1.0,0.0103703703704,0.0,0.0
Kirsten Gillibrand,1.0,0.0103703703704,1.0,0.014432989690700001
Robert Costa,1.0,0.0103703703704,0.0,0.0
Reno,1.0,0.0103703703704,0.0,0.0
Martin,1.0,0.0103703703704,1.0,0.0123711340206
Colin Kaepernick,1.0,0.0103703703704,1.0,0.014432989690700001
Rod Rosenstein,1.0,0.0103703703704,0.0,0.0
Anthony Rapp,1.0,0.0103703703704,2.0,0.12164948453600001
Ryan Seacrest,1.0,0.0103703703704,1.0,0.043298969072199996
Fatima Goss Graves,1.0,0.0103703703704,1.0,0.00618556701031
Nanette,1.0,0.0103703703704,0.0,0.0
Dylan Farrow,1.0,0.0103703703704,1.0,0.04536082474230001
Bruce Castor,1.0,0.0103703703704,0.0,0.0
Caroline Heldman,1.0,0.0103703703704,0.0,0.0
Mira Sorvino,1.0,0.0103703703704,1.0,0.0185567010309
Brian McMonagle,1.0,0.0103703703704,0.0,0.0
Peter Goldberger,1.0,0.0103703703704,0.0,0.0
Roberta Grossman,1.0,0.0103703703704,0.0,0.0
Daniel Filler,1.0,0.0103703703704,0.0,0.0
Ebonee Benson,1.0,0.0103703703704,0.0,0.0
Hannah Gadsby,1.0,0.0103703703704,0.0,0.0
Michael Avenatti,1.0,0.0103703703704,0.0,0.0
Ambra Battilana Gutierrez,1.0,0.0103703703704,0.0,0.0
