term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.825185185185,7.0,0.540206185567
sex crimes,10.0,0.792592592593,7.0,0.531958762887
women,4.0,0.262222222222,4.0,0.298969072165
decisions and verdicts,3.0,0.232592592593,1.0,0.026804123711299997
sentences (criminal),3.0,0.185185185185,1.0,0.0103092783505
suits and litigation,2.0,0.12888888888900002,1.0,0.047422680412400005
television,2.0,0.12,3.0,0.181443298969
politics and government,2.0,0.115555555556,2.0,0.152577319588
motion pictures,2.0,0.10962962962999999,5.0,0.35257731958800004
child abuse and neglect,1.0,0.077037037037,1.0,0.00824742268041
basketball,1.0,0.0637037037037,1.0,0.00824742268041
medicine and health,1.0,0.0592592592593,1.0,0.035051546391800005
ethics,1.0,0.0503703703704,1.0,0.0515463917526
news and news media,1.0,0.0488888888889,1.0,0.0701030927835
united states politics and government,1.0,0.0459259259259,1.0,0.0742268041237
education and schools,1.0,0.044444444444399996,1.0,0.0247422680412
blacks,1.0,0.044444444444399996,1.0,0.020618556701
biographical information,1.0,0.044444444444399996,1.0,0.06597938144330001
sexual harassment,1.0,0.0385185185185,1.0,0.05567010309280001
media,1.0,0.0355555555556,1.0,0.047422680412400005
discrimination,1.0,0.0340740740741,1.0,0.022680412371099995
jury system,1.0,0.0311111111111,0.0,0.0
labor,1.0,0.0251851851852,1.0,0.0371134020619
law and legislation,1.0,0.0192592592593,0.0,0.0
sex,1.0,0.0192592592593,1.0,0.04536082474230001
music,1.0,0.0192592592593,1.0,0.0185567010309
computers and the internet,1.0,0.0177777777778,1.0,0.0371134020619
books and literature,1.0,0.0177777777778,1.0,0.026804123711299997
prostitution,1.0,0.0177777777778,1.0,0.0123711340206
children and youth,1.0,0.0177777777778,0.0,0.0
murders and attempted murders,1.0,0.0177777777778,0.0,0.0
colleges and universities,1.0,0.0162962962963,1.0,0.00618556701031
"suspensions, dismissals and resignations",1.0,0.0162962962963,1.0,0.026804123711299997
elections,1.0,0.013333333333299998,1.0,0.0123711340206
demonstrations and riots,1.0,0.013333333333299998,1.0,0.00618556701031
reviews,1.0,0.011851851851899999,1.0,0.0577319587629
festivals,1.0,0.011851851851899999,0.0,0.0
religion and churches,1.0,0.0103703703704,0.0,0.0
finances,1.0,0.008888888888889999,1.0,0.020618556701
christians and christianity,1.0,0.008888888888889999,0.0,0.0
"awards, decorations and honors",1.0,0.008888888888889999,1.0,0.0783505154639
homosexuality,1.0,0.007407407407409999,1.0,0.0185567010309
police,1.0,0.007407407407409999,0.0,0.0
theater,1.0,0.007407407407409999,1.0,0.0412371134021
priests,1.0,0.007407407407409999,0.0,0.0
academy awards (oscars),1.0,0.007407407407409999,1.0,0.028865979381400002
comedy and humor,1.0,0.007407407407409999,0.0,0.0
"armament, defense and military forces",1.0,0.0059259259259300005,0.0,0.0
international relations,1.0,0.0059259259259300005,1.0,0.00618556701031
diseases and conditions,1.0,0.0059259259259300005,0.0,0.0
apparel,1.0,0.0059259259259300005,1.0,0.0103092783505
documentary films and programs,1.0,0.0059259259259300005,0.0,0.0
photography,1.0,0.0059259259259300005,0.0,0.0
drug abuse and traffic,1.0,0.004444444444439999,1.0,0.0123711340206
united states international relations,1.0,0.004444444444439999,0.0,0.0
assaults,1.0,0.004444444444439999,0.0,0.0
privacy,1.0,0.0029629629629600003,0.0,0.0
advertising and marketing,1.0,0.0029629629629600003,1.0,0.00618556701031
appointments and executive changes,1.0,0.0029629629629600003,0.0,0.0
college athletics,1.0,0.0029629629629600003,0.0,0.0
frauds and swindling,1.0,0.0029629629629600003,0.0,0.0
olympic games,1.0,0.0029629629629600003,0.0,0.0
restaurants,1.0,0.0029629629629600003,0.0,0.0
radio,1.0,0.0029629629629600003,0.0,0.0
marriages,1.0,0.0029629629629600003,0.0,0.0
games,1.0,0.0029629629629600003,0.0,0.0
prisons and prisoners,1.0,0.0029629629629600003,0.0,0.0
courts,1.0,0.0029629629629600003,0.0,0.0
trials,1.0,0.0029629629629600003,0.0,0.0
newspapers,0.0,0.0,1.0,0.00824742268041
editorials,0.0,0.0,1.0,0.00618556701031
