term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.825185185185,8.0,0.589958158996
sex crimes,10.0,0.792592592593,7.0,0.535564853556
women,4.0,0.262222222222,6.0,0.48953974895400004
decisions and verdicts,3.0,0.232592592593,1.0,0.0376569037657
sentences (criminal),3.0,0.185185185185,0.0,0.0
suits and litigation,2.0,0.12888888888900002,2.0,0.138075313808
television,2.0,0.12,3.0,0.196652719665
politics and government,2.0,0.115555555556,4.0,0.30125523012600003
motion pictures,2.0,0.10962962962999999,2.0,0.10460251046
child abuse and neglect,1.0,0.077037037037,1.0,0.0125523012552
basketball,1.0,0.0637037037037,0.0,0.0
medicine and health,1.0,0.0592592592593,1.0,0.0209205020921
ethics,1.0,0.0503703703704,2.0,0.138075313808
news and news media,1.0,0.0488888888889,2.0,0.15062761506300001
united states politics and government,1.0,0.0459259259259,2.0,0.154811715481
education and schools,1.0,0.044444444444399996,1.0,0.029288702928900002
blacks,1.0,0.044444444444399996,1.0,0.0209205020921
biographical information,1.0,0.044444444444399996,1.0,0.0669456066946
sexual harassment,1.0,0.0385185185185,3.0,0.209205020921
media,1.0,0.0355555555556,2.0,0.129707112971
discrimination,1.0,0.0340740740741,2.0,0.12133891213400001
jury system,1.0,0.0311111111111,0.0,0.0
labor,1.0,0.0251851851852,2.0,0.14644351464400002
law and legislation,1.0,0.0192592592593,1.0,0.050209205020900004
sex,1.0,0.0192592592593,1.0,0.0376569037657
music,1.0,0.0192592592593,0.0,0.0
computers and the internet,1.0,0.0177777777778,1.0,0.06276150627619999
books and literature,1.0,0.0177777777778,1.0,0.050209205020900004
prostitution,1.0,0.0177777777778,1.0,0.0125523012552
children and youth,1.0,0.0177777777778,1.0,0.0251046025105
murders and attempted murders,1.0,0.0177777777778,1.0,0.00836820083682
colleges and universities,1.0,0.0162962962963,0.0,0.0
"suspensions, dismissals and resignations",1.0,0.0162962962963,1.0,0.06276150627619999
elections,1.0,0.013333333333299998,1.0,0.0460251046025
demonstrations and riots,1.0,0.013333333333299998,0.0,0.0
reviews,1.0,0.011851851851899999,1.0,0.00418410041841
festivals,1.0,0.011851851851899999,1.0,0.00418410041841
religion and churches,1.0,0.0103703703704,1.0,0.00418410041841
finances,1.0,0.008888888888889999,1.0,0.0334728033473
christians and christianity,1.0,0.008888888888889999,0.0,0.0
"awards, decorations and honors",1.0,0.008888888888889999,0.0,0.0
homosexuality,1.0,0.007407407407409999,1.0,0.00418410041841
police,1.0,0.007407407407409999,0.0,0.0
theater,1.0,0.007407407407409999,1.0,0.00836820083682
priests,1.0,0.007407407407409999,0.0,0.0
academy awards (oscars),1.0,0.007407407407409999,0.0,0.0
comedy and humor,1.0,0.007407407407409999,1.0,0.00418410041841
"armament, defense and military forces",1.0,0.0059259259259300005,1.0,0.00836820083682
international relations,1.0,0.0059259259259300005,1.0,0.00836820083682
diseases and conditions,1.0,0.0059259259259300005,0.0,0.0
apparel,1.0,0.0059259259259300005,1.0,0.0251046025105
documentary films and programs,1.0,0.0059259259259300005,1.0,0.00418410041841
photography,1.0,0.0059259259259300005,0.0,0.0
drug abuse and traffic,1.0,0.004444444444439999,1.0,0.0125523012552
united states international relations,1.0,0.004444444444439999,1.0,0.0125523012552
assaults,1.0,0.004444444444439999,0.0,0.0
privacy,1.0,0.0029629629629600003,1.0,0.00418410041841
advertising and marketing,1.0,0.0029629629629600003,1.0,0.00836820083682
appointments and executive changes,1.0,0.0029629629629600003,1.0,0.0125523012552
college athletics,1.0,0.0029629629629600003,0.0,0.0
frauds and swindling,1.0,0.0029629629629600003,1.0,0.00418410041841
olympic games,1.0,0.0029629629629600003,0.0,0.0
restaurants,1.0,0.0029629629629600003,0.0,0.0
radio,1.0,0.0029629629629600003,0.0,0.0
marriages,1.0,0.0029629629629600003,1.0,0.00418410041841
games,1.0,0.0029629629629600003,0.0,0.0
prisons and prisoners,1.0,0.0029629629629600003,0.0,0.0
courts,1.0,0.0029629629629600003,0.0,0.0
trials,1.0,0.0029629629629600003,0.0,0.0
contests and prizes,0.0,0.0,2.0,0.0878661087866
presidents and presidency (us),0.0,0.0,1.0,0.0209205020921
"arbitration, conciliation and mediation",0.0,0.0,1.0,0.0209205020921
ratings and rating systems,0.0,0.0,1.0,0.0167364016736
wages and salaries,0.0,0.0,1.0,0.0167364016736
presidential elections (us),0.0,0.0,1.0,0.00836820083682
computer software,0.0,0.0,1.0,0.00836820083682
impeachment,0.0,0.0,1.0,0.00836820083682
violence,0.0,0.0,1.0,0.00836820083682
entertainment and amusements,0.0,0.0,1.0,0.00836820083682
legal profession,0.0,0.0,1.0,0.00836820083682
executives and management,0.0,0.0,1.0,0.00836820083682
teachers and school employees,0.0,0.0,1.0,0.00418410041841
public opinion,0.0,0.0,1.0,0.00418410041841
church-state relations,0.0,0.0,1.0,0.00418410041841
editorials,0.0,0.0,1.0,0.00418410041841
electronic mail,0.0,0.0,1.0,0.00418410041841
advertising,0.0,0.0,1.0,0.00418410041841
freedom of speech and expression,0.0,0.0,1.0,0.00418410041841
united states armament and defense,0.0,0.0,1.0,0.00418410041841
soccer,0.0,0.0,1.0,0.00418410041841
presidential election of 2000,0.0,0.0,1.0,0.00418410041841
stocks and bonds,0.0,0.0,1.0,0.00418410041841
housing,0.0,0.0,1.0,0.00418410041841
parties (social),0.0,0.0,1.0,0.00418410041841
hotels and motels,0.0,0.0,1.0,0.00418410041841
swimming,0.0,0.0,1.0,0.00418410041841
domestic violence,0.0,0.0,1.0,0.00418410041841
