term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.828571428571,10.0,0.832974137931
Senate,8.0,0.591071428571,8.0,0.640086206897
Ford,7.0,0.551785714286,9.0,0.725215517241
Senate Judiciary Committee,6.0,0.442857142857,7.0,0.553879310345
FBI,5.0,0.336607142857,5.0,0.375
White House,4.0,0.29642857142900003,4.0,0.322198275862
Congress,4.0,0.25625,3.0,0.24892241379299998
GOP,3.0,0.23660714285700002,3.0,0.243534482759
Washington Post,3.0,0.20535714285700002,3.0,0.239224137931
New York Times,3.0,0.203571428571,3.0,0.172413793103
Judiciary Committee,3.0,0.20089285714299998,3.0,0.245689655172
CNN,2.0,0.164285714286,3.0,0.17025862069000003
Fox News,2.0,0.141071428571,2.0,0.14439655172399998
House,2.0,0.116964285714,2.0,0.09267241379310001
Republican,2.0,0.08839285714289999,2.0,0.10452586206900001
Yale,2.0,0.08660714285710001,2.0,0.09375
AP,1.0,0.08035714285710001,1.0,0.0614224137931
Reuters,1.0,0.0785714285714,1.0,0.0700431034483
CBS,1.0,0.0785714285714,1.0,0.0635775862069
U.S. Supreme Court,1.0,0.07589285714289999,1.0,0.073275862069
NBC,1.0,0.0678571428571,1.0,0.052801724137900005
Associated Press,1.0,0.0660714285714,1.0,0.0538793103448
Palo Alto University,1.0,0.0651785714286,2.0,0.0851293103448
NBC News,1.0,0.0642857142857,1.0,0.04849137931030001
Facebook,1.0,0.06339285714290001,1.0,0.0581896551724
Trump,1.0,0.06160714285709999,1.0,0.0549568965517
Wall Street Journal,1.0,0.06071428571430001,1.0,0.04525862068969999
Republican Party,1.0,0.0544642857143,1.0,0.0625
Yale University,1.0,0.051785714285699995,1.0,0.0646551724138
Capitol Hill,1.0,0.051785714285699995,1.0,0.0431034482759
Justice Department,1.0,0.05,1.0,0.038793103448300004
supreme court,1.0,0.045535714285699996,1.0,0.047413793103400007
Politico,1.0,0.04375,1.0,0.0355603448276
Democratic,1.0,0.041964285714300005,1.0,0.0366379310345
ABC,1.0,0.0392857142857,1.0,0.0290948275862
Vox,1.0,0.0383928571429,1.0,0.03125
Democratic Party,1.0,0.0366071428571,1.0,0.0323275862069
Trump administration,1.0,0.0366071428571,1.0,0.030172413793099997
Google,1.0,0.0339285714286,1.0,0.03125
Post,1.0,0.0339285714286,1.0,0.0355603448276
Times,1.0,0.0339285714286,1.0,0.03125
Brandeis University,1.0,0.0339285714286,1.0,0.030172413793099997
CBS News,1.0,0.0330357142857,1.0,0.0258620689655
Dr. Ford,1.0,0.0321428571429,1.0,0.042025862069
MSNBC,1.0,0.0303571428571,1.0,0.0247844827586
State,1.0,0.0294642857143,1.0,0.020474137931
Bloomberg,1.0,0.0285714285714,1.0,0.0269396551724
United Nations,1.0,0.027678571428600002,1.0,0.0344827586207
F.B.I.,1.0,0.027678571428600002,1.0,0.0323275862069
ABC News,1.0,0.027678571428600002,1.0,0.0247844827586
United States Supreme Court,1.0,0.027678571428600002,1.0,0.0334051724138
house,1.0,0.0267857142857,1.0,0.038793103448300004
NPR,1.0,0.0267857142857,1.0,0.0247844827586
Senate judiciary committee,1.0,0.0267857142857,1.0,0.030172413793099997
judiciary committee,1.0,0.0267857142857,1.0,0.0334051724138
U.N.,1.0,0.0258928571429,1.0,0.023706896551700003
Harvard,1.0,0.0241071428571,1.0,0.0183189655172
Democrats,1.0,0.0241071428571,1.0,0.0226293103448
Yale Law School,1.0,0.0223214285714,1.0,0.0215517241379
CIA,1.0,0.0214285714286,1.0,0.012931034482799999
U.S. Senate,1.0,0.0214285714286,1.0,0.0226293103448
FEMA,1.0,0.0214285714286,1.0,0.020474137931
Georgetown Preparatory School,1.0,0.0214285714286,1.0,0.0193965517241
State Department,1.0,0.0205357142857,1.0,0.0193965517241
USA TODAY,1.0,0.0205357142857,1.0,0.0215517241379
New Yorker,1.0,0.0205357142857,1.0,0.0183189655172
