term,a1_bin,a1_perc,a2_bin,a2_perc
kavanaugh,10.0,0.9,1.0,0.013000000000000001
allegations,3.0,0.191,2.0,0.109
ford,3.0,0.187,1.0,0.006999999999999999
brett,3.0,0.184,1.0,0.021
senate,2.0,0.158,1.0,0.008
supreme,2.0,0.136,1.0,0.008
judge,2.0,0.131,1.0,0.005
assault,2.0,0.114,1.0,0.06
confirmation,2.0,0.11,1.0,0.002
trump,2.0,0.109,1.0,0.012
accusations,2.0,0.10099999999999999,1.0,0.061
republicans,2.0,0.099,0.0,0.0
democrats,1.0,0.08900000000000001,0.0,0.0
nominee,1.0,0.08800000000000001,1.0,0.005
nomination,1.0,0.077,0.0,0.0
blasey,1.0,0.07200000000000001,0.0,0.0
christine,1.0,0.068,0.0,0.0
misconduct,1.0,0.053,2.0,0.099
judiciary,1.0,0.053,0.0,0.0
washington,1.0,0.043,1.0,0.005
fbi,1.0,0.04,0.0,0.0
testify,1.0,0.036000000000000004,0.0,0.0
sexually,1.0,0.034,1.0,0.01
hearings,1.0,0.03,1.0,0.003
harassment,1.0,0.027999999999999997,2.0,0.095
donald,1.0,0.026000000000000002,1.0,0.005
ramirez,1.0,0.025,0.0,0.0
professor,1.0,0.025,0.0,0.0
collins,1.0,0.025,0.0,0.0
gop,1.0,0.022000000000000002,0.0,0.0
1980s,1.0,0.022000000000000002,0.0,0.0
conservative,1.0,0.021,0.0,0.0
feinstein,1.0,0.02,0.0,0.0
elections,1.0,0.02,0.0,0.0
abuse,1.0,0.02,1.0,0.05
yale,1.0,0.019,0.0,0.0
flake,1.0,0.019,0.0,0.0
campaign,1.0,0.018000000000000002,1.0,0.013999999999999999
university,1.0,0.017,0.0,0.0
teenagers,1.0,0.017,0.0,0.0
rape,1.0,0.017,1.0,0.016
media,1.0,0.017,1.0,0.03
women's,1.0,0.016,1.0,0.012
thomas,1.0,0.016,1.0,0.001
kozinski,1.0,0.015,0.0,0.0
victims,1.0,0.013999999999999999,1.0,0.037000000000000005
mcconnell,1.0,0.013999999999999999,0.0,0.0
jeff,1.0,0.013999999999999999,1.0,0.005
fox,1.0,0.013999999999999999,0.0,0.0
california,1.0,0.013999999999999999,0.0,0.0
america,1.0,0.013999999999999999,1.0,0.002
susan,1.0,0.013000000000000001,0.0,0.0
defending,1.0,0.013000000000000001,0.0,0.0
deborah,1.0,0.013000000000000001,0.0,0.0
credible,1.0,0.013000000000000001,0.0,0.0
poll,1.0,0.012,1.0,0.002
conway,1.0,0.012,0.0,0.0
classmate,1.0,0.012,0.0,0.0
anita,1.0,0.012,0.0,0.0
american,1.0,0.012,1.0,0.013000000000000001
survivors,1.0,0.011000000000000001,1.0,0.026000000000000002
metoo,1.0,0.011000000000000001,1.0,0.015
