term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.828571428571,3.0,0.196652719665
Senate,8.0,0.591071428571,3.0,0.225941422594
Ford,7.0,0.551785714286,1.0,0.0460251046025
Senate Judiciary Committee,6.0,0.442857142857,1.0,0.06276150627619999
FBI,5.0,0.336607142857,1.0,0.0669456066946
White House,4.0,0.29642857142900003,3.0,0.234309623431
Congress,4.0,0.25625,3.0,0.217573221757
GOP,3.0,0.23660714285700002,2.0,0.0836820083682
Washington Post,3.0,0.20535714285700002,3.0,0.188284518828
New York Times,3.0,0.203571428571,4.0,0.305439330544
Judiciary Committee,3.0,0.20089285714299998,1.0,0.0251046025105
CNN,2.0,0.164285714286,3.0,0.175732217573
Fox News,2.0,0.141071428571,8.0,0.6359832635980001
House,2.0,0.116964285714,2.0,0.12133891213400001
Republican,2.0,0.08839285714289999,1.0,0.0334728033473
Yale,2.0,0.08660714285710001,1.0,0.0125523012552
AP,1.0,0.08035714285710001,1.0,0.06276150627619999
Reuters,1.0,0.0785714285714,1.0,0.029288702928900002
CBS,1.0,0.0785714285714,2.0,0.09623430962339999
U.S. Supreme Court,1.0,0.07589285714289999,1.0,0.0167364016736
NBC,1.0,0.0678571428571,2.0,0.15062761506300001
Associated Press,1.0,0.0660714285714,1.0,0.0209205020921
Palo Alto University,1.0,0.0651785714286,0.0,0.0
NBC News,1.0,0.0642857142857,1.0,0.05439330543930001
Facebook,1.0,0.06339285714290001,2.0,0.11715481171499999
Trump,1.0,0.06160714285709999,1.0,0.0585774058577
Wall Street Journal,1.0,0.06071428571430001,1.0,0.050209205020900004
Republican Party,1.0,0.0544642857143,1.0,0.0418410041841
Yale University,1.0,0.051785714285699995,1.0,0.0125523012552
Capitol Hill,1.0,0.051785714285699995,1.0,0.0376569037657
Justice Department,1.0,0.05,1.0,0.0460251046025
supreme court,1.0,0.045535714285699996,0.0,0.0
Politico,1.0,0.04375,1.0,0.0209205020921
Democratic,1.0,0.041964285714300005,0.0,0.0
ABC,1.0,0.0392857142857,2.0,0.0836820083682
Vox,1.0,0.0383928571429,1.0,0.06276150627619999
Democratic Party,1.0,0.0366071428571,1.0,0.0251046025105
Trump administration,1.0,0.0366071428571,1.0,0.0334728033473
Google,1.0,0.0339285714286,1.0,0.0209205020921
Post,1.0,0.0339285714286,1.0,0.0209205020921
Times,1.0,0.0339285714286,1.0,0.0585774058577
Brandeis University,1.0,0.0339285714286,1.0,0.00836820083682
CBS News,1.0,0.0330357142857,1.0,0.050209205020900004
Dr. Ford,1.0,0.0321428571429,0.0,0.0
MSNBC,1.0,0.0303571428571,1.0,0.050209205020900004
State,1.0,0.0294642857143,1.0,0.00836820083682
Bloomberg,1.0,0.0285714285714,1.0,0.0125523012552
United Nations,1.0,0.027678571428600002,0.0,0.0
F.B.I.,1.0,0.027678571428600002,1.0,0.0167364016736
ABC News,1.0,0.027678571428600002,1.0,0.0209205020921
United States Supreme Court,1.0,0.027678571428600002,0.0,0.0
house,1.0,0.0267857142857,0.0,0.0
NPR,1.0,0.0267857142857,1.0,0.0460251046025
Senate judiciary committee,1.0,0.0267857142857,0.0,0.0
judiciary committee,1.0,0.0267857142857,0.0,0.0
U.N.,1.0,0.0258928571429,1.0,0.00836820083682
Harvard,1.0,0.0241071428571,1.0,0.0125523012552
Democrats,1.0,0.0241071428571,0.0,0.0
Yale Law School,1.0,0.0223214285714,1.0,0.0125523012552
CIA,1.0,0.0214285714286,1.0,0.0125523012552
U.S. Senate,1.0,0.0214285714286,0.0,0.0
FEMA,1.0,0.0214285714286,0.0,0.0
Georgetown Preparatory School,1.0,0.0214285714286,0.0,0.0
State Department,1.0,0.0205357142857,1.0,0.0209205020921
USA TODAY,1.0,0.0205357142857,1.0,0.0334728033473
New Yorker,1.0,0.0205357142857,1.0,0.0125523012552
US supreme court,1.0,0.019642857142900004,0.0,0.0
Georgetown,1.0,0.019642857142900004,0.0,0.0
Equal Employment Opportunity Commission,1.0,0.019642857142900004,1.0,0.029288702928900002
Senate Judiciary,1.0,0.019642857142900004,0.0,0.0
House of Representatives,1.0,0.01875,0.0,0.0
USA Today,1.0,0.01875,1.0,0.0125523012552
American Bar Association,1.0,0.01875,1.0,0.00836820083682
POLITICO,1.0,0.017857142857099998,1.0,0.00836820083682
Amazon,1.0,0.0169642857143,1.0,0.06276150627619999
Abuse & Incest National Network,1.0,0.0169642857143,0.0,0.0
Republican National Committee,1.0,0.0160714285714,1.0,0.0251046025105
EPA,1.0,0.0160714285714,1.0,0.0251046025105
Stanford,1.0,0.0160714285714,1.0,0.0251046025105
Hart Senate,1.0,0.0160714285714,0.0,0.0
WaPo,1.0,0.0160714285714,0.0,0.0
Republicans,1.0,0.015178571428600001,0.0,0.0
ACLU,1.0,0.015178571428600001,0.0,0.0
HBO,1.0,0.015178571428600001,1.0,0.0376569037657
Democratic National Committee,1.0,0.0142857142857,0.0,0.0
Netflix,1.0,0.0142857142857,1.0,0.0376569037657
Catholic,1.0,0.0142857142857,1.0,0.00836820083682
U.S. Court of Appeals,1.0,0.0142857142857,1.0,0.0125523012552
DOJ,1.0,0.0142857142857,1.0,0.0167364016736
Navy,1.0,0.0142857142857,1.0,0.0167364016736
Vanity Fair,1.0,0.0142857142857,1.0,0.0251046025105
DNC,1.0,0.0133928571429,0.0,0.0
HHS,1.0,0.0133928571429,1.0,0.00836820083682
Los Angeles Times,1.0,0.0133928571429,1.0,0.0251046025105
National Review,1.0,0.0133928571429,0.0,0.0
Trump White House,1.0,0.0133928571429,1.0,0.0125523012552
Temple University,1.0,0.0133928571429,1.0,0.0167364016736
WSJ,1.0,0.0133928571429,0.0,0.0
Senate Judiciary Committee on Capitol Hill,1.0,0.0133928571429,0.0,0.0
DHS,1.0,0.0125,1.0,0.0167364016736
D.C. Circuit,1.0,0.0125,1.0,0.00836820083682
RNC,1.0,0.0125,0.0,0.0
University of Oklahoma,1.0,0.0125,0.0,0.0
Dirksen Senate,1.0,0.0125,0.0,0.0
NATO,1.0,0.0116071428571,1.0,0.0125523012552
state,1.0,0.0116071428571,0.0,0.0
Department of Justice,1.0,0.0116071428571,1.0,0.0125523012552
Medicare,1.0,0.0116071428571,1.0,0.00836820083682
NFL,1.0,0.0116071428571,1.0,0.0334728033473
Boston Globe,1.0,0.0116071428571,1.0,0.0167364016736
Republican party,1.0,0.0116071428571,0.0,0.0
first Supreme Court,1.0,0.0116071428571,0.0,0.0
Pentagon,1.0,0.0107142857143,1.0,0.00836820083682
Facebook post,1.0,0.0107142857143,1.0,0.029288702928900002
Harvard Law School,1.0,0.0107142857143,0.0,0.0
PAC,1.0,0.0107142857143,0.0,0.0
Bloomberg News,1.0,0.0107142857143,1.0,0.0125523012552
Fox News Channel,1.0,0.0107142857143,1.0,0.0209205020921
NARAL,1.0,0.0107142857143,0.0,0.0
University of Utah,1.0,0.0107142857143,0.0,0.0
Time,1.0,0.0107142857143,1.0,0.0167364016736
Senate GOP,1.0,0.00982142857143,0.0,0.0
UN,1.0,0.00982142857143,1.0,0.00836820083682
Princeton,1.0,0.00982142857143,0.0,0.0
Apple,1.0,0.00982142857143,0.0,0.0
Fed,1.0,0.00982142857143,1.0,0.00836820083682
U.N. General Assembly,1.0,0.00982142857143,0.0,0.0
United Nations General Assembly,1.0,0.00982142857143,0.0,0.0
PBS,1.0,0.00982142857143,1.0,0.0209205020921
McDonald,1.0,0.00982142857143,1.0,0.00836820083682
Washington Examiner,1.0,0.00982142857143,0.0,0.0
Defense,1.0,0.00892857142857,1.0,0.0125523012552
BBC,1.0,0.00892857142857,1.0,0.00836820083682
University of California,1.0,0.00892857142857,1.0,0.00836820083682
E.U.,1.0,0.00892857142857,0.0,0.0
New Yorker magazine,1.0,0.00892857142857,0.0,0.0
CNBC,1.0,0.00892857142857,1.0,0.0167364016736
US Supreme Court,1.0,0.00892857142857,0.0,0.0
New York Post,1.0,0.00892857142857,0.0,0.0
Catholic Church,1.0,0.00892857142857,1.0,0.00836820083682
GOP Senate,1.0,0.00892857142857,1.0,0.00836820083682
Newsmax,1.0,0.00892857142857,1.0,0.00836820083682
Rutgers University,1.0,0.00892857142857,1.0,0.00836820083682
NYT,1.0,0.00892857142857,0.0,0.0
NRCC,1.0,0.00892857142857,0.0,0.0
Gallup,1.0,0.00892857142857,0.0,0.0
BuzzFeed News,1.0,0.00892857142857,1.0,0.0125523012552
Treasury,1.0,0.00803571428571,0.0,0.0
House Judiciary Committee,1.0,0.00803571428571,1.0,0.00836820083682
Department of Education,1.0,0.00803571428571,1.0,0.00836820083682
Yahoo,1.0,0.00803571428571,0.0,0.0
Consumer Financial Protection Bureau,1.0,0.00803571428571,0.0,0.0
IRS,1.0,0.00803571428571,0.0,0.0
Quinnipiac,1.0,0.00803571428571,0.0,0.0
SENATE,1.0,0.00803571428571,0.0,0.0
EEOC,1.0,0.00803571428571,1.0,0.029288702928900002
Alabama Senate,1.0,0.00803571428571,1.0,0.0125523012552
The Washington Post,1.0,0.00714285714286,1.0,0.0125523012552
Chamber of Commerce,1.0,0.00714285714286,1.0,0.00836820083682
DCCC,1.0,0.00714285714286,0.0,0.0
NAFTA,1.0,0.00714285714286,0.0,0.0
Senate Intelligence Committee,1.0,0.00714285714286,1.0,0.00836820083682
U.N. Security Council,1.0,0.00714285714286,0.0,0.0
New York Stock Exchange,1.0,0.00714285714286,0.0,0.0
Rolling Stone,1.0,0.00714285714286,0.0,0.0
Department of Homeland Security,1.0,0.00714285714286,1.0,0.00836820083682
Pew Research Center,1.0,0.00714285714286,0.0,0.0
Blackburn,1.0,0.00714285714286,0.0,0.0
ABA,1.0,0.00714285714286,0.0,0.0
Catholic University,1.0,0.00714285714286,0.0,0.0
Bloomberg Businessweek,1.0,0.00714285714286,0.0,0.0
National Republican,1.0,0.00714285714286,0.0,0.0
Capitol,1.0,0.00714285714286,0.0,0.0
California college,1.0,0.00714285714286,0.0,0.0
DC Circuit Court of Appeals,1.0,0.00714285714286,0.0,0.0
Blasey Ford,1.0,0.00714285714286,0.0,0.0
Air Force,1.0,0.00625,0.0,0.0
senate,1.0,0.00625,1.0,0.00836820083682
EU,1.0,0.00625,0.0,0.0
Columbia University,1.0,0.00625,0.0,0.0
Democratic Senate,1.0,0.00625,0.0,0.0
Interpol,1.0,0.00625,0.0,0.0
Twitter,1.0,0.00625,1.0,0.0125523012552
U.S. Congress,1.0,0.00625,0.0,0.0
Heritage Foundation,1.0,0.00625,0.0,0.0
FDA,1.0,0.00625,0.0,0.0
ACA,1.0,0.00625,0.0,0.0
CDC,1.0,0.00625,0.0,0.0
Fox,1.0,0.00625,2.0,0.10460251046
Elon Musk,1.0,0.00625,0.0,0.0
Commerce,1.0,0.00625,0.0,0.0
Georgetown University,1.0,0.00625,0.0,0.0
Stanford University,1.0,0.00625,0.0,0.0
Security Council,1.0,0.00625,0.0,0.0
New York,1.0,0.00625,1.0,0.0125523012552
NSA,1.0,0.00625,0.0,0.0
Smithsonian,1.0,0.00625,0.0,0.0
Microsoft,1.0,0.00625,1.0,0.050209205020900004
US Senate,1.0,0.00625,0.0,0.0
C-SPAN,1.0,0.00625,0.0,0.0
Center for Popular Democracy,1.0,0.00625,0.0,0.0
California university,1.0,0.00625,0.0,0.0
second Supreme Court,1.0,0.00625,0.0,0.0
European Union,1.0,0.00535714285714,0.0,0.0
National Security Council,1.0,0.00535714285714,0.0,0.0
Walmart,1.0,0.00535714285714,0.0,0.0
YouTube,1.0,0.00535714285714,1.0,0.0125523012552
NRA,1.0,0.00535714285714,0.0,0.0
University of Pennsylvania,1.0,0.00535714285714,1.0,0.00836820083682
House Intelligence Committee,1.0,0.00535714285714,1.0,0.0167364016736
the Washington Post,1.0,0.00535714285714,1.0,0.00836820083682
University of Virginia,1.0,0.00535714285714,1.0,0.0167364016736
Mar-a-Lago,1.0,0.00535714285714,1.0,0.0125523012552
Whitewater,1.0,0.00535714285714,0.0,0.0
Huffington Post,1.0,0.00535714285714,1.0,0.0209205020921
Centers for Disease Control and Prevention,1.0,0.00535714285714,0.0,0.0
Democratic House,1.0,0.00535714285714,0.0,0.0
Ohio State University,1.0,0.00535714285714,1.0,0.0209205020921
CBS Interactive Inc,1.0,0.00535714285714,0.0,0.0
Health and Human Services,1.0,0.00535714285714,1.0,0.0167364016736
Michigan State University,1.0,0.00535714285714,0.0,0.0
Quinnipiac University,1.0,0.00535714285714,0.0,0.0
LA Times,1.0,0.00535714285714,1.0,0.00836820083682
Princeton University,1.0,0.00535714285714,0.0,0.0
GRU,1.0,0.00535714285714,0.0,0.0
Simon & Schuster,1.0,0.00535714285714,1.0,0.0125523012552
Northwestern University,1.0,0.00535714285714,1.0,0.0125523012552
Detroit Free Press,1.0,0.00535714285714,0.0,0.0
U.S. Court of Appeals for the District of Columbia Circuit,1.0,0.00535714285714,0.0,0.0
Journal,1.0,0.00535714285714,0.0,0.0
public corporation,1.0,0.00535714285714,0.0,0.0
Washington Post-ABC News,1.0,0.00535714285714,1.0,0.0167364016736
solidarity,1.0,0.00535714285714,1.0,0.0251046025105
Trump's Supreme Court,1.0,0.00535714285714,0.0,0.0
National Sexual Violence Resource Center,1.0,0.00535714285714,0.0,0.0
ISIS,1.0,0.00446428571429,0.0,0.0
Federal Bureau of Investigation,1.0,0.00446428571429,1.0,0.00836820083682
Trump Organization,1.0,0.00446428571429,0.0,0.0
George Washington University,1.0,0.00446428571429,0.0,0.0
Defense Department,1.0,0.00446428571429,1.0,0.00836820083682
Columbia,1.0,0.00446428571429,0.0,0.0
Boston University,1.0,0.00446428571429,1.0,0.00836820083682
American Civil Liberties Union,1.0,0.00446428571429,0.0,0.0
healthcare,1.0,0.00446428571429,0.0,0.0
treasury,1.0,0.00446428571429,0.0,0.0
Taliban,1.0,0.00446428571429,1.0,0.00836820083682
Red Sox,1.0,0.00446428571429,0.0,0.0
REUTERS,1.0,0.00446428571429,0.0,0.0
Roe,1.0,0.00446428571429,0.0,0.0
House GOP,1.0,0.00446428571429,0.0,0.0
NYU,1.0,0.00446428571429,0.0,0.0
Disney,1.0,0.00446428571429,1.0,0.0209205020921
New York University,1.0,0.00446428571429,0.0,0.0
Yankees,1.0,0.00446428571429,0.0,0.0
University of Michigan,1.0,0.00446428571429,1.0,0.00836820083682
Breitbart News,1.0,0.00446428571429,1.0,0.00836820083682
Cornell,1.0,0.00446428571429,0.0,0.0
UCLA,1.0,0.00446428571429,1.0,0.0125523012552
NAACP,1.0,0.00446428571429,0.0,0.0
Federal Election Commission,1.0,0.00446428571429,0.0,0.0
Facebook Inc.,1.0,0.00446428571429,0.0,0.0
Legislature,1.0,0.00446428571429,0.0,0.0
Instagram post,1.0,0.00446428571429,0.0,0.0
University of North Carolina,1.0,0.00446428571429,0.0,0.0
VA,1.0,0.00446428571429,1.0,0.0125523012552
Education Department,1.0,0.00446428571429,0.0,0.0
Russell Senate,1.0,0.00446428571429,0.0,0.0
Republican Senate,1.0,0.00446428571429,0.0,0.0
National Women’s Law Center,1.0,0.00446428571429,1.0,0.0125523012552
California State University,1.0,0.00446428571429,0.0,0.0
New York magazine,1.0,0.00446428571429,0.0,0.0
Public Religion Research Institute,1.0,0.00446428571429,0.0,0.0
U.S. Circuit Court of Appeals,1.0,0.00446428571429,0.0,0.0
party,1.0,0.00446428571429,0.0,0.0
Yahoo News,1.0,0.00446428571429,0.0,0.0
Marist,1.0,0.00446428571429,0.0,0.0
Judiciary committee,1.0,0.00446428571429,0.0,0.0
Melina Mara/The Washington Post,1.0,0.00446428571429,0.0,0.0
FOX News,1.0,0.00446428571429,0.0,0.0
the Times,1.0,0.00446428571429,0.0,0.0
WNYC,1.0,0.00446428571429,0.0,0.0
House Financial Services Committee,1.0,0.00446428571429,0.0,0.0
L.A. Times,1.0,0.00446428571429,0.0,0.0
CLF,1.0,0.00446428571429,0.0,0.0
Collins,1.0,0.00446428571429,0.0,0.0
Miss America Organization,0.0,0.0,1.0,0.06276150627619999
Miss America,0.0,0.0,1.0,0.05439330543930001
Amazon Studios,0.0,0.0,1.0,0.050209205020900004
Fox News host,0.0,0.0,1.0,0.0418410041841
Economic Policy Institute,0.0,0.0,1.0,0.029288702928900002
Cornell University,0.0,0.0,1.0,0.0251046025105
Viacom,0.0,0.0,1.0,0.0251046025105
Weinstein Co.,0.0,0.0,1.0,0.0251046025105
Miss Americas,0.0,0.0,1.0,0.0251046025105
Weinstein Company,0.0,0.0,1.0,0.0209205020921
Playboy,0.0,0.0,1.0,0.0209205020921
Academy of Motion Picture Arts and Sciences,0.0,0.0,1.0,0.0209205020921
Vox Media,0.0,0.0,1.0,0.0209205020921
Miss America board,0.0,0.0,1.0,0.0209205020921
USC,0.0,0.0,1.0,0.0167364016736
USA Gymnastics,0.0,0.0,1.0,0.0167364016736
Showtime,0.0,0.0,1.0,0.0167364016736
defense,0.0,0.0,1.0,0.0125523012552
Securities and Exchange Commission,0.0,0.0,1.0,0.0125523012552
Starbucks,0.0,0.0,1.0,0.0125523012552
MTV,0.0,0.0,1.0,0.0125523012552
Fox Inc,0.0,0.0,1.0,0.0125523012552
Harvard Business Review,0.0,0.0,1.0,0.0125523012552
Homeland Security,0.0,0.0,1.0,0.0125523012552
SoFi,0.0,0.0,1.0,0.0125523012552
Kantar Media,0.0,0.0,1.0,0.0125523012552
Nickelodeon,0.0,0.0,1.0,0.0125523012552
Senate Ethics Committee,0.0,0.0,1.0,0.0125523012552
Epix,0.0,0.0,1.0,0.0125523012552
Miss America winners,0.0,0.0,1.0,0.0125523012552
European Parliament,0.0,0.0,1.0,0.00836820083682
Catholic church,0.0,0.0,1.0,0.00836820083682
Leeds,0.0,0.0,1.0,0.00836820083682
Fidelity,0.0,0.0,1.0,0.00836820083682
A&E,0.0,0.0,1.0,0.00836820083682
National Organization for Women,0.0,0.0,1.0,0.00836820083682
California State Assembly,0.0,0.0,1.0,0.00836820083682
legislature,0.0,0.0,1.0,0.00836820083682
Chicago Tribune,0.0,0.0,1.0,0.00836820083682
National Center for Transgender Equality,0.0,0.0,1.0,0.00836820083682
University of Oregon,0.0,0.0,1.0,0.00836820083682
Pomona College,0.0,0.0,1.0,0.00836820083682
AT&T,0.0,0.0,1.0,0.00836820083682
Parliament,0.0,0.0,1.0,0.00836820083682
University of Colorado,0.0,0.0,1.0,0.00836820083682
Newsweek,0.0,0.0,1.0,0.00836820083682
Pixar,0.0,0.0,1.0,0.00836820083682
Miramax,0.0,0.0,1.0,0.00836820083682
LAPD,0.0,0.0,1.0,0.00836820083682
ESPN,0.0,0.0,1.0,0.00836820083682
Los Angeles Police Department,0.0,0.0,1.0,0.00836820083682
Department of Health and Human Services,0.0,0.0,1.0,0.00836820083682
Time Warner,0.0,0.0,1.0,0.00836820083682
Pop,0.0,0.0,1.0,0.00836820083682
U.S. Southern Command,0.0,0.0,1.0,0.00836820083682
U.S. Chamber of Commerce,0.0,0.0,1.0,0.00836820083682
Time Magazine,0.0,0.0,1.0,0.00836820083682
Nielsen,0.0,0.0,1.0,0.00836820083682
Dartmouth,0.0,0.0,1.0,0.00836820083682
Obama White House,0.0,0.0,1.0,0.00836820083682
National Women's Law Center,0.0,0.0,1.0,0.00836820083682
Texas Republican,0.0,0.0,1.0,0.00836820083682
Ninth Circuit Court of Appeals,0.0,0.0,1.0,0.00836820083682
NLRA,0.0,0.0,1.0,0.00836820083682
EPI,0.0,0.0,1.0,0.00836820083682
Brown University,0.0,0.0,1.0,0.00836820083682
The New York Times,0.0,0.0,1.0,0.00836820083682
Medicaid,0.0,0.0,1.0,0.00836820083682
House Intel,0.0,0.0,1.0,0.00836820083682
University of Rochester,0.0,0.0,1.0,0.00836820083682
Miss Teen USA,0.0,0.0,1.0,0.00836820083682
TIME,0.0,0.0,1.0,0.00836820083682
University of Nebraska,0.0,0.0,1.0,0.00836820083682
Columbia Pictures,0.0,0.0,1.0,0.00836820083682
Twentieth Century Fox,0.0,0.0,1.0,0.00836820083682
E.E.O.C.,0.0,0.0,1.0,0.00836820083682
Proskauer,0.0,0.0,1.0,0.00836820083682
Creative Artists Agency,0.0,0.0,1.0,0.00836820083682
statehouse,0.0,0.0,1.0,0.00836820083682
CBS Corporation,0.0,0.0,1.0,0.00836820083682
power dynamics,0.0,0.0,1.0,0.00836820083682
Comic-Con,0.0,0.0,1.0,0.00836820083682
Fox News Channel host,0.0,0.0,1.0,0.00836820083682
Social Security,0.0,0.0,1.0,0.00836820083682
Mercedes Schlapp,0.0,0.0,1.0,0.00836820083682
Apple TV,0.0,0.0,1.0,0.00836820083682
21st Century Fox,0.0,0.0,1.0,0.00836820083682
Office of Public Liaison,0.0,0.0,1.0,0.00836820083682
Alabama senate,0.0,0.0,1.0,0.00836820083682
Senate Intelligence,0.0,0.0,1.0,0.00836820083682
Scorsese,0.0,0.0,1.0,0.00836820083682
American Arbitration Association,0.0,0.0,1.0,0.00836820083682
Michigan Democratic,0.0,0.0,1.0,0.00836820083682
CBS Entertainment,0.0,0.0,1.0,0.00836820083682
CBS Films,0.0,0.0,1.0,0.00836820083682
Leeds School of Business,0.0,0.0,1.0,0.00836820083682
Chicago city council,0.0,0.0,1.0,0.00836820083682
Brooklyn Decker,0.0,0.0,1.0,0.00836820083682
Duane Morris,0.0,0.0,1.0,0.00836820083682
Samsung Smart TV,0.0,0.0,1.0,0.00836820083682
Ms. Foundation for Women,0.0,0.0,1.0,0.00836820083682
Saul Ilson Productions,0.0,0.0,1.0,0.00836820083682
Lorimar,0.0,0.0,1.0,0.00836820083682
Ms. Foundation,0.0,0.0,1.0,0.00836820083682
