term,a1_bin,a1_perc,a2_bin,a2_perc
Brett Kavanaugh,10.0,0.983928571429,1.0,0.0669456066946
Christine Blasey Ford,8.0,0.713392857143,1.0,0.0460251046025
Donald Trump,5.0,0.39375,4.0,0.380753138075
Anita Hill,3.0,0.22232142857099998,2.0,0.11715481171499999
Clarence Thomas,3.0,0.211607142857,2.0,0.12552301255200002
Trump,2.0,0.19553571428599997,2.0,0.112970711297
Susan Collins,2.0,0.19375,1.0,0.0125523012552
Dianne Feinstein,2.0,0.172321428571,0.0,0.0
Mitch McConnell,2.0,0.161607142857,1.0,0.0460251046025
Jeff Flake,2.0,0.159821428571,1.0,0.00836820083682
Chuck Grassley,2.0,0.155357142857,1.0,0.00836820083682
Deborah Ramirez,2.0,0.13482142857100002,1.0,0.0125523012552
Lisa Murkowski,2.0,0.125892857143,1.0,0.00836820083682
Harvey Weinstein,2.0,0.10625,6.0,0.569037656904
Lindsey Graham,1.0,0.09285714285710002,1.0,0.0460251046025
Hillary Clinton,1.0,0.0857142857143,2.0,0.112970711297
Anthony Kennedy,1.0,0.0767857142857,1.0,0.0125523012552
Mark Judge,1.0,0.0767857142857,1.0,0.00836820083682
Bill Clinton,1.0,0.07589285714289999,2.0,0.129707112971
Orrin Hatch,1.0,0.0732142857143,1.0,0.00836820083682
Roe,1.0,0.0660714285714,1.0,0.00836820083682
Julie Swetnick,1.0,0.06339285714290001,1.0,0.00836820083682
Wade,1.0,0.0625,0.0,0.0
Joe Manchin,1.0,0.0625,0.0,0.0
Barack Obama,1.0,0.06071428571430001,1.0,0.0418410041841
Brett M. Kavanaugh,1.0,0.0571428571429,1.0,0.0167364016736
George W. Bush,1.0,0.05625,1.0,0.0167364016736
Joe Biden,1.0,0.05625,1.0,0.0251046025105
Bill Cosby,1.0,0.05625,3.0,0.213389121339
Rachel Mitchell,1.0,0.0544642857143,0.0,0.0
Mazie Hirono,1.0,0.0535714285714,0.0,0.0
Heidi Heitkamp,1.0,0.0526785714286,0.0,0.0
Ted Cruz,1.0,0.050892857142900004,0.0,0.0
Neil Gorsuch,1.0,0.05,1.0,0.00836820083682
Kellyanne Conway,1.0,0.049107142857099995,1.0,0.0334728033473
Chuck Schumer,1.0,0.048214285714300004,1.0,0.0209205020921
Debra Katz,1.0,0.0473214285714,1.0,0.0251046025105
Michael Avenatti,1.0,0.0473214285714,1.0,0.0125523012552
Ronan Farrow,1.0,0.0464285714286,1.0,0.06276150627619999
Christine Ford,1.0,0.044642857142900005,0.0,0.0
Merrick Garland,1.0,0.04375,0.0,0.0
Bob Corker,1.0,0.041964285714300005,1.0,0.00836820083682
Al Franken,1.0,0.041964285714300005,2.0,0.142259414226
Robert Mueller,1.0,0.0392857142857,1.0,0.029288702928900002
Kamala Harris,1.0,0.0383928571429,1.0,0.0209205020921
John Cornyn,1.0,0.0383928571429,1.0,0.00836820083682
Ruth Bader Ginsburg,1.0,0.035714285714300006,1.0,0.00836820083682
Amy Klobuchar,1.0,0.035714285714300006,0.0,0.0
Roy Moore,1.0,0.0348214285714,3.0,0.200836820084
Jane Mayer,1.0,0.0348214285714,1.0,0.0209205020921
Obama,1.0,0.0339285714286,1.0,0.0460251046025
Cory Booker,1.0,0.0339285714286,0.0,0.0
Clintons,1.0,0.0330357142857,1.0,0.029288702928900002
Antonin Scalia,1.0,0.0321428571429,1.0,0.00836820083682
Fox,1.0,0.03125,3.0,0.200836820084
Keith Ellison,1.0,0.0303571428571,0.0,0.0
Alyssa Milano,1.0,0.0294642857143,1.0,0.07949790794980001
Andrea Constand,1.0,0.0294642857143,1.0,0.0251046025105
Kevin Cramer,1.0,0.0285714285714,0.0,0.0
John Roberts,1.0,0.027678571428600002,1.0,0.00836820083682
RAINN,1.0,0.027678571428600002,1.0,0.0125523012552
Rod Rosenstein,1.0,0.0267857142857,1.0,0.029288702928900002
Les Moonves,1.0,0.0267857142857,1.0,0.029288702928900002
Ronald Reagan,1.0,0.0258928571429,1.0,0.00836820083682
Kirsten Gillibrand,1.0,0.0258928571429,2.0,0.108786610879
Richard Blumenthal,1.0,0.0258928571429,0.0,0.0
Joe Donnelly,1.0,0.0258928571429,1.0,0.00836820083682
Mike Pompeo,1.0,0.025,1.0,0.00836820083682
Bush,1.0,0.025,0.0,0.0
Elizabeth Warren,1.0,0.025,1.0,0.0376569037657
Dick Durbin,1.0,0.025,0.0,0.0
Melania Trump,1.0,0.025,1.0,0.0125523012552
Anna Eshoo,1.0,0.025,0.0,0.0
Claire McCaskill,1.0,0.0241071428571,1.0,0.0125523012552
Nancy Pelosi,1.0,0.0241071428571,1.0,0.00836820083682
Ken Starr,1.0,0.0241071428571,1.0,0.0209205020921
Grassley,1.0,0.0241071428571,0.0,0.0
Alex Kozinski,1.0,0.0241071428571,0.0,0.0
Jeff Sessions,1.0,0.0232142857143,1.0,0.0209205020921
Dean Heller,1.0,0.0232142857143,0.0,0.0
Don McGahn,1.0,0.0232142857143,1.0,0.0209205020921
Mike Pence,1.0,0.0223214285714,1.0,0.0167364016736
Donald Trump Jr.,1.0,0.0223214285714,1.0,0.0251046025105
Josh Dawsey,1.0,0.0223214285714,1.0,0.00836820083682
Louis C.K.,1.0,0.0223214285714,1.0,0.0418410041841
-- Trump,1.0,0.0223214285714,1.0,0.0125523012552
Tarana Burke,1.0,0.0223214285714,1.0,0.0669456066946
Kim Jong Un,1.0,0.0214285714286,1.0,0.0125523012552
Seung Min Kim,1.0,0.0214285714286,1.0,0.0167364016736
Clinton,1.0,0.0205357142857,0.0,0.0
Paul Manafort,1.0,0.0205357142857,1.0,0.0125523012552
George H.W. Bush,1.0,0.0205357142857,1.0,0.029288702928900002
Ben Sasse,1.0,0.019642857142900004,0.0,0.0
Vladimir Putin,1.0,0.01875,1.0,0.0251046025105
Paul Ryan,1.0,0.01875,1.0,0.029288702928900002
Breanne Deppisch,1.0,0.01875,1.0,0.00836820083682
Patrick Leahy,1.0,0.01875,0.0,0.0
Robert Costa,1.0,0.01875,1.0,0.00836820083682
Michael Cohen,1.0,0.01875,1.0,0.0167364016736
Richard Cowan,1.0,0.01875,0.0,0.0
Joanie Greve,1.0,0.01875,1.0,0.00836820083682
John Wagner,1.0,0.017857142857099998,1.0,0.0125523012552
Emma Brown,1.0,0.017857142857099998,0.0,0.0
Charlie Rose,1.0,0.017857142857099998,2.0,0.12133891213400001
Matt Lauer,1.0,0.017857142857099998,2.0,0.15062761506300001
Robert Bork,1.0,0.017857142857099998,0.0,0.0
Leland Keyser,1.0,0.017857142857099998,0.0,0.0
John McCain,1.0,0.0169642857143,1.0,0.00836820083682
Monica Lewinsky,1.0,0.0169642857143,1.0,0.0334728033473
Will Dunham,1.0,0.0169642857143,0.0,0.0
Charles E. Grassley,1.0,0.0169642857143,0.0,0.0
Martha MacCallum,1.0,0.0169642857143,0.0,0.0
Phil Bredesen,1.0,0.0169642857143,0.0,0.0
Sean Hannity,1.0,0.0160714285714,1.0,0.0376569037657
Ed Whelan,1.0,0.0160714285714,0.0,0.0
Sarah Sanders,1.0,0.0160714285714,1.0,0.0167364016736
Sheldon Whitehouse,1.0,0.0160714285714,0.0,0.0
Marsha Blackburn,1.0,0.0160714285714,0.0,0.0
DONALD TRUMP,1.0,0.0160714285714,1.0,0.0209205020921
Nikki Haley,1.0,0.015178571428600001,1.0,0.00836820083682
Ashley Parker,1.0,0.015178571428600001,0.0,0.0
Rick Scott,1.0,0.015178571428600001,0.0,0.0
Jake Tapper,1.0,0.015178571428600001,1.0,0.0125523012552
Chris Wallace,1.0,0.015178571428600001,0.0,0.0
Chris Coons,1.0,0.015178571428600001,0.0,0.0
Michael Bromwich,1.0,0.015178571428600001,0.0,0.0
Kerri Kupec,1.0,0.015178571428600001,0.0,0.0
Patty Murray,1.0,0.0142857142857,1.0,0.00836820083682
Sarah Huckabee Sanders,1.0,0.0142857142857,1.0,0.0251046025105
Lawrence Hurley,1.0,0.0142857142857,0.0,0.0
Elena Kagan,1.0,0.0142857142857,0.0,0.0
Jim Jordan,1.0,0.0142857142857,1.0,0.029288702928900002
Amy Coney Barrett,1.0,0.0142857142857,1.0,0.00836820083682
Steve Bannon,1.0,0.0133928571429,1.0,0.0460251046025
Ivanka Trump,1.0,0.0133928571429,1.0,0.0125523012552
Bob Woodward,1.0,0.0133928571429,0.0,0.0
Kevin Spacey,1.0,0.0133928571429,2.0,0.129707112971
John Kennedy,1.0,0.0133928571429,0.0,0.0
Arlen Specter,1.0,0.0133928571429,0.0,0.0
Roger Ailes,1.0,0.0133928571429,10.0,0.983263598326
David Morgan,1.0,0.0133928571429,0.0,0.0
Felicia Sonmez,1.0,0.0133928571429,1.0,0.00836820083682
Karen Monahan,1.0,0.0133928571429,0.0,0.0
James Comey,1.0,0.0125,1.0,0.0125523012552
Michelle Obama,1.0,0.0125,1.0,0.0125523012552
Sean Sullivan,1.0,0.0125,0.0,0.0
Philip Rucker,1.0,0.0125,1.0,0.00836820083682
Maria,1.0,0.0125,1.0,0.0125523012552
Kevin McCarthy,1.0,0.0125,1.0,0.00836820083682
Brian Fallon,1.0,0.0125,0.0,0.0
Mike Lee,1.0,0.0125,0.0,0.0
David French,1.0,0.0125,0.0,0.0
Jamal Khashoggi,1.0,0.0125,0.0,0.0
Bernie Sanders,1.0,0.0116071428571,1.0,0.0125523012552
Jared Kushner,1.0,0.0116071428571,0.0,0.0
Rob Porter,1.0,0.0116071428571,1.0,0.07949790794980001
Rudy Giuliani,1.0,0.0116071428571,1.0,0.00836820083682
