term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.7125,5.0,0.30125523012600003
crime and criminals,10.0,0.677678571429,9.0,0.589958158996
sex crimes,10.0,0.6508928571429999,8.0,0.535564853556
united states politics and government,6.0,0.402678571429,3.0,0.154811715481
women,4.0,0.26607142857099997,7.0,0.48953974895400004
elections,3.0,0.160714285714,1.0,0.0460251046025
appointments and executive changes,2.0,0.126785714286,1.0,0.0125523012552
ethics,2.0,0.09910714285710001,2.0,0.138075313808
education and schools,2.0,0.08928571428570001,1.0,0.029288702928900002
biographical information,1.0,0.0678571428571,1.0,0.0669456066946
news and news media,1.0,0.051785714285699995,3.0,0.15062761506300001
suits and litigation,1.0,0.0366071428571,2.0,0.138075313808
television,1.0,0.0348214285714,3.0,0.196652719665
media,1.0,0.0339285714286,2.0,0.129707112971
discrimination,1.0,0.0330357142857,2.0,0.12133891213400001
sexual harassment,1.0,0.03125,3.0,0.209205020921
courts,1.0,0.03125,0.0,0.0
law and legislation,1.0,0.0303571428571,1.0,0.050209205020900004
computers and the internet,1.0,0.0303571428571,1.0,0.06276150627619999
finances,1.0,0.0258928571429,1.0,0.0334728033473
medicine and health,1.0,0.0258928571429,1.0,0.0209205020921
children and youth,1.0,0.0258928571429,1.0,0.0251046025105
presidents and presidency (us),1.0,0.0232142857143,1.0,0.0209205020921
blacks,1.0,0.0223214285714,1.0,0.0209205020921
judges,1.0,0.0214285714286,0.0,0.0
colleges and universities,1.0,0.019642857142900004,0.0,0.0
sentences (criminal),1.0,0.019642857142900004,0.0,0.0
abortion,1.0,0.017857142857099998,0.0,0.0
books and literature,1.0,0.017857142857099998,1.0,0.050209205020900004
international relations,1.0,0.0169642857143,1.0,0.00836820083682
motion pictures,1.0,0.015178571428600001,2.0,0.10460251046
demonstrations and riots,1.0,0.015178571428600001,0.0,0.0
public opinion,1.0,0.0125,1.0,0.00418410041841
decisions and verdicts,1.0,0.0125,1.0,0.0376569037657
labor,1.0,0.0116071428571,3.0,0.14644351464400002
basketball,1.0,0.0116071428571,0.0,0.0
advertising and marketing,1.0,0.0107142857143,1.0,0.00836820083682
presidential elections (us),1.0,0.0107142857143,1.0,0.00836820083682
child abuse and neglect,1.0,0.0107142857143,1.0,0.0125523012552
election issues,1.0,0.00892857142857,0.0,0.0
hurricanes and tropical storms,1.0,0.00892857142857,0.0,0.0
"suspensions, dismissals and resignations",1.0,0.00892857142857,1.0,0.06276150627619999
homosexuality,1.0,0.00803571428571,1.0,0.00418410041841
united states international relations,1.0,0.00803571428571,1.0,0.0125523012552
murders and attempted murders,1.0,0.00714285714286,1.0,0.00836820083682
religion and churches,1.0,0.00625,1.0,0.00418410041841
terrorism,1.0,0.00625,0.0,0.0
christians and christianity,1.0,0.00535714285714,0.0,0.0
drug abuse and traffic,1.0,0.00535714285714,1.0,0.0125523012552
legal profession,1.0,0.00535714285714,1.0,0.00836820083682
privacy,1.0,0.00446428571429,1.0,0.00418410041841
editorials,1.0,0.00446428571429,1.0,0.00418410041841
political advertising,1.0,0.00446428571429,0.0,0.0
reviews,1.0,0.00446428571429,1.0,0.00418410041841
freedom and human rights,1.0,0.00446428571429,0.0,0.0
contests and prizes,0.0,0.0,2.0,0.0878661087866
sex,0.0,0.0,1.0,0.0376569037657
apparel,0.0,0.0,1.0,0.0251046025105
"arbitration, conciliation and mediation",0.0,0.0,1.0,0.0209205020921
ratings and rating systems,0.0,0.0,1.0,0.0167364016736
wages and salaries,0.0,0.0,1.0,0.0167364016736
prostitution,0.0,0.0,1.0,0.0125523012552
"armament, defense and military forces",0.0,0.0,1.0,0.00836820083682
computer software,0.0,0.0,1.0,0.00836820083682
impeachment,0.0,0.0,1.0,0.00836820083682
theater,0.0,0.0,1.0,0.00836820083682
violence,0.0,0.0,1.0,0.00836820083682
entertainment and amusements,0.0,0.0,1.0,0.00836820083682
executives and management,0.0,0.0,1.0,0.00836820083682
teachers and school employees,0.0,0.0,1.0,0.00418410041841
church-state relations,0.0,0.0,1.0,0.00418410041841
electronic mail,0.0,0.0,1.0,0.00418410041841
advertising,0.0,0.0,1.0,0.00418410041841
freedom of speech and expression,0.0,0.0,1.0,0.00418410041841
united states armament and defense,0.0,0.0,1.0,0.00418410041841
frauds and swindling,0.0,0.0,1.0,0.00418410041841
soccer,0.0,0.0,1.0,0.00418410041841
marriages,0.0,0.0,1.0,0.00418410041841
presidential election of 2000,0.0,0.0,1.0,0.00418410041841
stocks and bonds,0.0,0.0,1.0,0.00418410041841
housing,0.0,0.0,1.0,0.00418410041841
documentary films and programs,0.0,0.0,1.0,0.00418410041841
parties (social),0.0,0.0,1.0,0.00418410041841
festivals,0.0,0.0,1.0,0.00418410041841
comedy and humor,0.0,0.0,1.0,0.00418410041841
hotels and motels,0.0,0.0,1.0,0.00418410041841
swimming,0.0,0.0,1.0,0.00418410041841
domestic violence,0.0,0.0,1.0,0.00418410041841
