term,a1_bin,a1_perc,a2_bin,a2_perc
kavanaugh,10.0,0.9,1.0,0.017
allegations,3.0,0.191,2.0,0.159
ford,3.0,0.187,0.0,0.0
brett,3.0,0.184,1.0,0.003
senate,2.0,0.158,2.0,0.171
senate,2.0,0.158,1.0,0.001
supreme,2.0,0.136,1.0,0.01
judge,2.0,0.131,1.0,0.021
assault,2.0,0.114,1.0,0.075
confirmation,2.0,0.11,0.0,0.0
trump,2.0,0.109,2.0,0.16899999999999998
accusations,2.0,0.10099999999999999,1.0,0.08199999999999999
republicans,2.0,0.099,0.0,0.0
democrats,1.0,0.08900000000000001,2.0,0.10300000000000001
nominee,1.0,0.08800000000000001,1.0,0.013999999999999999
nomination,1.0,0.077,1.0,0.006
blasey,1.0,0.07200000000000001,1.0,0.003
christine,1.0,0.068,1.0,0.002
misconduct,1.0,0.053,2.0,0.092
judiciary,1.0,0.053,0.0,0.0
washington,1.0,0.043,1.0,0.039
fbi,1.0,0.04,0.0,0.0
testify,1.0,0.036000000000000004,1.0,0.002
sexually,1.0,0.034,1.0,0.019
hearings,1.0,0.03,1.0,0.003
harassment,1.0,0.027999999999999997,1.0,0.057999999999999996
donald,1.0,0.026000000000000002,1.0,0.026000000000000002
ramirez,1.0,0.025,0.0,0.0
professor,1.0,0.025,0.0,0.0
collins,1.0,0.025,0.0,0.0
gop,1.0,0.022000000000000002,1.0,0.04
1980s,1.0,0.022000000000000002,1.0,0.003
conservative,1.0,0.021,1.0,0.021
feinstein,1.0,0.02,0.0,0.0
elections,1.0,0.02,0.0,0.0
abuse,1.0,0.02,1.0,0.034
yale,1.0,0.019,0.0,0.0
flake,1.0,0.019,1.0,0.002
campaign,1.0,0.018000000000000002,1.0,0.055
university,1.0,0.017,1.0,0.004
teenagers,1.0,0.017,0.0,0.0
rape,1.0,0.017,1.0,0.005
media,1.0,0.017,1.0,0.033
women's,1.0,0.016,1.0,0.018000000000000002
thomas,1.0,0.016,1.0,0.004
kozinski,1.0,0.015,0.0,0.0
victims,1.0,0.013999999999999999,1.0,0.019
mcconnell,1.0,0.013999999999999999,1.0,0.009000000000000001
jeff,1.0,0.013999999999999999,1.0,0.008
fox,1.0,0.013999999999999999,1.0,0.015
california,1.0,0.013999999999999999,1.0,0.003
america,1.0,0.013999999999999999,1.0,0.006
susan,1.0,0.013000000000000001,0.0,0.0
defending,1.0,0.013000000000000001,0.0,0.0
deborah,1.0,0.013000000000000001,0.0,0.0
credible,1.0,0.013000000000000001,0.0,0.0
poll,1.0,0.012,0.0,0.0
conway,1.0,0.012,0.0,0.0
classmate,1.0,0.012,0.0,0.0
anita,1.0,0.012,1.0,0.002
american,1.0,0.012,1.0,0.02
survivors,1.0,0.011000000000000001,1.0,0.011000000000000001
metoo,1.0,0.011000000000000001,1.0,0.01
grassley,1.0,0.011000000000000001,0.0,0.0
college,1.0,0.011000000000000001,1.0,0.004
clintons,1.0,0.011000000000000001,0.0,0.0
twitter,1.0,0.01,1.0,0.006
tweeted,1.0,0.01,0.0,0.0
swetnick,1.0,0.01,0.0,0.0
midterm,1.0,0.01,0.0,0.0
journal,1.0,0.01,0.0,0.0
denies,1.0,0.01,1.0,0.009000000000000001
capitol,1.0,0.01,1.0,0.009000000000000001
smear,1.0,0.009000000000000001,0.0,0.0
protesters,1.0,0.009000000000000001,0.0,0.0
lisa,1.0,0.009000000000000001,0.0,0.0
leader,1.0,0.009000000000000001,1.0,0.004
hirono,1.0,0.009000000000000001,0.0,0.0
dianne,1.0,0.009000000000000001,0.0,0.0
criminal,1.0,0.009000000000000001,1.0,0.003
congress,1.0,0.009000000000000001,1.0,0.011000000000000001
activist,1.0,0.009000000000000001,1.0,0.009000000000000001
voiced,1.0,0.008,1.0,0.001
students,1.0,0.008,0.0,0.0
scandal,1.0,0.008,1.0,0.02
prep,1.0,0.008,0.0,0.0
moments,1.0,0.008,1.0,0.004
lifetime,1.0,0.008,0.0,0.0
lawmakers,1.0,0.008,1.0,0.012
judicial,1.0,0.008,0.0,0.0
investigating,1.0,0.008,0.0,0.0
ginsburg,1.0,0.008,0.0,0.0
georgetown,1.0,0.008,0.0,0.0
drunken,1.0,0.008,0.0,0.0
clarence,1.0,0.008,1.0,0.002
briefing,1.0,0.008,0.0,0.0
abortion,1.0,0.008,0.0,0.0
united,1.0,0.006999999999999999,1.0,0.009000000000000001
thursday's,1.0,0.006999999999999999,0.0,0.0
spokesman,1.0,0.006999999999999999,1.0,0.002
rally,1.0,0.006999999999999999,1.0,0.013999999999999999
proven,1.0,0.006999999999999999,0.0,0.0
probe,1.0,0.006999999999999999,0.0,0.0
opinion,1.0,0.006999999999999999,1.0,0.003
nbc,1.0,0.006999999999999999,1.0,0.006999999999999999
murkowski,1.0,0.006999999999999999,0.0,0.0
mocked,1.0,0.006999999999999999,1.0,0.005
maryland,1.0,0.006999999999999999,0.0,0.0
kennedy,1.0,0.006999999999999999,0.0,0.0
julie,1.0,0.006999999999999999,0.0,0.0
john,1.0,0.006999999999999999,1.0,0.006999999999999999
emerge,1.0,0.006999999999999999,0.0,0.0
dismissed,1.0,0.006999999999999999,1.0,0.006
challenges,1.0,0.006999999999999999,0.0,0.0
workplace,1.0,0.006,1.0,0.01
weighs,1.0,0.006,0.0,0.0
time's,1.0,0.006,1.0,0.005
reuters,1.0,0.006,0.0,0.0
prosecutor,1.0,0.006,1.0,0.006999999999999999
proceedings,1.0,0.006,0.0,0.0
privilege,1.0,0.006,0.0,0.0
presidential,1.0,0.006,1.0,0.002
pinned,1.0,0.006,0.0,0.0
palo,1.0,0.006,0.0,0.0
opposing,1.0,0.006,0.0,0.0
nation's,1.0,0.006,0.0,0.0
milano,1.0,0.006,1.0,0.004
maine,1.0,0.006,0.0,0.0
kellyanne,1.0,0.006,0.0,0.0
independent,1.0,0.006,0.0,0.0
hurt,1.0,0.006,1.0,0.003
hill's,1.0,0.006,0.0,0.0
groped,1.0,0.006,1.0,0.01
gender,1.0,0.006,1.0,0.006
elevator,1.0,0.006,0.0,0.0
declined,1.0,0.006,1.0,0.003
crime,1.0,0.006,0.0,0.0
counsel,1.0,0.006,1.0,0.002
cosby,1.0,0.006,1.0,0.006999999999999999
corroborating,1.0,0.006,0.0,0.0
committee's,1.0,0.006,0.0,0.0
clerks,1.0,0.006,0.0,0.0
calling,1.0,0.006,1.0,0.006999999999999999
biden,1.0,0.006,1.0,0.003
appeals,1.0,0.006,0.0,0.0
alto,1.0,0.006,0.0,0.0
aggressive,1.0,0.006,0.0,0.0
adviser,1.0,0.006,1.0,0.006999999999999999
yearbook,1.0,0.005,1.0,0.006
withdraw,1.0,0.005,0.0,0.0
unfolding,1.0,0.005,0.0,0.0
unequivocally,1.0,0.005,0.0,0.0
teens,1.0,0.005,0.0,0.0
sworn,1.0,0.005,0.0,0.0
surrounding,1.0,0.005,1.0,0.002
supporters,1.0,0.005,1.0,0.017
strategist,1.0,0.005,1.0,0.003
stance,1.0,0.005,1.0,0.001
scream,1.0,0.005,0.0,0.0
ruth,1.0,0.005,0.0,0.0
rhetoric,1.0,0.005,1.0,0.002
reckoning,1.0,0.005,1.0,0.018000000000000002
prosecution,1.0,0.005,0.0,0.0
procedural,1.0,0.005,0.0,0.0
presidents,1.0,0.005,0.0,0.0
overturn,1.0,0.005,0.0,0.0
mitch,1.0,0.005,1.0,0.003
manchin,1.0,0.005,0.0,0.0
joe,1.0,0.005,0.0,0.0
graham,1.0,0.005,0.0,0.0
gap,1.0,0.005,0.0,0.0
forcefully,1.0,0.005,0.0,0.0
focused,1.0,0.005,0.0,0.0
episode,1.0,0.005,1.0,0.002
ensuring,1.0,0.005,0.0,0.0
disqualify,1.0,0.005,0.0,0.0
denial,1.0,0.005,0.0,0.0
daughters,1.0,0.005,0.0,0.0
consent,1.0,0.005,0.0,0.0
compelling,1.0,0.005,0.0,0.0
cnn,1.0,0.005,1.0,0.006999999999999999
claiming,1.0,0.005,1.0,0.002
chuck,1.0,0.005,0.0,0.0
bush,1.0,0.005,1.0,0.002
bader,1.0,0.005,0.0,0.0
backlash,1.0,0.005,1.0,0.005
backdrop,1.0,0.005,0.0,0.0
anthony,1.0,0.005,0.0,0.0
aides,1.0,0.005,0.0,0.0
yorker,1.0,0.004,1.0,0.008
woman's,1.0,0.004,1.0,0.003
whitehouse,1.0,0.004,0.0,0.0
weinstein,1.0,0.004,1.0,0.042
vox,1.0,0.004,1.0,0.004
unfair,1.0,0.004,0.0,0.0
uncorroborated,1.0,0.004,0.0,0.0
ultimately,1.0,0.004,1.0,0.001
tv,1.0,0.004,1.0,0.001
toppled,1.0,0.004,0.0,0.0
threats,1.0,0.004,1.0,0.002
then-supreme,1.0,0.004,0.0,0.0
stoking,1.0,0.004,0.0,0.0
spotlight,1.0,0.004,1.0,0.004
split,1.0,0.004,1.0,0.003
spectrum,1.0,0.004,1.0,0.002
speaks,1.0,0.004,1.0,0.002
sincere,1.0,0.004,0.0,0.0
schumer,1.0,0.004,1.0,0.002
robert,1.0,0.004,0.0,0.0
reverse,1.0,0.004,0.0,0.0
revelations,1.0,0.004,1.0,0.003
reopened,1.0,0.004,0.0,0.0
ranking,1.0,0.004,0.0,0.0
psychology,1.0,0.004,0.0,0.0
potentially,1.0,0.004,1.0,0.002
pelosi,1.0,0.004,0.0,0.0
parallels,1.0,0.004,1.0,0.003
oath,1.0,0.004,0.0,0.0
moonves,1.0,0.004,0.0,0.0
momentum,1.0,0.004,1.0,0.006999999999999999
mississippi,1.0,0.004,0.0,0.0
mike,1.0,0.004,0.0,0.0
michael,1.0,0.004,1.0,0.002
maria,1.0,0.004,0.0,0.0
man's,1.0,0.004,0.0,0.0
last-minute,1.0,0.004,0.0,0.0
kerri,1.0,0.004,0.0,0.0
imperiled,1.0,0.004,0.0,0.0
hiring,1.0,0.004,0.0,0.0
heitkamp,1.0,0.004,0.0,0.0
galvanizing,1.0,0.004,0.0,0.0
farrow,1.0,0.004,1.0,0.003
echoes,1.0,0.004,0.0,0.0
divisions,1.0,0.004,0.0,0.0
disappointment,1.0,0.004,1.0,0.003
describing,1.0,0.004,0.0,0.0
deciding,1.0,0.004,0.0,0.0
d-calif,1.0,0.004,0.0,0.0
crisis,1.0,0.004,1.0,0.002
court's,1.0,0.004,0.0,0.0
cornyn,1.0,0.004,0.0,0.0
contacted,1.0,0.004,0.0,0.0
colleague,1.0,0.004,0.0,0.0
circuit,1.0,0.004,0.0,0.0
caucus,1.0,0.004,0.0,0.0
categorically,1.0,0.004,1.0,0.003
avenatti,1.0,0.004,0.0,0.0
attacking,1.0,0.004,1.0,0.002
asserting,1.0,0.004,0.0,0.0
arizona,1.0,0.004,1.0,0.002
ap,1.0,0.004,1.0,0.005
anti-kavanaugh,1.0,0.004,0.0,0.0
anonymous,1.0,0.004,0.0,0.0
alex,1.0,0.004,0.0,0.0
alaska,1.0,0.004,0.0,0.0
acted,1.0,0.004,0.0,0.0
youth,1.0,0.003,0.0,0.0
yahoo,1.0,0.003,0.0,0.0
wray,1.0,0.003,0.0,0.0
wapo,1.0,0.003,0.0,0.0
wade,1.0,0.003,0.0,0.0
virginia,1.0,0.003,1.0,0.003
viral,1.0,0.003,1.0,0.003
vetting,1.0,0.003,0.0,0.0
upend,1.0,0.003,0.0,0.0
unpopular,1.0,0.003,0.0,0.0
unclear,1.0,0.003,1.0,0.002
trumpian,1.0,0.003,1.0,0.001
today's,1.0,0.003,1.0,0.002
testimonies,1.0,0.003,1.0,0.001
terrified,1.0,0.003,0.0,0.0
targeted,1.0,0.003,1.0,0.003
tapper,1.0,0.003,1.0,0.001
starr,1.0,0.003,0.0,0.0
stall,1.0,0.003,0.0,0.0
sports,1.0,0.003,1.0,0.002
spokesperson,1.0,0.003,1.0,0.002
spectacle,1.0,0.003,0.0,0.0
sons,1.0,0.003,0.0,0.0
skeptics,1.0,0.003,0.0,0.0
shake,1.0,0.003,0.0,0.0
scott,1.0,0.003,0.0,0.0
ruin,1.0,0.003,0.0,0.0
rosenstein,1.0,0.003,0.0,0.0
roe,1.0,0.003,0.0,0.0
revenge,1.0,0.003,0.0,0.0
respondents,1.0,0.003,0.0,0.0
replacing,1.0,0.003,0.0,0.0
repeatedly,1.0,0.003,1.0,0.008
remembering,1.0,0.003,0.0,0.0
reluctance,1.0,0.003,0.0,0.0
recounted,1.0,0.003,0.0,0.0
r-maine,1.0,0.003,0.0,0.0
psychologist,1.0,0.003,0.0,0.0
presumption,1.0,0.003,0.0,0.0
praying,1.0,0.003,0.0,0.0
polarizing,1.0,0.003,1.0,0.002
pew,1.0,0.003,0.0,0.0
outrageous,1.0,0.003,0.0,0.0
ousted,1.0,0.003,0.0,0.0
orchestrated,1.0,0.003,0.0,0.0
operative,1.0,0.003,0.0,0.0
online,1.0,0.003,0.0,0.0
objections,1.0,0.003,0.0,0.0
news's,1.0,0.003,0.0,0.0
napolitano,1.0,0.003,0.0,0.0
nancy,1.0,0.003,0.0,0.0
motivated,1.0,0.003,0.0,0.0
month's,1.0,0.003,0.0,0.0
merrick,1.0,0.003,0.0,0.0
men's,1.0,0.003,1.0,0.004
memories,1.0,0.003,1.0,0.002
mcgahn,1.0,0.003,0.0,0.0
mattered,1.0,0.003,0.0,0.0
matt,1.0,0.003,1.0,0.012
lined,1.0,0.003,0.0,0.0
lied,1.0,0.003,0.0,0.0
leveled,1.0,0.003,0.0,0.0
lens,1.0,0.003,0.0,0.0
launch,1.0,0.003,1.0,0.005
kupec,1.0,0.003,0.0,0.0
justices,1.0,0.003,0.0,0.0
jurist,1.0,0.003,0.0,0.0
interviewed,1.0,0.003,1.0,0.004
insinuating,1.0,0.003,0.0,0.0
ingraham,1.0,0.003,0.0,0.0
indiana,1.0,0.003,0.0,0.0
inappropriate,1.0,0.003,1.0,0.009000000000000001
implicate,1.0,0.003,0.0,0.0
humiliate,1.0,0.003,0.0,0.0
hosts,1.0,0.003,0.0,0.0
hillary,1.0,0.003,1.0,0.003
hatch,1.0,0.003,0.0,0.0
hashtag,1.0,0.003,1.0,0.015
george,1.0,0.003,1.0,0.006
garland,1.0,0.003,0.0,0.0
gallagher,1.0,0.003,0.0,0.0
furious,1.0,0.003,0.0,0.0
false,1.0,0.003,1.0,0.01
fallon,1.0,0.003,0.0,0.0
exposing,1.0,0.003,0.0,0.0
escalates,1.0,0.003,0.0,0.0
engage,1.0,0.003,0.0,0.0
endorsement,1.0,0.003,1.0,0.026000000000000002
emotions,1.0,0.003,0.0,0.0
ellison,1.0,0.003,0.0,0.0
elite,1.0,0.003,0.0,0.0
durbin,1.0,0.003,0.0,0.0
drinker,1.0,0.003,0.0,0.0
dissent,1.0,0.003,0.0,0.0
disrupted,1.0,0.003,0.0,0.0
deserves,1.0,0.003,0.0,0.0
deputy,1.0,0.003,0.0,0.0
demonstrations,1.0,0.003,0.0,0.0
delaying,1.0,0.003,0.0,0.0
defiant,1.0,0.003,0.0,0.0
decades-old,1.0,0.003,0.0,0.0
dc,1.0,0.003,0.0,0.0
dakota,1.0,0.003,0.0,0.0
cried,1.0,0.003,0.0,0.0
counselor,1.0,0.003,0.0,0.0
correcting,1.0,0.003,0.0,0.0
conversations,1.0,0.003,1.0,0.002
confidential,1.0,0.003,0.0,0.0
confidant,1.0,0.003,0.0,0.0
commentators,1.0,0.003,0.0,0.0
celebrate,1.0,0.003,0.0,0.0
cbs,1.0,0.003,0.0,0.0
burgess,1.0,0.003,0.0,0.0
brian,1.0,0.003,0.0,0.0
bredesen,1.0,0.003,0.0,0.0
bolster,1.0,0.003,0.0,0.0
blocked,1.0,0.003,0.0,0.0
believing,1.0,0.003,1.0,0.003
assassination,1.0,0.003,0.0,0.0
archila,1.0,0.003,0.0,0.0
announcing,1.0,0.003,0.0,0.0
ana,1.0,0.003,0.0,0.0
alyssa,1.0,0.003,1.0,0.004
alcohol,1.0,0.003,0.0,0.0
aisle,1.0,0.003,0.0,0.0
agreement,1.0,0.003,0.0,0.0
aftermath,1.0,0.003,0.0,0.0
actress,1.0,0.003,1.0,0.004
activism,1.0,0.003,0.0,0.0
aca,1.0,0.003,0.0,0.0
___,1.0,0.003,0.0,0.0
5-4,1.0,0.003,0.0,0.0
1983-84,1.0,0.003,0.0,0.0
writer,1.0,0.002,1.0,0.001
withholding,1.0,0.002,0.0,0.0
