term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.832974137931,1.0,0.0701030927835
Ford,9.0,0.725215517241,1.0,0.0247422680412
Senate,8.0,0.640086206897,2.0,0.09896907216489999
Senate Judiciary Committee,7.0,0.553879310345,1.0,0.028865979381400002
FBI,5.0,0.375,1.0,0.0329896907216
White House,4.0,0.322198275862,1.0,0.0783505154639
Congress,3.0,0.24892241379299998,1.0,0.061855670103099995
Judiciary Committee,3.0,0.245689655172,1.0,0.0103092783505
GOP,3.0,0.243534482759,1.0,0.05567010309280001
Washington Post,3.0,0.239224137931,2.0,0.10309278350500001
New York Times,3.0,0.172413793103,3.0,0.226804123711
CNN,3.0,0.17025862069000003,1.0,0.080412371134
Fox News,2.0,0.14439655172399998,2.0,0.08865979381439999
Republican,2.0,0.10452586206900001,1.0,0.0123711340206
Yale,2.0,0.09375,1.0,0.014432989690700001
House,2.0,0.09267241379310001,1.0,0.05360824742269999
Palo Alto University,2.0,0.0851293103448,0.0,0.0
U.S. Supreme Court,1.0,0.073275862069,0.0,0.0
Reuters,1.0,0.0700431034483,1.0,0.05360824742269999
Yale University,1.0,0.0646551724138,0.0,0.0
CBS,1.0,0.0635775862069,2.0,0.0969072164948
Republican Party,1.0,0.0625,1.0,0.0164948453608
AP,1.0,0.0614224137931,1.0,0.0783505154639
Facebook,1.0,0.0581896551724,2.0,0.08865979381439999
Trump,1.0,0.0549568965517,1.0,0.014432989690700001
Associated Press,1.0,0.0538793103448,1.0,0.061855670103099995
NBC,1.0,0.052801724137900005,2.0,0.138144329897
NBC News,1.0,0.04849137931030001,1.0,0.035051546391800005
supreme court,1.0,0.047413793103400007,0.0,0.0
Wall Street Journal,1.0,0.04525862068969999,1.0,0.014432989690700001
Capitol Hill,1.0,0.0431034482759,1.0,0.014432989690700001
Dr. Ford,1.0,0.042025862069,0.0,0.0
house,1.0,0.038793103448300004,0.0,0.0
Justice Department,1.0,0.038793103448300004,1.0,0.014432989690700001
Democratic,1.0,0.0366379310345,1.0,0.0103092783505
Post,1.0,0.0355603448276,1.0,0.026804123711299997
Politico,1.0,0.0355603448276,1.0,0.00618556701031
United Nations,1.0,0.0344827586207,1.0,0.00824742268041
judiciary committee,1.0,0.0334051724138,0.0,0.0
United States Supreme Court,1.0,0.0334051724138,0.0,0.0
Democratic Party,1.0,0.0323275862069,0.0,0.0
F.B.I.,1.0,0.0323275862069,0.0,0.0
Google,1.0,0.03125,1.0,0.047422680412400005
Times,1.0,0.03125,1.0,0.0515463917526
Vox,1.0,0.03125,1.0,0.0247422680412
Trump administration,1.0,0.030172413793099997,1.0,0.0103092783505
Senate judiciary committee,1.0,0.030172413793099997,0.0,0.0
Brandeis University,1.0,0.030172413793099997,1.0,0.00618556701031
ABC,1.0,0.0290948275862,1.0,0.061855670103099995
Bloomberg,1.0,0.0269396551724,1.0,0.0123711340206
CBS News,1.0,0.0258620689655,1.0,0.014432989690700001
