term,a1_bin,a1_perc,a2_bin,a2_perc
Christine Blasey Ford,10.0,0.987068965517,1.0,0.049140049139999996
Brett Kavanaugh,9.0,0.8297413793100001,1.0,0.07371007371010001
Donald Trump,4.0,0.38146551724100003,2.0,0.169533169533
Anita Hill,3.0,0.265086206897,1.0,0.0638820638821
Clarence Thomas,3.0,0.245689655172,1.0,0.044226044226
Trump,3.0,0.24461206896600002,1.0,0.0909090909091
Susan Collins,3.0,0.210129310345,0.0,0.0
Mitch McConnell,2.0,0.191810344828,1.0,0.00982800982801
Dianne Feinstein,2.0,0.18857758620700002,0.0,0.0
Jeff Flake,2.0,0.1875,1.0,0.00737100737101
Chuck Grassley,2.0,0.175646551724,1.0,0.00737100737101
Brett M. Kavanaugh,2.0,0.171336206897,0.0,0.0
Deborah Ramirez,2.0,0.169181034483,1.0,0.00982800982801
Lisa Murkowski,2.0,0.133620689655,0.0,0.0
Lindsey Graham,2.0,0.10452586206900001,1.0,0.012285012284999999
Mark Judge,2.0,0.10452586206900001,0.0,0.0
Harvey Weinstein,1.0,0.09375,7.0,0.604422604423
Julie Swetnick,1.0,0.0872844827586,0.0,0.0
Orrin Hatch,1.0,0.07866379310339999,1.0,0.00737100737101
Bill Clinton,1.0,0.0711206896552,1.0,0.044226044226
Rachel Mitchell,1.0,0.0689655172414,0.0,0.0
Kellyanne Conway,1.0,0.0668103448276,1.0,0.00737100737101
Debra Katz,1.0,0.0657327586207,1.0,0.00737100737101
Hillary Clinton,1.0,0.0635775862069,1.0,0.029484029484
Anthony Kennedy,1.0,0.0614224137931,0.0,0.0
Mazie Hirono,1.0,0.0614224137931,0.0,0.0
Joe Biden,1.0,0.060344827586199995,1.0,0.014742014742
George W. Bush,1.0,0.0592672413793,0.0,0.0
Roe,1.0,0.05603448275859999,1.0,0.004914004914
Michael Avenatti,1.0,0.05603448275859999,0.0,0.0
Joe Manchin,1.0,0.0549568965517,0.0,0.0
Wade,1.0,0.052801724137900005,1.0,0.004914004914
Barack Obama,1.0,0.0506465517241,1.0,0.034398034397999995
Christine Ford,1.0,0.0506465517241,0.0,0.0
Heidi Heitkamp,1.0,0.04849137931030001,0.0,0.0
Ted Cruz,1.0,0.046336206896599993,1.0,0.00737100737101
Bill Cosby,1.0,0.046336206896599993,2.0,0.125307125307
Bob Corker,1.0,0.0431034482759,1.0,0.00737100737101
Roy Moore,1.0,0.042025862069,2.0,0.152334152334
Amy Klobuchar,1.0,0.042025862069,1.0,0.004914004914
Merrick Garland,1.0,0.0409482758621,0.0,0.0
Neil Gorsuch,1.0,0.038793103448300004,0.0,0.0
John Cornyn,1.0,0.038793103448300004,0.0,0.0
Ruth Bader Ginsburg,1.0,0.038793103448300004,1.0,0.00982800982801
Kavanaugh,1.0,0.038793103448300004,1.0,0.00982800982801
Chuck Schumer,1.0,0.0377155172414,1.0,0.004914004914
Al Franken,1.0,0.0377155172414,2.0,0.18427518427499998
Robert Mueller,1.0,0.0355603448276,1.0,0.012285012284999999
Kamala Harris,1.0,0.0344827586207,1.0,0.004914004914
Charles E. Grassley,1.0,0.0344827586207,0.0,0.0
Ronan Farrow,1.0,0.0344827586207,1.0,0.0663390663391
Cory Booker,1.0,0.03125,0.0,0.0
Fox,1.0,0.030172413793099997,1.0,0.022113022113
Richard Blumenthal,1.0,0.030172413793099997,0.0,0.0
Jane Mayer,1.0,0.030172413793099997,1.0,0.004914004914
Obama,1.0,0.0290948275862,1.0,0.024570024569999998
Donald Trump Jr.,1.0,0.0290948275862,1.0,0.00737100737101
Clintons,1.0,0.0290948275862,0.0,0.0
Alyssa Milano,1.0,0.028017241379299996,1.0,0.0663390663391
Ronald Reagan,1.0,0.0269396551724,0.0,0.0
Lindsey O. Graham,1.0,0.0269396551724,0.0,0.0
Kevin Cramer,1.0,0.0269396551724,0.0,0.0
Grassley,1.0,0.0269396551724,0.0,0.0
RAINN,1.0,0.0269396551724,1.0,0.00982800982801
Antonin Scalia,1.0,0.0258620689655,0.0,0.0
Mike Pence,1.0,0.0247844827586,1.0,0.014742014742
Dean Heller,1.0,0.0247844827586,0.0,0.0
Keith Ellison,1.0,0.0247844827586,0.0,0.0
Don McGahn,1.0,0.0247844827586,0.0,0.0
Clinton,1.0,0.023706896551700003,1.0,0.004914004914
Nancy Pelosi,1.0,0.023706896551700003,1.0,0.012285012284999999
Patrick Leahy,1.0,0.023706896551700003,0.0,0.0
Rod Rosenstein,1.0,0.023706896551700003,0.0,0.0
Bush,1.0,0.0226293103448,1.0,0.004914004914
Ed Whelan,1.0,0.0226293103448,0.0,0.0
Kirsten Gillibrand,1.0,0.0226293103448,1.0,0.017199017198999998
Richard Cowan,1.0,0.0226293103448,0.0,0.0
Emma Brown,1.0,0.0226293103448,0.0,0.0
