term,a1_bin,a1_perc,a2_bin,a2_perc
ford,10.0,0.784,1.0,0.006999999999999999
kavanaugh,5.0,0.38,1.0,0.013000000000000001
blasey,3.0,0.205,0.0,0.0
christine,3.0,0.18899999999999997,0.0,0.0
assault,3.0,0.17,1.0,0.06
allegations,3.0,0.168,2.0,0.109
senate,2.0,0.12300000000000001,1.0,0.008
accuser,2.0,0.091,0.0,0.0
trump,2.0,0.08900000000000001,1.0,0.012
republicans,2.0,0.083,0.0,0.0
testify,2.0,0.081,0.0,0.0
judiciary,1.0,0.069,0.0,0.0
democrats,1.0,0.069,0.0,0.0
brett,1.0,0.055999999999999994,1.0,0.021
supreme,1.0,0.055,1.0,0.008
judge,1.0,0.055,1.0,0.005
sexually,1.0,0.05,1.0,0.01
professor,1.0,0.047,0.0,0.0
nominee,1.0,0.044000000000000004,1.0,0.005
teenagers,1.0,0.036000000000000004,0.0,0.0
grassley,1.0,0.035,0.0,0.0
washington,1.0,0.03,1.0,0.005
california,1.0,0.03,0.0,0.0
victims,1.0,0.028999999999999998,1.0,0.037000000000000005
feinstein,1.0,0.027999999999999997,0.0,0.0
fbi,1.0,0.027000000000000003,0.0,0.0
confirmation,1.0,0.027000000000000003,1.0,0.002
harassment,1.0,0.024,2.0,0.095
misconduct,1.0,0.023,2.0,0.099
abuse,1.0,0.023,1.0,0.05
mocked,1.0,0.021,0.0,0.0
americans,1.0,0.02,0.0,0.0
nomination,1.0,0.019,0.0,0.0
media,1.0,0.019,1.0,0.03
credible,1.0,0.019,0.0,0.0
university,1.0,0.018000000000000002,0.0,0.0
rape,1.0,0.018000000000000002,1.0,0.016
rally,1.0,0.018000000000000002,1.0,0.012
donald,1.0,0.018000000000000002,1.0,0.005
1980s,1.0,0.018000000000000002,0.0,0.0
survivors,1.0,0.017,1.0,0.026000000000000002
gop,1.0,0.017,0.0,0.0
tweeted,1.0,0.016,0.0,0.0
chuck,1.0,0.016,0.0,0.0
hearings,1.0,0.013999999999999999,1.0,0.003
flake,1.0,0.013999999999999999,0.0,0.0
dianne,1.0,0.013999999999999999,0.0,0.0
conservative,1.0,0.013999999999999999,0.0,0.0
thursday's,1.0,0.013000000000000001,1.0,0.003
recollection,1.0,0.013000000000000001,0.0,0.0
congress,1.0,0.013000000000000001,1.0,0.004
collins,1.0,0.013000000000000001,0.0,0.0
ramirez,1.0,0.012,0.0,0.0
mitchell,1.0,0.012,0.0,0.0
supporters,1.0,0.011000000000000001,1.0,0.008
maryland,1.0,0.011000000000000001,0.0,0.0
katz,1.0,0.011000000000000001,0.0,0.0
emotional,1.0,0.011000000000000001,1.0,0.005
elections,1.0,0.011000000000000001,0.0,0.0
thomas,1.0,0.01,1.0,0.001
students,1.0,0.01,0.0,0.0
palo,1.0,0.01,0.0,0.0
investigate,1.0,0.01,0.0,0.0
criticized,1.0,0.01,1.0,0.005
america,1.0,0.01,1.0,0.002
alto,1.0,0.01,0.0,0.0
declined,1.0,0.009000000000000001,1.0,0.003
debra,1.0,0.009000000000000001,0.0,0.0
cnn,1.0,0.009000000000000001,1.0,0.003
activist,1.0,0.009000000000000001,1.0,0.015
women's,1.0,0.008,1.0,0.012
respected,1.0,0.008,0.0,0.0
psychology,1.0,0.008,0.0,0.0
proceed,1.0,0.008,0.0,0.0
pinned,1.0,0.008,0.0,0.0
milano,1.0,0.008,1.0,0.013999999999999999
memories,1.0,0.008,0.0,0.0
lawmakers,1.0,0.008,0.0,0.0
fox,1.0,0.008,0.0,0.0
false,1.0,0.008,1.0,0.006999999999999999
counsel,1.0,0.008,0.0,0.0
college,1.0,0.008,1.0,0.002
clarence,1.0,0.008,0.0,0.0
attacking,1.0,0.008,0.0,0.0
anita,1.0,0.008,0.0,0.0
violence,1.0,0.006999999999999999,1.0,0.006
twitter,1.0,0.006999999999999999,1.0,0.013000000000000001
trauma,1.0,0.006999999999999999,1.0,0.002
timing,1.0,0.006999999999999999,0.0,0.0
threats,1.0,0.006999999999999999,1.0,0.002
screams,1.0,0.006999999999999999,0.0,0.0
recount,1.0,0.006999999999999999,0.0,0.0
psychologist,1.0,0.006999999999999999,0.0,0.0
opinion,1.0,0.006999999999999999,1.0,0.003
midterm,1.0,0.006999999999999999,0.0,0.0
metoo,1.0,0.006999999999999999,1.0,0.015
hirono,1.0,0.006999999999999999,0.0,0.0
groped,1.0,0.006999999999999999,0.0,0.0
graham,1.0,0.006999999999999999,0.0,0.0
gender,1.0,0.006999999999999999,1.0,0.005
drunken,1.0,0.006999999999999999,0.0,0.0
crime,1.0,0.006999999999999999,1.0,0.006999999999999999
compelling,1.0,0.006999999999999999,0.0,0.0
committee's,1.0,0.006999999999999999,0.0,0.0
capitol,1.0,0.006999999999999999,0.0,0.0
attorneys,1.0,0.006999999999999999,0.0,0.0
alyssa,1.0,0.006999999999999999,1.0,0.011000000000000001
weinstein,1.0,0.006,2.0,0.11
terrified,1.0,0.006,0.0,0.0
repeatedly,1.0,0.006,0.0,0.0
ranking,1.0,0.006,0.0,0.0
politically,1.0,0.006,0.0,0.0
mistaken,1.0,0.006,0.0,0.0
lindsey,1.0,0.006,0.0,0.0
leaked,1.0,0.006,0.0,0.0
leader,1.0,0.006,0.0,0.0
jeff,1.0,0.006,1.0,0.005
hatch,1.0,0.006,0.0,0.0
deserves,1.0,0.006,0.0,0.0
denies,1.0,0.006,0.0,0.0
campaign,1.0,0.006,1.0,0.013999999999999999
calling,1.0,0.006,1.0,0.002
alumnae,1.0,0.006,0.0,0.0
all-male,1.0,0.006,0.0,0.0
acknowledged,1.0,0.006,1.0,0.01
witnessed,1.0,0.005,0.0,0.0
weighs,1.0,0.005,0.0,0.0
unfair,1.0,0.005,0.0,0.0
teens,1.0,0.005,0.0,0.0
swetnick,1.0,0.005,0.0,0.0
susan,1.0,0.005,0.0,0.0
smear,1.0,0.005,0.0,0.0
requested,1.0,0.005,0.0,0.0
remembers,1.0,0.005,0.0,0.0
refuses,1.0,0.005,0.0,0.0
protesters,1.0,0.005,0.0,0.0
president's,1.0,0.005,0.0,0.0
polls,1.0,0.005,0.0,0.0
orrin,1.0,0.005,0.0,0.0
nbc,1.0,0.005,1.0,0.005
mississippi,1.0,0.005,1.0,0.002
man's,1.0,0.005,0.0,0.0
loving,1.0,0.005,0.0,0.0
lifetime,1.0,0.005,0.0,0.0
