term,a1_bin,a1_perc,a2_bin,a2_perc
christine blasey ford,10.0,0.156,0.0,0.0
supreme nominee brett,2.0,0.02,0.0,0.0
nominee brett kavanaugh,2.0,0.02,0.0,0.0
christine blasey ford's,2.0,0.016,0.0,0.0
accuser christine blasey,1.0,0.015,0.0,0.0
kavanaugh sexually assaulted,1.0,0.013999999999999999,0.0,0.0
palo alto university,1.0,0.012,0.0,0.0
kavanaugh christine blasey,1.0,0.012,0.0,0.0
ford judge kavanaugh,1.0,0.011000000000000001,0.0,0.0
professor christine blasey,1.0,0.01,0.0,0.0
blasey ford testified,1.0,0.01,0.0,0.0
kavanaugh accuser christine,1.0,0.009000000000000001,0.0,0.0
testify senate judiciary,1.0,0.006999999999999999,0.0,0.0
professor palo alto,1.0,0.006999999999999999,0.0,0.0
judiciary chuck grassley,1.0,0.006999999999999999,0.0,0.0
ford brett kavanaugh,1.0,0.006999999999999999,0.0,0.0
ford alleged assault,1.0,0.006999999999999999,0.0,0.0
brett kavanaugh sexually,1.0,0.006999999999999999,0.0,0.0
brett kavanaugh christine,1.0,0.006999999999999999,0.0,0.0
blasey ford kavanaugh,1.0,0.006999999999999999,0.0,0.0
blasey ford brett,1.0,0.006999999999999999,0.0,0.0
senate judiciary chuck,1.0,0.006,0.0,0.0
judge kavanaugh ford,1.0,0.006,0.0,0.0
judge brett kavanaugh,1.0,0.006,0.0,0.0
blasey ford testify,1.0,0.006,0.0,0.0
blasey ford judge,1.0,0.006,0.0,0.0
accusers christine blasey,1.0,0.006,0.0,0.0
ford's senate judiciary,1.0,0.005,0.0,0.0
ford senate judiciary,1.0,0.005,0.0,0.0
brett kavanaugh supreme,1.0,0.005,0.0,0.0
blasey ford senate,1.0,0.005,0.0,0.0
blasey ford allegations,1.0,0.005,0.0,0.0
supreme nominee misconduct,1.0,0.004,0.0,0.0
republican senate judiciary,1.0,0.004,0.0,0.0
ramirez julie swetnick,1.0,0.004,0.0,0.0
kavanaugh senate judiciary,1.0,0.004,0.0,0.0
kavanaugh pinned groped,1.0,0.004,0.0,0.0
judiciary christine blasey,1.0,0.004,0.0,0.0
ford testified senate,1.0,0.004,0.0,0.0
ford supreme nominee,1.0,0.004,0.0,0.0
ford deborah ramirez,1.0,0.004,0.0,0.0
dianne feinstein d-calif,1.0,0.004,0.0,0.0
deborah ramirez julie,1.0,0.004,0.0,0.0
california professor christine,1.0,0.004,0.0,0.0
brett kavanaugh accuser,1.0,0.004,0.0,0.0
blasey ford supreme,1.0,0.004,0.0,0.0
blasey ford sexually,1.0,0.004,0.0,0.0
university professor christine,1.0,0.003,0.0,0.0
testified senate judiciary,1.0,0.003,0.0,0.0
sexually assaulted teenagers,1.0,0.003,0.0,0.0
sexually assaulted 1980s,1.0,0.003,0.0,0.0
senate judiciary ford's,1.0,0.003,0.0,0.0
senate judiciary ford,1.0,0.003,0.0,0.0
psychology professor palo,1.0,0.003,0.0,0.0
prosecutor rachel mitchell,1.0,0.003,0.0,0.0
kavanaugh sexually assaulting,1.0,0.003,0.0,0.0
kavanaugh ford testify,1.0,0.003,0.0,0.0
hiring crimes prosecutor,1.0,0.003,0.0,0.0
ford's debra katz,1.0,0.003,0.0,0.0
ford testify senate,1.0,0.003,0.0,0.0
ford sexually assaulted,1.0,0.003,0.0,0.0
ford psychology professor,1.0,0.003,0.0,0.0
ford professor palo,1.0,0.003,0.0,0.0
ford kavanaugh testify,1.0,0.003,0.0,0.0
ford kavanaugh sexually,1.0,0.003,0.0,0.0
ford kavanaugh pinned,1.0,0.003,0.0,0.0
ford judge brett,1.0,0.003,0.0,0.0
ford alleged kavanaugh,1.0,0.003,0.0,0.0
ford allegations kavanaugh,1.0,0.003,0.0,0.0
debra katz lisa,1.0,0.003,0.0,0.0
debra katz ford's,1.0,0.003,0.0,0.0
brett kavanaugh senate,1.0,0.003,0.0,0.0
brett kavanaugh rape,1.0,0.003,0.0,0.0
brett kavanaugh assault,1.0,0.003,0.0,0.0
blasey ford's senate,1.0,0.003,0.0,0.0
