term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,7.0,0.226804123711,10.0,0.348894348894
Netflix,5.0,0.156701030928,6.0,0.191646191646
NBC,4.0,0.138144329897,5.0,0.14987714987700002
Washington Post,3.0,0.10309278350500001,4.0,0.12285012285000001
Senate,3.0,0.09896907216489999,4.0,0.10810810810799999
CBS,3.0,0.0969072164948,4.0,0.132678132678
Facebook,3.0,0.08865979381439999,2.0,0.0540540540541
Fox News,3.0,0.08865979381439999,2.0,0.06879606879610001
Time,3.0,0.0865979381443,3.0,0.07125307125310001
CNN,3.0,0.080412371134,3.0,0.07125307125310001
Amazon,3.0,0.080412371134,2.0,0.0638820638821
White House,3.0,0.0783505154639,2.0,0.0663390663391
AP,3.0,0.0783505154639,2.0,0.036855036855
Supreme Court,3.0,0.0701030927835,3.0,0.0909090909091
HBO,2.0,0.0680412371134,3.0,0.0761670761671
ABC,2.0,0.061855670103099995,3.0,0.07371007371010001
Associated Press,2.0,0.061855670103099995,1.0,0.024570024569999998
Congress,2.0,0.061855670103099995,2.0,0.0614250614251
GOP,2.0,0.05567010309280001,2.0,0.0540540540541
Los Angeles Times,2.0,0.05567010309280001,1.0,0.034398034397999995
Reuters,2.0,0.05360824742269999,1.0,0.027027027026999998
House,2.0,0.05360824742269999,2.0,0.0515970515971
Times,2.0,0.0515463917526,2.0,0.0565110565111
Amazon Studios,2.0,0.0515463917526,2.0,0.0540540540541
Google,2.0,0.047422680412400005,1.0,0.031941031941
Disney,2.0,0.047422680412400005,2.0,0.041769041768999995
Weinstein Company,2.0,0.0371134020619,1.0,0.017199017198999998
PBS,2.0,0.0371134020619,2.0,0.044226044226
Temple University,2.0,0.0371134020619,0.0,0.0
NBC News,2.0,0.035051546391800005,1.0,0.029484029484
NFL,2.0,0.035051546391800005,2.0,0.039312039312
NPR,2.0,0.035051546391800005,2.0,0.039312039312
Vanity Fair,2.0,0.035051546391800005,1.0,0.034398034397999995
FBI,1.0,0.0329896907216,2.0,0.041769041768999995
USA Today,1.0,0.0329896907216,1.0,0.00982800982801
MSNBC,1.0,0.0309278350515,1.0,0.029484029484
Weinstein Co.,1.0,0.0309278350515,1.0,0.024570024569999998
Hollywood,1.0,0.028865979381400002,1.0,0.00737100737101
Senate Judiciary Committee,1.0,0.028865979381400002,2.0,0.041769041768999995
Showtime,1.0,0.028865979381400002,1.0,0.019656019656
Sony,1.0,0.026804123711299997,1.0,0.00737100737101
Post,1.0,0.026804123711299997,1.0,0.019656019656
ABC News,1.0,0.026804123711299997,1.0,0.022113022113
Warner Bros.,1.0,0.026804123711299997,1.0,0.022113022113
Hollywood Foreign Press Association,1.0,0.026804123711299997,0.0,0.0
solidarity,1.0,0.026804123711299997,1.0,0.024570024569999998
Ford,1.0,0.0247422680412,2.0,0.049140049139999996
Vox,1.0,0.0247422680412,2.0,0.0638820638821
USA TODAY,1.0,0.0247422680412,1.0,0.024570024569999998
Harvard,1.0,0.022680412371099995,1.0,0.019656019656
BBC,1.0,0.022680412371099995,1.0,0.012285012284999999
Twitter,1.0,0.022680412371099995,1.0,0.014742014742
Pixar,1.0,0.022680412371099995,1.0,0.017199017198999998
ESPN,1.0,0.022680412371099995,1.0,0.017199017198999998
Dartmouth,1.0,0.022680412371099995,1.0,0.027027027026999998
Time magazine,1.0,0.020618556701,1.0,0.022113022113
YouTube,1.0,0.020618556701,1.0,0.024570024569999998
New Yorker,1.0,0.020618556701,1.0,0.014742014742
U.S. Senate,1.0,0.0185567010309,1.0,0.012285012284999999
New York Daily News,1.0,0.0185567010309,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.0185567010309,1.0,0.014742014742
