term,a1_bin,a1_perc,a2_bin,a2_perc
Kevin Spacey,10.0,0.981443298969,4.0,0.33415233415199996
Harvey Weinstein,8.0,0.7731958762890001,7.0,0.604422604423
Matt Lauer,3.0,0.251546391753,3.0,0.282555282555
Louis C.K.,3.0,0.20412371133999999,8.0,0.771498771499
Donald Trump,2.0,0.183505154639,2.0,0.169533169533
Al Franken,2.0,0.17113402061900002,2.0,0.18427518427499998
Charlie Rose,2.0,0.164948453608,3.0,0.27027027027
Bill Cosby,2.0,0.158762886598,2.0,0.125307125307
Roy Moore,2.0,0.138144329897,2.0,0.152334152334
Christopher Plummer,2.0,0.136082474227,1.0,0.017199017198999998
James Toback,2.0,0.136082474227,1.0,0.0810810810811
Anthony Rapp,2.0,0.12164948453600001,1.0,0.027027027026999998
Trump,2.0,0.11134020618599999,1.0,0.0909090909091
Tarana Burke,2.0,0.11134020618599999,1.0,0.07862407862410001
Brett Ratner,2.0,0.10309278350500001,1.0,0.0761670761671
Ashley Judd,1.0,0.09278350515460002,1.0,0.0810810810811
Mark Halperin,1.0,0.08865979381439999,1.0,0.0761670761671
Woody Allen,1.0,0.0845360824742,1.0,0.08599508599510002
Ridley Scott,1.0,0.0783505154639,1.0,0.014742014742
Michelle Williams,1.0,0.0701030927835,1.0,0.00982800982801
Alyssa Milano,1.0,0.0680412371134,1.0,0.0663390663391
Dustin Hoffman,1.0,0.0680412371134,1.0,0.039312039312
Seth Meyers,1.0,0.0639175257732,1.0,0.014742014742
James Franco,1.0,0.0639175257732,1.0,0.034398034397999995
Anita Hill,1.0,0.0639175257732,1.0,0.0638820638821
Roger Ailes,1.0,0.061855670103099995,1.0,0.034398034397999995
Andrea Constand,1.0,0.059793814433000005,1.0,0.029484029484
Rose McGowan,1.0,0.059793814433000005,1.0,0.0515970515971
Mario Batali,1.0,0.059793814433000005,2.0,0.100737100737
Greta Gerwig,1.0,0.0577319587629,1.0,0.029484029484
Aziz Ansari,1.0,0.05567010309280001,1.0,0.08845208845210001
Jeremy Piven,1.0,0.05360824742269999,1.0,0.034398034397999995
Russell Simmons,1.0,0.0515463917526,1.0,0.049140049139999996
Mark Wahlberg,1.0,0.0515463917526,0.0,0.0
Bill O'Reilly,1.0,0.049484536082499996,1.0,0.039312039312
Oprah Winfrey,1.0,0.049484536082499996,1.0,0.022113022113
Clarence Thomas,1.0,0.047422680412400005,1.0,0.044226044226
Steven Seagal,1.0,0.047422680412400005,1.0,0.034398034397999995
Dylan Farrow,1.0,0.04536082474230001,1.0,0.041769041768999995
Reese Witherspoon,1.0,0.043298969072199996,1.0,0.024570024569999998
Jeffrey Tambor,1.0,0.043298969072199996,1.0,0.044226044226
Ryan Seacrest,1.0,0.043298969072199996,1.0,0.019656019656
Jessica Chastain,1.0,0.0412371134021,1.0,0.022113022113
Matt Damon,1.0,0.0412371134021,1.0,0.0761670761671
Frances McDormand,1.0,0.0412371134021,1.0,0.012285012284999999
Larry Nassar,1.0,0.0412371134021,1.0,0.036855036855
Ed Westwick,1.0,0.0412371134021,1.0,0.039312039312
Louis CK,1.0,0.0412371134021,2.0,0.154791154791
Jennifer Lawrence,1.0,0.039175257732,1.0,0.034398034397999995
Steven Spielberg,1.0,0.039175257732,1.0,0.00737100737101
Hillary Clinton,1.0,0.0371134020619,1.0,0.029484029484
Jimmy Kimmel,1.0,0.0371134020619,1.0,0.022113022113
George H.W. Bush,1.0,0.0371134020619,1.0,0.029484029484
Robin Wright,1.0,0.0371134020619,1.0,0.004914004914
John Conyers,1.0,0.0371134020619,1.0,0.027027027026999998
William Morris,1.0,0.0371134020619,1.0,0.00982800982801
Ben Affleck,1.0,0.0371134020619,1.0,0.022113022113
Weinstein,1.0,0.0371134020619,1.0,0.036855036855
Bill Clinton,1.0,0.035051546391800005,1.0,0.044226044226
Fox,1.0,0.035051546391800005,1.0,0.022113022113
Nicole Kidman,1.0,0.035051546391800005,1.0,0.012285012284999999
Brett Kavanaugh,1.0,0.035051546391800005,1.0,0.07371007371010001
Ronan Farrow,1.0,0.035051546391800005,1.0,0.0663390663391
Gary Oldman,1.0,0.0329896907216,1.0,0.00737100737101
Emma Stone,1.0,0.0329896907216,1.0,0.034398034397999995
Guillermo del Toro,1.0,0.0329896907216,1.0,0.00982800982801
Natalie Portman,1.0,0.0329896907216,1.0,0.014742014742
Garrison Keillor,1.0,0.0329896907216,1.0,0.0638820638821
Danny Masterson,1.0,0.0329896907216,1.0,0.022113022113
Sam Rockwell,1.0,0.0329896907216,0.0,0.0
Meryl Streep,1.0,0.0329896907216,1.0,0.00982800982801
Maisel,1.0,0.0329896907216,1.0,0.017199017198999998
Taylor Swift,1.0,0.0309278350515,1.0,0.029484029484
Jordan Peele,1.0,0.0309278350515,1.0,0.00737100737101
J. Paul Getty,1.0,0.0309278350515,1.0,0.00737100737101
Robert Mueller,1.0,0.028865979381400002,1.0,0.012285012284999999
Bill O’Reilly,1.0,0.028865979381400002,1.0,0.022113022113
Allison Janney,1.0,0.028865979381400002,1.0,0.00737100737101
Les Moonves,1.0,0.028865979381400002,1.0,0.0638820638821
Terry Richardson,1.0,0.028865979381400002,1.0,0.024570024569999998
Michael Jackson,1.0,0.026804123711299997,1.0,0.004914004914
Carrie Fisher,1.0,0.026804123711299997,1.0,0.027027027026999998
Gloria Allred,1.0,0.026804123711299997,1.0,0.00982800982801
Elisabeth Moss,1.0,0.026804123711299997,1.0,0.00982800982801
Laura Dern,1.0,0.026804123711299997,1.0,0.00982800982801
Justin Timberlake,1.0,0.026804123711299997,1.0,0.017199017198999998
Jodi Kantor,1.0,0.026804123711299997,1.0,0.031941031941
Rachel Brosnahan,1.0,0.026804123711299997,1.0,0.012285012284999999
Greg Risling,1.0,0.026804123711299997,0.0,0.0
Tom Hanks,1.0,0.0247422680412,1.0,0.00982800982801
Salma Hayek,1.0,0.0247422680412,1.0,0.017199017198999998
David Blaine,1.0,0.0247422680412,1.0,0.024570024569999998
Megan Twohey,1.0,0.0247422680412,1.0,0.027027027026999998
Robert Scoble,1.0,0.0247422680412,1.0,0.024570024569999998
John Lasseter,1.0,0.0247422680412,1.0,0.027027027026999998
McKayla Maroney,1.0,0.0247422680412,1.0,0.029484029484
John Besh,1.0,0.0247422680412,1.0,0.00737100737101
Martin McDonagh,1.0,0.022680412371099995,0.0,0.0
Gal Gadot,1.0,0.022680412371099995,1.0,0.014742014742
Casey Affleck,1.0,0.022680412371099995,1.0,0.014742014742
Doug Jones,1.0,0.022680412371099995,1.0,0.017199017198999998
Patty Jenkins,1.0,0.022680412371099995,1.0,0.014742014742
Terry Crews,1.0,0.022680412371099995,1.0,0.00982800982801
Tavis Smiley,1.0,0.022680412371099995,1.0,0.024570024569999998
Obama,1.0,0.020618556701,1.0,0.024570024569999998
Winston Churchill,1.0,0.020618556701,1.0,0.004914004914
Paul Ryan,1.0,0.020618556701,1.0,0.022113022113
Alec Baldwin,1.0,0.020618556701,1.0,0.022113022113
Ryan Zinke,1.0,0.020618556701,1.0,0.014742014742
Geraldo Rivera,1.0,0.020618556701,1.0,0.024570024569999998
George Takei,1.0,0.020618556701,1.0,0.022113022113
Andrew Kreisberg,1.0,0.020618556701,1.0,0.024570024569999998
Anthony Anderson,1.0,0.020618556701,1.0,0.004914004914
Tom Sizemore,1.0,0.020618556701,1.0,0.024570024569999998
Cecil B. DeMille,1.0,0.020618556701,1.0,0.012285012284999999
Corey Feldman,1.0,0.020618556701,1.0,0.022113022113
Emmitt Williams,1.0,0.020618556701,1.0,0.024570024569999998
Adam Venit,1.0,0.020618556701,0.0,0.0
Mark Schwahn,1.0,0.020618556701,1.0,0.024570024569999998
Angelina Jolie,1.0,0.0185567010309,1.0,0.00737100737101
Jesus,1.0,0.0185567010309,1.0,0.019656019656
Stephen Colbert,1.0,0.0185567010309,1.0,0.039312039312
Leon Wieseltier,1.0,0.0185567010309,1.0,0.014742014742
Margaret Atwood,1.0,0.0185567010309,1.0,0.00982800982801
Oliver Stone,1.0,0.0185567010309,1.0,0.004914004914
Susan Fowler,1.0,0.0185567010309,1.0,0.014742014742
Gretchen Carlson,1.0,0.0185567010309,1.0,0.00737100737101
Margot Robbie,1.0,0.0185567010309,1.0,0.00737100737101
Warren Beatty,1.0,0.0185567010309,1.0,0.004914004914
Ronan,1.0,0.0185567010309,1.0,0.004914004914
Lupita Nyong,1.0,0.0185567010309,1.0,0.014742014742
Kate Winslet,1.0,0.0185567010309,1.0,0.024570024569999998
Christopher Nolan,1.0,0.0185567010309,1.0,0.00737100737101
Portia de Rossi,1.0,0.0185567010309,1.0,0.022113022113
Richard Dreyfuss,1.0,0.0185567010309,1.0,0.00982800982801
Bruce Weber,1.0,0.0185567010309,1.0,0.019656019656
Saoirse Ronan,1.0,0.0185567010309,1.0,0.00737100737101
John Hockenberry,1.0,0.0185567010309,1.0,0.046683046683
Catherine Deneuve,1.0,0.0185567010309,1.0,0.014742014742
Mira Sorvino,1.0,0.0185567010309,1.0,0.017199017198999998
Christine Blasey Ford,1.0,0.0185567010309,1.0,0.049140049139999996
Steve Bannon,1.0,0.0164948453608,1.0,0.00982800982801
Barack Obama,1.0,0.0164948453608,1.0,0.034398034397999995
Hamilton,1.0,0.0164948453608,0.0,0.0
Nancy Pelosi,1.0,0.0164948453608,1.0,0.012285012284999999
Monica Lewinsky,1.0,0.0164948453608,1.0,0.014742014742
Emmanuel Macron,1.0,0.0164948453608,1.0,0.00737100737101
Ryan Murphy,1.0,0.0164948453608,1.0,0.014742014742
Michael Fallon,1.0,0.0164948453608,0.0,0.0
Jeff Bezos,1.0,0.0164948453608,1.0,0.00737100737101
Morgan Freeman,1.0,0.0164948453608,1.0,0.00737100737101
K. Brown,1.0,0.0164948453608,1.0,0.004914004914
Chris Pizzello/Invision/AP,1.0,0.0164948453608,1.0,0.00982800982801
Shonda Rhimes,1.0,0.0164948453608,1.0,0.017199017198999998
Michael Douglas,1.0,0.0164948453608,1.0,0.012285012284999999
Trent Franks,1.0,0.0164948453608,1.0,0.019656019656
Bette Midler,1.0,0.0164948453608,1.0,0.022113022113
Ewan McGregor,1.0,0.0164948453608,0.0,0.0
Susan Sarandon,1.0,0.0164948453608,1.0,0.012285012284999999
Judd Apatow,1.0,0.0164948453608,1.0,0.00737100737101
Roman Polanski,1.0,0.0164948453608,1.0,0.012285012284999999
Sylvester Stallone,1.0,0.0164948453608,1.0,0.00982800982801
Mary J. Blige,1.0,0.0164948453608,1.0,0.00737100737101
T.J. Miller,1.0,0.0164948453608,1.0,0.014742014742
Matthew Weiner,1.0,0.0164948453608,1.0,0.014742014742
Andy Rubin,1.0,0.0164948453608,1.0,0.019656019656
Dee Rees,1.0,0.0164948453608,1.0,0.00982800982801
Cliff Huxtable,1.0,0.0164948453608,0.0,0.0
Tiffany Haddish,1.0,0.0164948453608,1.0,0.012285012284999999
Daniel Kaluuya,1.0,0.0164948453608,0.0,0.0
Asia Argento,1.0,0.0164948453608,1.0,0.00737100737101
Leeann Tweeden,1.0,0.0164948453608,1.0,0.017199017198999998
Theresa May,1.0,0.014432989690700001,0.0,0.0
Kirsten Gillibrand,1.0,0.014432989690700001,1.0,0.017199017198999998
Colin Kaepernick,1.0,0.014432989690700001,1.0,0.017199017198999998
Claire Underwood,1.0,0.014432989690700001,0.0,0.0
R. Kelly,1.0,0.014432989690700001,1.0,0.019656019656
Ava DuVernay,1.0,0.014432989690700001,1.0,0.019656019656
Rebecca Traister,1.0,0.014432989690700001,1.0,0.029484029484
RAINN,1.0,0.014432989690700001,1.0,0.00982800982801
Oprah,1.0,0.014432989690700001,0.0,0.0
Patricia Arquette,1.0,0.014432989690700001,0.0,0.0
Tonya,1.0,0.014432989690700001,0.0,0.0
Sally Hawkins,1.0,0.014432989690700001,0.0,0.0
Kumail Nanjiani,1.0,0.014432989690700001,0.0,0.0
Selma Blair,1.0,0.014432989690700001,0.0,0.0
Olivia Munn,1.0,0.014432989690700001,0.0,0.0
James Levine,1.0,0.014432989690700001,1.0,0.00737100737101
Kevin Steele,1.0,0.014432989690700001,0.0,0.0
Tom Mesereau,1.0,0.014432989690700001,0.0,0.0
Vic theater,1.0,0.014432989690700001,0.0,0.0
Knight Landesman,1.0,0.014432989690700001,0.0,0.0
Isabel Pascual,1.0,0.014432989690700001,0.0,0.0
Jeff Flake,1.0,0.0123711340206,1.0,0.00737100737101
Xi Jinping,1.0,0.0123711340206,1.0,0.00982800982801
Julia Roberts,1.0,0.0123711340206,1.0,0.004914004914
Scarlett Johansson,1.0,0.0123711340206,1.0,0.027027027026999998
Maria,1.0,0.0123711340206,1.0,0.017199017198999998
Johnny Depp,1.0,0.0123711340206,1.0,0.014742014742
Damian Green,1.0,0.0123711340206,0.0,0.0
Billy Bush,1.0,0.0123711340206,1.0,0.012285012284999999
Tom Cruise,1.0,0.0123711340206,1.0,0.004914004914
Breitbart,1.0,0.0123711340206,1.0,0.00982800982801
Pelosi,1.0,0.0123711340206,1.0,0.012285012284999999
Miguel Sano,1.0,0.0123711340206,1.0,0.014742014742
Albert,1.0,0.0123711340206,0.0,0.0
Frank Underwood,1.0,0.0123711340206,0.0,0.0
