term,a1_bin,a1_perc,a2_bin,a2_perc
spacey,10.0,0.462,1.0,0.006
kevin,7.0,0.309,1.0,0.006999999999999999
weinstein,4.0,0.155,3.0,0.1
allegations,4.0,0.15,3.0,0.132
harassment,3.0,0.125,6.0,0.248
harvey,3.0,0.10300000000000001,2.0,0.059000000000000004
assault,3.0,0.09699999999999999,2.0,0.061
rapp,2.0,0.08199999999999999,0.0,0.0
misconduct,2.0,0.081,2.0,0.055
accusations,2.0,0.071,2.0,0.048
abuse,2.0,0.057999999999999996,2.0,0.068
cards,2.0,0.05,0.0,0.0
anthony,1.0,0.040999999999999995,0.0,0.0
media,1.0,0.037000000000000005,2.0,0.054000000000000006
matt,1.0,0.037000000000000005,1.0,0.011000000000000001
lauer,1.0,0.037000000000000005,1.0,0.009000000000000001
victims,1.0,0.035,1.0,0.028999999999999998
netflix,1.0,0.033,0.0,0.0
producer,1.0,0.032,1.0,0.012
los,1.0,0.032,0.0,0.0
cosby,1.0,0.032,2.0,0.048
angeles,1.0,0.032,0.0,0.0
louis,1.0,0.031,1.0,0.003
campaign,1.0,0.03,1.0,0.036000000000000004
burke,1.0,0.03,1.0,0.013000000000000001
oscar,1.0,0.026000000000000002,0.0,0.0
celebrity,1.0,0.026000000000000002,0.0,0.0
tarana,1.0,0.025,1.0,0.012
scandal,1.0,0.025,1.0,0.026000000000000002
time's,1.0,0.024,1.0,0.006
time's,1.0,0.001,1.0,0.006
survivors,1.0,0.024,1.0,0.01
james,1.0,0.024,1.0,0.006
trump,1.0,0.023,3.0,0.11800000000000001
hashtag,1.0,0.022000000000000002,2.0,0.054000000000000006
plummer,1.0,0.021,0.0,0.0
franken,1.0,0.021,1.0,0.005
charlie,1.0,0.021,1.0,0.004
apologized,1.0,0.021,1.0,0.01
actors,1.0,0.021,0.0,0.0
globes,1.0,0.02,0.0,0.0
getty,1.0,0.02,0.0,0.0
sexually,1.0,0.019,1.0,0.015
inappropriate,1.0,0.019,1.0,0.003
christopher,1.0,0.019,0.0,0.0
workplace,1.0,0.018000000000000002,1.0,0.025
williams,1.0,0.018000000000000002,0.0,0.0
rape,1.0,0.018000000000000002,1.0,0.003
dozens,1.0,0.018000000000000002,1.0,0.008
actress,1.0,0.018000000000000002,1.0,0.004
scott,1.0,0.017,1.0,0.001
reshoots,1.0,0.017,0.0,0.0
metoo,1.0,0.017,1.0,0.023
buzzfeed,1.0,0.017,0.0,0.0
advances,1.0,0.016,1.0,0.018000000000000002
wright,1.0,0.015,0.0,0.0
awards,1.0,0.015,0.0,0.0
winner,1.0,0.013999999999999999,1.0,0.002
tv,1.0,0.013999999999999999,1.0,0.006999999999999999
feminist,1.0,0.013999999999999999,0.0,0.0
activist,1.0,0.013999999999999999,1.0,0.009000000000000001
academy,1.0,0.013999999999999999,0.0,0.0
violence,1.0,0.013000000000000001,1.0,0.008
twitter,1.0,0.013000000000000001,1.0,0.026000000000000002
reckoning,1.0,0.013000000000000001,1.0,0.006999999999999999
mogul,1.0,0.013000000000000001,1.0,0.008
gender,1.0,0.013000000000000001,1.0,0.005
reportedly,1.0,0.012,1.0,0.008
rally,1.0,0.012,1.0,0.013000000000000001
predators,1.0,0.012,1.0,0.013000000000000001
paul,1.0,0.012,0.0,0.0
nominations,1.0,0.012,0.0,0.0
moore,1.0,0.012,1.0,0.013000000000000001
milano,1.0,0.012,1.0,0.012
brett,1.0,0.012,1.0,0.005
alyssa,1.0,0.012,1.0,0.008
allen,1.0,0.012,0.0,0.0
wahlberg,1.0,0.011000000000000001,0.0,0.0
toback,1.0,0.011000000000000001,1.0,0.006999999999999999
sparked,1.0,0.011000000000000001,1.0,0.005
roy,1.0,0.011000000000000001,1.0,0.016
ridley,1.0,0.011000000000000001,0.0,0.0
meyers,1.0,0.011000000000000001,0.0,0.0
donald,1.0,0.011000000000000001,1.0,0.025
co-star,1.0,0.011000000000000001,0.0,0.0
ceremony,1.0,0.011000000000000001,0.0,0.0
year's,1.0,0.01,1.0,0.001
witch,1.0,0.01,1.0,0.002
vic,1.0,0.01,0.0,0.0
unwanted,1.0,0.01,1.0,0.003
ratner,1.0,0.01,1.0,0.001
michelle,1.0,0.01,0.0,0.0
john,1.0,0.01,1.0,0.006999999999999999
groped,1.0,0.01,1.0,0.003
global,1.0,0.01,1.0,0.002
franco,1.0,0.01,0.0,0.0
founder,1.0,0.01,1.0,0.006
comedian,1.0,0.01,1.0,0.004
argento,1.0,0.01,1.0,0.002
tweet,1.0,0.009000000000000001,1.0,0.023
supporters,1.0,0.009000000000000001,0.0,0.0
solidarity,1.0,0.009000000000000001,1.0,0.002
