term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,4.0,0.226804123711,5.0,0.24531835206
Netflix,3.0,0.156701030928,1.0,0.029962546816500003
NBC,3.0,0.138144329897,2.0,0.11235955056199999
Washington Post,2.0,0.10309278350500001,5.0,0.26404494382
Senate,2.0,0.09896907216489999,10.0,0.582397003745
CBS,2.0,0.0969072164948,1.0,0.05056179775280001
Facebook,2.0,0.08865979381439999,2.0,0.0861423220974
Fox News,2.0,0.08865979381439999,3.0,0.16479400749099998
Time,2.0,0.0865979381443,1.0,0.033707865168499995
CNN,2.0,0.080412371134,4.0,0.185393258427
Amazon,2.0,0.080412371134,1.0,0.0430711610487
White House,2.0,0.0783505154639,6.0,0.331460674157
AP,2.0,0.0783505154639,2.0,0.0861423220974
Supreme Court,2.0,0.0701030927835,4.0,0.21535580524300002
HBO,2.0,0.0680412371134,1.0,0.005617977528089999
ABC,2.0,0.061855670103099995,1.0,0.0393258426966
Associated Press,2.0,0.061855670103099995,1.0,0.0355805243446
Congress,2.0,0.061855670103099995,7.0,0.37640449438199997
GOP,1.0,0.05567010309280001,6.0,0.32397003745299996
Los Angeles Times,1.0,0.05567010309280001,1.0,0.0205992509363
Reuters,1.0,0.05360824742269999,1.0,0.0486891385768
House,1.0,0.05360824742269999,4.0,0.230337078652
Times,1.0,0.0515463917526,2.0,0.061797752808999996
Amazon Studios,1.0,0.0515463917526,1.0,0.022471910112400004
Google,1.0,0.047422680412400005,1.0,0.0374531835206
Disney,1.0,0.047422680412400005,1.0,0.0262172284644
Weinstein Company,1.0,0.0371134020619,0.0,0.0
PBS,1.0,0.0371134020619,1.0,0.0355805243446
Temple University,1.0,0.0371134020619,0.0,0.0
NBC News,1.0,0.035051546391800005,2.0,0.059925093633000005
NFL,1.0,0.035051546391800005,1.0,0.05056179775280001
NPR,1.0,0.035051546391800005,1.0,0.033707865168499995
Vanity Fair,1.0,0.035051546391800005,1.0,0.0262172284644
FBI,1.0,0.0329896907216,3.0,0.13295880149800002
USA Today,1.0,0.0329896907216,1.0,0.0243445692884
MSNBC,1.0,0.0309278350515,2.0,0.059925093633000005
Weinstein Co.,1.0,0.0309278350515,1.0,0.0205992509363
Hollywood,1.0,0.028865979381400002,0.0,0.0
Senate Judiciary Committee,1.0,0.028865979381400002,2.0,0.0973782771536
Showtime,1.0,0.028865979381400002,0.0,0.0
Sony,1.0,0.026804123711299997,0.0,0.0
Post,1.0,0.026804123711299997,1.0,0.05056179775280001
ABC News,1.0,0.026804123711299997,1.0,0.0280898876404
Warner Bros.,1.0,0.026804123711299997,0.0,0.0
Hollywood Foreign Press Association,1.0,0.026804123711299997,0.0,0.0
solidarity,1.0,0.026804123711299997,1.0,0.0187265917603
Ford,1.0,0.0247422680412,2.0,0.06741573033710001
Vox,1.0,0.0247422680412,1.0,0.0374531835206
USA TODAY,1.0,0.0247422680412,1.0,0.0262172284644
Harvard,1.0,0.022680412371099995,1.0,0.0243445692884
BBC,1.0,0.022680412371099995,1.0,0.022471910112400004
Twitter,1.0,0.022680412371099995,1.0,0.0149812734082
Pixar,1.0,0.022680412371099995,1.0,0.005617977528089999
