term,a1_bin,a1_perc,a2_bin,a2_perc
spacey,8.0,0.462,1.0,0.01
kevin,5.0,0.309,1.0,0.009000000000000001
weinstein,3.0,0.155,1.0,0.042
allegations,3.0,0.15,3.0,0.159
harassment,2.0,0.125,1.0,0.057999999999999996
harvey,2.0,0.10300000000000001,1.0,0.028999999999999998
assault,2.0,0.09699999999999999,2.0,0.075
rapp,2.0,0.08199999999999999,0.0,0.0
misconduct,2.0,0.081,2.0,0.092
accusations,2.0,0.071,2.0,0.08199999999999999
abuse,1.0,0.057999999999999996,1.0,0.034
cards,1.0,0.05,0.0,0.0
anthony,1.0,0.040999999999999995,0.0,0.0
media,1.0,0.037000000000000005,1.0,0.033
matt,1.0,0.037000000000000005,1.0,0.012
lauer,1.0,0.037000000000000005,1.0,0.012
victims,1.0,0.035,1.0,0.019
netflix,1.0,0.033,0.0,0.0
producer,1.0,0.032,1.0,0.002
los,1.0,0.032,1.0,0.003
cosby,1.0,0.032,1.0,0.006999999999999999
angeles,1.0,0.032,1.0,0.003
louis,1.0,0.031,1.0,0.009000000000000001
campaign,1.0,0.03,1.0,0.055
burke,1.0,0.03,1.0,0.006999999999999999
oscar,1.0,0.026000000000000002,0.0,0.0
celebrity,1.0,0.026000000000000002,1.0,0.005
tarana,1.0,0.025,1.0,0.006999999999999999
scandal,1.0,0.025,1.0,0.02
time's,1.0,0.024,1.0,0.005
time's,1.0,0.001,1.0,0.005
survivors,1.0,0.024,1.0,0.011000000000000001
james,1.0,0.024,1.0,0.006
trump,1.0,0.023,3.0,0.16899999999999998
hashtag,1.0,0.022000000000000002,1.0,0.015
plummer,1.0,0.021,0.0,0.0
franken,1.0,0.021,1.0,0.05
charlie,1.0,0.021,1.0,0.005
apologized,1.0,0.021,0.0,0.0
actors,1.0,0.021,1.0,0.003
globes,1.0,0.02,0.0,0.0
getty,1.0,0.02,1.0,0.002
sexually,1.0,0.019,1.0,0.019
inappropriate,1.0,0.019,1.0,0.009000000000000001
christopher,1.0,0.019,0.0,0.0
workplace,1.0,0.018000000000000002,1.0,0.01
williams,1.0,0.018000000000000002,0.0,0.0
rape,1.0,0.018000000000000002,1.0,0.005
dozens,1.0,0.018000000000000002,1.0,0.004
actress,1.0,0.018000000000000002,1.0,0.004
scott,1.0,0.017,0.0,0.0
reshoots,1.0,0.017,0.0,0.0
metoo,1.0,0.017,1.0,0.01
buzzfeed,1.0,0.017,0.0,0.0
advances,1.0,0.016,1.0,0.013000000000000001
wright,1.0,0.015,0.0,0.0
awards,1.0,0.015,1.0,0.002
winner,1.0,0.013999999999999999,1.0,0.003
tv,1.0,0.013999999999999999,1.0,0.001
feminist,1.0,0.013999999999999999,1.0,0.006999999999999999
activist,1.0,0.013999999999999999,1.0,0.009000000000000001
academy,1.0,0.013999999999999999,0.0,0.0
violence,1.0,0.013000000000000001,1.0,0.006
twitter,1.0,0.013000000000000001,1.0,0.006
reckoning,1.0,0.013000000000000001,1.0,0.018000000000000002
mogul,1.0,0.013000000000000001,1.0,0.003
gender,1.0,0.013000000000000001,1.0,0.006
reportedly,1.0,0.012,0.0,0.0
rally,1.0,0.012,1.0,0.013999999999999999
predators,1.0,0.012,1.0,0.012
paul,1.0,0.012,1.0,0.005
nominations,1.0,0.012,0.0,0.0
moore,1.0,0.012,10.0,0.654
milano,1.0,0.012,1.0,0.004
brett,1.0,0.012,1.0,0.003
alyssa,1.0,0.012,1.0,0.004
allen,1.0,0.012,1.0,0.005
wahlberg,1.0,0.011000000000000001,0.0,0.0
toback,1.0,0.011000000000000001,1.0,0.002
sparked,1.0,0.011000000000000001,0.0,0.0
roy,1.0,0.011000000000000001,5.0,0.318
ridley,1.0,0.011000000000000001,0.0,0.0
meyers,1.0,0.011000000000000001,0.0,0.0
donald,1.0,0.011000000000000001,1.0,0.026000000000000002
co-star,1.0,0.011000000000000001,0.0,0.0
ceremony,1.0,0.011000000000000001,0.0,0.0
year's,1.0,0.01,1.0,0.006
witch,1.0,0.01,1.0,0.001
vic,1.0,0.01,0.0,0.0
unwanted,1.0,0.01,1.0,0.006999999999999999
ratner,1.0,0.01,0.0,0.0
michelle,1.0,0.01,0.0,0.0
john,1.0,0.01,1.0,0.006999999999999999
groped,1.0,0.01,1.0,0.01
global,1.0,0.01,0.0,0.0
franco,1.0,0.01,0.0,0.0
founder,1.0,0.01,1.0,0.002
comedian,1.0,0.01,0.0,0.0
argento,1.0,0.01,1.0,0.002
tweet,1.0,0.009000000000000001,1.0,0.009000000000000001
supporters,1.0,0.009000000000000001,1.0,0.017
solidarity,1.0,0.009000000000000001,1.0,0.005
seagal,1.0,0.009000000000000001,1.0,0.002
robin,1.0,0.009000000000000001,0.0,0.0
revelations,1.0,0.009000000000000001,1.0,0.003
nominee,1.0,0.009000000000000001,1.0,0.013999999999999999
london,1.0,0.009000000000000001,0.0,0.0
high-profile,1.0,0.009000000000000001,1.0,0.005
earned,1.0,0.009000000000000001,0.0,0.0
downfall,1.0,0.009000000000000001,1.0,0.003
district,1.0,0.009000000000000001,1.0,0.006999999999999999
arguing,1.0,0.009000000000000001,1.0,0.002
ansari,1.0,0.009000000000000001,1.0,0.003
anchor,1.0,0.009000000000000001,1.0,0.004
american,1.0,0.009000000000000001,1.0,0.02
viral,1.0,0.008,1.0,0.003
united,1.0,0.008,1.0,0.009000000000000001
opinion,1.0,0.008,1.0,0.003
mcgowan,1.0,0.008,0.0,0.0
criminal,1.0,0.008,1.0,0.003
toppling,1.0,0.006999999999999999,1.0,0.002
steven,1.0,0.006999999999999999,1.0,0.001
senate,1.0,0.006999999999999999,3.0,0.171
senate,1.0,0.006999999999999999,1.0,0.001
prosecutors,1.0,0.006999999999999999,0.0,0.0
online,1.0,0.006999999999999999,0.0,0.0
jury,1.0,0.006999999999999999,1.0,0.003
judd,1.0,0.006999999999999999,0.0,0.0
hoffman,1.0,0.006999999999999999,0.0,0.0
fox,1.0,0.006999999999999999,1.0,0.015
dustin,1.0,0.006999999999999999,0.0,0.0
dreyfuss,1.0,0.006999999999999999,0.0,0.0
donate,1.0,0.006999999999999999,0.0,0.0
consent,1.0,0.006999999999999999,0.0,0.0
backlash,1.0,0.006999999999999999,1.0,0.005
asia,1.0,0.006999999999999999,1.0,0.002
advocate,1.0,0.006999999999999999,0.0,0.0
1.5,1.0,0.006999999999999999,0.0,0.0
usa,1.0,0.006,1.0,0.002
topic,1.0,0.006,1.0,0.001
tambor,1.0,0.006,0.0,0.0
starred,1.0,0.006,0.0,0.0
sixth,1.0,0.006,0.0,0.0
seth,1.0,0.006,0.0,0.0
reshot,1.0,0.006,0.0,0.0
photo,1.0,0.006,1.0,0.006999999999999999
momentum,1.0,0.006,1.0,0.006999999999999999
masterson,1.0,0.006,0.0,0.0
kicked,1.0,0.006,0.0,0.0
journalists,1.0,0.006,1.0,0.002
industries,1.0,0.006,1.0,0.002
hart,1.0,0.006,0.0,0.0
french,1.0,0.006,0.0,0.0
film's,1.0,0.006,0.0,0.0
expose,1.0,0.006,0.0,0.0
erased,1.0,0.006,0.0,0.0
disgraced,1.0,0.006,1.0,0.003
danny,1.0,0.006,0.0,0.0
california,1.0,0.006,1.0,0.003
breakers,1.0,0.006,1.0,0.006999999999999999
billionaire,1.0,0.006,0.0,0.0
attorney's,1.0,0.006,0.0,0.0
anti,1.0,0.006,0.0,0.0
yorker,1.0,0.005,1.0,0.008
woody,1.0,0.005,1.0,0.002
underwood,1.0,0.005,1.0,0.001
trek,1.0,0.005,0.0,0.0
surrounding,1.0,0.005,1.0,0.002
spotlight,1.0,0.005,1.0,0.004
sports,1.0,0.005,1.0,0.002
sony,1.0,0.005,0.0,0.0
slammed,1.0,0.005,1.0,0.001
reviewing,1.0,0.005,0.0,0.0
reuters,1.0,0.005,0.0,0.0
replacing,1.0,0.005,0.0,0.0
prompting,1.0,0.005,0.0,0.0
outed,1.0,0.005,0.0,0.0
o'reilly,1.0,0.005,1.0,0.012
nbc's,1.0,0.005,0.0,0.0
movie's,1.0,0.005,0.0,0.0
movement's,1.0,0.005,0.0,0.0
