term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,6.0,0.348894348894,5.0,0.305439330544
Netflix,4.0,0.191646191646,1.0,0.0376569037657
NBC,3.0,0.14987714987700002,3.0,0.15062761506300001
CBS,3.0,0.132678132678,2.0,0.09623430962339999
Washington Post,2.0,0.12285012285000001,3.0,0.188284518828
Senate,2.0,0.10810810810799999,4.0,0.225941422594
Supreme Court,2.0,0.0909090909091,4.0,0.196652719665
HBO,2.0,0.0761670761671,1.0,0.0376569037657
ABC,2.0,0.07371007371010001,2.0,0.0836820083682
CNN,2.0,0.07125307125310001,3.0,0.175732217573
Time,2.0,0.07125307125310001,1.0,0.0167364016736
Fox News,2.0,0.06879606879610001,10.0,0.6359832635980001
White House,2.0,0.0663390663391,4.0,0.234309623431
Amazon,2.0,0.0638820638821,1.0,0.06276150627619999
Vox,2.0,0.0638820638821,1.0,0.06276150627619999
Congress,1.0,0.0614250614251,4.0,0.217573221757
Times,1.0,0.0565110565111,1.0,0.0585774058577
Facebook,1.0,0.0540540540541,2.0,0.11715481171499999
GOP,1.0,0.0540540540541,2.0,0.0836820083682
Amazon Studios,1.0,0.0540540540541,1.0,0.050209205020900004
House,1.0,0.0515970515971,2.0,0.12133891213400001
Ford,1.0,0.049140049139999996,1.0,0.0460251046025
PBS,1.0,0.044226044226,1.0,0.0209205020921
FBI,1.0,0.041769041768999995,2.0,0.0669456066946
Disney,1.0,0.041769041768999995,1.0,0.0209205020921
Senate Judiciary Committee,1.0,0.041769041768999995,1.0,0.06276150627619999
NFL,1.0,0.039312039312,1.0,0.0334728033473
NPR,1.0,0.039312039312,1.0,0.0460251046025
AP,1.0,0.036855036855,1.0,0.06276150627619999
Los Angeles Times,1.0,0.034398034397999995,1.0,0.0251046025105
Vanity Fair,1.0,0.034398034397999995,1.0,0.0251046025105
Google,1.0,0.031941031941,1.0,0.0209205020921
MSNBC,1.0,0.029484029484,1.0,0.050209205020900004
NBC News,1.0,0.029484029484,1.0,0.05439330543930001
Reuters,1.0,0.027027027026999998,1.0,0.029288702928900002
New York Post,1.0,0.027027027026999998,0.0,0.0
Dartmouth,1.0,0.027027027026999998,1.0,0.00836820083682
Associated Press,1.0,0.024570024569999998,1.0,0.0209205020921
YouTube,1.0,0.024570024569999998,1.0,0.0125523012552
USA TODAY,1.0,0.024570024569999998,1.0,0.0334728033473
Weinstein Co.,1.0,0.024570024569999998,1.0,0.0251046025105
solidarity,1.0,0.024570024569999998,1.0,0.0251046025105
CBS News,1.0,0.022113022113,1.0,0.050209205020900004
Time magazine,1.0,0.022113022113,0.0,0.0
Trump,1.0,0.022113022113,1.0,0.0585774058577
ABC News,1.0,0.022113022113,1.0,0.0209205020921
Warner Bros.,1.0,0.022113022113,0.0,0.0
FX,1.0,0.022113022113,0.0,0.0
USA Gymnastics,1.0,0.022113022113,1.0,0.0167364016736
C.K.,1.0,0.022113022113,0.0,0.0
Harvard,1.0,0.019656019656,1.0,0.0125523012552
Post,1.0,0.019656019656,1.0,0.0209205020921
Justice Department,1.0,0.019656019656,1.0,0.0460251046025
LA Times,1.0,0.019656019656,1.0,0.00836820083682
AMC,1.0,0.019656019656,0.0,0.0
WNYC,1.0,0.019656019656,0.0,0.0
Showtime,1.0,0.019656019656,1.0,0.0167364016736
Yale,1.0,0.017199017198999998,1.0,0.0125523012552
house,1.0,0.017199017198999998,0.0,0.0
Weinstein Company,1.0,0.017199017198999998,1.0,0.0209205020921
Pixar,1.0,0.017199017198999998,1.0,0.00836820083682
ESPN,1.0,0.017199017198999998,1.0,0.00836820083682
Alabama Senate,1.0,0.017199017198999998,1.0,0.0125523012552
National Sexual Violence Resource Center,1.0,0.017199017198999998,0.0,0.0
Republican,1.0,0.014742014742,1.0,0.0334728033473
Bloomberg,1.0,0.014742014742,1.0,0.0125523012552
Democratic,1.0,0.014742014742,0.0,0.0
Twitter,1.0,0.014742014742,1.0,0.0125523012552
LAPD,1.0,0.014742014742,1.0,0.00836820083682
Politico,1.0,0.014742014742,1.0,0.0209205020921
Michigan State University,1.0,0.014742014742,0.0,0.0
McDonald,1.0,0.014742014742,1.0,0.00836820083682
Instagram,1.0,0.014742014742,0.0,0.0
Academy of Motion Picture Arts and Sciences,1.0,0.014742014742,1.0,0.0209205020921
New Yorker,1.0,0.014742014742,1.0,0.0125523012552
EEOC,1.0,0.014742014742,1.0,0.029288702928900002
Blake Farenthold,1.0,0.014742014742,0.0,0.0
HGTV star Carter Oosterhouse,1.0,0.014742014742,0.0,0.0
BBC,1.0,0.012285012284999999,1.0,0.00836820083682
U.S. Senate,1.0,0.012285012284999999,0.0,0.0
