term,a1_bin,a1_perc,a2_bin,a2_perc
sex crimes,10.0,0.579852579853,10.0,0.535564853556
crime and criminals,10.0,0.577395577396,10.0,0.589958158996
women,7.0,0.375921375921,9.0,0.48953974895400004
motion pictures,4.0,0.235872235872,2.0,0.10460251046
television,4.0,0.228501228501,4.0,0.196652719665
politics and government,2.0,0.115479115479,6.0,0.30125523012600003
comedy and humor,2.0,0.08353808353810001,1.0,0.00418410041841
news and news media,2.0,0.0638820638821,3.0,0.15062761506300001
reviews,2.0,0.0638820638821,1.0,0.00418410041841
sex,1.0,0.0565110565111,1.0,0.0376569037657
united states politics and government,1.0,0.0540540540541,3.0,0.154811715481
sexual harassment,1.0,0.0540540540541,4.0,0.209205020921
biographical information,1.0,0.0515970515971,2.0,0.0669456066946
computers and the internet,1.0,0.049140049139999996,2.0,0.06276150627619999
books and literature,1.0,0.049140049139999996,1.0,0.050209205020900004
discrimination,1.0,0.039312039312,3.0,0.12133891213400001
media,1.0,0.036855036855,3.0,0.129707112971
ethics,1.0,0.036855036855,3.0,0.138075313808
medicine and health,1.0,0.034398034397999995,1.0,0.0209205020921
theater,1.0,0.029484029484,1.0,0.00836820083682
education and schools,1.0,0.024570024569999998,1.0,0.029288702928900002
elections,1.0,0.024570024569999998,1.0,0.0460251046025
labor,1.0,0.024570024569999998,3.0,0.14644351464400002
suits and litigation,1.0,0.024570024569999998,3.0,0.138075313808
finances,1.0,0.019656019656,1.0,0.0334728033473
blacks,1.0,0.019656019656,1.0,0.0209205020921
"suspensions, dismissals and resignations",1.0,0.019656019656,2.0,0.06276150627619999
"awards, decorations and honors",1.0,0.014742014742,0.0,0.0
children and youth,1.0,0.014742014742,1.0,0.0251046025105
religion and churches,1.0,0.00982800982801,1.0,0.00418410041841
colleges and universities,1.0,0.00982800982801,0.0,0.0
decisions and verdicts,1.0,0.00982800982801,1.0,0.0376569037657
prostitution,1.0,0.00982800982801,1.0,0.0125523012552
music,1.0,0.00982800982801,0.0,0.0
radio,1.0,0.00982800982801,0.0,0.0
demonstrations and riots,1.0,0.00982800982801,0.0,0.0
sentences (criminal),1.0,0.00982800982801,0.0,0.0
child abuse and neglect,1.0,0.00982800982801,1.0,0.0125523012552
advertising and marketing,1.0,0.00737100737101,1.0,0.00836820083682
homosexuality,1.0,0.00737100737101,1.0,0.00418410041841
drug abuse and traffic,1.0,0.00737100737101,1.0,0.0125523012552
diseases and conditions,1.0,0.00737100737101,0.0,0.0
apparel,1.0,0.00737100737101,1.0,0.0251046025105
entertainment and amusements,1.0,0.00737100737101,1.0,0.00836820083682
christians and christianity,1.0,0.004914004914,0.0,0.0
editorials,1.0,0.004914004914,1.0,0.00418410041841
international relations,1.0,0.004914004914,1.0,0.00836820083682
food,1.0,0.004914004914,0.0,0.0
academy awards (oscars),1.0,0.004914004914,0.0,0.0
festivals,1.0,0.004914004914,1.0,0.00418410041841
photography,1.0,0.004914004914,0.0,0.0
contests and prizes,0.0,0.0,2.0,0.0878661087866
law and legislation,0.0,0.0,1.0,0.050209205020900004
presidents and presidency (us),0.0,0.0,1.0,0.0209205020921
"arbitration, conciliation and mediation",0.0,0.0,1.0,0.0209205020921
ratings and rating systems,0.0,0.0,1.0,0.0167364016736
wages and salaries,0.0,0.0,1.0,0.0167364016736
appointments and executive changes,0.0,0.0,1.0,0.0125523012552
united states international relations,0.0,0.0,1.0,0.0125523012552
presidential elections (us),0.0,0.0,1.0,0.00836820083682
"armament, defense and military forces",0.0,0.0,1.0,0.00836820083682
computer software,0.0,0.0,1.0,0.00836820083682
impeachment,0.0,0.0,1.0,0.00836820083682
murders and attempted murders,0.0,0.0,1.0,0.00836820083682
violence,0.0,0.0,1.0,0.00836820083682
legal profession,0.0,0.0,1.0,0.00836820083682
executives and management,0.0,0.0,1.0,0.00836820083682
teachers and school employees,0.0,0.0,1.0,0.00418410041841
privacy,0.0,0.0,1.0,0.00418410041841
public opinion,0.0,0.0,1.0,0.00418410041841
church-state relations,0.0,0.0,1.0,0.00418410041841
electronic mail,0.0,0.0,1.0,0.00418410041841
advertising,0.0,0.0,1.0,0.00418410041841
freedom of speech and expression,0.0,0.0,1.0,0.00418410041841
united states armament and defense,0.0,0.0,1.0,0.00418410041841
frauds and swindling,0.0,0.0,1.0,0.00418410041841
soccer,0.0,0.0,1.0,0.00418410041841
marriages,0.0,0.0,1.0,0.00418410041841
presidential election of 2000,0.0,0.0,1.0,0.00418410041841
stocks and bonds,0.0,0.0,1.0,0.00418410041841
housing,0.0,0.0,1.0,0.00418410041841
documentary films and programs,0.0,0.0,1.0,0.00418410041841
parties (social),0.0,0.0,1.0,0.00418410041841
hotels and motels,0.0,0.0,1.0,0.00418410041841
swimming,0.0,0.0,1.0,0.00418410041841
domestic violence,0.0,0.0,1.0,0.00418410041841
