term,a1_bin,a1_perc,a2_bin,a2_perc
louis roseanne barr,3.0,0.016,0.0,0.0
kevin spacey louis,3.0,0.013999999999999999,0.0,0.0
producer harvey weinstein,3.0,0.013000000000000001,1.0,0.005
matt lauer charlie,2.0,0.006999999999999999,0.0,0.0
louis matt lauer,2.0,0.006999999999999999,0.0,0.0
harvey weinstein louis,2.0,0.006999999999999999,0.0,0.0
weinstein kevin spacey,2.0,0.006,1.0,0.001
matt lauer louis,2.0,0.006,0.0,0.0
spacey comedian louis,1.0,0.005,0.0,0.0
kevin spacey comedian,1.0,0.005,0.0,0.0
comedian louis ck,1.0,0.005,0.0,0.0
anchor matt lauer,1.0,0.005,0.0,0.0
allegations harvey weinstein,1.0,0.005,2.0,0.006
roseanne barr louis,1.0,0.004,0.0,0.0
misconduct weinstein allegations,1.0,0.004,0.0,0.0
macdonald louis roseanne,1.0,0.004,0.0,0.0
louis aziz ansari,1.0,0.004,0.0,0.0
louis allegations misconduct,1.0,0.004,0.0,0.0
kevin spacey franken,1.0,0.004,0.0,0.0
harvey weinstein kevin,1.0,0.004,0.0,0.0
harvey weinstein allegations,1.0,0.004,0.0,0.0
accuse louis inappropriate,1.0,0.004,0.0,0.0
weinstein matt lauer,1.0,0.003,0.0,0.0
survivors assault harassment,1.0,0.003,0.0,0.0
spacey matt lauer,1.0,0.003,0.0,0.0
roy moore franken,1.0,0.003,1.0,0.001
roseanne louis macdonald,1.0,0.003,0.0,0.0
norm macdonald louis,1.0,0.003,0.0,0.0
noam dworman louis,1.0,0.003,0.0,0.0
mogul harvey weinstein,1.0,0.003,1.0,0.005
louis roseanne louis,1.0,0.003,0.0,0.0
louis kevin spacey,1.0,0.003,0.0,0.0
louis chris hardwick,1.0,0.003,0.0,0.0
louis brett ratner,1.0,0.003,0.0,0.0
kevin spacey matt,1.0,0.003,0.0,0.0
harvey weinstein matt,1.0,0.003,0.0,0.0
hardwick roseanne barr,1.0,0.003,0.0,0.0
harassment weinstein allegations,1.0,0.003,0.0,0.0
franken john conyers,1.0,0.003,0.0,0.0
comedian norm macdonald,1.0,0.003,0.0,0.0
comedian louis misconduct,1.0,0.003,0.0,0.0
co-hosting charlie louis,1.0,0.003,0.0,0.0
chris hardwick roseanne,1.0,0.003,0.0,0.0
chloë grace moretz,1.0,0.003,0.0,0.0
charlie louis matt,1.0,0.003,0.0,0.0
writer-director james toback,1.0,0.002,0.0,0.0
writer louis allegations,1.0,0.002,0.0,0.0
worlds kicked momentum,1.0,0.002,0.0,0.0
workplace metoo survivors,1.0,0.002,0.0,0.0
well-employed comedians louis,1.0,0.002,0.0,0.0
weinstein roy moore,1.0,0.002,1.0,0.001
weinstein louis mario,1.0,0.002,0.0,0.0
weinstein allegations rally,1.0,0.002,0.0,0.0
weinstein allegations bipartisan,1.0,0.002,0.0,0.0
weinstein allegations accuse,1.0,0.002,0.0,0.0
victims harassment assault,1.0,0.002,1.0,0.001
victims assault harassment,1.0,0.002,0.0,0.0
upcoming daddy writer,1.0,0.002,0.0,0.0
toback kevin spacey,1.0,0.002,1.0,0.001
tina e-mailed co-hosting,1.0,0.002,0.0,0.0
tina charlie rose's,1.0,0.002,0.0,0.0
survivors los angeles,1.0,0.002,0.0,0.0
survivors boulevard kicked,1.0,0.002,0.0,0.0
supreme nominee brett,1.0,0.002,1.0,0.001
suggesting self-interested compromising,1.0,0.002,0.0,0.0
stark honesty essay,1.0,0.002,0.0,0.0
standup misconduct allegations,1.0,0.002,0.0,0.0
sparked campaign assault,1.0,0.002,0.0,0.0
spacey louis danny,1.0,0.002,0.0,0.0
spacey franken louis,1.0,0.002,0.0,0.0
slowed expresses louis,1.0,0.002,0.0,0.0
slated high-profile toppled,1.0,0.002,0.0,0.0
show's reboot canceled,1.0,0.002,0.0,0.0
sexually harassing performing,1.0,0.002,0.0,0.0
sexually harassed assaulted,1.0,0.002,1.0,0.003
sexual-assault allegations harvey,1.0,0.002,0.0,0.0
senators introduce metoo,1.0,0.002,0.0,0.0
senate roy moore,1.0,0.002,1.0,0.004
self-interested compromising reputations,1.0,0.002,0.0,0.0
sarcastic megan amram,1.0,0.002,0.0,0.0
roseanne show's reboot,1.0,0.002,0.0,0.0
roseanne barr norm,1.0,0.002,0.0,0.0
revisionist ghomeshi's contrition,1.0,0.002,0.0,0.0
reputations careers stand-up,1.0,0.002,0.0,0.0
relentless accusations victimized,1.0,0.002,0.0,0.0
reforming congress handles,1.0,0.002,0.0,0.0
reboot canceled louis,1.0,0.002,0.0,0.0
ratner james toback,1.0,0.002,0.0,0.0
rally boulevard intersection,1.0,0.002,0.0,0.0
rally 0:41 survivors,1.0,0.002,0.0,0.0
promoting upcoming daddy,1.0,0.002,0.0,0.0
pic.twitter.com/8fBkfOXatB seth simons,1.0,0.002,0.0,0.0
petty selfish fury,1.0,0.002,0.0,0.0
personalities matt lauer,1.0,0.002,0.0,0.0
performs standup misconduct,1.0,0.002,0.0,0.0
oreskes weinstein roy,1.0,0.002,0.0,0.0
norm macdonald's netflix,1.0,0.002,0.0,0.0
norm macdonald upset,1.0,0.002,0.0,0.0
nominee brett kavanaugh,1.0,0.002,0.0,0.0
netflix metoo slowed,1.0,0.002,0.0,0.0
nbc anchor matt,1.0,0.002,0.0,0.0
moore franken john,1.0,0.002,0.0,0.0
misconduct louis matt,1.0,0.002,0.0,0.0
min goodman julia,1.0,0.002,0.0,0.0
metoo survivors boulevard,1.0,0.002,0.0,0.0
metoo slowed expresses,1.0,0.002,0.0,0.0
metoo congress reforming,1.0,0.002,0.0,0.0
