term,a1_bin,a1_perc,a2_bin,a2_perc
Louis C.K.,8.0,0.771498771499,1.0,0.0880149812734
Harvey Weinstein,7.0,0.604422604423,4.0,0.350187265918
Kevin Spacey,4.0,0.33415233415199996,2.0,0.13483146067399998
Matt Lauer,3.0,0.282555282555,2.0,0.129213483146
Charlie Rose,3.0,0.27027027027,2.0,0.114232209738
Al Franken,2.0,0.18427518427499998,5.0,0.40262172284599995
Donald Trump,2.0,0.169533169533,5.0,0.438202247191
Louis CK,2.0,0.154791154791,1.0,0.0149812734082
Roy Moore,2.0,0.152334152334,10.0,0.9887640449439999
Bill Cosby,2.0,0.125307125307,1.0,0.046816479400699995
Mario Batali,2.0,0.100737100737,1.0,0.0318352059925
Roseanne Barr,1.0,0.09336609336610001,0.0,0.0
Trump,1.0,0.0909090909091,3.0,0.26591760299600004
Aziz Ansari,1.0,0.08845208845210001,1.0,0.011235955056200002
Norm Macdonald,1.0,0.08845208845210001,0.0,0.0
Woody Allen,1.0,0.08599508599510002,1.0,0.04494382022469999
Ashley Judd,1.0,0.0810810810811,1.0,0.0374531835206
James Toback,1.0,0.0810810810811,1.0,0.033707865168499995
Tarana Burke,1.0,0.07862407862410001,1.0,0.04494382022469999
Matt Damon,1.0,0.0761670761671,1.0,0.0243445692884
Mark Halperin,1.0,0.0761670761671,1.0,0.0543071161049
Brett Ratner,1.0,0.0761670761671,1.0,0.0168539325843
Brett Kavanaugh,1.0,0.07371007371010001,1.0,0.08052434456930001
Alyssa Milano,1.0,0.0663390663391,1.0,0.0318352059925
Ronan Farrow,1.0,0.0663390663391,1.0,0.033707865168499995
Garrison Keillor,1.0,0.0638820638821,1.0,0.0262172284644
Anita Hill,1.0,0.0638820638821,1.0,0.0936329588015
Les Moonves,1.0,0.0638820638821,0.0,0.0
Chris Hardwick,1.0,0.0540540540541,0.0,0.0
Rose McGowan,1.0,0.0515970515971,1.0,0.0187265917603
Russell Simmons,1.0,0.049140049139999996,1.0,0.022471910112400004
Christine Blasey Ford,1.0,0.049140049139999996,1.0,0.0861423220974
Jimmy Fallon,1.0,0.046683046683,0.0,0.0
John Hockenberry,1.0,0.046683046683,1.0,0.0168539325843
Bill Clinton,1.0,0.044226044226,2.0,0.159176029963
Jeffrey Tambor,1.0,0.044226044226,0.0,0.0
Clarence Thomas,1.0,0.044226044226,1.0,0.08239700374530001
Dylan Farrow,1.0,0.041769041768999995,1.0,0.0280898876404
Stephen Colbert,1.0,0.039312039312,1.0,0.011235955056200002
Bill O'Reilly,1.0,0.039312039312,1.0,0.0561797752809
Dustin Hoffman,1.0,0.039312039312,1.0,0.00936329588015
Ed Westwick,1.0,0.039312039312,1.0,0.0205992509363
Weinstein,1.0,0.036855036855,1.0,0.0393258426966
Larry Nassar,1.0,0.036855036855,1.0,0.0318352059925
Noam Dworman,1.0,0.036855036855,0.0,0.0
Barack Obama,1.0,0.034398034397999995,2.0,0.11048689138599999
Jennifer Lawrence,1.0,0.034398034397999995,1.0,0.0187265917603
Emma Stone,1.0,0.034398034397999995,0.0,0.0
Steven Seagal,1.0,0.034398034397999995,1.0,0.022471910112400004
Roger Ailes,1.0,0.034398034397999995,1.0,0.0861423220974
James Franco,1.0,0.034398034397999995,0.0,0.0
Jian Ghomeshi,1.0,0.034398034397999995,0.0,0.0
Jeremy Piven,1.0,0.034398034397999995,1.0,0.0262172284644
Hannah Gadsby,1.0,0.034398034397999995,0.0,0.0
Valerie Jarrett,1.0,0.031941031941,0.0,0.0
Jodi Kantor,1.0,0.031941031941,1.0,0.022471910112400004
Louie,1.0,0.031941031941,0.0,0.0
Nanette,1.0,0.031941031941,0.0,0.0
Hillary Clinton,1.0,0.029484029484,2.0,0.174157303371
George H.W. Bush,1.0,0.029484029484,1.0,0.0355805243446
Taylor Swift,1.0,0.029484029484,1.0,0.0168539325843
Cate Blanchett,1.0,0.029484029484,0.0,0.0
Andrea Constand,1.0,0.029484029484,1.0,0.0149812734082
Rebecca Traister,1.0,0.029484029484,1.0,0.0187265917603
Greta Gerwig,1.0,0.029484029484,0.0,0.0
McKayla Maroney,1.0,0.029484029484,1.0,0.022471910112400004
Carrie Fisher,1.0,0.027027027026999998,1.0,0.0205992509363
Scarlett Johansson,1.0,0.027027027026999998,0.0,0.0
John Conyers,1.0,0.027027027026999998,2.0,0.12172284644200002
