term,a1_bin,a1_perc,a2_bin,a2_perc
Fox News,10.0,0.6359832635980001,3.0,0.16479400749099998
New York Times,5.0,0.305439330544,4.0,0.24531835206
White House,4.0,0.234309623431,6.0,0.331460674157
Senate,4.0,0.225941422594,10.0,0.582397003745
Congress,4.0,0.217573221757,6.0,0.37640449438199997
Supreme Court,4.0,0.196652719665,4.0,0.21535580524300002
Washington Post,3.0,0.188284518828,5.0,0.26404494382
CNN,3.0,0.175732217573,3.0,0.185393258427
NBC,3.0,0.15062761506300001,2.0,0.11235955056199999
House,2.0,0.12133891213400001,4.0,0.230337078652
Facebook,2.0,0.11715481171499999,2.0,0.0861423220974
Fox,2.0,0.10460251046,1.0,0.011235955056200002
CBS,2.0,0.09623430962339999,1.0,0.05056179775280001
ABC,2.0,0.0836820083682,1.0,0.0393258426966
GOP,2.0,0.0836820083682,6.0,0.32397003745299996
FBI,2.0,0.0669456066946,3.0,0.13295880149800002
AP,1.0,0.06276150627619999,2.0,0.0861423220974
Amazon,1.0,0.06276150627619999,1.0,0.0430711610487
Vox,1.0,0.06276150627619999,1.0,0.0374531835206
Senate Judiciary Committee,1.0,0.06276150627619999,2.0,0.0973782771536
Miss America Organization,1.0,0.06276150627619999,0.0,0.0
Trump,1.0,0.0585774058577,3.0,0.12734082397
Times,1.0,0.0585774058577,1.0,0.061797752808999996
NBC News,1.0,0.05439330543930001,1.0,0.059925093633000005
Miss America,1.0,0.05439330543930001,0.0,0.0
CBS News,1.0,0.050209205020900004,1.0,0.0243445692884
MSNBC,1.0,0.050209205020900004,1.0,0.059925093633000005
Wall Street Journal,1.0,0.050209205020900004,1.0,0.0486891385768
Microsoft,1.0,0.050209205020900004,0.0,0.0
Amazon Studios,1.0,0.050209205020900004,1.0,0.022471910112400004
Justice Department,1.0,0.0460251046025,2.0,0.0692883895131
Ford,1.0,0.0460251046025,2.0,0.06741573033710001
NPR,1.0,0.0460251046025,1.0,0.033707865168499995
Republican Party,1.0,0.0418410041841,3.0,0.13483146067399998
Fox News host,1.0,0.0418410041841,1.0,0.00936329588015
Netflix,1.0,0.0376569037657,1.0,0.029962546816500003
HBO,1.0,0.0376569037657,1.0,0.005617977528089999
Capitol Hill,1.0,0.0376569037657,1.0,0.0543071161049
Republican,1.0,0.0334728033473,2.0,0.101123595506
Trump administration,1.0,0.0334728033473,1.0,0.041198501872699994
NFL,1.0,0.0334728033473,1.0,0.05056179775280001
USA TODAY,1.0,0.0334728033473,1.0,0.0262172284644
Reuters,1.0,0.029288702928900002,1.0,0.0486891385768
Facebook post,1.0,0.029288702928900002,1.0,0.0131086142322
Economic Policy Institute,1.0,0.029288702928900002,0.0,0.0
EEOC,1.0,0.029288702928900002,1.0,0.0187265917603
Equal Employment Opportunity Commission,1.0,0.029288702928900002,1.0,0.0131086142322
Democratic Party,1.0,0.0251046025105,2.0,0.0973782771536
Republican National Committee,1.0,0.0251046025105,2.0,0.0786516853933
EPA,1.0,0.0251046025105,1.0,0.0131086142322
Stanford,1.0,0.0251046025105,1.0,0.0187265917603
Judiciary Committee,1.0,0.0251046025105,1.0,0.029962546816500003
Los Angeles Times,1.0,0.0251046025105,1.0,0.0205992509363
Cornell University,1.0,0.0251046025105,1.0,0.00749063670412
Viacom,1.0,0.0251046025105,0.0,0.0
Vanity Fair,1.0,0.0251046025105,1.0,0.0262172284644
Weinstein Co.,1.0,0.0251046025105,1.0,0.0205992509363
solidarity,1.0,0.0251046025105,1.0,0.0187265917603
Miss Americas,1.0,0.0251046025105,0.0,0.0
Associated Press,1.0,0.0209205020921,1.0,0.0355805243446
State Department,1.0,0.0209205020921,1.0,0.029962546816500003
Google,1.0,0.0209205020921,1.0,0.0374531835206
Post,1.0,0.0209205020921,1.0,0.05056179775280001
ABC News,1.0,0.0209205020921,1.0,0.0280898876404
Disney,1.0,0.0209205020921,1.0,0.0262172284644
Huffington Post,1.0,0.0209205020921,1.0,0.00749063670412
Weinstein Company,1.0,0.0209205020921,0.0,0.0
Politico,1.0,0.0209205020921,1.0,0.061797752808999996
Playboy,1.0,0.0209205020921,1.0,0.00936329588015
Ohio State University,1.0,0.0209205020921,1.0,0.011235955056200002
PBS,1.0,0.0209205020921,1.0,0.0355805243446
Fox News Channel,1.0,0.0209205020921,1.0,0.011235955056200002
Academy of Motion Picture Arts and Sciences,1.0,0.0209205020921,0.0,0.0
Vox Media,1.0,0.0209205020921,0.0,0.0
Miss America board,1.0,0.0209205020921,0.0,0.0
F.B.I.,1.0,0.0167364016736,1.0,0.0131086142322
U.S. Supreme Court,1.0,0.0167364016736,1.0,0.0168539325843
DOJ,1.0,0.0167364016736,1.0,0.0243445692884
Navy,1.0,0.0167364016736,1.0,0.0131086142322
DHS,1.0,0.0167364016736,1.0,0.0187265917603
Boston Globe,1.0,0.0167364016736,1.0,0.0187265917603
House Intelligence Committee,1.0,0.0167364016736,1.0,0.0262172284644
University of Virginia,1.0,0.0167364016736,1.0,0.0205992509363
CNBC,1.0,0.0167364016736,1.0,0.0187265917603
USC,1.0,0.0167364016736,1.0,0.00749063670412
Health and Human Services,1.0,0.0167364016736,1.0,0.011235955056200002
Temple University,1.0,0.0167364016736,0.0,0.0
USA Gymnastics,1.0,0.0167364016736,1.0,0.0187265917603
Showtime,1.0,0.0167364016736,0.0,0.0
Washington Post-ABC News,1.0,0.0167364016736,1.0,0.0131086142322
Time,1.0,0.0167364016736,1.0,0.033707865168499995
Harvard,1.0,0.0125523012552,1.0,0.0243445692884
Yale,1.0,0.0125523012552,1.0,0.0149812734082
CIA,1.0,0.0125523012552,1.0,0.0187265917603
NATO,1.0,0.0125523012552,1.0,0.00749063670412
Defense,1.0,0.0125523012552,1.0,0.0149812734082
defense,1.0,0.0125523012552,0.0,0.0
The Washington Post,1.0,0.0125523012552,1.0,0.0131086142322
Bloomberg,1.0,0.0125523012552,1.0,0.0280898876404
Department of Justice,1.0,0.0125523012552,1.0,0.0168539325843
Twitter,1.0,0.0125523012552,1.0,0.0149812734082
Yale Law School,1.0,0.0125523012552,0.0,0.0
U.S. Court of Appeals,1.0,0.0125523012552,1.0,0.00936329588015
YouTube,1.0,0.0125523012552,1.0,0.00749063670412
Securities and Exchange Commission,1.0,0.0125523012552,0.0,0.0
Mar-a-Lago,1.0,0.0125523012552,1.0,0.0187265917603
Starbucks,1.0,0.0125523012552,0.0,0.0
New York,1.0,0.0125523012552,1.0,0.0131086142322
Yale University,1.0,0.0125523012552,1.0,0.005617977528089999
UCLA,1.0,0.0125523012552,1.0,0.0280898876404
Trump White House,1.0,0.0125523012552,1.0,0.0243445692884
USA Today,1.0,0.0125523012552,1.0,0.0243445692884
Bloomberg News,1.0,0.0125523012552,0.0,0.0
VA,1.0,0.0125523012552,1.0,0.00749063670412
New Yorker,1.0,0.0125523012552,1.0,0.0168539325843
National Women’s Law Center,1.0,0.0125523012552,0.0,0.0
Simon & Schuster,1.0,0.0125523012552,0.0,0.0
Northwestern University,1.0,0.0125523012552,1.0,0.00936329588015
MTV,1.0,0.0125523012552,0.0,0.0
Fox Inc,1.0,0.0125523012552,0.0,0.0
Harvard Business Review,1.0,0.0125523012552,0.0,0.0
Homeland Security,1.0,0.0125523012552,1.0,0.0131086142322
BuzzFeed News,1.0,0.0125523012552,1.0,0.00936329588015
SoFi,1.0,0.0125523012552,0.0,0.0
Alabama Senate,1.0,0.0125523012552,4.0,0.204119850187
Kantar Media,1.0,0.0125523012552,0.0,0.0
Nickelodeon,1.0,0.0125523012552,0.0,0.0
Senate Ethics Committee,1.0,0.0125523012552,1.0,0.0205992509363
Epix,1.0,0.0125523012552,0.0,0.0
Miss America winners,1.0,0.0125523012552,0.0,0.0
UN,1.0,0.00836820083682,1.0,0.00936329588015
Pentagon,1.0,0.00836820083682,1.0,0.0262172284644
BBC,1.0,0.00836820083682,1.0,0.022471910112400004
European Parliament,1.0,0.00836820083682,1.0,0.005617977528089999
Federal Bureau of Investigation,1.0,0.00836820083682,0.0,0.0
senate,1.0,0.00836820083682,1.0,0.00749063670412
Defense Department,1.0,0.00836820083682,1.0,0.00936329588015
University of California,1.0,0.00836820083682,0.0,0.0
Boston University,1.0,0.00836820083682,0.0,0.0
Catholic church,1.0,0.00836820083682,0.0,0.0
U.N.,1.0,0.00836820083682,1.0,0.0318352059925
Leeds,1.0,0.00836820083682,1.0,0.0131086142322
Fidelity,1.0,0.00836820083682,0.0,0.0
A&E,1.0,0.00836820083682,0.0,0.0
House Judiciary Committee,1.0,0.00836820083682,1.0,0.0168539325843
Catholic,1.0,0.00836820083682,1.0,0.005617977528089999
National Organization for Women,1.0,0.00836820083682,1.0,0.00749063670412
State,1.0,0.00836820083682,1.0,0.029962546816500003
California State Assembly,1.0,0.00836820083682,0.0,0.0
Taliban,1.0,0.00836820083682,1.0,0.005617977528089999
Chamber of Commerce,1.0,0.00836820083682,0.0,0.0
Medicare,1.0,0.00836820083682,1.0,0.0243445692884
legislature,1.0,0.00836820083682,0.0,0.0
Chicago Tribune,1.0,0.00836820083682,1.0,0.00936329588015
HHS,1.0,0.00836820083682,1.0,0.00749063670412
Senate Intelligence Committee,1.0,0.00836820083682,1.0,0.00936329588015
Department of Education,1.0,0.00836820083682,1.0,0.005617977528089999
University of Pennsylvania,1.0,0.00836820083682,1.0,0.0168539325843
National Center for Transgender Equality,1.0,0.00836820083682,0.0,0.0
University of Oregon,1.0,0.00836820083682,1.0,0.00749063670412
Pomona College,1.0,0.00836820083682,0.0,0.0
AT&T,1.0,0.00836820083682,1.0,0.00936329588015
the Washington Post,1.0,0.00836820083682,0.0,0.0
Parliament,1.0,0.00836820083682,0.0,0.0
Fed,1.0,0.00836820083682,1.0,0.00936329588015
University of Michigan,1.0,0.00836820083682,0.0,0.0
University of Colorado,1.0,0.00836820083682,0.0,0.0
Newsweek,1.0,0.00836820083682,1.0,0.0205992509363
Breitbart News,1.0,0.00836820083682,1.0,0.005617977528089999
Pixar,1.0,0.00836820083682,1.0,0.005617977528089999
Miramax,1.0,0.00836820083682,1.0,0.005617977528089999
LAPD,1.0,0.00836820083682,0.0,0.0
ESPN,1.0,0.00836820083682,1.0,0.0243445692884
Los Angeles Police Department,1.0,0.00836820083682,0.0,0.0
Department of Health and Human Services,1.0,0.00836820083682,0.0,0.0
D.C. Circuit,1.0,0.00836820083682,0.0,0.0
Catholic Church,1.0,0.00836820083682,1.0,0.005617977528089999
Department of Homeland Security,1.0,0.00836820083682,1.0,0.00936329588015
Time Warner,1.0,0.00836820083682,0.0,0.0
McDonald,1.0,0.00836820083682,1.0,0.005617977528089999
Pop,1.0,0.00836820083682,0.0,0.0
GOP Senate,1.0,0.00836820083682,1.0,0.0243445692884
U.S. Southern Command,1.0,0.00836820083682,0.0,0.0
U.S. Chamber of Commerce,1.0,0.00836820083682,0.0,0.0
American Bar Association,1.0,0.00836820083682,1.0,0.00749063670412
Time Magazine,1.0,0.00836820083682,1.0,0.0131086142322
LA Times,1.0,0.00836820083682,1.0,0.00936329588015
Newsmax,1.0,0.00836820083682,0.0,0.0
Nielsen,1.0,0.00836820083682,0.0,0.0
Dartmouth,1.0,0.00836820083682,1.0,0.0205992509363
Brandeis University,1.0,0.00836820083682,0.0,0.0
Obama White House,1.0,0.00836820083682,0.0,0.0
Rutgers University,1.0,0.00836820083682,1.0,0.0149812734082
National Women's Law Center,1.0,0.00836820083682,0.0,0.0
Texas Republican,1.0,0.00836820083682,0.0,0.0
Ninth Circuit Court of Appeals,1.0,0.00836820083682,0.0,0.0
NLRA,1.0,0.00836820083682,0.0,0.0
EPI,1.0,0.00836820083682,0.0,0.0
Brown University,1.0,0.00836820083682,0.0,0.0
POLITICO,1.0,0.00836820083682,1.0,0.0168539325843
The New York Times,1.0,0.00836820083682,0.0,0.0
Medicaid,1.0,0.00836820083682,1.0,0.00936329588015
House Intel,1.0,0.00836820083682,0.0,0.0
University of Rochester,1.0,0.00836820083682,0.0,0.0
Miss Teen USA,1.0,0.00836820083682,0.0,0.0
TIME,1.0,0.00836820083682,0.0,0.0
University of Nebraska,1.0,0.00836820083682,0.0,0.0
Columbia Pictures,1.0,0.00836820083682,0.0,0.0
Twentieth Century Fox,1.0,0.00836820083682,0.0,0.0
E.E.O.C.,1.0,0.00836820083682,0.0,0.0
Proskauer,1.0,0.00836820083682,0.0,0.0
Creative Artists Agency,1.0,0.00836820083682,0.0,0.0
statehouse,1.0,0.00836820083682,0.0,0.0
CBS Corporation,1.0,0.00836820083682,0.0,0.0
power dynamics,1.0,0.00836820083682,0.0,0.0
Comic-Con,1.0,0.00836820083682,0.0,0.0
Fox News Channel host,1.0,0.00836820083682,0.0,0.0
Social Security,1.0,0.00836820083682,0.0,0.0
Mercedes Schlapp,1.0,0.00836820083682,0.0,0.0
Apple TV,1.0,0.00836820083682,0.0,0.0
21st Century Fox,1.0,0.00836820083682,0.0,0.0
