term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,8.0,0.589958158996,7.0,0.50936329588
sex crimes,8.0,0.535564853556,8.0,0.544943820225
women,7.0,0.48953974895400004,7.0,0.48314606741599997
politics and government,5.0,0.30125523012600003,10.0,0.7528089887639999
sexual harassment,3.0,0.209205020921,2.0,0.131086142322
television,3.0,0.196652719665,1.0,0.058052434456900004
united states politics and government,3.0,0.154811715481,7.0,0.46067415730300004
news and news media,3.0,0.15062761506300001,2.0,0.0936329588015
labor,2.0,0.14644351464400002,1.0,0.0187265917603
suits and litigation,2.0,0.138075313808,1.0,0.0243445692884
ethics,2.0,0.138075313808,3.0,0.177902621723
media,2.0,0.129707112971,1.0,0.0730337078652
discrimination,2.0,0.12133891213400001,1.0,0.0524344569288
motion pictures,2.0,0.10460251046,1.0,0.0280898876404
contests and prizes,2.0,0.0878661087866,0.0,0.0
biographical information,1.0,0.0669456066946,1.0,0.065543071161
computers and the internet,1.0,0.06276150627619999,1.0,0.022471910112400004
"suspensions, dismissals and resignations",1.0,0.06276150627619999,1.0,0.0561797752809
law and legislation,1.0,0.050209205020900004,1.0,0.0393258426966
books and literature,1.0,0.050209205020900004,1.0,0.0149812734082
elections,1.0,0.0460251046025,5.0,0.346441947566
sex,1.0,0.0376569037657,1.0,0.0243445692884
decisions and verdicts,1.0,0.0376569037657,1.0,0.0131086142322
finances,1.0,0.0334728033473,1.0,0.0355805243446
education and schools,1.0,0.029288702928900002,1.0,0.0205992509363
apparel,1.0,0.0251046025105,0.0,0.0
children and youth,1.0,0.0251046025105,1.0,0.011235955056200002
medicine and health,1.0,0.0209205020921,1.0,0.033707865168499995
presidents and presidency (us),1.0,0.0209205020921,1.0,0.063670411985
blacks,1.0,0.0209205020921,1.0,0.0430711610487
"arbitration, conciliation and mediation",1.0,0.0209205020921,0.0,0.0
ratings and rating systems,1.0,0.0167364016736,0.0,0.0
wages and salaries,1.0,0.0167364016736,0.0,0.0
appointments and executive changes,1.0,0.0125523012552,1.0,0.0187265917603
drug abuse and traffic,1.0,0.0125523012552,1.0,0.005617977528089999
prostitution,1.0,0.0125523012552,0.0,0.0
united states international relations,1.0,0.0125523012552,1.0,0.0168539325843
child abuse and neglect,1.0,0.0125523012552,1.0,0.011235955056200002
advertising and marketing,1.0,0.00836820083682,0.0,0.0
presidential elections (us),1.0,0.00836820083682,1.0,0.029962546816500003
"armament, defense and military forces",1.0,0.00836820083682,1.0,0.0168539325843
computer software,1.0,0.00836820083682,0.0,0.0
international relations,1.0,0.00836820083682,1.0,0.0168539325843
impeachment,1.0,0.00836820083682,1.0,0.00749063670412
murders and attempted murders,1.0,0.00836820083682,0.0,0.0
theater,1.0,0.00836820083682,0.0,0.0
violence,1.0,0.00836820083682,0.0,0.0
entertainment and amusements,1.0,0.00836820083682,0.0,0.0
legal profession,1.0,0.00836820083682,0.0,0.0
executives and management,1.0,0.00836820083682,0.0,0.0
teachers and school employees,1.0,0.00418410041841,0.0,0.0
privacy,1.0,0.00418410041841,0.0,0.0
religion and churches,1.0,0.00418410041841,1.0,0.033707865168499995
homosexuality,1.0,0.00418410041841,1.0,0.0187265917603
public opinion,1.0,0.00418410041841,1.0,0.022471910112400004
church-state relations,1.0,0.00418410041841,0.0,0.0
editorials,1.0,0.00418410041841,1.0,0.0149812734082
electronic mail,1.0,0.00418410041841,0.0,0.0
advertising,1.0,0.00418410041841,0.0,0.0
freedom of speech and expression,1.0,0.00418410041841,0.0,0.0
reviews,1.0,0.00418410041841,1.0,0.005617977528089999
united states armament and defense,1.0,0.00418410041841,1.0,0.011235955056200002
frauds and swindling,1.0,0.00418410041841,0.0,0.0
soccer,1.0,0.00418410041841,0.0,0.0
marriages,1.0,0.00418410041841,1.0,0.00749063670412
presidential election of 2000,1.0,0.00418410041841,0.0,0.0
stocks and bonds,1.0,0.00418410041841,0.0,0.0
housing,1.0,0.00418410041841,0.0,0.0
documentary films and programs,1.0,0.00418410041841,0.0,0.0
parties (social),1.0,0.00418410041841,0.0,0.0
festivals,1.0,0.00418410041841,0.0,0.0
comedy and humor,1.0,0.00418410041841,0.0,0.0
hotels and motels,1.0,0.00418410041841,0.0,0.0
swimming,1.0,0.00418410041841,0.0,0.0
domestic violence,1.0,0.00418410041841,0.0,0.0
demonstrations and riots,0.0,0.0,1.0,0.0262172284644
christians and christianity,0.0,0.0,1.0,0.0205992509363
legislatures and parliaments,0.0,0.0,1.0,0.0205992509363
primaries,0.0,0.0,1.0,0.0168539325843
election issues,0.0,0.0,1.0,0.0149812734082
taxation,0.0,0.0,1.0,0.0131086142322
terrorism,0.0,0.0,1.0,0.0131086142322
abortion,0.0,0.0,1.0,0.011235955056200002
governors (us),0.0,0.0,1.0,0.011235955056200002
music,0.0,0.0,1.0,0.00749063670412
budgets and budgeting,0.0,0.0,1.0,0.005617977528089999
colleges and universities,0.0,0.0,1.0,0.005617977528089999
immigration and refugees,0.0,0.0,1.0,0.005617977528089999
economic conditions and trends,0.0,0.0,1.0,0.005617977528089999
sentences (criminal),0.0,0.0,1.0,0.005617977528089999
