term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,4.0,0.16822884121399997,3.0,0.147192353644
Senate,3.0,0.142609178643,10.0,0.551493428913
Congress,3.0,0.116225786295,7.0,0.339545997611
Supreme Court,3.0,0.115114906617,2.0,0.0836320191159
White House,3.0,0.110879677845,4.0,0.20047789725200002
Washington Post,2.0,0.08880094424769999,3.0,0.138829151732
CNN,2.0,0.0847045754357,4.0,0.181362007168
Facebook,2.0,0.0713045893217,2.0,0.0755077658303
GOP,2.0,0.0673470804693,4.0,0.193548387097
House,2.0,0.06581962091230001,5.0,0.241816009558
Fox News,2.0,0.0604040824828,2.0,0.09557945041819998
Ford,2.0,0.059779212664,1.0,0.018876941457599997
NBC,2.0,0.059293202805,2.0,0.09510155316610001
FBI,2.0,0.05832118308690001,2.0,0.0719235364397
CBS,2.0,0.057974033187499996,1.0,0.05137395459980001
Associated Press,2.0,0.057210303409000005,1.0,0.0530465949821
AP,1.0,0.0505450253419,2.0,0.0621266427718
Senate Judiciary Committee,1.0,0.04936471568419999,2.0,0.0597371565114
Reuters,1.0,0.0490869957648,1.0,0.04826762246119999
Netflix,1.0,0.0356870096508,1.0,0.014814814814799999
Trump,1.0,0.034367840033300005,2.0,0.059498207885300004
ABC,1.0,0.0332569603555,1.0,0.028912783751500002
Times,1.0,0.0329098104562,1.0,0.025806451612900003
NBC News,1.0,0.031937790738,1.0,0.043010752688199996
Time,1.0,0.029368881483,1.0,0.006451612903229999
Google,1.0,0.0287440116642,1.0,0.0375149342891
Amazon,1.0,0.025411372630699997,1.0,0.0186379928315
Republican,1.0,0.0239533430535,2.0,0.06666666666669999
Democratic Party,1.0,0.0233284732347,2.0,0.06356033452809999
Los Angeles Times,1.0,0.0229813233354,1.0,0.01027479092
Trump administration,1.0,0.021801013677699998,1.0,0.0332138590203
Judiciary Committee,1.0,0.021801013677699998,1.0,0.032735961768200005
HBO,1.0,0.0210372838992,1.0,0.013381123058499998
NFL,1.0,0.019926404221299997,1.0,0.0200716845878
MSNBC,1.0,0.0197875442616,1.0,0.048028673835100004
Wall Street Journal,1.0,0.019509824342200003,1.0,0.025806451612900003
Republican Party,1.0,0.0191626744428,2.0,0.0597371565114
Vanity Fair,1.0,0.019093244462999998,1.0,0.009796893667860001
CBS News,1.0,0.0186766645838,1.0,0.0298685782557
Bloomberg,1.0,0.018537804624000002,1.0,0.0286738351254
