term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,4.0,0.14300000000000002,3.0,0.092
assault,3.0,0.098,1.0,0.026000000000000002
weinstein,3.0,0.08199999999999999,1.0,0.031
allegations,3.0,0.08199999999999999,9.0,0.29
abuse,2.0,0.066,1.0,0.013999999999999999
misconduct,2.0,0.064,2.0,0.07200000000000001
trump,2.0,0.055999999999999994,4.0,0.11699999999999999
harvey,2.0,0.054000000000000006,1.0,0.015
campaign,2.0,0.051,1.0,0.03
media,2.0,0.05,1.0,0.021
accusations,2.0,0.05,2.0,0.043
hashtag,2.0,0.047,0.0,0.0
time's,2.0,0.037000000000000005,0.0,0.0
metoo,1.0,0.036000000000000004,0.0,0.0
women's,1.0,0.033,1.0,0.004
workplace,1.0,0.03,1.0,0.005
tarana,1.0,0.03,0.0,0.0
burke,1.0,0.03,0.0,0.0
democrats,1.0,0.025,4.0,0.129
victims,1.0,0.024,1.0,0.016
survivors,1.0,0.024,0.0,0.0
activist,1.0,0.022000000000000002,0.0,0.0
tweeted,1.0,0.021,0.0,0.0
supporters,1.0,0.02,1.0,0.011000000000000001
reckoning,1.0,0.02,0.0,0.0
america,1.0,0.019,1.0,0.002
actress,1.0,0.019,1.0,0.003
industries,1.0,0.018000000000000002,0.0,0.0
milano,1.0,0.017,0.0,0.0
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,1.0,0.003
sexually,1.0,0.016,1.0,0.015
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.006999999999999999
gender,1.0,0.016,0.0,0.0
scandal,1.0,0.015,1.0,0.006999999999999999
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.002
year's,1.0,0.013999999999999999,1.0,0.005
twitter,1.0,0.013999999999999999,1.0,0.009000000000000001
producer,1.0,0.013999999999999999,1.0,0.003
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.006
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.025
rape,1.0,0.013000000000000001,1.0,0.01
global,1.0,0.013000000000000001,0.0,0.0
alyssa,1.0,0.013000000000000001,0.0,0.0
united,1.0,0.012,1.0,0.006999999999999999
republican,1.0,0.012,2.0,0.068
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,0.0,0.0
elections,1.0,0.012,0.0,0.0
carpet,1.0,0.012,0.0,0.0
