term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,9.0,0.16822884121399997,7.0,0.125719344843
Senate,8.0,0.142609178643,4.0,0.0712704736609
Congress,7.0,0.116225786295,3.0,0.049579459938
Supreme Court,7.0,0.115114906617,6.0,0.0996015936255
White House,6.0,0.110879677845,4.0,0.06994245241260001
Washington Post,5.0,0.08880094424769999,4.0,0.0668437361664
CNN,5.0,0.0847045754357,4.0,0.07259849490930001
Facebook,4.0,0.0713045893217,3.0,0.050464807436899996
GOP,4.0,0.0673470804693,2.0,0.0358565737052
House,4.0,0.06581962091230001,2.0,0.0270030987162
Fox News,4.0,0.0604040824828,5.0,0.083222664896
Ford,4.0,0.059779212664,2.0,0.034971226206300006
NBC,4.0,0.059293202805,4.0,0.0734838424081
FBI,4.0,0.05832118308690001,3.0,0.04825143868969999
CBS,4.0,0.057974033187499996,3.0,0.0478087649402
Associated Press,3.0,0.057210303409000005,5.0,0.0916334661355
AP,3.0,0.0505450253419,5.0,0.0779105799026
Senate Judiciary Committee,3.0,0.04936471568419999,2.0,0.036299247454599996
Reuters,3.0,0.0490869957648,4.0,0.0650730411687
Netflix,2.0,0.0356870096508,3.0,0.0424966799469
Trump,2.0,0.034367840033300005,2.0,0.0199203187251
ABC,2.0,0.0332569603555,2.0,0.0327578574591
Times,2.0,0.0329098104562,2.0,0.0256750774679
NBC News,2.0,0.031937790738,2.0,0.0323151837096
Time,2.0,0.029368881483,1.0,0.014608233731700001
Google,2.0,0.0287440116642,1.0,0.0190349712262
Amazon,2.0,0.025411372630699997,1.0,0.0163789287295
Republican,2.0,0.0239533430535,1.0,0.011952191235100001
Democratic Party,2.0,0.0233284732347,1.0,0.00796812749004
Los Angeles Times,2.0,0.0229813233354,2.0,0.020362992474499998
Trump administration,2.0,0.021801013677699998,1.0,0.011952191235100001
Judiciary Committee,2.0,0.021801013677699998,1.0,0.0132802124834
HBO,2.0,0.0210372838992,2.0,0.021691013722900002
NFL,2.0,0.019926404221299997,1.0,0.015493581230600002
MSNBC,2.0,0.0197875442616,2.0,0.0301018149624
Wall Street Journal,2.0,0.019509824342200003,1.0,0.015493581230600002
Republican Party,2.0,0.0191626744428,1.0,0.00619743249225
Vanity Fair,1.0,0.019093244462999998,1.0,0.0115095174856
CBS News,1.0,0.0186766645838,2.0,0.021691013722900002
Bloomberg,1.0,0.018537804624000002,1.0,0.00796812749004
Justice Department,1.0,0.018051794765,1.0,0.015493581230600002
Vox,1.0,0.0172880649865,1.0,0.00841080123949
YouTube,1.0,0.0165243352079,1.0,0.015936254980099998
Harvard,1.0,0.015760605429400002,1.0,0.0123948649845
NPR,1.0,0.0156217454697,1.0,0.0106241699867
Post,1.0,0.0150663056308,1.0,0.00885347498893
Politico,1.0,0.0148580156912,1.0,0.00885347498893
Disney,1.0,0.014510865791799998,1.0,0.0141655599823
Capitol Hill,1.0,0.014441435812,1.0,0.0110668437362
United Nations,1.0,0.0143720058321,1.0,0.00885347498893
Temple University,1.0,0.0143025758523,10.0,0.19123505976100003
BBC,1.0,0.0141637158925,1.0,0.00619743249225
USA TODAY,1.0,0.0136777060335,1.0,0.0185922974768
Yale,1.0,0.012775116295200001,2.0,0.022576361221799998
Democratic,1.0,0.0124279663959,1.0,0.00398406374502
ABC News,1.0,0.012358536416,1.0,0.0123948649845
New York Post,1.0,0.0110393667986,1.0,0.014608233731700001
USA Gymnastics,1.0,0.0110393667986,1.0,0.009296148738379998
House of Representatives,1.0,0.0109005068389,1.0,0.00309871624613
New Yorker,1.0,0.0109005068389,1.0,0.0132802124834
State,1.0,0.0103450669999,1.0,0.0048694112439099995
CNBC,1.0,0.0103450669999,1.0,0.00309871624613
Time magazine,1.0,0.010136777060299999,0.0,0.0
PBS,1.0,0.010136777060299999,1.0,0.00841080123949
Microsoft,1.0,0.00992848712074,1.0,0.004426737494470001
CIA,1.0,0.00985905714087,1.0,0.00841080123949
U.S. Supreme Court,1.0,0.00985905714087,1.0,0.00796812749004
CBS Interactive Inc,1.0,0.00985905714087,1.0,0.0123948649845
Facebook post,1.0,0.009720197181139999,1.0,0.00885347498893
POLITICO,1.0,0.009720197181139999,0.0,0.0
State Department,1.0,0.009511907241549999,1.0,0.00885347498893
Apple,1.0,0.009511907241549999,1.0,0.0048694112439099995
U.S. Senate,1.0,0.00937304728182,1.0,0.00708277999115
solidarity,1.0,0.00930361730195,0.0,0.0
USA Today,1.0,0.00867874748316,1.0,0.00841080123949
EEOC,1.0,0.00867874748316,1.0,0.00354138999557
Navy,1.0,0.0084010275637,1.0,0.00708277999115
Hollywood,1.0,0.0084010275637,1.0,0.0106241699867
BuzzFeed News,1.0,0.0084010275637,1.0,0.00575475874281
U.N.,1.0,0.00833159758384,1.0,0.0132802124834
Academy of Motion Picture Arts and Sciences,1.0,0.00833159758384,2.0,0.0301018149624
NRA,1.0,0.00819273762411,1.0,0.00398406374502
Alabama Senate,1.0,0.00798444768451,1.0,0.00398406374502
house,1.0,0.00791501770464,1.0,0.00796812749004
Republican National Committee,1.0,0.00791501770464,1.0,0.0066401062417
Catholic,1.0,0.00777615774491,1.0,0.00575475874281
Stanford,1.0,0.00756786780532,1.0,0.0048694112439099995
ESPN,1.0,0.00756786780532,1.0,0.004426737494470001
F.B.I.,1.0,0.007498437825449999,1.0,0.00575475874281
NBA,1.0,0.00742900784559,1.0,0.005312084993359999
Pentagon,1.0,0.00729014788586,1.0,0.00575475874281
Twitter,1.0,0.00729014788586,1.0,0.00398406374502
Walmart,1.0,0.00722071790599,1.0,0.005312084993359999
Weinstein Company,1.0,0.00722071790599,1.0,0.015493581230600002
McDonald,1.0,0.00722071790599,1.0,0.004426737494470001
Yale University,1.0,0.00715128792613,1.0,0.009296148738379998
Michigan State University,1.0,0.00715128792613,1.0,0.00619743249225
UN,1.0,0.00708185794626,1.0,0.00619743249225
Boston Globe,1.0,0.0070124279664,1.0,0.00619743249225
Equal Employment Opportunity Commission,1.0,0.0070124279664,1.0,0.00309871624613
Treasury,1.0,0.00687356800667,1.0,0.00354138999557
WSJ,1.0,0.0067347080469300005,0.0,0.0
European Union,1.0,0.00666527806707,0.0,0.0
Medicare,1.0,0.00666527806707,1.0,0.00309871624613
Rutgers University,1.0,0.00666527806707,0.0,0.0
EPA,1.0,0.0065958480871999995,1.0,0.0075254537405900004
DNC,1.0,0.00645698812747,0.0,0.0
NYT,1.0,0.00645698812747,0.0,0.0
Catholic Church,1.0,0.006318128167739999,1.0,0.00796812749004
Weinstein Co.,1.0,0.006318128167739999,1.0,0.005312084993359999
Amazon Studios,1.0,0.006318128167739999,1.0,0.0106241699867
Miramax,1.0,0.00610983822815,1.0,0.0141655599823
Breitbart News,1.0,0.00604040824828,1.0,0.00398406374502
Democratic National Committee,1.0,0.00597097826842,0.0,0.0
Trump White House,1.0,0.00597097826842,1.0,0.0026560424966799996
Palo Alto University,1.0,0.005901548288549999,0.0,0.0
Fox,1.0,0.00583211830869,1.0,0.00309871624613
Showtime,1.0,0.0056932583489599994,1.0,0.00398406374502
Playboy,1.0,0.00555439838922,1.0,0.0066401062417
RNC,1.0,0.00555439838922,1.0,0.0048694112439099995
Pew Research Center,1.0,0.00555439838922,0.0,0.0
supreme court,1.0,0.005415538429489999,1.0,0.00309871624613
Huffington Post,1.0,0.00527667846976,1.0,0.00354138999557
Democrats,1.0,0.005207248489899999,0.0,0.0
Starbucks,1.0,0.0049989585503,1.0,0.005312084993359999
Warner Bros.,1.0,0.00492952857044,1.0,0.00575475874281
state,1.0,0.004860098590569999,1.0,0.00398406374502
Stanford University,1.0,0.004860098590569999,0.0,0.0
New York Daily News,1.0,0.004860098590569999,1.0,0.00841080123949
LA Times,1.0,0.004860098590569999,1.0,0.00575475874281
Goldman Sachs,1.0,0.00479066861071,0.0,0.0
ACLU,1.0,0.00479066861071,1.0,0.00575475874281
WaPo,1.0,0.00472123863084,0.0,0.0
Department of Justice,1.0,0.004651808650979999,1.0,0.00708277999115
House Intelligence Committee,1.0,0.004651808650979999,1.0,0.004426737494470001
Nike,1.0,0.004651808650979999,1.0,0.00575475874281
Newsweek,1.0,0.004651808650979999,1.0,0.00841080123949
Sony,1.0,0.00458237867111,1.0,0.0026560424966799996
Columbia University,1.0,0.00458237867111,1.0,0.00398406374502
Gallup,1.0,0.00458237867111,0.0,0.0
Defense,1.0,0.004512948691239999,1.0,0.00309871624613
National Women’s Law Center,1.0,0.00444351871138,1.0,0.004426737494470001
ISIS,1.0,0.00437408873151,0.0,0.0
EU,1.0,0.00437408873151,0.0,0.0
DOJ,1.0,0.00437408873151,1.0,0.00354138999557
MTV,1.0,0.00437408873151,1.0,0.0066401062417
National Rifle Association,1.0,0.0043046587516499995,1.0,0.00398406374502
Cambridge Analytica,1.0,0.0043046587516499995,1.0,0.0048694112439099995
AFP,1.0,0.0043046587516499995,0.0,0.0
NASA,1.0,0.00423522877178,1.0,0.0026560424966799996
Instagram,1.0,0.00423522877178,1.0,0.004426737494470001
University of Virginia,1.0,0.00416579879192,1.0,0.004426737494470001
Daily News,1.0,0.00416579879192,1.0,0.0115095174856
Viacom,1.0,0.0040963688120500006,0.0,0.0
New York University,1.0,0.00402693883219,0.0,0.0
University of California,1.0,0.00395750885232,1.0,0.00354138999557
AT&T,1.0,0.00395750885232,1.0,0.0026560424966799996
Le Monde,1.0,0.00395750885232,0.0,0.0
UCLA,1.0,0.00395750885232,0.0,0.0
Yahoo,1.0,0.00381864889259,0.0,0.0
New York,1.0,0.00374921891273,1.0,0.004426737494470001
