term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,2.0,0.14300000000000002,1.0,0.013000000000000001
assault,1.0,0.098,3.0,0.235
weinstein,1.0,0.08199999999999999,1.0,0.026000000000000002
allegations,1.0,0.08199999999999999,1.0,0.083
abuse,1.0,0.066,1.0,0.021
misconduct,1.0,0.064,1.0,0.027999999999999997
trump,1.0,0.055999999999999994,1.0,0.025
harvey,1.0,0.054000000000000006,1.0,0.017
campaign,1.0,0.051,1.0,0.006
media,1.0,0.05,1.0,0.015
accusations,1.0,0.05,0.0,0.0
hashtag,1.0,0.047,0.0,0.0
time's,1.0,0.037000000000000005,1.0,0.001
metoo,1.0,0.036000000000000004,0.0,0.0
women's,1.0,0.033,1.0,0.019
workplace,1.0,0.03,1.0,0.001
tarana,1.0,0.03,0.0,0.0
burke,1.0,0.03,0.0,0.0
democrats,1.0,0.025,0.0,0.0
victims,1.0,0.024,0.0,0.0
survivors,1.0,0.024,1.0,0.009000000000000001
activist,1.0,0.022000000000000002,1.0,0.003
tweeted,1.0,0.021,0.0,0.0
supporters,1.0,0.02,1.0,0.003
reckoning,1.0,0.02,1.0,0.003
america,1.0,0.019,0.0,0.0
actress,1.0,0.019,1.0,0.008
industries,1.0,0.018000000000000002,0.0,0.0
milano,1.0,0.017,0.0,0.0
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,1.0,0.001
sexually,1.0,0.016,1.0,0.051
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.006999999999999999
gender,1.0,0.016,1.0,0.002
scandal,1.0,0.015,1.0,0.005
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.002
year's,1.0,0.013999999999999999,0.0,0.0
twitter,1.0,0.013999999999999999,1.0,0.004
producer,1.0,0.013999999999999999,0.0,0.0
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.002
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.004
rape,1.0,0.013000000000000001,1.0,0.031
global,1.0,0.013000000000000001,0.0,0.0
alyssa,1.0,0.013000000000000001,0.0,0.0
united,1.0,0.012,1.0,0.002
republican,1.0,0.012,1.0,0.001
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,0.0,0.0
elections,1.0,0.012,0.0,0.0
carpet,1.0,0.012,0.0,0.0
apologized,1.0,0.012,1.0,0.006999999999999999
accountable,1.0,0.012,0.0,0.0
momentum,1.0,0.011000000000000001,0.0,0.0
education,1.0,0.011000000000000001,0.0,0.0
cosby,1.0,0.011000000000000001,10.0,1.0590000000000002
american,1.0,0.011000000000000001,1.0,0.012
university,1.0,0.01,1.0,0.035
sparked,1.0,0.01,0.0,0.0
revelations,1.0,0.01,0.0,0.0
reporting,1.0,0.01,0.0,0.0
online,1.0,0.01,0.0,0.0
moonves,1.0,0.01,0.0,0.0
mogul,1.0,0.01,0.0,0.0
globes,1.0,0.01,0.0,0.0
facebook,1.0,0.01,0.0,0.0
conversations,1.0,0.01,0.0,0.0
congress,1.0,0.01,0.0,0.0
bennett,1.0,0.01,0.0,0.0
advocate,1.0,0.01,0.0,0.0
midst,1.0,0.009000000000000001,0.0,0.0
headlines,1.0,0.009000000000000001,1.0,0.003
dating,1.0,0.009000000000000001,1.0,0.002
california,1.0,0.009000000000000001,1.0,0.006
tony,1.0,0.008,1.0,0.002
senate,1.0,0.008,1.0,0.002
resignations,1.0,0.008,0.0,0.0
prompted,1.0,0.008,0.0,0.0
lawmakers,1.0,0.008,0.0,0.0
journalists,1.0,0.008,1.0,0.002
garcia,1.0,0.008,0.0,0.0
empowerment,1.0,0.008,0.0,0.0
awards,1.0,0.008,1.0,0.006
viral,1.0,0.006999999999999999,1.0,0.001
targeted,1.0,0.006999999999999999,0.0,0.0
supreme,1.0,0.006999999999999999,1.0,0.003
rally,1.0,0.006999999999999999,0.0,0.0
predators,1.0,0.006999999999999999,0.0,0.0
post's,1.0,0.006999999999999999,0.0,0.0
porter,1.0,0.006999999999999999,1.0,0.002
photo,1.0,0.006999999999999999,1.0,0.011000000000000001
nomination,1.0,0.006999999999999999,0.0,0.0
moments,1.0,0.006999999999999999,0.0,0.0
michael,1.0,0.006999999999999999,1.0,0.005
galvanized,1.0,0.006999999999999999,0.0,0.0
equality,1.0,0.006999999999999999,0.0,0.0
endorsement,1.0,0.006999999999999999,0.0,0.0
echoed,1.0,0.006999999999999999,0.0,0.0
dozens,1.0,0.006999999999999999,1.0,0.013999999999999999
deserve,1.0,0.006999999999999999,0.0,0.0
clinton,1.0,0.006999999999999999,1.0,0.013000000000000001
ceo,1.0,0.006999999999999999,1.0,0.002
campus,1.0,0.006999999999999999,0.0,0.0
bourdain,1.0,0.006999999999999999,0.0,0.0
yorker,1.0,0.006,0.0,0.0
vox,1.0,0.006,0.0,0.0
solidarity,1.0,0.006,0.0,0.0
protests,1.0,0.006,0.0,0.0
presidency,1.0,0.006,0.0,0.0
nominee,1.0,0.006,1.0,0.003
mcgowan,1.0,0.006,0.0,0.0
marches,1.0,0.006,0.0,0.0
lewinsky,1.0,0.006,0.0,0.0
lessons,1.0,0.006,0.0,0.0
investigative,1.0,0.006,0.0,0.0
grappled,1.0,0.006,0.0,0.0
getty,1.0,0.006,1.0,0.005
fueled,1.0,0.006,0.0,0.0
franken,1.0,0.006,0.0,0.0
franco,1.0,0.006,0.0,0.0
ford,1.0,0.006,0.0,0.0
farrow,1.0,0.006,0.0,0.0
empathy,1.0,0.006,0.0,0.0
donald,1.0,0.006,1.0,0.01
disgraced,1.0,0.006,1.0,0.009000000000000001
criticized,1.0,0.006,1.0,0.002
crisis,1.0,0.006,0.0,0.0
criminal,1.0,0.006,1.0,0.031
corporate,1.0,0.006,0.0,0.0
consent,1.0,0.006,1.0,0.005
ceremony,1.0,0.006,0.0,0.0
capitol,1.0,0.006,0.0,0.0
button,1.0,0.006,0.0,0.0
angeles,1.0,0.006,1.0,0.004
winner,1.0,0.005,0.0,0.0
weighed,1.0,0.005,0.0,0.0
warren,1.0,0.005,0.0,0.0
