term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,3.0,0.16822884121399997,2.0,0.117206982544
Senate,2.0,0.142609178643,7.0,0.559923720111
Congress,2.0,0.116225786295,2.0,0.130115886754
Supreme Court,2.0,0.115114906617,10.0,0.8025524424230001
White House,2.0,0.110879677845,4.0,0.271086988411
Washington Post,2.0,0.08880094424769999,3.0,0.17705735660799998
CNN,2.0,0.0847045754357,2.0,0.141117793751
Facebook,1.0,0.0713045893217,1.0,0.031245415872100002
GOP,1.0,0.0673470804693,3.0,0.188792724072
House,1.0,0.06581962091230001,1.0,0.050168695907300005
Fox News,1.0,0.0604040824828,2.0,0.122634589996
Ford,1.0,0.059779212664,8.0,0.620947630923
NBC,1.0,0.059293202805,1.0,0.04430101217540001
FBI,1.0,0.05832118308690001,5.0,0.399589262139
CBS,1.0,0.057974033187499996,1.0,0.03960686519
Associated Press,1.0,0.057210303409000005,1.0,0.0353527944844
AP,1.0,0.0505450253419,1.0,0.0362329470442
Senate Judiciary Committee,1.0,0.04936471568419999,8.0,0.581927534106
Reuters,1.0,0.0490869957648,1.0,0.042687399149199994
Netflix,1.0,0.0356870096508,1.0,0.0038139944256999994
Trump,1.0,0.034367840033300005,1.0,0.028898342379299998
ABC,1.0,0.0332569603555,1.0,0.0209769693414
Times,1.0,0.0329098104562,1.0,0.017309667008900003
NBC News,1.0,0.031937790738,1.0,0.043567551709
Time,1.0,0.029368881483,1.0,0.00410737861229
Google,1.0,0.0287440116642,1.0,0.0123221358369
Amazon,1.0,0.025411372630699997,1.0,0.007334604664810001
Republican,1.0,0.0239533430535,1.0,0.06351767639719999
Democratic Party,1.0,0.0233284732347,1.0,0.0189232800352
Los Angeles Times,1.0,0.0229813233354,1.0,0.00425407070559
Trump administration,1.0,0.021801013677699998,1.0,0.0159894381693
Judiciary Committee,1.0,0.021801013677699998,3.0,0.210209769693
HBO,1.0,0.0210372838992,1.0,0.00498753117207
NFL,1.0,0.019926404221299997,1.0,0.0051342232653700005
MSNBC,1.0,0.0197875442616,1.0,0.0274314214464
Wall Street Journal,1.0,0.019509824342200003,1.0,0.0266979609799
Republican Party,1.0,0.0191626744428,1.0,0.025231040046900004
Vanity Fair,1.0,0.019093244462999998,1.0,0.0027871497726300004
CBS News,1.0,0.0186766645838,1.0,0.0209769693414
Bloomberg,1.0,0.018537804624000002,1.0,0.014375825142999999
Justice Department,1.0,0.018051794765,1.0,0.0324189526185
Vox,1.0,0.0172880649865,1.0,0.011001906997200002
YouTube,1.0,0.0165243352079,1.0,0.00498753117207
Harvard,1.0,0.015760605429400002,1.0,0.0124688279302
NPR,1.0,0.0156217454697,1.0,0.0123221358369
Post,1.0,0.0150663056308,1.0,0.031245415872100002
Politico,1.0,0.0148580156912,1.0,0.0205368930615
Disney,1.0,0.014510865791799998,0.0,0.0
Capitol Hill,1.0,0.014441435812,1.0,0.0321255684319
United Nations,1.0,0.0143720058321,1.0,0.0186298958486
Temple University,1.0,0.0143025758523,0.0,0.0
BBC,1.0,0.0141637158925,1.0,0.0030805339592199998
USA TODAY,1.0,0.0136777060335,1.0,0.015255977702799997
Yale,1.0,0.012775116295200001,2.0,0.106205075546
Democratic,1.0,0.0124279663959,1.0,0.0259645005134
ABC News,1.0,0.012358536416,1.0,0.0108552149039
New York Post,1.0,0.0110393667986,1.0,0.0027871497726300004
USA Gymnastics,1.0,0.0110393667986,0.0,0.0
House of Representatives,1.0,0.0109005068389,1.0,0.014375825142999999
New Yorker,1.0,0.0109005068389,1.0,0.0126155200235
State,1.0,0.0103450669999,1.0,0.00894821769107
CNBC,1.0,0.0103450669999,1.0,0.00660114419833
Time magazine,1.0,0.010136777060299999,1.0,0.00220038139944
PBS,1.0,0.010136777060299999,1.0,0.00410737861229
Microsoft,1.0,0.00992848712074,0.0,0.0
CIA,1.0,0.00985905714087,1.0,0.00498753117207
U.S. Supreme Court,1.0,0.00985905714087,1.0,0.051488924747
CBS Interactive Inc,1.0,0.00985905714087,1.0,0.018336511662
Facebook post,1.0,0.009720197181139999,1.0,0.0051342232653700005
POLITICO,1.0,0.009720197181139999,1.0,0.009681678157549998
State Department,1.0,0.009511907241549999,1.0,0.00674783629162
Apple,1.0,0.009511907241549999,1.0,0.0027871497726300004
U.S. Senate,1.0,0.00937304728182,1.0,0.0205368930615
solidarity,1.0,0.00930361730195,1.0,0.00264045767933
USA Today,1.0,0.00867874748316,1.0,0.0061610679184399995
EEOC,1.0,0.00867874748316,0.0,0.0
Navy,1.0,0.0084010275637,1.0,0.0020536893061500004
Hollywood,1.0,0.0084010275637,0.0,0.0
BuzzFeed News,1.0,0.0084010275637,1.0,0.0032272260525199998
U.N.,1.0,0.00833159758384,1.0,0.00997506234414
Academy of Motion Picture Arts and Sciences,1.0,0.00833159758384,0.0,0.0
NRA,1.0,0.00819273762411,1.0,0.0020536893061500004
Alabama Senate,1.0,0.00798444768451,1.0,0.0023470734927399997
house,1.0,0.00791501770464,1.0,0.0346193340179
Republican National Committee,1.0,0.00791501770464,1.0,0.0048408390787700005
Catholic,1.0,0.00777615774491,1.0,0.011295291183799998
Stanford,1.0,0.00756786780532,1.0,0.00850814141118
ESPN,1.0,0.00756786780532,1.0,0.00220038139944
F.B.I.,1.0,0.007498437825449999,1.0,0.0234707349274
NBA,1.0,0.00742900784559,1.0,0.0019069972128499997
Pentagon,1.0,0.00729014788586,1.0,0.0038139944256999994
Twitter,1.0,0.00729014788586,1.0,0.00337391814581
Walmart,1.0,0.00722071790599,0.0,0.0
Weinstein Company,1.0,0.00722071790599,0.0,0.0
McDonald,1.0,0.00722071790599,1.0,0.0023470734927399997
Yale University,1.0,0.00715128792613,1.0,0.07275927827489999
Michigan State University,1.0,0.00715128792613,0.0,0.0
UN,1.0,0.00708185794626,1.0,0.00542760745196
Boston Globe,1.0,0.0070124279664,1.0,0.0036673023324
Equal Employment Opportunity Commission,1.0,0.0070124279664,1.0,0.003960686519
Treasury,1.0,0.00687356800667,1.0,0.0023470734927399997
WSJ,1.0,0.0067347080469300005,1.0,0.00542760745196
European Union,1.0,0.00666527806707,1.0,0.00220038139944
Medicare,1.0,0.00666527806707,1.0,0.003960686519
Rutgers University,1.0,0.00666527806707,0.0,0.0
EPA,1.0,0.0065958480871999995,1.0,0.0032272260525199998
DNC,1.0,0.00645698812747,1.0,0.00425407070559
NYT,1.0,0.00645698812747,1.0,0.0036673023324
Catholic Church,1.0,0.006318128167739999,1.0,0.0019069972128499997
Weinstein Co.,1.0,0.006318128167739999,0.0,0.0
Amazon Studios,1.0,0.006318128167739999,0.0,0.0
Miramax,1.0,0.00610983822815,0.0,0.0
Breitbart News,1.0,0.00604040824828,1.0,0.004694146985479999
Democratic National Committee,1.0,0.00597097826842,1.0,0.00660114419833
Trump White House,1.0,0.00597097826842,1.0,0.0061610679184399995
Palo Alto University,1.0,0.005901548288549999,1.0,0.0525157694
Fox,1.0,0.00583211830869,1.0,0.0023470734927399997
Showtime,1.0,0.0056932583489599994,1.0,0.00410737861229
Playboy,1.0,0.00555439838922,0.0,0.0
RNC,1.0,0.00555439838922,1.0,0.004694146985479999
Pew Research Center,1.0,0.00555439838922,1.0,0.0020536893061500004
supreme court,1.0,0.005415538429489999,1.0,0.019363356315099996
Huffington Post,1.0,0.00527667846976,1.0,0.00264045767933
Democrats,1.0,0.005207248489899999,1.0,0.012908904210099999
Starbucks,1.0,0.0049989585503,0.0,0.0
Warner Bros.,1.0,0.00492952857044,0.0,0.0
state,1.0,0.004860098590569999,1.0,0.00337391814581
Stanford University,1.0,0.004860098590569999,1.0,0.0077746809447000005
New York Daily News,1.0,0.004860098590569999,0.0,0.0
LA Times,1.0,0.004860098590569999,0.0,0.0
Goldman Sachs,1.0,0.00479066861071,0.0,0.0
ACLU,1.0,0.00479066861071,1.0,0.0048408390787700005
WaPo,1.0,0.00472123863084,1.0,0.0061610679184399995
Department of Justice,1.0,0.004651808650979999,1.0,0.010268446530700002
House Intelligence Committee,1.0,0.004651808650979999,0.0,0.0
Nike,1.0,0.004651808650979999,1.0,0.0020536893061500004
Newsweek,1.0,0.004651808650979999,0.0,0.0
Sony,1.0,0.00458237867111,0.0,0.0
Columbia University,1.0,0.00458237867111,1.0,0.0020536893061500004
Gallup,1.0,0.00458237867111,1.0,0.0036673023324
Defense,1.0,0.004512948691239999,1.0,0.00425407070559
National Women’s Law Center,1.0,0.00444351871138,1.0,0.0020536893061500004
ISIS,1.0,0.00437408873151,0.0,0.0
EU,1.0,0.00437408873151,0.0,0.0
