term,a1_bin,a1_perc,a2_bin,a2_perc
harassment,6.0,0.14300000000000002,4.0,0.098
assault,4.0,0.098,2.0,0.049
weinstein,3.0,0.08199999999999999,2.0,0.055
allegations,3.0,0.08199999999999999,10.0,0.27699999999999997
abuse,3.0,0.066,1.0,0.021
misconduct,3.0,0.064,3.0,0.08
trump,3.0,0.055999999999999994,4.0,0.107
harvey,2.0,0.054000000000000006,1.0,0.021
campaign,2.0,0.051,2.0,0.034
media,2.0,0.05,2.0,0.03
accusations,2.0,0.05,3.0,0.066
hashtag,2.0,0.047,1.0,0.006999999999999999
time's,2.0,0.037000000000000005,0.0,0.0
metoo,2.0,0.036000000000000004,0.0,0.0
women's,2.0,0.033,1.0,0.015
workplace,2.0,0.03,1.0,0.004
tarana,2.0,0.03,1.0,0.002
burke,2.0,0.03,1.0,0.003
democrats,1.0,0.025,4.0,0.107
victims,1.0,0.024,1.0,0.012
survivors,1.0,0.024,1.0,0.005
activist,1.0,0.022000000000000002,1.0,0.002
tweeted,1.0,0.021,1.0,0.012
supporters,1.0,0.02,1.0,0.011000000000000001
reckoning,1.0,0.02,1.0,0.008
america,1.0,0.019,0.0,0.0
actress,1.0,0.019,0.0,0.0
industries,1.0,0.018000000000000002,1.0,0.005
milano,1.0,0.017,1.0,0.002
argento,1.0,0.017,0.0,0.0
violence,1.0,0.016,1.0,0.006
sexually,1.0,0.016,1.0,0.01
robbins,1.0,0.016,0.0,0.0
kavanaugh,1.0,0.016,1.0,0.025
gender,1.0,0.016,1.0,0.006
scandal,1.0,0.015,1.0,0.01
china,1.0,0.015,0.0,0.0
celebrities,1.0,0.015,0.0,0.0
backlash,1.0,0.015,1.0,0.003
year's,1.0,0.013999999999999999,1.0,0.001
twitter,1.0,0.013999999999999999,1.0,0.006
producer,1.0,0.013999999999999999,1.0,0.008
founder,1.0,0.013999999999999999,0.0,0.0
cbs,1.0,0.013999999999999999,1.0,0.004
asia,1.0,0.013999999999999999,0.0,0.0
washington,1.0,0.013000000000000001,1.0,0.015
rape,1.0,0.013000000000000001,1.0,0.009000000000000001
global,1.0,0.013000000000000001,0.0,0.0
alyssa,1.0,0.013000000000000001,0.0,0.0
united,1.0,0.012,1.0,0.008
republican,1.0,0.012,2.0,0.055
oscars,1.0,0.012,0.0,0.0
highlights,1.0,0.012,0.0,0.0
feminist,1.0,0.012,1.0,0.006999999999999999
elections,1.0,0.012,0.0,0.0
carpet,1.0,0.012,0.0,0.0
apologized,1.0,0.012,0.0,0.0
accountable,1.0,0.012,0.0,0.0
momentum,1.0,0.011000000000000001,0.0,0.0
education,1.0,0.011000000000000001,0.0,0.0
cosby,1.0,0.011000000000000001,1.0,0.013999999999999999
