term,a1_bin,a1_perc,a2_bin,a2_perc
New York Times,8.0,0.16822884121399997,10.0,0.236641221374
Senate,7.0,0.142609178643,2.0,0.0458015267176
Congress,5.0,0.116225786295,3.0,0.0496183206107
Supreme Court,5.0,0.115114906617,2.0,0.034351145038200005
White House,5.0,0.110879677845,3.0,0.057251908396899996
Washington Post,4.0,0.08880094424769999,5.0,0.09541984732820001
CNN,4.0,0.0847045754357,3.0,0.0610687022901
Facebook,4.0,0.0713045893217,3.0,0.0534351145038
GOP,3.0,0.0673470804693,1.0,0.0114503816794
House,3.0,0.06581962091230001,1.0,0.0076335877862600005
Fox News,3.0,0.0604040824828,1.0,0.0190839694656
Ford,3.0,0.059779212664,1.0,0.0114503816794
NBC,3.0,0.059293202805,4.0,0.0916030534351
FBI,3.0,0.05832118308690001,1.0,0.0229007633588
CBS,3.0,0.057974033187499996,3.0,0.057251908396899996
Associated Press,3.0,0.057210303409000005,2.0,0.034351145038200005
AP,3.0,0.0505450253419,1.0,0.0114503816794
Senate Judiciary Committee,3.0,0.04936471568419999,1.0,0.0114503816794
Reuters,3.0,0.0490869957648,2.0,0.034351145038200005
Netflix,2.0,0.0356870096508,7.0,0.152671755725
Trump,2.0,0.034367840033300005,1.0,0.0076335877862600005
ABC,2.0,0.0332569603555,2.0,0.030534351145000003
Times,2.0,0.0329098104562,2.0,0.0458015267176
NBC News,2.0,0.031937790738,1.0,0.0114503816794
Time,2.0,0.029368881483,2.0,0.0419847328244
Google,2.0,0.0287440116642,2.0,0.030534351145000003
Amazon,2.0,0.025411372630699997,2.0,0.0419847328244
Republican,2.0,0.0239533430535,1.0,0.0076335877862600005
Democratic Party,1.0,0.0233284732347,0.0,0.0
Los Angeles Times,1.0,0.0229813233354,2.0,0.0381679389313
Trump administration,1.0,0.021801013677699998,1.0,0.0190839694656
Judiciary Committee,1.0,0.021801013677699998,0.0,0.0
HBO,1.0,0.0210372838992,4.0,0.0839694656489
NFL,1.0,0.019926404221299997,0.0,0.0
MSNBC,1.0,0.0197875442616,0.0,0.0
Wall Street Journal,1.0,0.019509824342200003,1.0,0.0076335877862600005
Republican Party,1.0,0.0191626744428,1.0,0.0076335877862600005
Vanity Fair,1.0,0.019093244462999998,1.0,0.0190839694656
CBS News,1.0,0.0186766645838,1.0,0.0038167938931300003
Bloomberg,1.0,0.018537804624000002,1.0,0.015267175572500001
Justice Department,1.0,0.018051794765,1.0,0.0114503816794
Vox,1.0,0.0172880649865,3.0,0.0648854961832
YouTube,1.0,0.0165243352079,1.0,0.015267175572500001
Harvard,1.0,0.015760605429400002,2.0,0.0267175572519
NPR,1.0,0.0156217454697,1.0,0.0076335877862600005
Post,1.0,0.0150663056308,1.0,0.0038167938931300003
Politico,1.0,0.0148580156912,0.0,0.0
Disney,1.0,0.014510865791799998,1.0,0.015267175572500001
Capitol Hill,1.0,0.014441435812,1.0,0.0114503816794
United Nations,1.0,0.0143720058321,0.0,0.0
Temple University,1.0,0.0143025758523,0.0,0.0
BBC,1.0,0.0141637158925,1.0,0.0229007633588
USA TODAY,1.0,0.0136777060335,1.0,0.0190839694656
Yale,1.0,0.012775116295200001,1.0,0.0114503816794
Democratic,1.0,0.0124279663959,1.0,0.0038167938931300003
ABC News,1.0,0.012358536416,1.0,0.0076335877862600005
New York Post,1.0,0.0110393667986,1.0,0.0190839694656
USA Gymnastics,1.0,0.0110393667986,1.0,0.015267175572500001
House of Representatives,1.0,0.0109005068389,1.0,0.0076335877862600005
New Yorker,1.0,0.0109005068389,1.0,0.0076335877862600005
State,1.0,0.0103450669999,0.0,0.0
CNBC,1.0,0.0103450669999,0.0,0.0
Time magazine,1.0,0.010136777060299999,1.0,0.0038167938931300003
PBS,1.0,0.010136777060299999,1.0,0.0190839694656
Microsoft,1.0,0.00992848712074,0.0,0.0
CIA,1.0,0.00985905714087,1.0,0.0076335877862600005
U.S. Supreme Court,1.0,0.00985905714087,0.0,0.0
CBS Interactive Inc,1.0,0.00985905714087,0.0,0.0
Facebook post,1.0,0.009720197181139999,1.0,0.0038167938931300003
POLITICO,1.0,0.009720197181139999,0.0,0.0
State Department,1.0,0.009511907241549999,1.0,0.0038167938931300003
Apple,1.0,0.009511907241549999,1.0,0.0038167938931300003
U.S. Senate,1.0,0.00937304728182,0.0,0.0
